"Order","SourceGroup","LevelId","Guid","Width","Height","Chains","ScreeningTag","ScreeningScore","ScreeningReason","OriginalAssetPath","ExportAsset"
"19","base","hole_candidate_020_std_22x24_dense","d3639ddffa824bd499209671f4d9bbc3","22","24","47","keep","1129","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_020_std_22x24_dense.asset","Levels/019_hole_candidate_020_std_22x24_dense.asset"
"20","base","hole_candidate_021_std_22x26_lock","9dc29cdf0d64dec44b343c393217dc28","22","26","53","check","1112.6","open;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_021_std_22x26_lock.asset","Levels/020_hole_candidate_021_std_22x26_lock.asset"
"21","base","hole_candidate_025_std_22x28_section","2451c789a2cf34c4ab414b14d449f2dd","22","28","61","keep","1159","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_025_std_22x28_section.asset","Levels/021_hole_candidate_025_std_22x28_section.asset"
"22","base","hole_candidate_026_std_22x28_dual","291f00d690110e1479676a27fdcefe42","22","28","57","keep","1140","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_026_std_22x28_dual.asset","Levels/022_hole_candidate_026_std_22x28_dual.asset"
"23","base","hole_candidate_027_std_24x26_lock","1b55e0c9aeeee3743b21068bfd1ea7c6","24","26","59","check","1099.4","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_027_std_24x26_lock.asset","Levels/023_hole_candidate_027_std_24x26_lock.asset"
"24","base","hole_candidate_028_std_24x26_section","86110219364f24b49ad2563279237b6c","24","26","60","keep","1109","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_028_std_24x26_section.asset","Levels/024_hole_candidate_028_std_24x26_section.asset"
"25","base","hole_candidate_029_std_24x26_maze","ccdbb2101b83c194cb3110b08705bbb3","24","26","66","drop","981.6","largeChainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_029_std_24x26_maze.asset","Levels/025_hole_candidate_029_std_24x26_maze.asset"
"26","base","hole_candidate_030_std_24x28_lock","972274967c7736943a3cf1be109d9d0c","24","28","64","keep","1112.2","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_030_std_24x28_lock.asset","Levels/026_hole_candidate_030_std_24x28_lock.asset"
"27","base","hole_candidate_031_std_24x28_section","fda15a720e0d8934bbb0688183dfce1e","24","28","59","keep","1074.5","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_031_std_24x28_section.asset","Levels/027_hole_candidate_031_std_24x28_section.asset"
"28","base","hole_candidate_032_std_24x28_dense","36a12545babc04d49ab84c379005bc3e","24","28","60","keep","1098.9","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_032_std_24x28_dense.asset","Levels/028_hole_candidate_032_std_24x28_dense.asset"
"29","base","hole_candidate_034_std_24x30_section","56ce1fe0caa7e9c4eba3787f9879442a","24","30","71","check","1060.7","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_034_std_24x30_section.asset","Levels/029_hole_candidate_034_std_24x30_section.asset"
"30","base","hole_candidate_036_std_26x24_lock","14f0f8e53717e374a87c31fdd906abda","26","24","58","keep","1098.8","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_036_std_26x24_lock.asset","Levels/030_hole_candidate_036_std_26x24_lock.asset"
"31","base","hole_candidate_037_std_26x24_section","472e33dfc00c7534296d8069b82ec378","26","24","56","keep","1090.5","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_037_std_26x24_section.asset","Levels/031_hole_candidate_037_std_26x24_section.asset"
"32","base","hole_candidate_038_std_26x24_dual","0b24c22efa1b4484090822db8d7f32c9","26","24","50","keep","1108.7","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset","Levels/032_hole_candidate_038_std_26x24_dual.asset"
"33","base","hole_candidate_040_std_26x26_section","8789f302d045934419dd8a737e6eb069","26","26","62","keep","1114.9","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_040_std_26x26_section.asset","Levels/033_hole_candidate_040_std_26x26_section.asset"
"34","base","hole_candidate_041_std_26x26_maze","484a02f342c120e45941762d7ac7050c","26","26","63","keep","1024.9","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_041_std_26x26_maze.asset","Levels/034_hole_candidate_041_std_26x26_maze.asset"
"35","base","hole_candidate_042_std_26x28_lock","38682d929d402cc498f8cb0185345d2b","26","28","75","keep","1062.2","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_042_std_26x28_lock.asset","Levels/035_hole_candidate_042_std_26x28_lock.asset"
"36","base","hole_candidate_044_std_26x28_dense","765f16a1aeb37054bb38a75fae838408","26","28","66","keep","1089.8","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_044_std_26x28_dense.asset","Levels/036_hole_candidate_044_std_26x28_dense.asset"
"37","base","hole_candidate_047_std_28x24_shell","1b48f18a8be93ff4bb26cd6a47a9e609","28","24","59","keep","1127.4","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_047_std_28x24_shell.asset","Levels/037_hole_candidate_047_std_28x24_shell.asset"
"38","base","hole_candidate_051_std_28x28_lock","943f79282dee10141b8dd2103ac3cb56","28","28","76","check","1071","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_051_std_28x28_lock.asset","Levels/038_hole_candidate_051_std_28x28_lock.asset"
"39","base","hole_candidate_053_std_28x28_maze","fb83654f5ff93dc4eabe8425ef38b692","28","28","65","keep","1143.8","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_053_std_28x28_maze.asset","Levels/039_hole_candidate_053_std_28x28_maze.asset"
"40","base","hole_candidate_054_std_30x30_lock","99ad7d88ecea6db45868e2a7246b935f","30","30","84","check","1046.3","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_054_std_30x30_lock.asset","Levels/040_hole_candidate_054_std_30x30_lock.asset"
"41","base","hole_candidate_055_std_30x30_section","1ffd8d01a1d28a44886d892f63850b16","30","30","75","check","1020.9","chainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_055_std_30x30_section.asset","Levels/041_hole_candidate_055_std_30x30_section.asset"
"42","base","hole_candidate_057_tall_18x26_lock","0fdc751653356004d8a977ee7ca7f379","18","26","43","keep","1189.3","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset","Levels/042_hole_candidate_057_tall_18x26_lock.asset"
"43","base","hole_candidate_058_tall_18x26_section","cbf7398778e0d2b4da618201fb4b2383","18","26","42","keep","1144.8","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","Levels/043_hole_candidate_058_tall_18x26_section.asset"
"44","base","hole_candidate_059_tall_18x26_maze","d5fe82a7bf6e8be469676dcf5ea8bdce","18","26","39","keep","1129.4","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_059_tall_18x26_maze.asset","Levels/044_hole_candidate_059_tall_18x26_maze.asset"
"45","base","hole_candidate_060_tall_20x28_lock","0463b6f8e002198469d99e02cdbcc95a","20","28","51","keep","1132.4","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_060_tall_20x28_lock.asset","Levels/045_hole_candidate_060_tall_20x28_lock.asset"
"46","base","hole_candidate_062_tall_20x28_dense","fcf2104f62c57514ba42dac13faf46f3","20","28","47","keep","1120.7","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_062_tall_20x28_dense.asset","Levels/046_hole_candidate_062_tall_20x28_dense.asset"
"47","base","hole_candidate_063_tall_20x30_lock","d3f4d9b6532942f4eb4ce9c920de52e2","20","30","54","keep","1102.3","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_063_tall_20x30_lock.asset","Levels/047_hole_candidate_063_tall_20x30_lock.asset"
"48","base","hole_candidate_064_tall_20x30_section","3a70e3e5424bdce449efa768de979c2a","20","30","51","check","1116","open;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_064_tall_20x30_section.asset","Levels/048_hole_candidate_064_tall_20x30_section.asset"
"49","base","hole_candidate_065_tall_20x30_shell","f059d93a22df9b34c985c87162ae1486","20","30","64","check","1004.6","chainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_065_tall_20x30_shell.asset","Levels/049_hole_candidate_065_tall_20x30_shell.asset"
"50","base","hole_candidate_068_tall_28x30_dual","a1a23148a31ccb641a45a1379b4dfdb2","28","30","72","keep","1041.7","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_068_tall_28x30_dual.asset","Levels/050_hole_candidate_068_tall_28x30_dual.asset"
"51","base","hole_candidate_070_wide_26x22_section","e76946afe3d1c8e47bc35ced991a7daa","26","22","57","keep","1058.5","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_070_wide_26x22_section.asset","Levels/051_hole_candidate_070_wide_26x22_section.asset"
"52","base","hole_candidate_071_wide_26x22_maze","d1743a4404038a04b95e959571e83ee4","26","22","47","keep","1166.1","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_071_wide_26x22_maze.asset","Levels/052_hole_candidate_071_wide_26x22_maze.asset"
"53","base","hole_candidate_072_wide_28x22_lock","ede28484863beea439a9485d5d30706d","28","22","56","keep","1156.1","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_072_wide_28x22_lock.asset","Levels/053_hole_candidate_072_wide_28x22_lock.asset"
"54","base","hole_candidate_073_wide_28x22_section","583ec2c633150434aa3eab950646614e","28","22","58","keep","1107","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_073_wide_28x22_section.asset","Levels/054_hole_candidate_073_wide_28x22_section.asset"
"55","base","hole_candidate_074_wide_28x22_dense","ca201acf00435cf43ad0a8ddc1495a26","28","22","52","keep","1096.3","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_074_wide_28x22_dense.asset","Levels/055_hole_candidate_074_wide_28x22_dense.asset"
"56","base","hole_candidate_075_wide_30x24_lock","5b42d89ba19844a40a5b71f00a667801","30","24","68","check","1090.7","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_075_wide_30x24_lock.asset","Levels/056_hole_candidate_075_wide_30x24_lock.asset"
"57","base","hole_candidate_076_wide_30x24_section","bb125d71108c6c24895dbfc71f70ca18","30","24","73","check","1058.2","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_076_wide_30x24_section.asset","Levels/057_hole_candidate_076_wide_30x24_section.asset"
"58","base","hole_candidate_078_wide_30x26_lock","527f600a128a5b24384d787af1a44a16","30","26","72","keep","1112","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_078_wide_30x26_lock.asset","Levels/058_hole_candidate_078_wide_30x26_lock.asset"
"59","base","hole_candidate_080_wide_30x26_dual","83f43cff0278e734792b13025704177c","30","26","70","keep","1082.2","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_080_wide_30x26_dual.asset","Levels/059_hole_candidate_080_wide_30x26_dual.asset"
"60","base","hole_candidate_082_wide_30x28_section","8bff06cbeb3a7934da7bae84fefc28c7","30","28","82","drop","1018","tooManyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_082_wide_30x28_section.asset","Levels/060_hole_candidate_082_wide_30x28_section.asset"
"61","base","hole_candidate_085_wide_32x24_section","d6476dddc95ab8141b253e1ad711a29c","32","24","72","keep","1057.5","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_085_wide_32x24_section.asset","Levels/061_hole_candidate_085_wide_32x24_section.asset"
"62","base","hole_candidate_086_wide_32x24_dense","85a4d8d7e9000c44c8d0c66e74189d1f","32","24","80","check","1052.8","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_086_wide_32x24_dense.asset","Levels/062_hole_candidate_086_wide_32x24_dense.asset"
"63","base","hole_candidate_088_wide_32x26_section","f66a843edd816be4aa95180be64d6538","32","26","73","keep","1046.9","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_088_wide_32x26_section.asset","Levels/063_hole_candidate_088_wide_32x26_section.asset"
"64","base","hole_candidate_091_wide_32x28_section","5091f891c3284eb4fae750d8351c53ad","32","28","88","drop","1023.3","tooManyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_091_wide_32x28_section.asset","Levels/064_hole_candidate_091_wide_32x28_section.asset"
"65","base","hole_candidate_092_wide_32x28_dual","d0d9b1c5c516d444da8d22e40ce6bcbf","32","28","85","drop","1029","tooManyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_092_wide_32x28_dual.asset","Levels/065_hole_candidate_092_wide_32x28_dual.asset"
"66","base","hole_candidate_093_wide_32x30_lock","c50c5f3796d61cd4aa99a124158f4246","32","30","105","drop","945.7","tooManyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_093_wide_32x30_lock.asset","Levels/066_hole_candidate_093_wide_32x30_lock.asset"
"67","base","hole_candidate_094_wide_32x30_section","2521b12dd00780c4bbd9aa93066f1f8e","32","30","80","check","999.6","chainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_094_wide_32x30_section.asset","Levels/067_hole_candidate_094_wide_32x30_section.asset"
"68","base","hole_candidate_096_wide_34x26_lock","8aa78bbfc7b1cf34da7b8b001bf9d3c6","34","26","79","keep","1050.6","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_096_wide_34x26_lock.asset","Levels/068_hole_candidate_096_wide_34x26_lock.asset"
"69","base","hole_candidate_097_wide_34x26_section","4417043c2a490234ea3dd51a4241d1d7","34","26","91","drop","971.5","tooManyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_097_wide_34x26_section.asset","Levels/069_hole_candidate_097_wide_34x26_section.asset"
"70","base","hole_candidate_101_wide_34x28_shell","2108406254a7548408a49a2669086551","34","28","81","keep","1126.5","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_101_wide_34x28_shell.asset","Levels/070_hole_candidate_101_wide_34x28_shell.asset"
"71","base","hole_candidate_103_notch_24x28_section_b","38405aacbdfa0664fb7bbc3f86513886","24","28","62","keep","1037.5","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_103_notch_24x28_section_b.asset","Levels/071_hole_candidate_103_notch_24x28_section_b.asset"
"72","topup","hole_topup_001_topup_tall_18x26_dense","2a8cbd13e1efdce4eb2756001da378ac","18","26","43","keep","1179.2","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset","Levels/072_hole_topup_001_topup_tall_18x26_dense.asset"
"73","topup","hole_topup_002_topup_tall_18x26_dual","dae156632e21fcb47bc534eb6a18a3f5","18","26","57","check","983.3","chainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_002_topup_tall_18x26_dual.asset","Levels/073_hole_topup_002_topup_tall_18x26_dual.asset"
"74","topup","hole_topup_003_topup_tall_18x26_maze","deb2eb4ac348d144bb445f126d334f07","18","26","40","check","1121.1","open;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_003_topup_tall_18x26_maze.asset","Levels/074_hole_topup_003_topup_tall_18x26_maze.asset"
"75","topup","hole_topup_004_topup_tall_18x26_shell","277df9408e454ff429c9305e5b86ebf2","18","26","40","drop","1152.3","lowCoverage;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_004_topup_tall_18x26_shell.asset","Levels/075_hole_topup_004_topup_tall_18x26_shell.asset"
"76","topup","hole_topup_005_topup_tall_20x28_dense","4a4fb64c2aa67c645870b24e4ca7bfc5","20","28","54","check","1098.6","open;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_005_topup_tall_20x28_dense.asset","Levels/076_hole_topup_005_topup_tall_20x28_dense.asset"
"77","topup","hole_topup_006_topup_tall_20x28_dual","7c2c4722c529bb741a655e8f5bedf778","20","28","60","check","1006.5","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_006_topup_tall_20x28_dual.asset","Levels/077_hole_topup_006_topup_tall_20x28_dual.asset"
"78","topup","hole_topup_007_topup_tall_20x28_maze","d59b666ae100e1041821fbc49cfee75b","20","28","57","check","996.2","chainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_007_topup_tall_20x28_maze.asset","Levels/078_hole_topup_007_topup_tall_20x28_maze.asset"
"79","topup","hole_topup_012_topup_tall_20x30_shell","a56ed2dbce570fe41922aeda86611a58","20","30","52","keep","1113.1","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset","Levels/079_hole_topup_012_topup_tall_20x30_shell.asset"
"80","topup","hole_topup_013_topup_tall_28x30_dense","49ef5b37079862f44b1752c46bbd87b0","28","30","79","check","1017","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_013_topup_tall_28x30_dense.asset","Levels/080_hole_topup_013_topup_tall_28x30_dense.asset"
"81","topup","hole_topup_015_topup_tall_28x30_maze","bfca5880ed6dd6a47867af5967afd39a","28","30","83","check","915.7","manyShort;chainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_015_topup_tall_28x30_maze.asset","Levels/081_hole_topup_015_topup_tall_28x30_maze.asset"
"82","topup","hole_topup_016_topup_tall_28x30_shell","9652e6ca4a4f40941b1cc3fa0b22b06a","28","30","75","keep","1086.8","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_016_topup_tall_28x30_shell.asset","Levels/082_hole_topup_016_topup_tall_28x30_shell.asset"
"83","topup","hole_topup_017_topup_std_22x26_dense","720822535315fd54db31dc43d39e5379","22","26","52","keep","1092.9","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_017_topup_std_22x26_dense.asset","Levels/083_hole_topup_017_topup_std_22x26_dense.asset"
"84","topup","hole_topup_018_topup_std_22x26_dual","f185fb04af393d4439c41dfb29c54f47","22","26","49","keep","1142.5","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset","Levels/084_hole_topup_018_topup_std_22x26_dual.asset"
"85","topup","hole_topup_022_topup_std_22x28_maze","b16866e9afaeb8248a502d630f11f642","22","28","57","keep","1049.5","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_022_topup_std_22x28_maze.asset","Levels/085_hole_topup_022_topup_std_22x28_maze.asset"
"86","topup","hole_topup_024_topup_std_24x28_dual","3133aa38fc0c6b24292669ea171fe789","24","28","55","keep","1120.1","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_024_topup_std_24x28_dual.asset","Levels/086_hole_topup_024_topup_std_24x28_dual.asset"
"87","topup","hole_topup_025_topup_std_24x28_maze","23eed199cbf0b6b46872faed2b7da3bb","24","28","62","keep","1062.4","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_025_topup_std_24x28_maze.asset","Levels/087_hole_topup_025_topup_std_24x28_maze.asset"
"88","topup","hole_topup_026_topup_std_24x30_dense","e4f383dcb156b54449c332bfd5e6b9b0","24","30","67","keep","1083.2","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_026_topup_std_24x30_dense.asset","Levels/088_hole_topup_026_topup_std_24x30_dense.asset"
"89","topup","hole_topup_030_topup_std_26x26_dual","9e73faad266f64a4987c09abb4c526bb","26","26","61","keep","1081.9","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_030_topup_std_26x26_dual.asset","Levels/089_hole_topup_030_topup_std_26x26_dual.asset"
"90","topup","hole_topup_031_topup_std_26x26_maze","699611b0fa183a04198bda259d76fb1c","26","26","63","keep","1050.9","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_031_topup_std_26x26_maze.asset","Levels/090_hole_topup_031_topup_std_26x26_maze.asset"
"91","topup","hole_topup_033_topup_std_26x28_dual","fa6b5f7b1cffe854d94b0bde7a756df2","26","28","65","keep","1131","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_033_topup_std_26x28_dual.asset","Levels/091_hole_topup_033_topup_std_26x28_dual.asset"
"92","topup","hole_topup_034_topup_std_26x28_maze","0c7860f687dab9d49b82f68c4f560a31","26","28","70","check","1024.2","chainDrift;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_034_topup_std_26x28_maze.asset","Levels/092_hole_topup_034_topup_std_26x28_maze.asset"
"93","topup","hole_topup_035_topup_std_28x28_dense","fed955dde5600674f893e457b0be1dfe","28","28","82","check","1065.8","manyShort;","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_035_topup_std_28x28_dense.asset","Levels/093_hole_topup_035_topup_std_28x28_dense.asset"
