order,关卡类型,难度,campaignType,chains,width,height,theme,subtheme,shapeRole,difficultyBand,maskName,displayShapeId,maskWidth,maskHeight,maskArea,maskCoverage,maskFill,levelId,sourceAsset,exportAsset,shapeSourceAsset,suggestedRevealPng,suggestedThumbPng,suggestedNameKey
53,普通,1,shape_space,86,30,42,Space,sci-fi,vehicle,main,MainRocketTall,shape_main_rocket_tall,30,42,620,0.492,0.981,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset,Levels/053_shape_space_r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset,Art/ShapeReveal/shape_main_rocket_tall.png,Art/ShapeRevealThumb/shape_main_rocket_tall_thumb.png,shape.name.shape_main_rocket_tall
58,普通,1,shape_symbol,87,30,42,Symbol,letters-symbols,symbol,main,MainDistinctPuzzleTall,shape_main_distinct_puzzle_tall,30,42,661,0.525,0.988,r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset,Levels/058_shape_symbol_r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzl.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset,Art/ShapeReveal/shape_main_distinct_puzzle_tall.png,Art/ShapeRevealThumb/shape_main_distinct_puzzle_tall_thumb.png,shape.name.shape_main_distinct_puzzle_tall
63,普通,1,shape_nature,90,32,42,Nature,plants-creatures,natural,main,MainLeaf09Tall,shape_main_leaf09_tall,32,42,747,0.556,0.98,r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828.asset,Levels/063_shape_nature_r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828.asset,Art/ShapeReveal/shape_main_leaf09_tall.png,Art/ShapeRevealThumb/shape_main_leaf09_tall_thumb.png,shape.name.shape_main_leaf09_tall
67,普通,1,shape_symbol,86,30,40,Symbol,letters-symbols,symbol,main,MainStarTall,shape_main_star_tall,30,40,630,0.525,0.97,r2_outer_strong_005_r2_006_a401_procmask_19_onion_maskproceduralvertical_30x40-mainstartall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510.asset,Levels/067_shape_symbol_r2_outer_strong_005_r2_006_a401_procmask_19_onion_maskproceduralvertical_30x40-mainstartall.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510.asset,Art/ShapeReveal/shape_main_star_tall.png,Art/ShapeRevealThumb/shape_main_star_tall_thumb.png,shape.name.shape_main_star_tall
73,普通,1,shape_symbol,90,28,42,Symbol,letters-symbols,symbol,main,MainDistinctCrescentTall,shape_main_distinct_crescent_tall,28,42,650,0.553,0.98,r2_outer_strong_005_r2_006_a401_procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall_20260611_111431.asset,Levels/073_shape_symbol_r2_outer_strong_005_r2_006_a401_procmask_92_onion_maskproceduralvertical_28x42-maindistinctcresc.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall_20260611_111431.asset,Art/ShapeReveal/shape_main_distinct_crescent_tall.png,Art/ShapeRevealThumb/shape_main_distinct_crescent_tall_thumb.png,shape.name.shape_main_distinct_crescent_tall
78,普通,1,shape_music,92,28,42,Music,stage,object,main,MainDistinctMusicNoteTall,shape_main_distinct_music_note_tall,28,42,671,0.571,0.981,r2_outer_strong_005_r2_006_a401_procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall_20260611_111451.asset,Levels/078_shape_music_r2_outer_strong_005_r2_006_a401_procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusic.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall_20260611_111451.asset,Art/ShapeReveal/shape_main_distinct_music_note_tall.png,Art/ShapeRevealThumb/shape_main_distinct_music_note_tall_thumb.png,shape.name.shape_main_distinct_music_note_tall
83,普通,1,shape_symbol,91,30,40,Symbol,letters-symbols,symbol,main,MainHeartTall,shape_main_heart_tall,30,40,678,0.565,0.984,r2_outer_strong_005_r2_006_a401_procmask_11_onion_maskproceduralvertical_30x40-mainhearttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_11_onion_maskproceduralvertical_30x40-mainhearttall_20260611_110447.asset,Levels/083_shape_symbol_r2_outer_strong_005_r2_006_a401_procmask_11_onion_maskproceduralvertical_30x40-mainhearttall.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_11_onion_maskproceduralvertical_30x40-mainhearttall_20260611_110447.asset,Art/ShapeReveal/shape_main_heart_tall.png,Art/ShapeRevealThumb/shape_main_heart_tall_thumb.png,shape.name.shape_main_heart_tall
87,普通,1,shape_object,95,30,40,Art,studio,object,main,MainPaintPaletteTall,shape_main_paint_palette_tall,30,40,879,0.733,0.98,r2_outer_strong_005_r2_006_a401_procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall_20260611_110916.asset,Levels/087_shape_object_r2_outer_strong_005_r2_006_a401_procmask_46_long_maskproceduralvertical_30x40-mainpaintpaletteta.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall_20260611_110916.asset,Art/ShapeReveal/shape_main_paint_palette_tall.png,Art/ShapeRevealThumb/shape_main_paint_palette_tall_thumb.png,shape.name.shape_main_paint_palette_tall
93,普通,1,shape_symbol,92,28,42,Symbol,letters-symbols,symbol,main,MainLightningTall,shape_main_lightning_tall,28,42,648,0.551,0.974,r2_outer_strong_005_r2_006_a401_procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall_20260611_110450.asset,Levels/093_shape_symbol_r2_outer_strong_005_r2_006_a401_procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall_20260611_110450.asset,Art/ShapeReveal/shape_main_lightning_tall.png,Art/ShapeRevealThumb/shape_main_lightning_tall_thumb.png,shape.name.shape_main_lightning_tall
98,普通,1,shape_music,94,28,42,Music,stage,object,main,MainMicrophoneTall,shape_main_microphone_tall,28,42,776,0.660,0.987,r2_outer_strong_005_r2_006_a401_procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall_20260611_110914.asset,Levels/098_shape_music_r2_outer_strong_005_r2_006_a401_procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall_20260611_110914.asset,Art/ShapeReveal/shape_main_microphone_tall.png,Art/ShapeRevealThumb/shape_main_microphone_tall_thumb.png,shape.name.shape_main_microphone_tall
103,普通,1,shape_ocean,93,30,42,Ocean,nautical,object,main,MainOceanDriftBottleTall,shape_main_ocean_drift_bottle_tall,30,42,661,0.525,0.977,r2_outer_strong_005_r2_006_a401_procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall_20260611_111240.asset,Levels/103_shape_ocean_r2_outer_strong_005_r2_006_a401_procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbot.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall_20260611_111240.asset,Art/ShapeReveal/shape_main_ocean_drift_bottle_tall.png,Art/ShapeRevealThumb/shape_main_ocean_drift_bottle_tall_thumb.png,shape.name.shape_main_ocean_drift_bottle_tall
108,普通,1,shape_symbol,93,28,42,Symbol,letters-symbols,symbol,main,MainDistinctDigit2Tall,shape_main_distinct_digit2_tall,28,42,656,0.558,0.985,r2_outer_strong_005_r2_006_a401_procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall_20260611_115702.asset,Levels/108_shape_symbol_r2_outer_strong_005_r2_006_a401_procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctd.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall_20260611_115702.asset,Art/ShapeReveal/shape_main_distinct_digit2_tall.png,Art/ShapeRevealThumb/shape_main_distinct_digit2_tall_thumb.png,shape.name.shape_main_distinct_digit2_tall
113,普通,1,shape_magic,98,28,42,Magic,academy,object,main,MainMagicRuneStoneTall,shape_main_magic_rune_stone_tall,28,42,827,0.703,0.987,r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall_20260611_111341.asset,Levels/113_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestone.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall_20260611_111341.asset,Art/ShapeReveal/shape_main_magic_rune_stone_tall.png,Art/ShapeRevealThumb/shape_main_magic_rune_stone_tall_thumb.png,shape.name.shape_main_magic_rune_stone_tall
118,普通,1,shape_ocean,96,30,44,Ocean,sea-creature,creature,main,MainDistinctJellyfishTall,shape_main_distinct_jellyfish_tall,30,44,830,0.629,0.984,r2_outer_strong_005_r2_006_a401_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall_20260611_111459.asset,Levels/118_shape_ocean_r2_outer_strong_005_r2_006_a401_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyf.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall_20260611_111459.asset,Art/ShapeReveal/shape_main_distinct_jellyfish_tall.png,Art/ShapeRevealThumb/shape_main_distinct_jellyfish_tall_thumb.png,shape.name.shape_main_distinct_jellyfish_tall
123,普通,1,shape_magic,92,30,42,Magic,creature,creature,main,MainMagicDragonEggTall,shape_main_magic_dragon_egg_tall,30,42,820,0.651,0.982,r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall_20260611_111354.asset,Levels/123_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragonegg.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall_20260611_111354.asset,Art/ShapeReveal/shape_main_magic_dragon_egg_tall.png,Art/ShapeRevealThumb/shape_main_magic_dragon_egg_tall_thumb.png,shape.name.shape_main_magic_dragon_egg_tall
127,普通,1,shape_character,99,30,42,Character,animals-mascots,character,main,MainOwlTall,shape_main_owl_tall,30,42,872,0.692,0.976,r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820.asset,Levels/127_shape_character_r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820.asset,Art/ShapeReveal/shape_main_owl_tall.png,Art/ShapeRevealThumb/shape_main_owl_tall_thumb.png,shape.name.shape_main_owl_tall
133,普通,1,shape_magic,95,30,42,Magic,adventure-relic,object,main,MainKnightMascotTall,shape_main_knight_mascot_tall,30,42,699,0.555,0.964,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset,Levels/133_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascott.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset,Art/ShapeReveal/shape_main_knight_mascot_tall.png,Art/ShapeRevealThumb/shape_main_knight_mascot_tall_thumb.png,shape.name.shape_main_knight_mascot_tall
138,普通,1,shape_space,96,30,42,Space,sci-fi,vehicle,main,MainSpaceCometIconTall,shape_main_space_comet_icon_tall,30,42,677,0.537,0.982,r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset,Levels/138_shape_space_r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometi.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset,Art/ShapeReveal/shape_main_space_comet_icon_tall.png,Art/ShapeRevealThumb/shape_main_space_comet_icon_tall_thumb.png,shape.name.shape_main_space_comet_icon_tall
143,普通,1,shape_magic,91,30,42,Magic,academy,object,main,MainMagicHatTall,shape_main_magic_hat_tall,30,42,689,0.547,0.98,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset,Levels/143_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset,Art/ShapeReveal/shape_main_magic_hat_tall.png,Art/ShapeRevealThumb/shape_main_magic_hat_tall_thumb.png,shape.name.shape_main_magic_hat_tall
147,普通,1,shape_landmark,101,30,44,Landmark,architecture,landmark,main,MainLibertyStatueTall,shape_main_liberty_statue_tall,30,44,829,0.628,0.979,r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset,Levels/147_shape_landmark_r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuet.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset,Art/ShapeReveal/shape_main_liberty_statue_tall.png,Art/ShapeRevealThumb/shape_main_liberty_statue_tall_thumb.png,shape.name.shape_main_liberty_statue_tall
