chainId,orderForward,color,headX,headY,dir,length,cells
25,,1,14,28,D,9,14:28;14:29;14:30;13:30;12:30;11:30;10:30;9:30;8:30
26,,2,12,6,L,6,12:6;13:6;14:6;14:7;14:8;14:9
27,,3,10,24,D,8,10:24;10:25;10:26;10:27;10:28;9:28;8:28;7:28
28,,4,12,13,D,6,12:13;12:14;12:15;13:15;14:15;15:15
29,,5,20,8,L,12,20:8;21:8;22:8;22:7;22:6;22:5;21:5;21:6;21:7;20:7;20:6;20:5
30,,6,13,23,D,6,13:23;13:24;13:25;14:25;15:25;16:25
31,,7,1,6,U,8,1:6;1:5;1:4;1:3;2:3;3:3;3:4;2:4
32,,0,20,3,L,12,20:3;21:3;22:3;22:2;22:1;22:0;21:0;20:0;20:1;21:1;21:2;20:2
33,,1,16,10,D,6,16:10;16:11;16:12;16:13;15:13;14:13
34,,2,11,5,L,8,11:5;12:5;13:5;14:5;15:5;15:6;15:7;15:8
35,,3,21,28,U,6,21:28;21:27;21:26;21:25;20:25;19:25
36,,4,22,29,R,6,22:29;21:29;20:29;20:28;20:27;20:26
37,,0,22,31,R,7,22:31;21:31;21:32;20:32;19:32;19:33;20:33
38,,3,23,29,D,7,23:29;23:30;23:31;23:32;22:32;22:33;23:33
39,,2,23,17,D,6,23:17;23:18;22:18;22:19;23:19;23:20
40,,4,23,3,D,6,23:3;23:4;22:4;21:4;20:4;19:4
41,,6,2,2,L,8,2:2;3:2;3:1;3:0;4:0;5:0;6:0;7:0
42,,5,1,1,D,5,1:1;1:2;0:2;0:1;0:0
43,,3,23,0,D,3,23:0;23:1;23:2
44,,3,5,16,L,10,5:16;6:16;7:16;8:16;9:16;10:16;10:15;11:15;11:14;11:13
45,,4,2,15,L,7,2:15;3:15;3:16;2:16;1:16;0:16;0:17
46,,4,0,15,L,5,0:15;1:15;1:14;2:14;2:13
47,,7,11,3,D,5,11:3;11:4;12:4;13:4;14:4
48,,4,11,1,D,8,11:1;11:2;12:2;12:1;13:1;14:1;15:1;15:2
49,,1,17,3,D,10,17:3;17:4;17:5;16:5;16:6;16:7;17:7;18:7;18:6;18:5
50,,5,19,0,D,7,19:0;19:1;19:2;18:2;18:1;17:1;16:1
51,,0,3,9,L,7,3:9;4:9;4:10;5:10;5:9;6:9;6:8
52,,5,0,11,L,7,0:11;1:11;1:10;1:9;2:9;2:8;3:8
53,,0,8,0,D,6,8:0;8:1;9:1;10:1;10:0;11:0
54,,1,23,16,R,9,23:16;22:16;22:17;21:17;20:17;19:17;18:17;18:18;18:19
55,,7,1,23,U,11,1:23;1:22;2:22;2:21;3:21;4:21;4:20;4:19;5:19;5:18;4:18
56,,7,2,28,L,7,2:28;3:28;3:29;3:30;2:30;2:29;1:29
57,,1,0,29,U,8,0:29;0:28;1:28;1:27;2:27;3:27;4:27;4:28
58,,7,0,32,L,8,0:32;1:32;2:32;3:32;4:32;5:32;5:33;4:33
59,,0,1,26,L,9,1:26;2:26;3:26;3:25;2:25;2:24;1:24;0:24;0:23
60,,2,18,31,U,6,18:31;18:30;19:30;20:30;21:30;22:30
61,,2,14,33,U,7,14:33;14:32;15:32;15:33;16:33;17:33;18:33
62,4,7,23,21,R,7,23:21;22:21;22:20;21:20;21:19;20:19;20:18
63,3,1,4,31,L,5,4:31;5:31;5:30;4:30;4:29
64,2,6,13,33,U,3,13:33;13:32;12:32
65,1,0,9,33,U,3,9:33;9:32;8:32
66,0,6,2,0,D,2,2:0;2:1
