"section10","targetNormalSlots","hardGateReplacements","missingTargetSlots","lanes","chainLanguages"
"24","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"25","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"26","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"27","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"28","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"29","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"30","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"31","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"32","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"33","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"34","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"35","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"36","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"37","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"38","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"39","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"40","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"41","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"42","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"43","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"44","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"45","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"46","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"47","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"48","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"49","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
"50","200","145","55",":21;FlowCurve:11;FlowPatch:11;FlowRail:11;NeutralMixed:41;PeelHard:8;PeelLight:8;PeelMid:20;PressurePeak:14",":21;curve_chain:23;mixed_chain:55;patch_chain:11;rail_chain:35"
