"order","section10","mainMissionId","levelName","roleInSection","originalDifficultyNameZh","productionLane","productionChainLanguage","productionDifficultyBand","plannedWidth","plannedHeight","targetChains","reason"
"231","24","331","Main/Level_Main_231","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","22","30","103","no_strict_candidate_by_0910_timebox"
"239","24","339","Main/Level_Main_239","Peak","极难","PressurePeak","mixed_chain","Peak","26","34","171","excluded_by_current_hardgate:local"
"248","25","348","Main/Level_Main_248","NormalA_FlowOrNeutral","普通/恢复","FlowCurve","curve_chain","NormalFlow","20","27","102","no_strict_candidate_by_0910_timebox"
"252","26","352","Main/Level_Main_252","Hard","特别困难","PeelMid","rail_chain","Hard","25","33","147","no_strict_candidate_by_0910_timebox"
"254","26","354","Main/Level_Main_254","NormalA_FlowOrNeutral","普通/恢复","FlowRail","rail_chain","NormalFlow","20","27","101","excluded_by_current_hardgate:nearOuter"
"264","27","364","Main/Level_Main_264","Hard","特别困难","PeelMid","rail_chain","Hard","25","33","157","excluded_by_current_hardgate:local"
"274","28","374","Main/Level_Main_274","Hard","特别困难","PeelMid","curve_chain","Hard","23","31","131","no_strict_candidate_by_0910_timebox"
"299","30","399","Main/Level_Main_299","Peak","极难","PressurePeak","mixed_chain","Peak","26","34","178","no_strict_candidate_by_0910_timebox"
"302","31","402","Main/Level_Main_302","NormalA_FlowOrNeutral","普通/恢复","FlowCurve","curve_chain","NormalFlow","20","27","102","no_strict_candidate_by_0910_timebox"
"312","32","412","Main/Level_Main_312","Hard","特别困难","PeelMid","rail_chain","Hard","23","31","134","no_strict_candidate_by_0910_timebox"
"324","33","424","Main/Level_Main_324","Hard","特别困难","PeelMid","rail_chain","Hard","25","33","174","excluded_by_current_hardgate:sts|collapse"
"326","33","426","Main/Level_Main_326","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","22","30","104","no_strict_candidate_by_0910_timebox"
"331","34","431","Main/Level_Main_331","Hard","困难","PeelMid","curve_chain","Hard","25","33","147","no_strict_candidate_by_0910_timebox"
"341","35","441","Main/Level_Main_341","Hard","困难","PeelMid","curve_chain","Hard","25","33","154","no_strict_candidate_by_0910_timebox"
"347","35","447","Main/Level_Main_347","Peak","极难","PressurePeak","mixed_chain","Peak","26","34","189","excluded_by_current_hardgate:sts"
"352","36","452","Main/Level_Main_352","Hard","特别困难","PeelMid","rail_chain","Hard","25","33","154","excluded_by_current_hardgate:sts"
"359","36","459","Main/Level_Main_359","Peak","极难","PressurePeak","mixed_chain","Peak","26","34","176","no_strict_candidate_by_0910_timebox"
"372","38","472","Main/Level_Main_372","Hard","困难","PeelMid","curve_chain","Hard","25","33","147","no_strict_candidate_by_0910_timebox"
"389","39","489","Main/Level_Main_389","Peak","极难","PressurePeak","mixed_chain","Peak","26","34","181","no_strict_candidate_by_0910_timebox"
"390","39","490","Main/Level_Main_390","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","24","32","136","excluded_by_current_hardgate:collapse"
"396","40","496","Main/Level_Main_396","Peak","极难","PressurePeak","mixed_chain","Peak","26","34","174","excluded_by_current_hardgate:nearOuter|sts|collapse"
"397","40","497","Main/Level_Main_397","NormalA_FlowOrNeutral","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","22","30","105","no_strict_candidate_by_0910_timebox"
"412","42","512","Main/Level_Main_412","Hard","特别困难","PeelMid","rail_chain","Hard","25","33","158","excluded_by_current_hardgate:sts"
"419","42","519","Main/Level_Main_419","Peak","极难","LongChainProbe","rail_chain","PeakReview","26","34","203","no_strict_candidate_by_0910_timebox"
"425","43","525","Main/Level_Main_425","Peak","极难","LongChainProbe","patch_chain","PeakReview","27","36","213","no_strict_candidate_by_0910_timebox"
"429","43","529","Main/Level_Main_429","Hard","特别困难","PeelMid","rail_chain","Hard","26","35","205","excluded_by_current_hardgate:local"
"431","44","531","Main/Level_Main_431","NormalA_FlowOrNeutral","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","22","30","112","excluded_by_current_hardgate:sts"
"432","44","532","Main/Level_Main_432","Hard","困难","PeelMid","rail_chain","Hard","25","33","164","excluded_by_current_hardgate:sts"
"436","44","536","Main/Level_Main_436","Peak","极难","LongChainProbe","curve_chain","PeakReview","26","34","194","no_strict_candidate_by_0910_timebox"
"441","45","541","Main/Level_Main_441","NormalA_FlowOrNeutral","普通/恢复","FlowPatch","patch_chain","NormalFlow","20","27","105","excluded_by_current_hardgate:sts"
"446","45","546","Main/Level_Main_446","NormalB_NeutralOrPeelLight","普通/恢复","PeelLight","curve_chain","NormalPeelLight","22","30","136","excluded_by_current_hardgate:local"
"449","45","549","Main/Level_Main_449","Peak","极难","LongChainProbe","rail_chain","PeakReview","26","34","181","no_strict_candidate_by_0910_timebox"
"456","46","556","Main/Level_Main_456","Peak","极难","LongChainProbe","patch_chain","PeakReview","27","36","224","no_strict_candidate_by_0910_timebox"
"462","47","562","Main/Level_Main_462","NormalB_NeutralOrPeelLight","普通/恢复","PeelLight","curve_chain","NormalPeelLight","22","30","135","excluded_by_current_hardgate:sts|collapse"
"465","47","565","Main/Level_Main_465","Peak","特别困难","LongChainProbe","curve_chain","PeakReview","27","36","213","no_strict_candidate_by_0910_timebox"
"469","47","569","Main/Level_Main_469","Hard","困难","PeelMid","curve_chain","Hard","25","33","160","excluded_by_current_hardgate:local"
"475","48","575","Main/Level_Main_475","Hard","困难","PeelMid","rail_chain","Hard","26","35","195","excluded_by_current_hardgate:sts|collapse"
"479","48","579","Main/Level_Main_479","Peak","极难","LongChainProbe","rail_chain","PeakReview","26","34","185","no_strict_candidate_by_0910_timebox"
"485","49","585","Main/Level_Main_485","Peak","特别困难","LongChainProbe","patch_chain","PeakReview","26","34","189","no_strict_candidate_by_0910_timebox"
"489","49","589","Main/Level_Main_489","Hard","普通/恢复","PeelMid","rail_chain","Hard","23","31","108","excluded_by_current_hardgate:sts|collapse"
"500","50","600","Main/Level_Main_500","Peak","特别困难","LongChainProbe","curve_chain","PeakReview","26","34","200","no_strict_candidate_by_0910_timebox"
