"sourceKey","family","hardGatePass","rejectReasons","levelId","assetPath","sourceCoverage","maxChoices","local","nearOuter","sts","collapse","axis","dir"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s2_v1_39_nutation_longchain_patch_v1_rect_c80hf2_10_d2_section_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_39_nutation_longchain_patch_v1_rect_c80hf2_10_d2_section_patch.asset","0.947","9","6","6","0.867","0.22","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch.asset","0.955","11","6","4","0.859","0.183","6","5"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s2_v1_60_nutation_longchain_spine_v1_rect_c80hf2_15_d3_section_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_60_nutation_longchain_spine_v1_rect_c80hf2_15_d3_section_spine.asset","0.956","10","7","4","0.852","0.27","9","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s2_v1_62_nutation_longchain_rail_v1_rect_c80hf2_16_d3_lock_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_62_nutation_longchain_rail_v1_rect_c80hf2_16_d3_lock_rail.asset","0.956","11","7","4","0.853","0.255","9","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_03_nutation_longchain_patch_v1_rect_c80hf3_01_d1_lock_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_03_nutation_longchain_patch_v1_rect_c80hf3_01_d1_lock_patch.asset","0.95","11","6","6","0.842","0.128","4","4"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_04_nutation_longchain_spine_v1_rect_c80hf3_01_d1_lock_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_04_nutation_longchain_spine_v1_rect_c80hf3_01_d1_lock_spine.asset","0.95","7","3","3","0.917","0.137","5","5"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_05_nutation_longchain_curve_v1_rect_c80hf3_02_d1_maze_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_05_nutation_longchain_curve_v1_rect_c80hf3_02_d1_maze_curve.asset","0.947","9","5","3","0.889","0.185","9","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_06_nutation_longchain_rail_v1_rect_c80hf3_02_d1_maze_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_06_nutation_longchain_rail_v1_rect_c80hf3_02_d1_maze_rail.asset","0.951","7","6","2","0.903","0.085","5","5"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_08_nutation_longchain_spine_v1_rect_c80hf3_02_d1_maze_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_08_nutation_longchain_spine_v1_rect_c80hf3_02_d1_maze_spine.asset","0.95","8","6","3","0.848","0.257","8","8"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_09_nutation_longchain_curve_v1_rect_c80hf3_03_d1_weave_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_09_nutation_longchain_curve_v1_rect_c80hf3_03_d1_weave_curve.asset","0.947","9","5","5","0.918","0.101","7","4"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_11_nutation_longchain_patch_v1_rect_c80hf3_03_d1_weave_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_11_nutation_longchain_patch_v1_rect_c80hf3_03_d1_weave_patch.asset","0.948","10","6","6","0.884","0.164","6","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_16_nutation_longchain_spine_v1_rect_c80hf3_04_d1_core_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_16_nutation_longchain_spine_v1_rect_c80hf3_04_d1_core_spine.asset","0.947","7","3","3","0.831","0.177","8","4"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_19_nutation_longchain_patch_v1_rect_c80hf3_05_d1_section_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_19_nutation_longchain_patch_v1_rect_c80hf3_05_d1_section_patch.asset","0.952","9","5","4","0.853","0.253","8","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_20_nutation_longchain_spine_v1_rect_c80hf3_05_d1_section_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_20_nutation_longchain_spine_v1_rect_c80hf3_05_d1_section_spine.asset","0.947","6","5","5","0.893","0.173","6","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_24_nutation_longchain_spine_v1_rect_c80hf3_06_d2_lock_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_24_nutation_longchain_spine_v1_rect_c80hf3_06_d2_lock_spine.asset","0.946","9","7","3","0.889","0.102","4","4"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_25_nutation_longchain_curve_v1_rect_c80hf3_07_d2_maze_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_25_nutation_longchain_curve_v1_rect_c80hf3_07_d2_maze_curve.asset","0.948","9","6","5","0.862","0.23","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_26_nutation_longchain_rail_v1_rect_c80hf3_07_d2_maze_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_26_nutation_longchain_rail_v1_rect_c80hf3_07_d2_maze_rail.asset","0.955","11","4","3","0.913","0.155","7","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_28_nutation_longchain_spine_v1_rect_c80hf3_07_d2_maze_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_28_nutation_longchain_spine_v1_rect_c80hf3_07_d2_maze_spine.asset","0.949","10","3","3","0.842","0.251","9","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_45_nutation_longchain_curve_v1_rect_c80hf3_12_d3_maze_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_45_nutation_longchain_curve_v1_rect_c80hf3_12_d3_maze_curve.asset","0.955","8","7","3","0.84","0.235","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_60_nutation_longchain_spine_v1_rect_c80hf3_15_d3_section_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_60_nutation_longchain_spine_v1_rect_c80hf3_15_d3_section_spine.asset","0.955","10","5","2","0.877","0.19","8","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_s3_v1_64_nutation_longchain_spine_v1_rect_c80hf3_16_d3_lock_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_64_nutation_longchain_spine_v1_rect_c80hf3_16_d3_lock_spine.asset","0.955","10","6","5","0.834","0.26","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_01_nutation_longchain_curve_v1_rect_c80hf_01_d1_lock_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_01_nutation_longchain_curve_v1_rect_c80hf_01_d1_lock_curve.asset","0.948","8","3","3","0.887","0.19","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_02_nutation_longchain_rail_v1_rect_c80hf_01_d1_lock_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_02_nutation_longchain_rail_v1_rect_c80hf_01_d1_lock_rail.asset","0.956","7","6","3","0.875","0.206","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch.asset","0.948","8","5","5","0.833","0.184","6","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_04_nutation_longchain_spine_v1_rect_c80hf_01_d1_lock_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_04_nutation_longchain_spine_v1_rect_c80hf_01_d1_lock_spine.asset","0.95","6","5","5","0.862","0.248","8","8"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_06_nutation_longchain_rail_v1_rect_c80hf_02_d1_maze_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_06_nutation_longchain_rail_v1_rect_c80hf_02_d1_maze_rail.asset","0.945","9","4","4","0.921","0.101","5","5"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_08_nutation_longchain_spine_v1_rect_c80hf_02_d1_maze_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_08_nutation_longchain_spine_v1_rect_c80hf_02_d1_maze_spine.asset","0.948","9","6","6","0.881","0.216","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_11_nutation_longchain_patch_v1_rect_c80hf_03_d1_weave_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_11_nutation_longchain_patch_v1_rect_c80hf_03_d1_weave_patch.asset","0.948","10","4","4","0.903","0.204","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_12_nutation_longchain_spine_v1_rect_c80hf_03_d1_weave_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_12_nutation_longchain_spine_v1_rect_c80hf_03_d1_weave_spine.asset","0.947","7","5","5","0.885","0.151","5","5"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch.asset","0.946","10","4","4","0.907","0.141","6","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine.asset","0.946","8","4","3","0.848","0.261","8","8"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_17_nutation_longchain_curve_v1_rect_c80hf_05_d1_section_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_17_nutation_longchain_curve_v1_rect_c80hf_05_d1_section_curve.asset","0.947","8","5","3","0.899","0.073","4","4"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_18_nutation_longchain_rail_v1_rect_c80hf_05_d1_section_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_18_nutation_longchain_rail_v1_rect_c80hf_05_d1_section_rail.asset","0.953","10","7","2","0.892","0.124","5","5"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_20_nutation_longchain_spine_v1_rect_c80hf_05_d1_section_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_20_nutation_longchain_spine_v1_rect_c80hf_05_d1_section_spine.asset","0.949","9","5","3","0.943","0.096","5","5"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_21_nutation_longchain_curve_v1_rect_c80hf_06_d2_lock_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_21_nutation_longchain_curve_v1_rect_c80hf_06_d2_lock_curve.asset","0.946","9","6","3","0.825","0.25","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_22_nutation_longchain_rail_v1_rect_c80hf_06_d2_lock_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_22_nutation_longchain_rail_v1_rect_c80hf_06_d2_lock_rail.asset","0.954","10","5","5","0.852","0.25","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_26_nutation_longchain_rail_v1_rect_c80hf_07_d2_maze_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_26_nutation_longchain_rail_v1_rect_c80hf_07_d2_maze_rail.asset","0.955","8","4","2","0.895","0.187","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_29_nutation_longchain_curve_v1_rect_c80hf_08_d2_weave_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_29_nutation_longchain_curve_v1_rect_c80hf_08_d2_weave_curve.asset","0.948","11","6","5","0.845","0.217","7","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine.asset","0.947","9","5","5","0.822","0.273","8","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_33_nutation_longchain_curve_v1_rect_c80hf_09_d2_core_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_33_nutation_longchain_curve_v1_rect_c80hf_09_d2_core_curve.asset","0.946","11","5","3","0.92","0.144","6","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_34_nutation_longchain_rail_v1_rect_c80hf_09_d2_core_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_34_nutation_longchain_rail_v1_rect_c80hf_09_d2_core_rail.asset","0.955","10","3","3","0.881","0.181","8","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_36_nutation_longchain_spine_v1_rect_c80hf_09_d2_core_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_36_nutation_longchain_spine_v1_rect_c80hf_09_d2_core_spine.asset","0.949","8","7","4","0.867","0.227","9","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_37_nutation_longchain_curve_v1_rect_c80hf_10_d2_section_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_37_nutation_longchain_curve_v1_rect_c80hf_10_d2_section_curve.asset","0.948","9","5","5","0.828","0.265","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_holefix_v1_44_nutation_longchain_spine_v1_rect_c80hf_11_d2_lock_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_44_nutation_longchain_spine_v1_rect_c80hf_11_d2_lock_spine.asset","0.954","9","5","3","0.849","0.174","6","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_v1_11_nutation_longchain_patch_v1_rect_c80_03_d1_weave_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_11_nutation_longchain_patch_v1_rect_c80_03_d1_weave_patch.asset","0.938","11","4","4","0.871","0.168","8","6"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_v1_21_nutation_longchain_curve_v1_rect_c80_06_d2_lock_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_21_nutation_longchain_curve_v1_rect_c80_06_d2_lock_curve.asset","0.933","8","6","6","0.858","0.178","6","5"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_v1_23_nutation_longchain_patch_v1_rect_c80_06_d2_lock_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_23_nutation_longchain_patch_v1_rect_c80_06_d2_lock_patch.asset","0.933","10","4","4","0.851","0.267","8","8"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_v1_27_nutation_longchain_patch_v1_rect_c80_07_d2_maze_patch","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_27_nutation_longchain_patch_v1_rect_c80_07_d2_maze_patch.asset","0.932","8","7","4","0.821","0.247","7","7"
"nutation_longchain_strict60","LongChain","True","","nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset","0.933","8","7","4","0.825","0.245","6","6"
