"order","sourceKind","reasons","levelId","path","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"239","strict152","local","c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain.asset","0.981","8","8","4","0.823","0.201","6","6"
"254","strict152","nearOuter","c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain.asset","0.991","8","7","7","0.845","0.218","7","7"
"264","strict152","local","c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain.asset","0.983","10","8","2","0.846","0.191","7","5"
"324","strict152","sts|collapse","c5nep_w12b_21_nutation_strict_mixed_hard_v1_rect_s33_o324_v04_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_21_nutation_strict_mixed_hard_v1_rect_s33_o324_v04_strictmixedhard_mixed_chain.asset","0.987","9","5","4","0.783","0.291","7","7"
"347","strict152","sts","campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset","0.985","10","5","4","0.816","0.26","7","7"
"352","strict152","sts","c5nep_w11d_26_nutation_strict_mixed_hard_v1_rect_s36_o352_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_26_nutation_strict_mixed_hard_v1_rect_s36_o352_v00_strictmixedhard_mixed_chain.asset","0.987","9","6","5","0.762","0.235","6","4"
"390","strict152","collapse","c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain.asset","0.988","9","7","5","0.827","0.282","7","7"
"396","strict152","nearOuter|sts|collapse","c5nep_w11b_38_nutation_strict_mixed_hard_v1_rect_s40_o396_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_38_nutation_strict_mixed_hard_v1_rect_s40_o396_v02_strictmixedhard_mixed_chain.asset","0.986","9","7","7","0.728","0.318","8","7"
"412","strict152","sts","c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain.asset","0.988","10","5","3","0.814","0.254","7","7"
"429","strict152","local","c5nep_w11b_42_nutation_strict_mixed_hard_v1_rect_s43_o429_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_42_nutation_strict_mixed_hard_v1_rect_s43_o429_v01_strictmixedhard_mixed_chain.asset","0.987","8","9","4","0.822","0.261","7","6"
"431","strict152","sts","campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain.asset","0.994","8","5","5","0.803","0.259","7","7"
"432","strict152","sts","campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain.asset","0.99","9","5","5","0.811","0.201","7","5"
"441","strict152","sts","campaign500_normal_full_v1_s46_s50_tail_09_nutation_mixed_neutral_v1_rect_s46_o457_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_09_nutation_mixed_neutral_v1_rect_s46_o457_v02_neutralmixed_mixed_chain.asset","0.976","10","4","4","0.805","0.178","5","4"
"446","strict152","local","c5nep_w11a_46_nutation_strict_mixed_hard_v1_rect_s45_o446_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_46_nutation_strict_mixed_hard_v1_rect_s45_o446_v00_strictmixedhard_mixed_chain.asset","0.98","8","8","5","0.841","0.228","7","7"
"462","strict152","sts|collapse","campaign500_normal_full_v1_s46_s50_tail_14_nutation_peel_rect_s47_o462_v01_peellight_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_14_nutation_peel_rect_s47_o462_v01_peellight_curve_chain.asset","0.982","10","6","5","0.779","0.296","8","7"
"469","strict152","local","c5nep_w12b_34_nutation_strict_mixed_hard_v1_rect_s47_o469_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_34_nutation_strict_mixed_hard_v1_rect_s47_o469_v01_strictmixedhard_mixed_chain.asset","0.992","9","9","4","0.864","0.145","5","4"
"475","strict152","sts|collapse","c5nep_w13d_44_nutation_strict_mixed_axisbreak_v1_rect_s48_o475_v07_strictmixedaxisbreak_axis_break_chain_b","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_44_nutation_strict_mixed_axisbreak_v1_rect_s48_o475_v07_strictmixedaxisbreak_axis_break_chain_b.asset","0.98","10","5","4","0.711","0.296","6","5"
"489","strict152","sts|collapse","c5nep_w11d_51_nutation_strict_mixed_hard_v1_rect_s49_o489_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_51_nutation_strict_mixed_hard_v1_rect_s49_o489_v00_strictmixedhard_mixed_chain.asset","0.983","9","4","3","0.765","0.325","8","6"
