"order","section10","mainMissionId","levelName","roleInSection","originalDifficultyNameZh","productionLane","productionChainLanguage","productionDifficultyBand","sourceKind","replacementLevelId","replacementAssetPath","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"137","14","237","Main/Level_Main_137","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s14_s26_04_nutation_mixed_neutral_v1_rect_s14_o137_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_04_nutation_mixed_neutral_v1_rect_s14_o137_v00_neutralmixed_mixed_chain.asset","0.985","10","4","4","0.923","0.125","6","5"
"140","14","240","Main/Level_Main_140","Hard","困难","PeelMid","curve_chain","Hard","strict152","c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain.asset","0.985","10","6","3","0.87","0.189","6","6"
"145","15","245","Main/Level_Main_145","NormalA_FlowOrNeutral","普通/恢复","FlowPatch","patch_chain","NormalFlow","strict152","campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","0.991","7","3","2","0.94","0.064","7","3"
"146","15","246","Main/Level_Main_146","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s14_s26_17_nutation_mixed_neutral_v1_rect_s15_o146_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_17_nutation_mixed_neutral_v1_rect_s15_o146_v01_neutralmixed_mixed_chain.asset","0.992","10","3","3","0.922","0.166","6","6"
"148","15","248","Main/Level_Main_148","Hard","困难","","","","lowchoice","c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","0.99","9","5","4","0.888","0.144","6","5"
"149","15","249","Main/Level_Main_149","Peak","极难","PeelHard","rail_chain","Peak","strict152","c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain.asset","0.986","9","6","4","0.868","0.232","7","7"
"152","16","252","Main/Level_Main_152","Hard","困难","","","","lowchoice","c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_09_nutation_strict_mixed_hard_v1_rect_s16_o152_v02_strictmixedhard_strict_hard_chain_hf1.asset","0.98","8","3","3","0.907","0.118","6","5"
"155","16","255","Main/Level_Main_155","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s14_s26_28_nutation_mixed_neutral_v1_rect_s16_o155_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_28_nutation_mixed_neutral_v1_rect_s16_o155_v00_neutralmixed_mixed_chain.asset","0.985","8","5","4","0.916","0.145","6","6"
"160","16","260","Main/Level_Main_160","NormalA_FlowOrNeutral","普通/恢复","FlowCurve","curve_chain","NormalFlow","strict152","c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset","0.983","8","6","4","0.864","0.206","7","7"
"161","17","261","Main/Level_Main_161","NormalA_FlowOrNeutral","普通/恢复","FlowRail","rail_chain","NormalFlow","strict152","campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","0.991","9","2","2","0.908","0.089","6","4"
"165","17","265","Main/Level_Main_165","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s14_s26_41_nutation_mixed_neutral_v1_rect_s17_o165_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_41_nutation_mixed_neutral_v1_rect_s17_o165_v01_neutralmixed_mixed_chain.asset","0.991","10","7","5","0.827","0.255","8","6"
"166","17","266","Main/Level_Main_166","Hard","困难","","","","lowchoice","c5hole_lowchoice_v1_h04r_18_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_18_nutation_strict_mixed_choiceclamp_v1_rect_s17_o166_v05_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","0.983","10","6","4","0.916","0.093","5","5"
"169","17","269","Main/Level_Main_169","Peak","特别困难","PeelHard","rail_chain","Peak","strict152","c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset","0.982","10","4","3","0.937","0.086","5","5"
"172","18","272","Main/Level_Main_172","Hard","困难","","","","lowchoice","c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","0.982","7","6","6","0.845","0.254","7","7"
"174","18","274","Main/Level_Main_174","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s14_s26_53_nutation_mixed_neutral_v1_rect_s18_o174_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_53_nutation_mixed_neutral_v1_rect_s18_o174_v01_neutralmixed_mixed_chain.asset","0.973","9","5","5","0.926","0.092","7","4"
"175","18","275","Main/Level_Main_175","NormalA_FlowOrNeutral","普通/恢复","FlowPatch","patch_chain","NormalFlow","strict152","c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset","0.991","9","6","4","0.898","0.091","5","4"
"179","18","279","Main/Level_Main_179","Peak","特别困难","PeelHard","rail_chain","Peak","strict152","c5nep_w10smp_24_nutation_strict_mixed_peak_v1_rect_s18_o179_v03_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_24_nutation_strict_mixed_peak_v1_rect_s18_o179_v03_strictmixedpeak_mixed_chain.asset","0.982","9","7","4","0.879","0.209","7","6"
"182","19","282","Main/Level_Main_182","NormalA_FlowOrNeutral","普通/恢复","","","","lowchoice","c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1.asset","0.98","8","3","2","0.92","0.15","6","6"
"186","19","286","Main/Level_Main_186","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s14_s26_64_nutation_mixed_neutral_v1_rect_s19_o186_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_64_nutation_mixed_neutral_v1_rect_s19_o186_v00_neutralmixed_mixed_chain.asset","0.986","9","5","5","0.824","0.2","6","6"
"194","20","294","Main/Level_Main_194","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s14_s26_78_nutation_mixed_neutral_v1_rect_s20_o194_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_78_nutation_mixed_neutral_v1_rect_s20_o194_v02_neutralmixed_mixed_chain.asset","0.982","9","7","5","0.86","0.21","7","6"
"196","20","296","Main/Level_Main_196","Peak","极难","","","","lowchoice","c5hole_lowchoice_v1_h05r_05_nutation_strict_mixed_choiceclamp_v1_rect_s20_o196_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h05r/c5hole_lowchoice_v1_h05r_05_nutation_strict_mixed_choiceclamp_v1_rect_s20_o196_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","0.982","11","7","3","0.842","0.22","7","7"
"197","20","297","Main/Level_Main_197","NormalA_FlowOrNeutral","普通/恢复","FlowRail","rail_chain","NormalFlow","strict152","campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain.asset","0.987","10","6","3","0.913","0.111","6","5"
"199","20","299","Main/Level_Main_199","Hard","普通/恢复","PeelMid","curve_chain","Hard","strict152","c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain.asset","0.989","10","5","3","0.88","0.191","6","6"
"209","21","309","Main/Level_Main_209","Peak","极难","PressurePeak","mixed_chain","Peak","strict152","c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain.asset","0.988","10","6","6","0.833","0.244","7","7"
"212","22","312","Main/Level_Main_212","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain.asset","0.986","9","4","4","0.847","0.236","6","6"
"216","22","316","Main/Level_Main_216","Peak","极难","PressurePeak","mixed_chain","Peak","strict152","c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","0.993","9","5","5","0.85","0.247","7","7"
"220","22","320","Main/Level_Main_220","NormalA_FlowOrNeutral","普通/恢复","FlowCurve","curve_chain","NormalFlow","strict152","campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset","0.985","10","4","1","0.898","0.183","7","7"
"222","23","322","Main/Level_Main_222","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s14_s26_112_nutation_mixed_neutral_v1_rect_s23_o222_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_112_nutation_mixed_neutral_v1_rect_s23_o222_v00_neutralmixed_mixed_chain.asset","0.988","9","5","4","0.85","0.269","7","7"
"227","23","327","Main/Level_Main_227","Peak","极难","PressurePeak","mixed_chain","Peak","strict152","c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset","0.982","10","4","3","0.884","0.139","8","4"
"230","23","330","Main/Level_Main_230","NormalA_FlowOrNeutral","普通/恢复","FlowRail","rail_chain","NormalFlow","strict152","campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset","0.996","10","4","2","0.915","0.141","6","6"
"234","24","334","Main/Level_Main_234","NormalA_FlowOrNeutral","普通/恢复","FlowPatch","patch_chain","NormalFlow","strict152","campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain.asset","0.995","10","4","2","0.89","0.187","7","7"
"236","24","336","Main/Level_Main_236","Hard","困难","PeelMid","rail_chain","Hard","strict152","c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain.asset","0.989","10","6","3","0.846","0.211","8","6"
"245","25","345","Main/Level_Main_245","Peak","特别困难","PressurePeak","mixed_chain","Peak","strict152","c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","0.992","9","6","6","0.853","0.177","5","5"
"249","25","349","Main/Level_Main_249","Hard","特别困难","PeelMid","rail_chain","Hard","strict152","c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain.asset","0.99","10","6","6","0.843","0.223","6","6"
"250","25","350","Main/Level_Main_250","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s14_s26_137_nutation_mixed_neutral_v1_rect_s25_o250_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_137_nutation_mixed_neutral_v1_rect_s25_o250_v01_neutralmixed_mixed_chain.asset","0.986","8","5","3","0.85","0.214","8","5"
"256","26","356","Main/Level_Main_256","Peak","极难","PressurePeak","mixed_chain","Peak","strict152","c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain.asset","0.978","8","4","3","0.859","0.198","6","5"
"260","26","360","Main/Level_Main_260","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s14_s26_150_nutation_mixed_neutral_v1_rect_s26_o260_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_150_nutation_mixed_neutral_v1_rect_s26_o260_v02_neutralmixed_mixed_chain.asset","0.977","8","6","5","0.83","0.236","7","7"
"262","27","362","Main/Level_Main_262","NormalB_NeutralOrPeelLight","普通/恢复","","","NormalNeutral","raw_rescue","campaign500_normal_full_v1_s27_s38_06_nutation_mixed_neutral_v1_rect_s27_o262_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_06_nutation_mixed_neutral_v1_rect_s27_o262_v02_neutralmixed_mixed_chain.asset","0.985","10","7","6","0.862","0.225","7","7"
"266","27","366","Main/Level_Main_266","NormalA_FlowOrNeutral","普通/恢复","FlowPatch","patch_chain","NormalFlow","strict152","campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","0.992","10","4","4","0.926","0.056","5","4"
"269","27","369","Main/Level_Main_269","Peak","极难","PressurePeak","mixed_chain","Peak","strict152","c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain.asset","0.986","10","5","3","0.852","0.21","8","6"
"275","28","375","Main/Level_Main_275","NormalA_FlowOrNeutral","普通/恢复","FlowCurve","curve_chain","NormalFlow","strict152","campaign500_normal_full_v1_s27_s38_114_nutation_mixed_neutral_v1_rect_s36_o355_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_114_nutation_mixed_neutral_v1_rect_s36_o355_v02_neutralmixed_mixed_chain.asset","0.989","9","5","5","0.884","0.148","6","5"
"276","28","376","Main/Level_Main_276","Peak","极难","PressurePeak","mixed_chain","Peak","strict152","c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain.asset","0.988","10","3","3","0.885","0.212","8","7"
"279","28","379","Main/Level_Main_279","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_01_nutation_mixed_neutral_v1_rect_s28_o279_v00_neutralmixed_rail_chain.asset","0.977","9","4","4","0.879","0.197","8","6"
"281","29","381","Main/Level_Main_281","NormalA_FlowOrNeutral","普通/恢复","FlowRail","rail_chain","NormalFlow","strict152","campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain.asset","0.985","10","3","3","0.906","0.147","6","6"
"282","29","382","Main/Level_Main_282","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s27_s38_28_nutation_mixed_neutral_v1_rect_s29_o282_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_28_nutation_mixed_neutral_v1_rect_s29_o282_v00_neutralmixed_mixed_chain.asset","0.985","8","6","5","0.829","0.208","5","5"
"287","29","387","Main/Level_Main_287","Peak","极难","PressurePeak","mixed_chain","Peak","strict152","c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset","0.988","9","7","4","0.848","0.208","6","6"
"289","29","389","Main/Level_Main_289","Hard","困难","","","Hard","raw_rescue","campaign500_normal_full_v1_s27_s38_33_nutation_peel_v2_rect_s29_o289_v02_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_33_nutation_peel_v2_rect_s29_o289_v02_peelmid_curve_chain.asset","0.966","11","3","3","0.875","0.182","7","6"
"291","30","391","Main/Level_Main_291","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s27_s38_42_nutation_mixed_neutral_v1_rect_s30_o291_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_42_nutation_mixed_neutral_v1_rect_s30_o291_v02_neutralmixed_mixed_chain.asset","0.973","9","6","5","0.889","0.187","6","6"
"295","30","395","Main/Level_Main_295","NormalA_FlowOrNeutral","普通/恢复","FlowPatch","patch_chain","NormalFlow","strict152","campaign500_normal_full_v1_s27_s38_135_nutation_mixed_neutral_v1_rect_s38_o371_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_135_nutation_mixed_neutral_v1_rect_s38_o371_v02_neutralmixed_mixed_chain.asset","0.98","8","6","5","0.883","0.174","7","5"
"296","30","396","Main/Level_Main_296","Hard","特别困难","PeelMid","rail_chain","Hard","strict152","c5nep_w12d_12_nutation_strict_mixed_hard_v1_rect_s30_o296_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_12_nutation_strict_mixed_hard_v1_rect_s30_o296_v03_strictmixedhard_mixed_chain.asset","0.981","10","5","4","0.868","0.169","5","5"
"305","31","405","Main/Level_Main_305","Hard","特别困难","PeelMid","rail_chain","Hard","strict152","c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","0.992","10","5","5","0.877","0.174","6","6"
"308","31","408","Main/Level_Main_308","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s27_s38_53_nutation_mixed_neutral_v1_rect_s31_o308_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_53_nutation_mixed_neutral_v1_rect_s31_o308_v01_neutralmixed_mixed_chain.asset","0.983","9","5","4","0.891","0.16","6","5"
"309","31","409","Main/Level_Main_309","Peak","极难","PressurePeak","mixed_chain","Peak","strict152","c5nep_w12a_22_nutation_strict_mixed_hard_v1_rect_s31_o309_v05_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_22_nutation_strict_mixed_hard_v1_rect_s31_o309_v05_strictmixedhard_mixed_chain.asset","0.985","10","5","3","0.907","0.113","5","5"
"311","32","411","Main/Level_Main_311","NormalA_FlowOrNeutral","普通/恢复","FlowRail","rail_chain","NormalFlow","strict152","campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain.asset","0.996","10","5","3","0.865","0.188","7","7"
"314","32","414","Main/Level_Main_314","NormalB_NeutralOrPeelLight","普通/恢复","NeutralMixed","mixed_chain","NormalNeutral","strict152","campaign500_normal_full_v1_s27_s38_66_nutation_mixed_neutral_v1_rect_s32_o314_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_66_nutation_mixed_neutral_v1_rect_s32_o314_v02_neutralmixed_mixed_chain.asset","0.985","9","5","5","0.895","0.188","7","6"
"316","32","416","Main/Level_Main_316","Peak","极难","PressurePeak","mixed_chain","Peak","strict152","c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset","0.99","10","4","4","0.854","0.138","6","4"
"322","33","422","Main/Level_Main_322","NormalA_FlowOrNeutral","普通/恢复","FlowPatch","patch_chain","NormalFlow","strict152","campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","0.991","9","3","3","0.932","0.028","5","3"
