order,????,??,type,slotRole,relativeDifficulty,chains,width,height,score,coverage,openers,packs,levelId,sourceAsset,exportAsset,exportMeta,qualityFlags,portableQuality
19,??,4,lock,,,94,19,37,386,0.986,11,direct_pure_topup_slice06_candidates,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset,Levels/019_lock_direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset,Levels/019_lock_direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset.meta,fixed_front20_replace,ok
20,??,1,shell,,,41,15,22,112,0.991,8,no_mask_type_preview,nomask_01_outer_shell,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset,Levels/020_shell_nomask_01_outer_shell.asset,Levels/020_shell_nomask_01_outer_shell.asset.meta,fixed_front20_replace,ok
21,??,1,sweep,FixedFront40,Normal,44,16,24,181.1,0.997,12,no_mask_style_preview,nomask_style_02_snake_spine,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_02_snake_spine.asset,Levels/021_sweep_nomask_style_02_snake_spine.asset,Levels/021_sweep_nomask_style_02_snake_spine.asset.meta,ok,ok
22,??,1,section,FixedFront40,Normal,55,16,24,150.5,0.987,14,no_mask_style_expansion_preview,nomask_style_expansion_26_stair_ladder_a,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset,Levels/022_section_nomask_style_expansion_26_stair_ladder_a.asset,Levels/022_section_nomask_style_expansion_26_stair_ladder_a.asset.meta,ok,ok
23,??,1,shape_magic,FixedFront40,Normal,80,30,44,220,0.503,12,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset,Levels/023_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall.asset,Levels/023_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall.asset.meta,NoRisk,MagicShape
24,??,1,section,FixedFront40,Normal,82,18,37,160.4,0.983,14,direct_pure_topup_slice05_candidates,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset,Levels/024_section_direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset,Levels/024_section_direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset.meta,ok,long-straight-run
25,??,1,lock,FixedFront40,Normal,98,21,35,153.1,0.990,13,direct_pure_normal_extra_slice01_candidates,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset,Levels/025_lock_direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset,Levels/025_lock_direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset.meta,ok,ok
26,hole,1,hole_rescue,HoleRescue,Mechanic,42,18,26,239,0.972,10,hole_combined_20260613,hole_candidate_058_tall_18x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset,Levels/026_hole_rescue_hole_candidate_058_tall_18x26_section.asset,Levels/026_hole_rescue_hole_candidate_058_tall_18x26_section.asset.meta,hole10_v4:SectionUnlock:keep,hole10_v4_keep
27,??,1,shape_object,Shape,Novelty,80,28,42,220,0.54,0,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset,Levels/027_shape_object_r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall.asset,Levels/027_shape_object_r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall.asset.meta,shape_recognition_v4:front:hourglass,shape_recognition_v4
28,??,1,maze,FixedFront40,Normal,63,17,29,213.0,0.988,7,direct_pure_topup_slice02_candidates,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset,Levels/028_maze_direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset,Levels/028_maze_direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset.meta,ok,ok
29,??,1,dense,FixedFront40,Normal,99,20,34,145.4,0.982,21,direct_pure_normal_extra_slice02_candidates,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset,Levels/029_dense_direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset,Levels/029_dense_direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset.meta,ok,ok
30,??,1,lock,FixedFront40,Normal,106,23,37,199.2,0.981,8,direct_normal_topup_candidates,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset,Levels/030_lock_direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset,Levels/030_lock_direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset.meta,ok,ok
31,??,1,sweep,FixedFront40,Normal,61,14,28,152.1,0.972,18,direct_pure_topup_slice01_candidates,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset,Levels/031_sweep_direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset,Levels/031_sweep_direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset.meta,ok,ok
32,??,1,shape_magic,FixedFront40,Normal,83,28,40,228,,,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset,Levels/032_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall.asset,Levels/032_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall.asset.meta,MagicShape,MagicShape
33,??,1,dense,FixedFront40,Normal,78,19,33,172.9,0.986,14,direct_pure_topup_slice04_candidates,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset,Levels/033_dense_direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset,Levels/033_dense_direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset.meta,ok,ok
34,??,1,lock,FixedFront40,Normal,93,20,37,153.4,0.980,17,direct_pure_topup_slice04_candidates,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset,Levels/034_lock_direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset,Levels/034_lock_direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset.meta,ok,ok
35,??,1,dense,FixedFront40,Normal,65,17,29,154.7,0.982,18,direct_pure_topup_slice01_candidates,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset,Levels/035_dense_direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset,Levels/035_dense_direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset.meta,ok,ok
36,??,1,lock,FixedFront40,Normal,83,19,33,218.6,0.984,7,direct_pure_normal_extra_slice01_candidates,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset,Levels/036_lock_direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset,Levels/036_lock_direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset.meta,ok,ok
37,hole,1,hole_rescue,HoleRescue,Mechanic,41,20,22,239,0.97,9,hole_combined_20260613,hole_candidate_009_std_20x22_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset,Levels/037_hole_rescue_hole_candidate_009_std_20x22_lock.asset,Levels/037_hole_rescue_hole_candidate_009_std_20x22_lock.asset.meta,hole10_v4:LockBuckle:keep,hole10_v4_keep
38,??,1,shape_magic,FixedFront40,Normal,88,30,42,224,0.574,12,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset,Levels/038_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall.asset,Levels/038_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall.asset.meta,NoRisk,MagicShape
39,??,1,lock,FixedFront40,Normal,101,22,35,176.1,0.988,16,direct_normal_candidates,direct_normal_06_direct_normal_rect_core_burst_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset,Levels/039_lock_direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset,Levels/039_lock_direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset.meta,ok,ok
40,??,1,lock,FixedFront40,Normal,103,22,33,199.1,0.988,13,direct_pure_topup_slice05_candidates,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset,Levels/040_lock_direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset,Levels/040_lock_direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset.meta,ok;front40-hard-peak,ok
41,??,1,dense,Recovery,Recovery,62,14,28,165.1,0.974,13,direct_pure_topup_slice03_candidates,direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset,Levels/041_dense_direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset,Levels/041_dense_direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset.meta,ok,ok
42,??,1,dense,Normal,Normal,80,19,33,146.7,0.986,18,direct_pure_topup_slice04_candidates,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset,Levels/042_dense_direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset,Levels/042_dense_direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset.meta,ok,ok
43,??,1,shape_magic,Shape,Novelty,87,32,42,231,,,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset,Levels/043_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall.asset,Levels/043_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall.asset.meta,MagicShape,MagicShape
44,??,2,section,Pressure,Hard,86,20,32,185.8,0.981,12,direct_pure_normal_extra_slice01_candidates,direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset,Levels/044_section_direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset,Levels/044_section_direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset.meta,ok,ok
45,??,1,lock,Recovery,Recovery,74,19,32,167.3,0.974,15,direct_pure_topup_slice05_candidates,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04.asset,Levels/045_lock_direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04.asset,Levels/045_lock_direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04.asset.meta,ok,ok
46,hole,1,hole_rescue,HoleRescue,Mechanic,43,20,26,240,0.975,9,hole_combined_20260613,hole_candidate_017_std_20x26_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset,Levels/046_hole_rescue_hole_candidate_017_std_20x26_maze.asset,Levels/046_hole_rescue_hole_candidate_017_std_20x26_maze.asset.meta,hole10_v4:MazeLongChain:keep,hole10_v4_keep
47,??,3,lock,Peak,VeryHard,118,23,40,149.8,0.982,12,direct_normal_candidates,direct_normal_73_direct_normal_rect_lock_buckle_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_73_direct_normal_rect_lock_buckle_g1_v08.asset,Levels/047_lock_direct_normal_73_direct_normal_rect_lock_buckle_g1_v08.asset,Levels/047_lock_direct_normal_73_direct_normal_rect_lock_buckle_g1_v08.asset.meta,ok,ok
48,??,1,shape_magic,Shape,Novelty,88,32,44,233,,,shape_final_with_supplement,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset,Levels/048_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcatt.asset,Levels/048_shape_magic_r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcatt.asset.meta,MagicShape,MagicShape
49,??,2,section,Pressure,Hard,89,20,34,186.3,0.984,13,direct_pure_normal_extra_slice01_candidates,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03.asset,Levels/049_section_direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03.asset,Levels/049_section_direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03.asset.meta,ok,ok
50,??,1,sweep,Recovery,Recovery,67,18,30,165.4,0.976,12,no_mask_style_expansion_preview,nomask_style_expansion_35_zig_river_tall,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset,Levels/050_sweep_nomask_style_expansion_35_zig_river_tall.asset,Levels/050_sweep_nomask_style_expansion_35_zig_river_tall.asset.meta,ok,long-straight-run
51,??,1,maze,Recovery,Recovery,85,18,34,126.4,0.962,22,direct_pure_topup_slice06_candidates,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset,Levels/051_maze_direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset,Levels/051_maze_direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset.meta,ok,too-open
52,??,2,lock,Pressure,Hard,87,22,31,138.1,0.977,18,direct_pure_topup_slice06_candidates,direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset,Levels/052_lock_direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset,Levels/052_lock_direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset.meta,ok,long-straight-run
