order,oldLevelId,newLevelId,newAssetPath,sourcePool,gateClass,experienceRole,oldStatus,style,chain,band,coverage,maxChoices,local,near,sts,collapse,copyRequired,sourceRoot
34,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,campaign500_normal_full_v1_s01_s13_117_nutation_peel_v2_rect_s10_o097_v02_peelmid_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_117_nutation_peel_v2_rect_s10_o097_v02_peelmid_curve_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,FixedFront40,OriginalNonTarget,peel_mid,curve_chain,Hard,0.982,10,7,5,0.76,0.3,False,
36,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,campaign500_normal_full_v1_s46_s50_tail_14_nutation_peel_rect_s47_o462_v01_peellight_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_14_nutation_peel_rect_s47_o462_v01_peellight_curve_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,FixedFront40,OriginalNonTarget,peel_light,curve_chain,NormalPeelLight,0.982,10,6,5,0.779,0.296,False,
42,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,campaign500_normal_full_v1_s14_s26_29_nutation_mixed_neutral_v1_rect_s16_o155_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_29_nutation_mixed_neutral_v1_rect_s16_o155_v01_neutralmixed_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Normal,OriginalNonTarget,peel_mid,rail_chain,Hard,0.985,10,7,5,0.763,0.301,False,
45,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,c5nep_w11a_46_nutation_strict_mixed_hard_v1_rect_s45_o446_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_46_nutation_strict_mixed_hard_v1_rect_s45_o446_v00_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Recovery,OriginalNonTarget,peel_light,curve_chain,NormalPeelLight,0.98,8,8,5,0.841,0.228,False,
49,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,nutation_hub_mixed_v1_strict30_refill_19_s05_r03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_19_s05_r03.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Pressure,OriginalNonTarget,HubMixed,,HubMixed,0.957,11,6,5,0.827,0.278,True,.worktrees/nutation-hub-maze-mixed
51,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,c5nep_w11c_08_nutation_strict_mixed_hard_v1_rect_s19_o189_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_08_nutation_strict_mixed_hard_v1_rect_s19_o189_v02_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Recovery,OriginalNonTarget,peel_hard,rail_chain,Peak,0.987,8,5,4,0.796,0.311,False,
55,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,nutation_hub_mixed_v1_strict30_refill_20_s05_r04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_20_s05_r04.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Normal,OriginalNonTarget,HubMixed,,HubMixed,0.962,11,6,5,0.824,0.28,True,.worktrees/nutation-hub-maze-mixed
59,direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02,campaign500_longchain_prod200_pool_v1_48_l062_long_normal_a_dense_s07_slot_headmix_outerclean_near,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_48_l062_long_normal_a_dense_s07_slot_headmix_outerclean_near.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Peak,OriginalNonTarget,slot_headmix_outerclean,slot_headmix_outerclean;slot_seedlock_gate_carrier;slot_seedmaze_chamber_corridor;slot_seedweave_braid_carrier,LongNormalA,0.9216,10,3,3,0.91,0.041,True,.worktrees/campaign500-longchain-prod200-pool
64,nomask_style_expansion_20_long_corridor_b,campaign500_normal_full_v1_s14_s26_36_nutation_peel_v2_rect_s16_o154_v02_peelhard_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_36_nutation_peel_v2_rect_s16_o154_v02_peelhard_curve_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Normal,OriginalNonTarget,peel_hard,curve_chain,Peak,0.984,10,7,2,0.791,0.281,False,
66,direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03,campaign500_normal_full_v1_s14_s26_67_nutation_peel_v2_rect_s19_o185_v00_peelmid_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_67_nutation_peel_v2_rect_s19_o185_v00_peelmid_curve_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Recovery,OriginalNonTarget,peel_mid,curve_chain,Hard,0.972,10,5,5,0.763,0.195,False,
69,direct_normal_48_direct_normal_rect_stair_push_g4_v05,c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier,Assets/ArrowMagic/SOData/Levels/C5LCFamLabV1/c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Pressure,OriginalNonTarget,CampaignLongChainLab,,CampaignLongChainLab,0.9497,10,4,4,0.951,0.069,True,.worktrees/campaign500-longchain-family-profile-lab
74,direct_pure_normal_extra_01_21_direct_normal_pure_extra_rect_dual_zone_g17_v03,c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Normal,OriginalNonTarget,peel_mid,rail_chain,Hard,0.98,9,8,5,0.883,0.136,False,
76,direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04,nutation_longchain_candidate80_holefix_s3_v1_11_nutation_longchain_patch_v1_rect_c80hf3_03_d1_weave_patch,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_11_nutation_longchain_patch_v1_rect_c80hf3_03_d1_weave_patch.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Peak,OriginalNonTarget,LongChain,,LongChain,0.948,10,6,6,0.884,0.164,True,.worktrees/nutation-peel
80,direct_pure_topup_06_02_direct_normal_pure_rect_section_unlock_g6_v07,c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_04_nutation_strict_mixed_localbreak_v1_rect_s24_o239_v03_strictmixedlocalbreak_local_break_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Normal,OriginalNonTarget,psg_pressure_peak,mixed_chain,Peak,0.981,8,8,4,0.823,0.201,False,
84,direct_pure_normal_extra_01_04_direct_normal_pure_extra_rect_core_burst_g15_v01,nutation_longchain_candidate80_holefix_v1_11_nutation_longchain_patch_v1_rect_c80hf_03_d1_weave_patch,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_11_nutation_longchain_patch_v1_rect_c80hf_03_d1_weave_patch.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Pressure,OriginalNonTarget,LongChain,,LongChain,0.948,10,4,4,0.903,0.204,True,.worktrees/nutation-peel
85,direct_pure_topup_04_08_direct_normal_pure_rect_maze_long_chain_g6_v01,c5nep_w12b_21_nutation_strict_mixed_hard_v1_rect_s33_o324_v04_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_21_nutation_strict_mixed_hard_v1_rect_s33_o324_v04_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Recovery,OriginalNonTarget,peel_mid,rail_chain,Hard,0.987,9,5,4,0.783,0.291,False,
88,direct_normal_28_direct_normal_rect_stair_push_g2_v03,nutation_longchain_candidate80_holefix_s3_v1_60_nutation_longchain_spine_v1_rect_c80hf3_15_d3_section_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_60_nutation_longchain_spine_v1_rect_c80hf3_15_d3_section_spine.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Pressure,OriginalNonTarget,LongChain,,LongChain,0.955,10,5,2,0.877,0.19,True,.worktrees/nutation-peel
94,direct_normal_112_direct_normal_rect_section_unlock_g5_v12,campaign500_longchain_prod200_pool_v1_24_l031_long_normal_a_sweep_s04_slot_seedlock_gate_carrier,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_24_l031_long_normal_a_sweep_s04_slot_seedlock_gate_carrier.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Pressure,OriginalNonTarget,slot_seedlock_gate_carrier,slot_headmix_outerclean;slot_seedlock_gate_carrier;slot_seedmaze_chamber_corridor;slot_seedweave_braid_carrier,LongNormalA,0.9335,10,5,5,0.951,0.054,True,.worktrees/campaign500-longchain-prod200-pool
95,direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04,c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Normal,OriginalNonTarget,peel_mid,rail_chain,Hard,0.983,10,8,2,0.846,0.191,False,
99,direct_normal_topup_07_direct_normal_topup_rect_quasi_symmetry_g6_v01,nutation_hub_mixed_v1_strict30_refill_40_s10_r04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_40_s10_r04.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Normal,OriginalNonTarget,hub_spoke,mixed_chain,,0.961,11,6,5,0.791,0.31,True,.worktrees/nutation-hub-maze-mixed
104,direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03,nutation_longchain_candidate80_holefix_s2_v1_60_nutation_longchain_spine_v1_rect_c80hf2_15_d3_section_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_60_nutation_longchain_spine_v1_rect_c80hf2_15_d3_section_spine.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Pressure,OriginalNonTarget,LongChain,,LongChain,0.956,10,7,4,0.852,0.27,True,.worktrees/nutation-peel
107,direct_normal_53_direct_normal_rect_lock_buckle_g5_v06,campaign500_longchain_prod200_pool_v1_121_l155_long_normal_a_dense_s16_slot_seedlock_gate_carrier,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_121_l155_long_normal_a_dense_s16_slot_seedlock_gate_carrier.asset,SeedV5LongChain30Front300,SeedV5TraceGateFront300Remap,Peak,OriginalNonTarget,slot_seedlock_gate_carrier,slot_headmix_outerclean;slot_seedlock_gate_carrier;slot_seedmaze_chamber_corridor;slot_seedweave_braid_carrier,LongNormalA,0.9460,10,2,2,0.919,0.109,True,.worktrees/campaign500-longchain-prod200-pool
110,direct_normal_72_direct_normal_rect_section_unlock_g1_v08,c5nep_w11d_26_nutation_strict_mixed_hard_v1_rect_s36_o352_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_26_nutation_strict_mixed_hard_v1_rect_s36_o352_v00_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Recovery,OriginalNonTarget,peel_mid,rail_chain,Hard,0.987,9,6,5,0.762,0.235,False,
114,direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02,campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Recovery,OriginalNonTarget,psg_pressure_peak,mixed_chain,Peak,0.985,10,5,4,0.816,0.26,False,
119,direct_normal_32_direct_normal_rect_section_unlock_g3_v04,nutation_longchain_candidate80_holefix_s3_v1_64_nutation_longchain_spine_v1_rect_c80hf3_16_d3_lock_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_64_nutation_longchain_spine_v1_rect_c80hf3_16_d3_lock_spine.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Peak,OriginalNonTarget,LongChain,,LongChain,0.955,10,6,5,0.834,0.26,True,.worktrees/nutation-peel
120,direct_normal_65_direct_normal_rect_sweep_g0_v07,campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Recovery,OriginalNonTarget,peel_mid,rail_chain,Hard,0.99,9,5,5,0.811,0.201,False,
122,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,nutation_hub_mixed_v1_strict30_refill_39_s10_r03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_39_s10_r03.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Normal,OriginalNonTarget,hub_spoke,mixed_chain,,0.957,11,6,5,0.79,0.309,True,.worktrees/nutation-hub-maze-mixed
124,direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04,c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Normal,OriginalNonTarget,peel_mid,rail_chain,Hard,0.988,10,5,3,0.814,0.254,False,
130,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,nutation_longchain_candidate80_holefix_s3_v1_04_nutation_longchain_spine_v1_rect_c80hf3_01_d1_lock_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_04_nutation_longchain_spine_v1_rect_c80hf3_01_d1_lock_spine.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Normal,OriginalNonTarget,LongChain,,LongChain,0.95,7,3,3,0.917,0.137,True,.worktrees/nutation-peel
131,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,nutation_hub_mixed_v1_strict30_refill_36_s09_r04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_36_s09_r04.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Normal,OriginalNonTarget,hub_spoke,mixed_chain,,0.962,11,6,5,0.792,0.316,True,.worktrees/nutation-hub-maze-mixed
132,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,nutation_longchain_candidate80_holefix_v1_44_nutation_longchain_spine_v1_rect_c80hf_11_d2_lock_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_44_nutation_longchain_spine_v1_rect_c80hf_11_d2_lock_spine.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Pressure,OriginalNonTarget,LongChain,,LongChain,0.954,9,5,3,0.849,0.174,True,.worktrees/nutation-peel
139,direct_normal_68_direct_normal_rect_stair_push_g0_v07,c5nep_w11b_38_nutation_strict_mixed_hard_v1_rect_s40_o396_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_38_nutation_strict_mixed_hard_v1_rect_s40_o396_v02_strictmixedhard_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Recovery,OriginalNonTarget,psg_pressure_peak,mixed_chain,Peak,0.986,9,7,7,0.728,0.318,False,
141,direct_normal_35_direct_normal_rect_sweep_g3_v04,nutation_hub_mixed_v1_strict30_refill_27_s07_r03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_27_s07_r03.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Recovery,OriginalNonTarget,hub_spoke,mixed_chain,,0.952,8,9,6,0.788,0.339,True,.worktrees/nutation-hub-maze-mixed
144,direct_normal_103_direct_normal_rect_lock_buckle_g4_v11,nutation_longchain_candidate80_holefix_s2_v1_07_nutation_longchain_patch_v1_rect_c80hf2_02_d1_maze_patch,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_07_nutation_longchain_patch_v1_rect_c80hf2_02_d1_maze_patch.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Pressure,OriginalNonTarget,LongChain,,LongChain,0.947,9,7,5,0.848,0.226,True,.worktrees/nutation-peel
150,direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09,c5nep_w13d_44_nutation_strict_mixed_axisbreak_v1_rect_s48_o475_v07_strictmixedaxisbreak_axis_break_chain_b,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_44_nutation_strict_mixed_axisbreak_v1_rect_s48_o475_v07_strictmixedaxisbreak_axis_break_chain_b.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictFront300Remap,Normal,OriginalNonTarget,peel_mid,rail_chain,Hard,0.98,10,5,4,0.711,0.296,False,
156,direct_diff120_55_direct_diff_normal_near_square_stair_ladder_g3_v04,nutation_longchain_candidate80_v1_52_nutation_longchain_spine_v1_rect_c80_13_d3_weave_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_52_nutation_longchain_spine_v1_rect_c80_13_d3_weave_spine.asset,NutationLongChainStrict60Front300,NutationLongChainStrictFront300Remap,Peak,OriginalNonTarget,maze_long_chain,spine_chain,,0.938,8,7,7,0.91,0.134,True,.worktrees/nutation-peel
157,direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07,nutation_hub_mixed_v1_strict30_refill_28_s07_r04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_28_s07_r04.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Recovery,OriginalNonTarget,hub_spoke,mixed_chain,,0.959,8,9,6,0.763,0.343,True,.worktrees/nutation-hub-maze-mixed
159,direct_normal_137_direct_normal_rect_dual_zone_g1_v14,nutation_longchain_candidate80_holefix_v1_12_nutation_longchain_spine_v1_rect_c80hf_03_d1_weave_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_12_nutation_longchain_spine_v1_rect_c80hf_03_d1_weave_spine.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupFront300Remap,Normal,OriginalNonTarget,LongChain,,LongChain,0.947,7,5,5,0.885,0.151,True,.worktrees/nutation-peel
162,direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07,nutation_hub_mixed_v1_strict30_refill_35_s09_r03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_35_s09_r03.asset,HubMixedRefill30Front300,HubMixedRefillLocal9Front300Remap,Normal,OriginalNonTarget,hub_spoke,mixed_chain,,0.955,11,6,5,0.785,0.313,True,.worktrees/nutation-hub-maze-mixed
