"section10","targetNormalSlots","strictReplacements","missingTargetSlots","lanes","chainLanguages"
"12","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"13","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"14","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"15","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"16","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"17","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"18","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"19","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"20","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"21","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"22","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"23","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"24","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"25","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"26","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"27","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"28","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"29","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"30","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"31","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"32","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"33","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"34","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"35","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"36","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"37","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"38","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"39","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"40","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"41","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"42","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"43","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"44","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"45","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"46","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"47","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"48","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"49","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
"50","200","173","27",":21;FlowCurve:11;FlowPatch:13;FlowRail:13;NeutralMixed:44;PeelHard:10;PeelLight:10;PeelMid:34;PressurePeak:17",":21;curve_chain:29;mixed_chain:61;patch_chain:13;rail_chain:49"
