"order","section10","mainMissionId","levelName","category","difficultyNameZh","experienceRole","roleInSection","finalStatus","finalLevelId","finalAssetPath","originalLevelId","originalAssetPath","replacementSourceKind","productionLane","productionChainLanguage","productionDifficultyBand","targetWidth","targetHeight","plannedWidth","plannedHeight","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"11","2","111","Main/Level_Main_11","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedStrict0910","campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_15_nutation_flow_rail_v1_rect_s02_o011_v02_flowrail_rail_chain.asset","level3_thirty_03_level3_thirty_mini_maze_30","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L011_level3_thirty_03_level3_thirty_mini_maze_30.asset","strict152","FlowRail","rail_chain","NormalFlow","12","18","18","24","0.988","7","3","3","0.809","0.051","3","2"
"12","2","112","Main/Level_Main_12","normal","普通/恢复","Normal","","OriginalNonTarget","nomask_style_expansion_23_center_cross_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L012_nomask_style_expansion_23_center_cross_b.asset","nomask_style_expansion_23_center_cross_b","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L012_nomask_style_expansion_23_center_cross_b.asset","","","","","17","24","","","","","","","","","",""
"13","2","113","Main/Level_Main_13","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L013_r2_outer_strong_005_r2_006_a401_earlyprop_04_early.asset","r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L013_r2_outer_strong_005_r2_006_a401_earlyprop_04_early.asset","","","","","24","24","","","","","","","","","",""
"14","2","114","Main/Level_Main_14","normal","普通/恢复","Normal","","OriginalNonTarget","nomask_06_sweep","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L014_nomask_06_sweep.asset","nomask_06_sweep","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L014_nomask_06_sweep.asset","","","","","15","21","","","","","","","","","",""
"15","2","115","Main/Level_Main_15","normal","普通/恢复","Normal","","OriginalNonTarget","direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L015_direct_pure_topup_02_15_direct_refresh_topup_rect_.asset","direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L015_direct_pure_topup_02_15_direct_refresh_topup_rect_.asset","","","","","14","26","","","","","","","","","",""
"16","2","116","Main/Level_Main_16","normal","普通/恢复","Normal","Hard","ReplacedStrict0910","c5nep_w4pl_06_nutation_peel_rect_s02_o016_v01_peellight_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_06_nutation_peel_rect_s02_o016_v01_peellight_curve_chain.asset","direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L016_direct_pure_topup_02_06_direct_refresh_topup_rect_.asset","strict152","PeelMid","rail_chain","Hard","15","29","21","28","0.974","8","6","5","0.848","0.085","4","4"
"17","2","117","Main/Level_Main_17_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","r1_ab_091_above300_level_571_final_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L017_r1_ab_091_above300_level_571_final_holeblock_multi.asset","r1_ab_091_above300_level_571_final_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L017_r1_ab_091_above300_level_571_final_holeblock_multi.asset","","","","","18","20","","","","","","","","","",""
"18","2","118","Main/Level_Main_18","normal","普通/恢复","Normal","","OriginalNonTarget","nomask_style_10_zig_river","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L018_nomask_style_10_zig_river.asset","nomask_style_10_zig_river","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L018_nomask_style_10_zig_river.asset","","","","","18","25","","","","","","","","","",""
"19","2","119","Main/Level_Main_19","normal","特别困难","Normal","Peak","ReplacedStrict0910","c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain.asset","direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L019_direct_pure_topup_06_19_direct_normal_pure_rect_lo.asset","strict152","PeelHard","rail_chain","Peak","19","37","22","30","0.979","9","5","5","0.894","0.129","5","5"
"20","2","120","Main/Level_Main_20","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedStrict0910","campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","nomask_01_outer_shell","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L020_nomask_01_outer_shell.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","15","22","20","27","0.976","8","5","5","0.851","0.14","5","5"
"21","3","121","Main/Level_Main_21","normal","普通/恢复","FixedFront40","NormalB_NeutralOrPeelLight","ReplacedStrict0910","campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L021_direct_diff120_04_direct_diff_refresh_dag_unlock_s.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","17","24","20","27","0.993","8","6","3","0.857","0.209","8","6"
"22","3","122","Main/Level_Main_22","normal","普通/恢复","FixedFront40","NormalA_FlowOrNeutral","ReplacedStrict0910","campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","nomask_style_expansion_26_stair_ladder_a","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L022_nomask_style_expansion_26_stair_ladder_a.asset","strict152","FlowPatch","patch_chain","NormalFlow","16","24","18","24","0.994","8","4","4","0.828","0.16","5","5"
"23","3","123","Main/Level_Main_23","shape","普通/恢复","FixedFront40","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb04_01_compact_train","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L023_r2_outer_strong_005_r2_006_a401_maskonlyb04_01_com.asset","r2_outer_strong_005_r2_006_a401_maskonlyb04_01_compact_train","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L023_r2_outer_strong_005_r2_006_a401_maskonlyb04_01_com.asset","","","","","37","29","","","","","","","","","",""
"24","3","124","Main/Level_Main_24","normal","普通/恢复","FixedFront40","","OriginalNonTarget","direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L024_direct_pure_topup_05_02_direct_normal_pure_rect_se.asset","direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L024_direct_pure_topup_05_02_direct_normal_pure_rect_se.asset","","","","","18","37","","","","","","","","","",""
"25","3","125","Main/Level_Main_25","normal","困难","FixedFront40","Hard","ReplacedStrict0910","c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L025_direct_pure_normal_extra_01_10_direct_normal_pure_.asset","lowchoice","","","","21","35","23","31","0.982","10","5","5","0.931","0.117","6","5"
"26","3","126","Main/Level_Main_26_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_candidate_058_tall_18x26_section","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L026_hole_candidate_058_tall_18x26_section.asset","hole_candidate_058_tall_18x26_section","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L026_hole_candidate_058_tall_18x26_section.asset","","","","","18","26","","","","","","","","","",""
"27","3","127","Main/Level_Main_27","shape","普通/恢复","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb09_09_compact_crownvarianta","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L027_r2_outer_strong_005_r2_006_a401_maskonlyb09_09_com.asset","r2_outer_strong_005_r2_006_a401_maskonlyb09_09_compact_crownvarianta","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L027_r2_outer_strong_005_r2_006_a401_maskonlyb09_09_com.asset","","","","","36","29","","","","","","","","","",""
"28","3","128","Main/Level_Main_28","normal","普通/恢复","FixedFront40","","OriginalNonTarget","direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L028_direct_pure_topup_02_24_direct_refresh_topup_rect_.asset","direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L028_direct_pure_topup_02_24_direct_refresh_topup_rect_.asset","","","","","17","29","","","","","","","","","",""
"29","3","129","Main/Level_Main_29","normal","极难","FixedFront40","Peak","ReplacedStrict0910","c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain.asset","sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework_maze_01_sgp_linework_maze_bluepri","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L029_sgp_merged_final_outer_repair_quality_filtered26_h.asset","strict152","PeelHard","rail_chain","Peak","22","35","22","30","0.989","10","3","3","0.886","0.188","7","7"
"30","3","130","Main/Level_Main_30","normal","普通/恢复","FixedFront40","","OriginalNonTarget","direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L030_direct_diff120_42_direct_diff_normal_room_gate_dou.asset","direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L030_direct_diff120_42_direct_diff_normal_room_gate_dou.asset","","","","","20","32","","","","","","","","","",""
"31","4","131","Main/Level_Main_31","normal","普通/恢复","FixedFront40","NormalA_FlowOrNeutral","ReplacedStrict0910","campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L031_direct_pure_topup_01_05_direct_refresh_topup_rect_.asset","strict152","FlowCurve","curve_chain","NormalFlow","14","28","20","27","0.981","6","4","4","0.864","0.147","6","4"
"32","4","132","Main/Level_Main_32","shape","普通/恢复","FixedFront40","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb08_03_compact_wavecrest","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L032_r2_outer_strong_005_r2_006_a401_maskonlyb08_03_com.asset","r2_outer_strong_005_r2_006_a401_maskonlyb08_03_compact_wavecrest","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L032_r2_outer_strong_005_r2_006_a401_maskonlyb08_03_com.asset","","","","","36","36","","","","","","","","","",""
"33","4","133","Main/Level_Main_33","normal","普通/恢复","FixedFront40","","OriginalNonTarget","direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L033_direct_pure_topup_04_17_direct_normal_pure_rect_ou.asset","direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L033_direct_pure_topup_04_17_direct_normal_pure_rect_ou.asset","","","","","19","33","","","","","","","","","",""
"34","4","134","Main/Level_Main_34","normal","困难","FixedFront40","","OriginalNonTarget","direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L034_direct_pure_topup_04_03_direct_normal_pure_rect_lo.asset","direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L034_direct_pure_topup_04_03_direct_normal_pure_rect_lo.asset","","","","","20","37","","","","","","","","","",""
"35","4","135","Main/Level_Main_35","normal","普通/恢复","FixedFront40","NormalB_NeutralOrPeelLight","ReplacedStrict0910","campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L035_direct_pure_topup_01_12_direct_refresh_topup_rect_.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","17","29","20","27","0.974","8","6","5","0.895","0.123","8","3"
"36","4","136","Main/Level_Main_36","normal","普通/恢复","FixedFront40","","OriginalNonTarget","direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L036_direct_pure_normal_extra_01_12_direct_normal_pure_.asset","direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L036_direct_pure_normal_extra_01_12_direct_normal_pure_.asset","","","","","19","33","","","","","","","","","",""
"37","4","137","Main/Level_Main_37_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_candidate_009_std_20x22_lock","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L037_hole_candidate_009_std_20x22_lock.asset","hole_candidate_009_std_20x22_lock","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L037_hole_candidate_009_std_20x22_lock.asset","","","","","20","22","","","","","","","","","",""
"38","4","138","Main/Level_Main_38","shape","困难","FixedFront40","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb08_07_main_suspensionbridge","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L038_r2_outer_strong_005_r2_006_a401_maskonlyb08_07_mai.asset","r2_outer_strong_005_r2_006_a401_maskonlyb08_07_main_suspensionbridge","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L038_r2_outer_strong_005_r2_006_a401_maskonlyb08_07_mai.asset","","","","","40","32","","","","","","","","","",""
"39","4","139","Main/Level_Main_39","normal","特别困难","FixedFront40","Peak","ReplacedStrict0910","c5hole_lowchoice_v1_h01r_19_nutation_strict_mixed_peak_v1_rect_s04_o039_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_19_nutation_strict_mixed_peak_v1_rect_s04_o039_v00_strictmixedpeak_strict_peak_chain_hf1.asset","direct_normal_06_direct_normal_rect_core_burst_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L039_direct_normal_06_direct_normal_rect_core_burst_g0_.asset","lowchoice","","","","22","35","22","30","0.98","10","7","3","0.868","0.214","9","7"
"40","4","140","Main/Level_Main_40","normal","困难","FixedFront40","Hard","ReplacedStrict0910","c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset","direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L040_direct_pure_topup_05_11_direct_normal_pure_rect_lo.asset","strict152","PeelMid","rail_chain","Hard","22","33","23","31","0.987","10","6","4","0.818","0.28","8","7"
"41","5","141","Main/Level_Main_41","normal","普通/恢复","Recovery","NormalA_FlowOrNeutral","ReplacedStrict0910","campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset","direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L041_direct_pure_topup_03_17_direct_refresh_topup_rect_.asset","strict152","FlowRail","rail_chain","NormalFlow","14","28","20","27","0.995","8","6","3","0.878","0.163","7","6"
"42","5","142","Main/Level_Main_42","normal","困难","Normal","","OriginalNonTarget","direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L042_direct_pure_topup_04_12_direct_normal_pure_rect_de.asset","direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L042_direct_pure_topup_04_12_direct_normal_pure_rect_de.asset","","","","","19","33","","","","","","","","","",""
"43","5","143","Main/Level_Main_43","shape","困难","Shape","","OriginalNonTarget","r2_outer_strong_005_r2_006_a401_maskonlyb05_17_large_sunglasses","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L043_r2_outer_strong_005_r2_006_a401_maskonlyb05_17_lar.asset","r2_outer_strong_005_r2_006_a401_maskonlyb05_17_large_sunglasses","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L043_r2_outer_strong_005_r2_006_a401_maskonlyb05_17_lar.asset","","","","","35","27","","","","","","","","","",""
"44","5","144","Main/Level_Main_44","normal","困难","Pressure","Hard","ReplacedStrict0910","c5nep_w9smh_06_nutation_strict_mixed_hard_v1_rect_s05_o044_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_06_nutation_strict_mixed_hard_v1_rect_s05_o044_v01_strictmixedhard_mixed_chain.asset","direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L044_direct_pure_normal_extra_01_07_direct_normal_pure_.asset","strict152","PeelMid","curve_chain","Hard","20","32","21","28","0.98","10","4","3","0.862","0.177","6","6"
"45","5","145","Main/Level_Main_45","normal","普通/恢复","Recovery","","OriginalNonTarget","direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L045_direct_pure_topup_05_03_direct_normal_pure_rect_lo.asset","direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L045_direct_pure_topup_05_03_direct_normal_pure_rect_lo.asset","","","","","19","32","","","","","","","","","",""
