order,assetPath,levelId,assetName,type,levelType,difficulty,stage,width,height,chains,arrowCells,validationStatus,validationFlags,shapeId
11,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset,level3_thirty_03_level3_thirty_mini_maze_30,level3_thirty_03_level3_thirty_mini_maze_30,normal,普通,1,1-50,12,18,31,209,Green,None,
12,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset,nomask_style_expansion_23_center_cross_b,nomask_style_expansion_23_center_cross_b,normal,普通,1,1-50,17,24,50,400,Green,None,
13,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452,shape,普通,1,1-50,24,24,37,201,Green,ShapeLowFill,shape_early_prop04_magic_wand
14,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset,nomask_06_sweep,nomask_06_sweep,normal,普通,1,1-50,15,21,42,310,Green,None,
15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,section,普通,2,1-50,14,26,53,355,Green,None,
16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,lock,普通,2,1-50,15,29,54,426,Green,None,
17,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001,hole_rescue,hole,1,1-50,18,20,37,195,Green,BottleneckHeavy,
18,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset,nomask_style_10_zig_river,nomask_style_10_zig_river,normal,普通,1,1-50,18,25,53,439,Green,None,
19,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,lock,普通,4,1-50,19,37,94,693,Green,PeakTooFlat,
20,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset,nomask_01_outer_shell,nomask_01_outer_shell,shell,普通,1,1-50,15,22,41,327,Green,None,
21,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_02_snake_spine.asset,nomask_style_02_snake_spine,nomask_style_02_snake_spine,sweep,普通,1,1-50,16,24,44,383,Green,None,
22,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset,nomask_style_expansion_26_stair_ladder_a,nomask_style_expansion_26_stair_ladder_a,section,普通,1,1-50,16,24,55,379,Green,None,
23,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340,shape_magic,普通,4,1-50,30,44,80,664,Yellow,StartFakeWide|BottleneckHeavy,shape_main_magic_quill_tall
24,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,section,普通,1,1-50,18,37,82,655,Green,None,
25,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,lock,普通,2,1-50,21,35,98,728,Green,None,
26,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset,hole_candidate_058_tall_18x26_section,hole_candidate_058_tall_18x26_section,hole_rescue,hole,1,1-50,18,26,42,385,Green,None,
27,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset,r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall,procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009,shape_object,普通,2,1-50,28,42,80,635,Green,None,shape_main_hourglass_tall
28,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,maze,普通,1,1-50,17,29,63,487,Green,None,
29,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,dense,普通,3,1-50,20,34,99,668,Yellow,StartFakeWide,
30,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,lock,普通,2,1-50,23,37,106,835,Green,BottleneckHeavy,
31,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,sweep,普通,1,1-50,14,28,61,381,Green,None,
32,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409,shape_magic,普通,3,1-50,28,40,83,672,Green,BottleneckHeavy,shape_main_shield_tall
33,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,dense,普通,1,1-50,19,33,78,618,Green,None,
34,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,lock,普通,2,1-50,20,37,93,725,Green,None,
35,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,dense,普通,1,1-50,17,29,65,484,Green,None,
36,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,lock,普通,2,1-50,19,33,83,617,Green,None,
37,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset,hole_candidate_009_std_20x22_lock,hole_candidate_009_std_20x22_lock,hole_rescue,hole,1,1-50,20,22,41,357,Green,None,
38,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435,shape_magic,普通,3,1-50,30,42,88,723,Yellow,GrindyLowClear,shape_main_key_tall
39,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset,direct_normal_06_direct_normal_rect_core_burst_g0_v01,direct_normal_06_direct_normal_rect_core_burst_g0_v01,lock,普通,1,1-50,22,35,101,761,Green,None,
40,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,lock,普通,3,1-50,22,33,103,717,Green,None,
41,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset,direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09,direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09,dense,普通,1,1-50,14,28,62,382,Green,None,
42,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,dense,普通,2,1-50,19,33,80,618,Green,None,
43,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351,shape_magic,普通,2,1-50,32,42,87,753,Green,None,shape_main_magic_bat_tall
44,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset,direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01,direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01,section,普通,4,1-50,20,32,86,628,Green,PeakTooFlat,
45,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04.asset,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,lock,普通,1,1-50,19,32,74,592,Green,None,
46,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset,hole_candidate_017_std_20x26_maze,hole_candidate_017_std_20x26_maze,hole_rescue,hole,1,1-50,20,26,43,437,Green,None,
47,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_73_direct_normal_rect_lock_buckle_g1_v08.asset,direct_normal_73_direct_normal_rect_lock_buckle_g1_v08,direct_normal_73_direct_normal_rect_lock_buckle_g1_v08,lock,普通,3,1-50,23,40,118,903,Yellow,GrindyLowClear|PeakTooFlat,
48,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352,shape_magic,普通,2,1-50,32,44,88,758,Green,None,shape_main_magic_black_cat_tall
49,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03.asset,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,section,普通,2,1-50,20,34,89,669,Green,PeakTooFlat,
50,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset,nomask_style_expansion_35_zig_river_tall,nomask_style_expansion_35_zig_river_tall,sweep,普通,1,1-50,18,30,67,527,Green,None,
51,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,maze,普通,1,51-100,18,34,85,589,Green,None,
52,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset,direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09,direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09,lock,普通,1,51-100,22,31,87,666,Green,PeakTooFlat,
53,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406,shape_space,普通,1,51-100,30,42,86,608,Green,None,shape_main_rocket_tall
54,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset,hole_topup_001_topup_tall_18x26_dense,hole_topup_001_topup_tall_18x26_dense,hole_rescue,hole,1,51-100,18,26,43,388,Green,None,
55,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02.asset,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,section,普通,1,51-100,20,35,94,684,Green,None,
56,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04.asset,direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04,direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04,dense,普通,1,51-100,22,34,96,734,Green,PeakTooFlat,
57,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09.asset,direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09,direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09,section,普通,2,51-100,18,34,84,601,Green,None,
58,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset,r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall,procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452,shape_symbol,普通,1,51-100,30,42,87,653,Green,None,shape_main_distinct_puzzle_tall
59,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02.asset,direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02,direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02,lock,普通,2,51-100,18,38,89,672,Green,PeakTooFlat,
60,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_06_stair_ladder.asset,nomask_style_06_stair_ladder,nomask_style_06_stair_ladder,section,普通,1,51-100,16,24,59,370,Green,None,
61,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset,hole_candidate_057_tall_18x26_lock,hole_candidate_057_tall_18x26_lock,hole_rescue,hole,1,51-100,18,26,43,386,Green,None,
62,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04.asset,direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04,direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04,dense,普通,1,51-100,17,24,63,394,Green,None,
63,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828.asset,r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall,procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828,shape_nature,普通,2,51-100,32,42,90,732,Green,None,shape_main_leaf09_tall
64,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_20_long_corridor_b.asset,nomask_style_expansion_20_long_corridor_b,nomask_style_expansion_20_long_corridor_b,maze,普通,1,51-100,20,28,66,551,Green,None,
65,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_23_direct_normal_rect_lock_buckle_g2_v03.asset,direct_normal_23_direct_normal_rect_lock_buckle_g2_v03,direct_normal_23_direct_normal_rect_lock_buckle_g2_v03,lock,普通,1,51-100,22,37,104,803,Green,PeakTooFlat,
66,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03.asset,direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03,direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03,sweep,普通,1,51-100,18,37,89,652,Green,None,
67,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510.asset,r2_outer_strong_005_r2_006_a401_procmask_19_onion_maskproceduralvertical_30x40-mainstartall,procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510,shape_symbol,普通,2,51-100,30,40,86,611,Green,None,shape_main_star_tall
68,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08.asset,direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08,direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08,lock,普通,1,51-100,15,25,59,368,Green,None,
69,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_48_direct_normal_rect_stair_push_g4_v05.asset,direct_normal_48_direct_normal_rect_stair_push_g4_v05,direct_normal_48_direct_normal_rect_stair_push_g4_v05,section,普通,1,51-100,22,35,100,760,Green,PeakTooFlat,
70,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_139_direct_normal_rect_quasi_symmetry_g1_v14.asset,direct_normal_139_direct_normal_rect_quasi_symmetry_g1_v14,direct_normal_139_direct_normal_rect_quasi_symmetry_g1_v14,section,普通,1,51-100,21,36,103,741,Green,None,
71,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_019_std_22x24_section.asset,hole_candidate_019_std_22x24_section,hole_candidate_019_std_22x24_section,hole_rescue,hole,1,51-100,22,24,45,447,Green,None,
72,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_66_direct_normal_topup_rect_lock_buckle_g8_v09.asset,direct_normal_topup_66_direct_normal_topup_rect_lock_buckle_g8_v09,direct_normal_topup_66_direct_normal_topup_rect_lock_buckle_g8_v09,lock,普通,1,51-100,21,39,104,802,Green,PeakTooFlat,
73,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall_20260611_111431.asset,r2_outer_strong_005_r2_006_a401_procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall,procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall_20260611_111431,shape_symbol,普通,2,51-100,28,42,90,637,Green,None,shape_main_distinct_crescent_tall
74,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_21_direct_normal_pure_extra_rect_dual_zone_g17_v03.asset,direct_pure_normal_extra_01_21_direct_normal_pure_extra_rect_dual_zone_g17_v03,direct_pure_normal_extra_01_21_direct_normal_pure_extra_rect_dual_zone_g17_v03,section,普通,2,51-100,18,36,87,642,Green,None,
75,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_121_direct_normal_rect_outer_shell_g0_v13.asset,direct_normal_121_direct_normal_rect_outer_shell_g0_v13,direct_normal_121_direct_normal_rect_outer_shell_g0_v13,sweep,普通,3,51-100,20,38,103,746,Green,None,
76,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04.asset,direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04,direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04,section,普通,2,51-100,21,34,94,703,Green,PeakTooFlat,
77,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_33_double_room_lock_tall.asset,nomask_style_expansion_33_double_room_lock_tall,nomask_style_expansion_33_double_room_lock_tall,lock,普通,1,51-100,18,29,48,516,Green,None,
