"selectedIndex","order","section10","category","difficultyCode","rhythmBucket","rhythmExperienceRole","slotDutyV3","sampleRole","whySelected","humanReviewQuestion","expectedTraceV2Focus","productionLane","chainLanguage","finalChain","canvasAdjustedChain","finalArrow","finalArea","replacementMark","auditFindings","finalLevelAssetPath","syncAssetPath","tracePath","traceAbsolutePath","traceAssetExists","finalGuid"
"11","30","3","normal","1","Ordinary","FixedFront40","NormalPractice","post_extreme_release","29之后释放样本","检查 post-peak release","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","FlowRail","rail_chain","47","47","538","540","V5_FRONT100_TARGET_REPLACED","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain.asset","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\fastlane1\campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain.asset","True","5fbaa52a6b43d74439c9a17858003afd"
"12","38","4","shape","2","FixedFront40","FixedFront40","ShapeReadAnchor","shape_hard_jump","shape + difficultyCode2 + early jump","判断 shape 压力是否可读还是视觉重","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","88","88","718","1280","KEPT_C5V4FSC_REPLACEMENT","WARN:early_jump","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\Campaign500ShapePsgReviewTop3Rescue\campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","True","61718c1ac2f37f64e9de0915aa23e42b"
"13","47","5","normal","4","Peak","Peak","ExtremeMemory","early_extreme_hub","早期 extreme/hub mixed","检查 hub 是否产生可解释卡点","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","HubMixed","unknown_chain","94","94","667","713","V5_FRONT100_TARGET_REPLACED","WARN:early_jump","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","U/Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationHubMixedV1Strict30TransformWidePool\nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","True","b5b183691196ffa4e8c5a351d3328554"
"14","72","8","normal","3","Peak","Pressure","DependencyPeak","mid_peak_pressure","中前段 peak pressure","检查 peak 是否比普通多真实读题","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","92","92","862","884","V5_FRONT100_TARGET_REPLACED","WARN:early_jump","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\s39_s50_tail\campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","True","07c7358784f928041ada3a402f107890"
"15","83","9","shape","2","Shape","Shape","ShapeReadAnchor","shape_hard_mid","shape hard 中段样本","检查 shape hard 的空间约束是否真实","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","91","91","709","1360","KEPT_C5V4FSC_REPLACEMENT","WARN:early_jump","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\Campaign500ShapePsgNext10Tail9\campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","True","8629ba81fd601964386344907767e956"
"16","96","10","normal","4","Peak","Peak","ExtremeMemory","longchain_extreme","LongChainProbe 极难样本","检查 longchain 是否体现主干卡点","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","LongChainProbe","patch_chain","121","136","1155","1209","V5_FRONT100_TARGET_REPLACED","WARN:early_jump","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch.asset","U/Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80HolefixS2V1\nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch.asset","True","18a604a8d455e974f81198451ef8d5f7"
"17","100","10","normal","1","Ordinary","Normal","NormalPractice","section_landing_heavy","第100关落点/普通但偏重","判断普通重关是否是假难","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","PressurePeak","mixed_chain","83","83","763","768","V5_FRONT100_TARGET_REPLACED","INFO:arrow_cap","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\w10smp\c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","True","2d9a07ef6d5462d4aa2b107bc7319f36"
"18","112","12","normal","3","Peak","Pressure","DependencyPeak","high_arrow_peak","高箭头 peak 样本","区分高箭头疲劳和真实结构难","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","maze_long_chain","spine_chain","92","112","1343","1440","KEPT_C5V4FSC_REPLACEMENT","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset","U/Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80V1\nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset","True","b146e1837c00f914d9843ab7e2b21379"
"19","150","15","normal","1","Ordinary","Normal","NormalPractice","high_arrow_normal","非峰值高箭头普通样本","检查 visual overload 是否被误判为难","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","PeelMid","rail_chain","84","84","902","910","KEPT_C5V4FSC_REPLACEMENT","WARN:arrow_cap","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain.asset","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\s27_s38\campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain.asset","True","d2fbd2a56c2733645bc352e6d6343470"
"20","153","16","shape","2","Shape","Shape","ShapeReadAnchor","shape_high_arrow_hard","shape + hard + 高箭头","检查 shape hard 的可读卡点与视觉负担","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","131","131","1056","1634","KEPT_C5V4FSC_REPLACEMENT","INFO:chain_cap;WARN:arrow_cap","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_07_L153_pumpkin.asset","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_07_L153_pumpkin.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_07_L153_pumpkin.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\Campaign500ShapePsgNext10B\campaign500_shape_psg_next10b_07_L153_pumpkin.asset","True","3a27091de8a6c2d46b674a27f5840aff"
"21","168","17","shape","2","Shape","Shape","ShapeReadAnchor","shape_high_arrow_hard_2","第二个 shape 高箭头困难样本","作为 shape hard 对照","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","","","118","118","1004","1862","KEPT_C5V4FSC_REPLACEMENT","WARN:arrow_cap;INFO:large_jump","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_39_L168_brickcellphone_lock.asset","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_39_L168_brickcellphone_lock.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_39_L168_brickcellphone_lock.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\Campaign500ShapePsgReviewTop3Rescue\campaign500_shape_psg_review_top3_rescue_39_L168_brickcellphone_lock.asset","True","7dddf6513821cc745aaddbb8298add7a"
"22","181","19","normal","1","Ordinary","Recovery","RecoveryFlow","section19_recovery","低分 section19 的 recovery/ordinary","检查 recovery 是否真的释放","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","Campaign500_HardGateUntil0910","strict_hard_chain","77","77","700","713","KEPT_C5V4FSC_REPLACEMENT","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\h01r\c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","True","6ed8a15fb8bc1964d9ed774d89c973c0"
"23","185","19","normal","2","Hard","Pressure","ReadCheck","section19_hard_contrast","低分 section19 的 hard","检查 hard 是否反而不如 normal 难","KeyChokeEvent;ReadWindow;ObservedTags;NarrativeClass;SlotExpectationFit","PeelMid","curve_chain","75","75","705","713","KEPT_C5V4FSC_REPLACEMENT","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain.asset","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\w10smh\c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain.asset","True","8739171442352dd458939a9739f8c52a"
