"selected","levelId","path","source","order","slotDuty","sampleRole","finalChain","finalArrow"
"1","L150_high_arrow_normal","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain.asset","C5V5F100_trace_v2_calibration30","150","NormalPractice","high_arrow_normal","84","902"
"1","L153_shape_high_arrow_hard","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_07_L153_pumpkin.asset","C5V5F100_trace_v2_calibration30","153","ShapeReadAnchor","shape_high_arrow_hard","131","1056"
"1","L168_shape_high_arrow_hard_2","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_39_L168_brickcellphone_lock.asset","C5V5F100_trace_v2_calibration30","168","ShapeReadAnchor","shape_high_arrow_hard_2","118","1004"
"1","L181_section19_recovery","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","C5V5F100_trace_v2_calibration30","181","RecoveryFlow","section19_recovery","77","700"
"1","L185_section19_hard_contrast","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_12_nutation_strict_mixed_hard_v1_rect_s20_o199_v03_strictmixedhard_mixed_chain.asset","C5V5F100_trace_v2_calibration30","185","ReadCheck","section19_hard_contrast","75","705"
"1","L188_section19_heavy_normal","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08.asset","C5V5F100_trace_v2_calibration30","188","NormalPractice","section19_heavy_normal","106","784"
"1","L217_post_extreme_release_late","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_072_wide_28x22_lock.asset","C5V5F100_trace_v2_calibration30","217","HoleSpatialAnchor","post_extreme_release_late","56","540"
"1","L305_section31_peak_contrast","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","C5V5F100_trace_v2_calibration30","305","StylePeak","section31_peak_contrast","82","818"
"1","L310_section31_heavy_normal","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_58_direct_normal_rect_stair_push_g5_v06.asset","C5V5F100_trace_v2_calibration30","310","NormalPractice","section31_heavy_normal","111","838"
"1","L378_late_shape_heavy","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_137_L378_pretzel_sweep.asset","C5V5F100_trace_v2_calibration30","378","ShapeAnchor","late_shape_heavy","138","1134"
"1","L456_late_extreme_longchain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_37_nutation_longchain_curve_v1_rect_c80hf_10_d2_section_curve.asset","C5V5F100_trace_v2_calibration30","456","ExtremeMemory","late_extreme_longchain","92","1045"
"1","L466_late_heavy_normal","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_05_direct_polish_hard_pure_rect_dual_zone_g9_v01.asset","C5V5F100_trace_v2_calibration30","466","NormalPractice","late_heavy_normal","166","1015"
