"order","category","difficultyCode","slotDuty","sampleRole","whySelected","humanReviewQuestion","finalChain","finalArrow","finalArea","traced","solved","processTier","avgChoices","maxChoices","choiceChokeWindowCount","frontierDrainRemoteChokeCount","choiceChokeCompositeBreakWindowCount","localPatchSolveRunMax","nearOuterPatchSolveRunMax","dependencyFollowRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","hardStructureV3Class","humanDifficultyClass","hasReadableChoke","chokeDescription","feelsFair","notes"
"83","shape","2","ShapeReadAnchor","shape_hard_mid","shape hard 中段样本","检查 shape hard 的空间约束是否真实","91","709","1360","True","True","B","3.76","8","7","0","3","9","2","7","0.643","0.512","LocalEasy","","","","",""
"96","normal","4","ExtremeMemory","longchain_extreme","LongChainProbe 极难样本","检查 longchain 是否体现主干卡点","121","1155","1209","True","True","B","6.77","11","1","2","1","6","4","6","0.859","0.183","LocalEasy","","","","",""
"100","normal","1","NormalPractice","section_landing_heavy","第100关落点/普通但偏重","判断普通重关是否是假难","83","763","768","True","True","B","4.87","9","5","2","2","5","5","4","0.85","0.247","LocalEasy","","","","",""
"112","normal","3","DependencyPeak","high_arrow_peak","高箭头 peak 样本","区分高箭头疲劳和真实结构难","92","1343","1440","True","True","B","3.71","8","6","2","3","7","4","5","0.825","0.245","LocalEasy","","","","",""
"150","normal","1","NormalPractice","high_arrow_normal","非峰值高箭头普通样本","检查 visual overload 是否被误判为难","84","902","910","True","True","B","6","10","3","0","0","6","3","6","0.891","0.127","LocalEasy","","","","",""
"153","shape","2","ShapeReadAnchor","shape_high_arrow_hard","shape + hard + 高箭头","检查 shape hard 的可读卡点与视觉负担","131","1056","1634","True","True","B","6.08","10","2","0","0","13","3","5","0.701","0.381","LocalEasy","","","","",""
"168","shape","2","ShapeReadAnchor","shape_high_arrow_hard_2","第二个 shape 高箭头困难样本","作为 shape hard 对照","118","1004","1862","False","","","","","","","","","","","","","","","","","",""
"181","normal","1","RecoveryFlow","section19_recovery","低分 section19 的 recovery/ordinary","检查 recovery 是否真的释放","77","700","713","False","","","","","","","","","","","","","","","","","",""
"185","normal","2","ReadCheck","section19_hard_contrast","低分 section19 的 hard","检查 hard 是否反而不如 normal 难","75","705","713","False","","","","","","","","","","","","","","","","","",""
"188","normal","1","NormalPractice","section19_heavy_normal","低分 section19 的 heavy normal","检查 normal 是否压过困难","106","784","798","False","","","","","","","","","","","","","","","","","",""
"217","hole","1","HoleSpatialAnchor","post_extreme_release_late","后段 extreme 后释放不足样本","检查 release failure 是否被事件化","56","540","616","False","","","","","","","","","","","","","","","","","",""
"305","normal","3","StylePeak","section31_peak_contrast","低分 section31 的 peak/hard样本","检查 peak contrast 是否不足","82","818","825","False","","","","","","","","","","","","","","","","","",""
"310","normal","1","NormalPractice","section31_heavy_normal","低分 section31 的 heavy normal","与305对照，判断普通倒挂","111","838","851","False","","","","","","","","","","","","","","","","","",""
"378","shape","1","ShapeAnchor","late_shape_heavy","后段重 shape 样本","检查空间/视觉重与卡点难度区别","138","1134","1672","False","","","","","","","","","","","","","","","","","",""
"456","normal","4","ExtremeMemory","late_extreme_longchain","后段 extreme longchain样本","检查终局峰值是否有强 readable choke","92","1045","1102","False","","","","","","","","","","","","","","","","","",""
"466","normal","1","NormalPractice","late_heavy_normal","后段超重 normal样本","检查普通高量级是否是假难","166","1015","1040","False","","","","","","","","","","","","","","","","","",""
