"order","sampleRole","reviewQuestion","category","difficultyCode","finalChain","finalArrow","finalWidth","finalHeight","sourceTag","levelId","solved","processTier","rankClass","avgChoices","maxChoices","choiceP80","choiceChokeWindowCount","frontierDrainRemoteChokeCount","frontierDrainRemoteChokeScore","choiceChokeCompositeBreakWindowCount","localPatchSolveRunMax","nearOuterPatchSolveRunMax","dependencyFollowRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","hardStructureV3Class","hardStructureV3Score","difficultyScoreV1","tracePath","traceMetricsFile"
"30","post_extreme_release",,"normal","1","47","538",,,,"campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain","True","B",,"6.13","10","8","1","0",,"0","5","3","2","0.865","0.188","LocalEasy","0.081","0.51","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\fastlane1\campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk3\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk3_metrics.csv"
"38","shape_hard_jump",,"shape","2","88","718",,,,"campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section","True","B",,"5.45","10","7","5","0",,"0","8","4","5","0.721","0.314","LocalEasy","0.072","0.5","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\Campaign500ShapePsgReviewTop3Rescue\campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk3\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk3_metrics.csv"
"47","early_extreme_hub",,"normal","4","94","667",,,,"nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180","True","B",,"5.99","10","8","3","2",,"1","6","5","5","0.82","0.277","LocalEasy","0.074","0.499","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationHubMixedV1Strict30TransformWidePool\nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk3\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk3_metrics.csv"
"72","mid_peak_pressure",,"normal","3","92","862",,,,"campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain","True","B",,"6.65","11","9","1","0",,"0","6","2","4","0.831","0.234","LocalEasy","0.073","0.52","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\s39_s50_tail\campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk3\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk3_metrics.csv"
"83","shape_hard_mid",,"shape","2","91","709",,,,"campaign500_shape_psg_next10_tail9_02_L083_ballmouse","True","B",,"3.76","8","5","7","0",,"3","9","2","7","0.643","0.512","LocalEasy","0.063","0.658","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\Campaign500ShapePsgNext10Tail9\campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk3\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk3_metrics.csv"
"96","longchain_extreme",,"normal","4","121","1155",,,,"nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch","True","B",,"6.77","11","8","1","2",,"1","6","4","6","0.859","0.183","LocalEasy","0.075","0.488","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80HolefixS2V1\nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk4\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk4_metrics.csv"
"100","section_landing_heavy",,"normal","1","83","763",,,,"c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain","True","B",,"4.87","9","7","5","2",,"2","5","5","4","0.85","0.247","LocalEasy","0.089","0.568","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\w10smp\c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk4\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk4_metrics.csv"
"112","high_arrow_peak",,"normal","3","92","1343",,,,"nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine","True","B",,"3.71","8","5","6","2",,"3","7","4","5","0.825","0.245","LocalEasy","0.074","0.651","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80V1\nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk4\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk4_metrics.csv"
"150","high_arrow_normal",,"normal","1","84","902",,,,"campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain","True","B",,"6","10","8","3","0",,"0","6","3","6","0.891","0.127","LocalEasy","0.075","0.501","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\s27_s38\campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk4\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk4_metrics.csv"
"153","shape_high_arrow_hard",,"shape","2","131","1056",,,,"campaign500_shape_psg_next10b_07_L153_pumpkin","True","B",,"6.08","10","8","2","0",,"0","13","3","5","0.701","0.381","LocalEasy","0.069","0.522","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\Campaign500ShapePsgNext10B\campaign500_shape_psg_next10b_07_L153_pumpkin.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk4\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk4_metrics.csv"
