order,category,difficultyCode,slotDutyV2,targetEffectiveLoad,effectiveLoadBand,selectedLevelId,selectedAssetPath,sourceOrder,sourceStatus,selectedLoad,rawChains,bandFit,matchMode,matchScore,matchReason,productionStyle,chainLanguage
11,normal,1,RecoveryFlow,33,28-38,campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain.asset,297,ReplacedRhythmV4,38.78,38,out_of_band,scored-match,-1.88,load:near-band;style:flow;lang:rail;replaced,flow,patch_chain
12,normal,1,NormalPractice,36,30-42,campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset,20,ReplacedRhythmV4,40.59,38,in_band,scored-match,-20.148,load:in-band;style:flow;lang:rail;near-order;replaced,flow,rail_chain
13,shape,1,ShapeAnchor,38,32-44,campaign500_shape_psg_newbie4_04_L013_magicwand,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset,13,ShapeCandidatePlanned,38.0,60,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,Sweep,
14,normal,1,LanguageVariation,40,34-46,campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain.asset,289,ReplacedRhythmV4,42.08,39,in_band,scored-match,-25.176,load:in-band;style:flow;lang:rail;replaced,flow,rail_chain
15,normal,1,CanvasStep,44,38-50,campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain.asset,337,ReplacedRhythmV4FinalStrictComplete,45.0,45,in_band,scored-match,-23.2,load:in-band;lang:rail;strict-complete,FlowCurve,curve_chain
16,normal,1,ReadCheck,46,40-52,campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset,471,ReplacedRhythmV4FinalStrictComplete,46.0,46,in_band,scored-match,-36.0,load:in-band;lang:rail;readcheck-suitable;strict-complete,FlowCurve,curve_chain
17,hole,1,HoleSpatialAnchor,38,32-44,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,17,OriginalNonTarget,38.0,,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,,
18,normal,1,BridgeRamp,50,44-56,campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset,7,ReplacedRhythmV4,51.15,50,in_band,scored-match,-22.78,load:in-band;style:mixed;style:neutral-mixed;replaced,neutral,mixed_chain
19,normal,3,DependencyPeak,61,56-66,nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine.asset,281,ReplacedRhythmV4,60.66,43,in_band,scored-match,-46.048,load:in-band;style:longchain;lang:spine;peak-suitable;replaced,longchain,spine_chain
20,normal,1,RecoveryFlow,42,36-48,campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset,295,ReplacedRhythmV4,42.37,38,in_band,scored-match,-29.964,load:in-band;style:flow;lang:rail;replaced,flow,rail_chain
21,normal,1,RecoveryFlow,36,30-42,campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset,291,ReplacedRhythmV4,42.74,40,out_of_band,scored-match,6.76,load:near-band;style:flow;replaced,flow,rail_chain
22,normal,1,NormalPractice,41,35-47,campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset,8,ReplacedRhythmV4,45.68,46,in_band,scored-match,-17.896,load:in-band;style:flow;lang:rail;replaced,flow,patch_chain
23,shape,1,ShapeAnchor,46,40-52,campaign500_shape_psg_direction3_01_L023_train,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset,23,ShapeCandidatePlanned,46.0,87,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,CoreBurst,
24,normal,1,LanguageVariation,44,38-50,campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset,81,ReplacedRhythmV4,45.73,43,in_band,scored-match,-20.156,load:in-band;style:flow;replaced,flow,rail_chain
25,normal,2,LocalRunBreaker,62,54-70,campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset,357,ReplacedRhythmV4FinalStrictComplete,67.0,67,in_band,scored-match,-33.0,load:in-band;style:mixed;style:neutral-mixed;lang:patch;readcheck-suitable;strict-complete,FlowPatch,patch_chain
26,hole,1,HoleSpatialAnchor,53,47-59,hole_candidate_058_tall_18x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset,26,OriginalNonTarget,53.0,,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,,
27,shape,1,ShapeAnchor,42,36-48,campaign500_shape_psg_direction3_02_L027_crownvarianta,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset,27,ShapeCandidatePlanned,42.0,72,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,LockBuckle,
28,normal,1,BridgeRamp,54,48-60,campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset,346,ReplacedRhythmV4FinalStrictComplete,54.0,54,in_band,scored-match,-26.0,load:in-band;lang:rail;strict-complete,FlowRail,rail_chain
29,normal,4,ExtremeMemory,84,72-96,c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset,384,ReplacedRhythmV4FinalStrictComplete,84.0,84,in_band,scored-match,-55.0,load:in-band;style:peel;style:neutral-mixed;lang:rail;peak-suitable;strict-complete,PeelMid,rail_chain
30,normal,1,SetupOrBreath,58,52-64,campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset,68,ReplacedRhythmV4,58.01,52,in_band,scored-match,-24.972,load:in-band;style:flow;replaced,flow,rail_chain
31,normal,1,RecoveryFlow,42,36-48,campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier,Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset,290,ReplacedRhythmV4,44.68,15,in_band,scored-match,-7.496,load:in-band;replaced,longchain,family_profile_chain
32,shape,1,ShapeAnchor,50,44-56,campaign500_shape_psg_direction3_03_L032_wavecrest,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset,32,ShapeCandidatePlanned,50.0,83,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,Sweep,
33,normal,1,LanguageVariation,49,43-55,campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset,100,ReplacedRhythmV4,48.53,43,in_band,scored-match,-23.684,load:in-band;style:flow;replaced,flow,curve_chain
34,normal,2,CanvasStep,65,57-73,campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset,464,ReplacedRhythmV4FinalStrictComplete,65.0,65,in_band,scored-match,-37.0,load:in-band;style:mixed;style:neutral-mixed;lang:mixed;strict-complete,NeutralMixed,mixed_chain
35,normal,1,BridgeRamp,53,47-59,campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset,10,ReplacedRhythmV4,53.84,52,in_band,scored-match,-23.648,load:in-band;style:mixed;style:neutral-mixed;replaced,neutral,mixed_chain
36,normal,1,NormalPractice,58,52-64,campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset,15,ReplacedRhythmV4,56.12,55,in_band,scored-match,-30.736,load:in-band;style:flow;style:neutral-mixed;lang:curve;replaced,flow,curve_chain
37,hole,1,HoleSpatialAnchor,46,40-52,hole_candidate_009_std_20x22_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset,37,OriginalNonTarget,46.0,,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,,
38,shape,2,ReadCheck,78,70-86,campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset,38,ShapeCandidatePlanned,78.0,88,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,SectionUnlock,
39,normal,3,DependencyPeak,78,68-88,c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain.asset,439,ReplacedRhythmV4FinalStrictComplete,79.0,79,in_band,scored-match,-47.2,load:in-band;style:peel;lang:rail;peak-suitable;strict-complete,PeelLight,rail_chain
40,normal,2,CanvasStep,79,71-87,c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset,482,ReplacedRhythmV4FinalStrictComplete,79.0,79,in_band,scored-match,-41.0,load:in-band;style:peel;style:neutral-mixed;lang:mixed;strict-complete,PeelLight,curve_chain
41,normal,1,RecoveryFlow,50,44-56,campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset,12,ReplacedRhythmV4,49.78,48,in_band,scored-match,-24.384,load:in-band;style:flow;replaced,flow,patch_chain
42,normal,2,CanvasStep,70,62-78,c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain.asset,496,ReplacedRhythmV4FinalStrictComplete,71.0,71,in_band,scored-match,-38.2,load:in-band;style:peel;style:neutral-mixed;lang:rail;strict-complete,PeelLight,rail_chain
43,shape,2,ReadCheck,75,67-83,campaign500_shape_psg_first10_05_L043_sunglasses,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_05_L043_sunglasses.asset,43,ShapeCandidatePlanned,75.0,81,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,LockBuckle,
44,normal,2,CanvasStep,73,65-81,c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain.asset,424,ReplacedRhythmV4FinalStrictComplete,74.0,74,in_band,scored-match,-38.2,load:in-band;style:peel;style:neutral-mixed;lang:mixed;strict-complete,PeelLight,curve_chain
45,normal,1,BridgeRamp,61,55-67,campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset,21,ReplacedRhythmV4,61.54,60,in_band,scored-match,-30.488,load:in-band;style:mixed;style:neutral-mixed;lang:patch;replaced,flow,patch_chain
46,hole,1,HoleSpatialAnchor,67,61-73,hole_candidate_017_std_20x26_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset,46,OriginalNonTarget,67.0,,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,,
47,normal,4,ExtremeMemory,91,79-103,c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset,70,ReplacedRhythmV4,91.8,81,in_band,scored-match,-47.76,load:in-band;style:peel;style:neutral-mixed;lang:rail;peak-suitable;replaced,peel,rail_chain
48,shape,2,ReadCheck,76,70-82,campaign500_shape_psg_first10_06_L048_kite,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_06_L048_kite.asset,48,ShapeCandidatePlanned,76.0,76,theme_anchor_unscored_load,exact-theme-keep,0.0,preserve tutorial/category theme,Sweep,
49,normal,3,DependencyPeak,86,76-96,c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain.asset,445,ReplacedRhythmV4FinalStrictComplete,87.0,87,in_band,scored-match,-47.2,load:in-band;style:peel;lang:rail;peak-suitable;strict-complete,PeelMid,rail_chain
50,normal,1,SetupOrBreath,72,66-78,campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain.asset,230,ReplacedRhythmV4,72.08,69,in_band,scored-match,-25.776,load:in-band;style:mixed;style:neutral-mixed;replaced,neutral,mixed_chain
