order,category,difficultyCode,slotDutyV2,finalLevelId,finalAssetPath,levelGuid,sourceOrder,finalChain,candidateRawChains,bandFit
32,shape,1,ShapeAnchor,campaign500_shape_psg_direction3_03_L032_wavecrest,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset,886e8b8365360ba4d94c8238422884db,32,50,83,theme_anchor_unscored_load
33,normal,1,LanguageVariation,campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset,0055102bb406eeb4fae8928b8ddc3720,100,49,43,in_band
34,normal,2,CanvasStep,campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset,a3f185398f5a4acea898eb12fd644a7c,464,65,65,in_band
35,normal,1,BridgeRamp,campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset,541351506e0f93941828e12b8235e728,10,54,52,in_band
36,normal,1,NormalPractice,campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset,10f853e4f2acf2949bd42b92826aa221,15,56,55,in_band
37,hole,1,HoleSpatialAnchor,hole_candidate_009_std_20x22_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset,271922d79e908d1499f309879c21042f,37,46,,theme_anchor_unscored_load
38,shape,2,ReadCheck,campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset,61718c1ac2f37f64e9de0915aa23e42b,38,78,88,theme_anchor_unscored_load
39,normal,3,DependencyPeak,c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain.asset,5c17884fb2fd54e45a63d125d6e1b516,439,79,79,in_band
40,normal,2,CanvasStep,c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset,8a3242f303a055046b1f7a1efb2a4a32,482,79,79,in_band
41,normal,1,RecoveryFlow,campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset,18028b31c1437b5469b8b55fe7a1161b,12,50,48,in_band
42,normal,2,CanvasStep,c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain.asset,50e4948294dd7d04098b55bf277724a3,496,71,71,in_band
43,shape,2,ReadCheck,campaign500_shape_psg_first10_05_L043_sunglasses,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_05_L043_sunglasses.asset,b3886fab3f454a94db01ce28ef10810f,43,75,81,theme_anchor_unscored_load
44,normal,2,CanvasStep,c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain.asset,428f43c1d82505e4e9888c9760d4558b,424,74,74,in_band
45,normal,1,BridgeRamp,campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset,145cf0cda4c002a4cbc51bed907e1dc8,21,62,60,in_band
46,hole,1,HoleSpatialAnchor,hole_candidate_017_std_20x26_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset,7ae14667f6e7b4644814ed2947249b08,46,67,,theme_anchor_unscored_load
47,normal,4,ExtremeMemory,c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset,8e426a1ed8a83ba409203e5fc4f158bc,70,92,81,in_band
48,shape,2,ReadCheck,campaign500_shape_psg_first10_06_L048_kite,Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_06_L048_kite.asset,e8f522174fc9b274192017c166d7ad02,48,76,76,theme_anchor_unscored_load
49,normal,3,DependencyPeak,c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain.asset,9c30ad7f13f813e4da37101fd6be3ff6,445,87,87,in_band
50,normal,1,SetupOrBreath,campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain.asset,1e83bd6a56d09574894c10cfc2ba3d3d,230,72,69,in_band
