"order","section10","mainMissionId","levelName","category","difficultyNameZh","experienceRole","roleInSection","finalStatus","finalLevelId","finalAssetPath","originalLevelId","originalAssetPath","replacementSourceKind","productionLane","productionChainLanguage","productionDifficultyBand","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax","assemblyAction","assemblySourcePool","assemblySourceRoot","assemblyGateClass","assemblySelectionReason","assemblyCopyRequired","assemblyCandidateLevelId","assemblyCandidateAssetPath","assemblyCandidateStyle","assemblyCandidateChainLanguage","assemblyCandidateRole","assemblyManualReview","assemblyRemainingGap","assemblyGapReason","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateAvgChoices","assemblyCandidateMaxChain","assemblyCandidateAvgChain","assemblyCandidateStraightness","assemblyCandidateProfile"
"19","2","119","Main/Level_Main_19","normal","特别困难","Normal","Peak","ReplacedHardGate0910","c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain.asset","direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L019_direct_pure_topup_06_19_direct_normal_pure_rect_lo.asset","strict152","PeelHard","rail_chain","Peak","0.979","9","5","5","0.894","0.129","5","5","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain.asset","","rail_chain","","False","False","","","","","","","","",""
"20","2","120","Main/Level_Main_20","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedHardGate0910","campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","nomask_01_outer_shell","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L020_nomask_01_outer_shell.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","0.976","8","5","5","0.851","0.14","5","5","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_17_nutation_mixed_neutral_v1_rect_s02_o020_v01_neutralmixed_mixed_chain.asset","","mixed_chain","","False","False","","","","","","","","",""
"21","3","121","Main/Level_Main_21","normal","普通/恢复","FixedFront40","NormalB_NeutralOrPeelLight","ReplacedHardGate0910","campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L021_direct_diff120_04_direct_diff_refresh_dag_unlock_s.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","0.993","8","6","3","0.857","0.209","8","6","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","","mixed_chain","","False","False","","","","","","","","",""
"22","3","122","Main/Level_Main_22","normal","普通/恢复","FixedFront40","NormalA_FlowOrNeutral","ReplacedHardGate0910","campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","nomask_style_expansion_26_stair_ladder_a","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L022_nomask_style_expansion_26_stair_ladder_a.asset","strict152","FlowPatch","patch_chain","NormalFlow","0.994","8","4","4","0.828","0.16","5","5","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","","patch_chain","","False","False","","","","","","","","",""
"23","3","123","Main/Level_Main_23","shape","普通/恢复","FixedFront40","","ShapeCandidatePlanned","campaign500_shape_psg_direction3_01_L023_train","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","r2_outer_strong_005_r2_006_a401_maskonlyb04_01_compact_train","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L023_r2_outer_strong_005_r2_006_a401_maskonlyb04_01_com.asset","shape_psg_inventory","","","","0.991","10","7","2","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_direction3_01_L023_train","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","CoreBurst","","TraceKeeper","False","False","","","","87","5.43","","","","CoreBurst"
"25","3","125","Main/Level_Main_25","normal","困难","FixedFront40","Hard","ReplacedHardGate0910","c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L025_direct_pure_normal_extra_01_10_direct_normal_pure_.asset","lowchoice","","","","0.982","10","5","5","0.931","0.117","6","5","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","","","","False","False","","","","","","","","",""
"27","3","127","Main/Level_Main_27","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_direction3_02_L027_crownvarianta","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","r2_outer_strong_005_r2_006_a401_maskonlyb09_09_compact_crownvarianta","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L027_r2_outer_strong_005_r2_006_a401_maskonlyb09_09_com.asset","shape_psg_inventory","","","","0.993","8","10","4","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_direction3_02_L027_crownvarianta","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","LockBuckle","","TraceKeeper","False","False","","","","72","4.32","","","","LockBuckle"
"29","3","129","Main/Level_Main_29","normal","极难","FixedFront40","Peak","ReplacedHardGate0910","c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain.asset","sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework_maze_01_sgp_linework_maze_bluepri","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L029_sgp_merged_final_outer_repair_quality_filtered26_h.asset","strict152","PeelHard","rail_chain","Peak","0.989","10","3","3","0.886","0.188","7","7","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain.asset","","rail_chain","","False","False","","","","","","","","",""
"31","4","131","Main/Level_Main_31","normal","普通/恢复","FixedFront40","NormalA_FlowOrNeutral","ReplacedHardGate0910","campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L031_direct_pure_topup_01_05_direct_refresh_topup_rect_.asset","strict152","FlowCurve","curve_chain","NormalFlow","0.981","6","4","4","0.864","0.147","6","4","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","","curve_chain","","False","False","","","","","","","","",""
"32","4","132","Main/Level_Main_32","shape","普通/恢复","FixedFront40","","ShapeCandidatePlanned","campaign500_shape_psg_direction3_03_L032_wavecrest","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset","r2_outer_strong_005_r2_006_a401_maskonlyb08_03_compact_wavecrest","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L032_r2_outer_strong_005_r2_006_a401_maskonlyb08_03_com.asset","shape_psg_inventory","","","","0.977","14","9","3","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","ManualAcceptedProposed","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_direction3_03_L032_wavecrest","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset","Sweep","","ManualKeeper","True","False","","","","83","6.92","","","","Sweep"
"35","4","135","Main/Level_Main_35","normal","普通/恢复","FixedFront40","NormalB_NeutralOrPeelLight","ReplacedHardGate0910","campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L035_direct_pure_topup_01_12_direct_refresh_topup_rect_.asset","strict152","NeutralMixed","mixed_chain","NormalNeutral","0.974","8","6","5","0.895","0.123","8","3","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","","mixed_chain","","False","False","","","","","","","","",""
"38","4","138","Main/Level_Main_38","shape","困难","FixedFront40","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","r2_outer_strong_005_r2_006_a401_maskonlyb08_07_main_suspensionbridge","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L038_r2_outer_strong_005_r2_006_a401_maskonlyb08_07_mai.asset","shape_psg_inventory","","","","0.990","10","8","4","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","SectionUnlock","","TraceKeeper","False","False","","","","88","5.45","","","","SectionUnlock"
"39","4","139","Main/Level_Main_39","normal","特别困难","FixedFront40","Peak","ReplacedHardGate0910","c5hole_lowchoice_v1_h01r_19_nutation_strict_mixed_peak_v1_rect_s04_o039_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_19_nutation_strict_mixed_peak_v1_rect_s04_o039_v00_strictmixedpeak_strict_peak_chain_hf1.asset","direct_normal_06_direct_normal_rect_core_burst_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L039_direct_normal_06_direct_normal_rect_core_burst_g0_.asset","lowchoice","","","","0.98","10","7","3","0.868","0.214","9","7","ActiveReplace","Campaign500_HardGateUntil0910","main","CampaignHardGate","Existing 145-row no-quality-drop HardGate replacement.","False","c5hole_lowchoice_v1_h01r_19_nutation_strict_mixed_peak_v1_rect_s04_o039_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_19_nutation_strict_mixed_peak_v1_rect_s04_o039_v00_strictmixedpeak_strict_peak_chain_hf1.asset","","","","False","False","","","","","","","","",""
