"order","section10","category","roleInSection","productionLane","productionChainLanguage","productionDifficultyBand","assemblySourcePool","assemblySourceRoot","assemblyGateClass","finalLevelId","finalAssetPath","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateMaxChain","assemblyCandidateAvgChoices","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","assemblySelectionReason"
"43","5","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_first10_05_L043_sunglasses","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_05_L043_sunglasses.asset","","","81","","4.06","0.986","7","7","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"48","5","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_first10_06_L048_kite","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_06_L048_kite.asset","","","76","","4.92","0.992","10","10","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"53","6","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_first10_07_L053_camera","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_07_L053_camera.asset","","","92","","4.18","0.993","10","9","8","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"58","6","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_04_L058_bicycle_dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_04_L058_bicycle_dense.asset","","","92","","4.27","0.988","7","10","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"63","7","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_first10_09_L063_sailboat","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_09_L063_sailboat.asset","","","70","","5.57","0.983","10","7","1","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"67","7","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_first10_10_L067_pager","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_10_L067_pager.asset","","","91","","5.01","0.990","10","8","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"72","8","normal","Peak","PeelHard","rail_chain","Peak","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s2_v1_06_nutation_longchain_rail_v1_rect_c80hf2_02_d1_maze_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_06_nutation_longchain_rail_v1_rect_c80hf2_02_d1_maze_rail.asset","23","31","63","22","4.68","0.945","7","5","2","0.854","0.163","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"78","8","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_07_L078_pencil_section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_07_L078_pencil_section.asset","","","84","","4.95","0.987","10","12","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"83","9","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10_tail9_02_L083_ballmouse","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","","","91","","3.76","0.981","8","9","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"87","9","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10_tail9_03_L087_racingkart","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_03_L087_racingkart.asset","","","95","","6","0.988","9","9","6","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"90","9","normal","Hard","PeelMid","rail_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_02_nutation_longchain_rail_v1_rect_c80hf_01_d1_lock_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_02_nutation_longchain_rail_v1_rect_c80hf_01_d1_lock_rail.asset","22","30","55","22","4.02","0.956","7","6","3","0.875","0.206","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"93","10","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep.asset","","","92","","3.73","0.988","8","8","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"97","10","normal","Hard","PeelMid","curve_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_01_nutation_longchain_curve_v1_rect_c80hf_01_d1_lock_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_01_nutation_longchain_curve_v1_rect_c80hf_01_d1_lock_curve.asset","22","30","57","23","4.58","0.948","8","3","3","0.887","0.19","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"98","10","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10_tail9_05_L098_phonehandset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_05_L098_phonehandset.asset","","","70","","4.39","0.985","9","11","5","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"103","11","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core.asset","","","101","","5.7","0.994","10","12","1","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"108","11","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock.asset","","","80","","3.79","0.989","8","9","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"113","12","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10_tail9_08_L113_lightningbolt","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_08_L113_lightningbolt.asset","","","95","","4.64","0.980","11","6","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"118","12","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section.asset","","","98","","5.07","0.991","11","14","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"123","13","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_22_L123_car_core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_22_L123_car_core.asset","","","86","","4.03","0.993","7","10","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"127","13","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock.asset","","","88","","5.43","0.992","11","10","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"133","14","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10b_03_L133_musicnote","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_03_L133_musicnote.asset","","","88","","6.5","0.986","11","7","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"138","14","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10b_04_L138_bowlingpin","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_04_L138_bowlingpin.asset","","","90","","5.47","0.995","9","11","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"143","15","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_30_L143_watermelonslice_dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_30_L143_watermelonslice_dense.asset","","","89","","4.54","0.987","8","7","6","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"147","15","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10b_06_L147_caveentrance","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_06_L147_caveentrance.asset","","","106","","5.3","0.986","11","13","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"153","16","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10b_07_L153_pumpkin","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_07_L153_pumpkin.asset","","","131","","6.08","0.990","10","13","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"154","16","normal","Peak","PeelHard","curve_chain","Peak","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s3_v1_20_nutation_longchain_spine_v1_rect_c80hf3_05_d1_section_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_20_nutation_longchain_spine_v1_rect_c80hf3_05_d1_section_spine.asset","25","34","60","26","3.25","0.947","6","5","5","0.893","0.173","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"158","16","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","campaign500_shape_psg_next10b_08_L158_starfish","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_08_L158_starfish.asset","","","96","","5.79","0.981","12","5","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"163","17","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_remaining_drop_top3_02_L163_ring_r2dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_02_L163_ring_r2dense.asset","","","90","","5.69","0.984","10","7","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"168","17","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_39_L168_brickcellphone_lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_39_L168_brickcellphone_lock.asset","","","118","","3.93","0.990","8","14","8","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"173","18","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_remaining_drop_top3_05_L173_teapot_r2dense","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_05_L173_teapot_r2dense.asset","","","107","","5.79","0.989","10","15","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"178","18","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_44_L178_shell_core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_44_L178_shell_core.asset","","","90","","4.32","0.989","10","9","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"183","19","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_46_L183_airplane_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_46_L183_airplane_sweep.asset","","","91","","6.04","0.987","10","9","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"185","19","normal","Hard","PeelMid","curve_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_08_nutation_longchain_spine_v1_rect_c80hf_02_d1_maze_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_08_nutation_longchain_spine_v1_rect_c80hf_02_d1_maze_spine.asset","23","31","49","26","4.33","0.948","9","6","6","0.881","0.216","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"187","19","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_remaining_drop_top3_07_L187_waterdrop_r2core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_07_L187_waterdrop_r2core.asset","","","90","","4.86","0.989","9","10","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"189","19","normal","Peak","PeelHard","rail_chain","Peak","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s2_v1_14_nutation_longchain_rail_v1_rect_c80hf2_04_d1_core_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_14_nutation_longchain_rail_v1_rect_c80hf2_04_d1_core_rail.asset","24","34","66","22","4.33","0.953","7","4","4","0.886","0.206","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
"193","20","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10c_05_L193_robothead","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_05_L193_robothead.asset","","","104","","5.64","0.991","11","9","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"198","20","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10c_06_L198_headphones","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_06_L198_headphones.asset","","","101","","5.75","0.988","10","12","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"203","21","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10c_07_L203_microphone","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_07_L203_microphone.asset","","","101","","5.49","0.988","10","9","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"207","21","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_remaining_drop_top3_11_L207_magnetvarianta_r2section","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_11_L207_magnetvarianta_r2section.asset","","","112","","4.66","0.991","10","10","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"208","21","normal","Hard","PeelMid","rail_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_06_nutation_longchain_rail_v1_rect_c80hf_02_d1_maze_rail","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_06_nutation_longchain_rail_v1_rect_c80hf_02_d1_maze_rail.asset","23","31","60","22","4.85","0.945","9","4","4","0.921","0.101","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"213","22","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_57_L213_wizardhat_dual","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_57_L213_wizardhat_dual.asset","","","114","","5.38","0.986","9","8","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"218","22","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10c_10_L218_mailbox","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_10_L218_mailbox.asset","","","106","","4.03","0.983","9","11","3","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"219","22","normal","Hard","PeelMid","curve_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s3_v1_05_nutation_longchain_curve_v1_rect_c80hf3_02_d1_maze_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_05_nutation_longchain_curve_v1_rect_c80hf3_02_d1_maze_curve.asset","23","31","64","22","5.77","0.947","9","5","3","0.889","0.185","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"221","23","normal","Hard","PeelMid","rail_chain","Hard","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_s3_v1_08_nutation_longchain_spine_v1_rect_c80hf3_02_d1_maze_spine","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_08_nutation_longchain_spine_v1_rect_c80hf3_02_d1_maze_spine.asset","23","31","57","26","4.6","0.95","8","6","3","0.848","0.257","Generic LongChain strict candidate matched to missing Hard slot by stage difficulty, canvas, and chain-language fit."
"223","23","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_review_top3_rescue_59_L223_magnifier_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_59_L223_magnifier_sweep.asset","","","103","","5.5","0.981","10","11","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"228","23","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_no_b_r4_08_L228_icecreamcone_r4sym","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR4/campaign500_shape_psg_no_b_r4_08_L228_icecreamcone_r4sym.asset","","","117","","5.5","0.988","10","10","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"233","24","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","NeedsFinalManualReview","campaign500_shape_psg_next10d_03_L233_trafficcone","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_03_L233_trafficcone.asset","","","112","","5.64","0.988","12","10","2","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"238","24","shape","","","","","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","campaign500_shape_psg_next10d_04_L238_cactus","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_04_L238_cactus.asset","","","106","","6.93","0.986","10","8","4","","","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage."
"239","24","normal","Peak","PressurePeak","mixed_chain","Peak","NutationLongChainStrict60",".worktrees/nutation-peel","CampaignHardGateGenericMatch","nutation_longchain_candidate80_holefix_v1_17_nutation_longchain_curve_v1_rect_c80hf_05_d1_section_curve","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_17_nutation_longchain_curve_v1_rect_c80hf_05_d1_section_curve.asset","25","34","66","23","5.47","0.947","8","5","3","0.899","0.073","Generic LongChain strict candidate matched to missing Peak slot by stage difficulty, canvas, and chain-language fit."
