"order","levelName","roleInSection","experienceRole","productionLane","productionDifficultyBand","finalStatus","originalLevelId","originalAssetPath"
"170","Main/Level_Main_170","","Recovery","","","OriginalNonTarget","direct_normal_topup_71_direct_normal_topup_rect_quasi_symmetry_g8_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L170_direct_normal_topup_71_direct_normal_topup_rect_qu.asset"
"171","Main/Level_Main_171","","Recovery","","","OriginalNonTarget","direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L171_direct_normal_topup_03_direct_normal_topup_rect_de.asset"
"176","Main/Level_Main_176","","Pressure","","","OriginalNonTarget","direct_normal_16_direct_normal_rect_core_burst_g1_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L176_direct_normal_16_direct_normal_rect_core_burst_g1_.asset"
"180","Main/Level_Main_180","","Recovery","","","OriginalNonTarget","direct_normal_topup_56_direct_normal_topup_rect_sweep_g6_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L180_direct_normal_topup_56_direct_normal_topup_rect_sw.asset"
"181","Main/Level_Main_181","","Recovery","","","OriginalNonTarget","direct_normal_90_direct_normal_rect_maze_long_chain_g2_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L181_direct_normal_90_direct_normal_rect_maze_long_chai.asset"
"188","Main/Level_Main_188","","Normal","","","OriginalNonTarget","direct_normal_topup_61_direct_normal_topup_rect_dual_zone_g7_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L188_direct_normal_topup_61_direct_normal_topup_rect_du.asset"
"190","Main/Level_Main_190","","Normal","","","OriginalNonTarget","direct_normal_topup_54_direct_normal_topup_rect_stair_push_g6_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L190_direct_normal_topup_54_direct_normal_topup_rect_st.asset"
"191","Main/Level_Main_191","","Normal","","","OriginalNonTarget","direct_pure_normal_extra_02_18_direct_normal_pure_extra_rect_lock_buckle_g20_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L191_direct_pure_normal_extra_02_18_direct_normal_pure_.asset"
"195","Main/Level_Main_195","","Recovery","","","OriginalNonTarget","direct_normal_topup_08_direct_normal_topup_rect_sweep_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L195_direct_normal_topup_08_direct_normal_topup_rect_sw.asset"
"200","Main/Level_Main_200","","Normal","","","OriginalNonTarget","direct_normal_topup_06_direct_normal_topup_rect_stair_push_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L200_direct_normal_topup_06_direct_normal_topup_rect_st.asset"
"202","Main/Level_Main_202","NormalA_FlowOrNeutral","Normal","FlowPatch","NormalFlow","OriginalTargetMissingHardGate","direct_pure_topup_06_09_direct_normal_pure_rect_outer_shell_g7_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L202_direct_pure_topup_06_09_direct_normal_pure_rect_ou.asset"
"204","Main/Level_Main_204","","Pressure","","","OriginalNonTarget","direct_normal_67_direct_normal_rect_dual_zone_g0_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L204_direct_normal_67_direct_normal_rect_dual_zone_g0_v.asset"
"205","Main/Level_Main_205","","Recovery","","","OriginalNonTarget","direct_normal_topup_24_direct_normal_topup_rect_sweep_g8_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L205_direct_normal_topup_24_direct_normal_topup_rect_sw.asset"
"206","Main/Level_Main_206","NormalB_NeutralOrPeelLight","Normal","NeutralMixed","NormalNeutral","OriginalTargetMissingHardGate","direct_normal_topup_04_direct_normal_topup_rect_core_burst_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L206_direct_normal_topup_04_direct_normal_topup_rect_co.asset"
"210","Main/Level_Main_210","","Normal","","","OriginalNonTarget","direct_normal_149_direct_normal_rect_quasi_symmetry_g2_v15","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L210_direct_normal_149_direct_normal_rect_quasi_symmetr.asset"
"211","Main/Level_Main_211","","Recovery","","","OriginalNonTarget","direct_normal_135_direct_normal_rect_sweep_g1_v14","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L211_direct_normal_135_direct_normal_rect_sweep_g1_v14.asset"
"214","Main/Level_Main_214","","Pressure","","","OriginalNonTarget","direct_normal_66_direct_normal_rect_core_burst_g0_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L214_direct_normal_66_direct_normal_rect_core_burst_g0_.asset"
"215","Main/Level_Main_215","","Normal","","","OriginalNonTarget","direct_pure_topup_05_12_direct_normal_pure_rect_dense_weave_g10_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L215_direct_pure_topup_05_12_direct_normal_pure_rect_de.asset"
"224","Main/Level_Main_224","","Pressure","","","OriginalNonTarget","direct_normal_27_direct_normal_rect_dual_zone_g2_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L224_direct_normal_27_direct_normal_rect_dual_zone_g2_v.asset"
"226","Main/Level_Main_226","","Normal","","","OriginalNonTarget","direct_normal_69_direct_normal_rect_quasi_symmetry_g0_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L226_direct_normal_69_direct_normal_rect_quasi_symmetry.asset"
"229","Main/Level_Main_229","","Pressure","","","OriginalNonTarget","direct_normal_152_direct_normal_rect_section_unlock_g3_v16","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L229_direct_normal_152_direct_normal_rect_section_unloc.asset"
"231","Main/Level_Main_231","NormalB_NeutralOrPeelLight","Recovery","NeutralMixed","NormalNeutral","OriginalTargetMissingHardGate","direct_pure_normal_extra_03_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L231_direct_pure_normal_extra_03_08_direct_normal_pure_.asset"
"232","Main/Level_Main_232","","Pressure","","","OriginalNonTarget","direct_polish_clean_04_direct_polish_normal_rect_core_burst_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L232_direct_polish_clean_04_direct_polish_normal_rect_c.asset"
"237","Main/Level_Main_237","","Normal","","","OriginalNonTarget","direct_normal_71_direct_normal_rect_outer_shell_g1_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L237_direct_normal_71_direct_normal_rect_outer_shell_g1.asset"
"240","Main/Level_Main_240","","Recovery","","","OriginalNonTarget","direct_polish_clean_05_direct_polish_normal_rect_dual_zone_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L240_direct_polish_clean_05_direct_polish_normal_rect_d.asset"
"241","Main/Level_Main_241","","Recovery","","","OriginalNonTarget","direct_diff120_105_direct_diff_hard_long_spine_long_corridor_g1_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L241_direct_diff120_105_direct_diff_hard_long_spine_lon.asset"
"244","Main/Level_Main_244","","Normal","","","OriginalNonTarget","direct_normal_topup_62_direct_normal_topup_rect_stair_push_g7_v08","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L244_direct_normal_topup_62_direct_normal_topup_rect_st.asset"
"246","Main/Level_Main_246","","Recovery","","","OriginalNonTarget","direct_normal_150_direct_normal_rect_maze_long_chain_g2_v15","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L246_direct_normal_150_direct_normal_rect_maze_long_cha.asset"
"248","Main/Level_Main_248","NormalA_FlowOrNeutral","Normal","FlowCurve","NormalFlow","OriginalTargetMissingHardGate","direct_normal_07_direct_normal_rect_dual_zone_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L248_direct_normal_07_direct_normal_rect_dual_zone_g0_v.asset"
"254","Main/Level_Main_254","NormalA_FlowOrNeutral","Normal","FlowRail","NormalFlow","OriginalTargetMissingHardGate","direct_normal_topup_38_direct_normal_topup_rect_stair_push_g10_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L254_direct_normal_topup_38_direct_normal_topup_rect_st.asset"
"255","Main/Level_Main_255","","Recovery","","","OriginalNonTarget","direct_normal_151_direct_normal_rect_outer_shell_g3_v16","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L255_direct_normal_151_direct_normal_rect_outer_shell_g.asset"
"257","Main/Level_Main_257","","Normal","","","OriginalNonTarget","direct_normal_153_direct_normal_rect_lock_buckle_g3_v16","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L257_direct_normal_153_direct_normal_rect_lock_buckle_g.asset"
"259","Main/Level_Main_259","","Recovery","","","OriginalNonTarget","direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L259_direct_pure_topup_10_18_direct_polish_hard_pure_re.asset"
"261","Main/Level_Main_261","","Recovery","","","OriginalNonTarget","sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework_maze_05_sgp_linework_maze_bluepri","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L261_sgp_merged_final_outer_repair_quality_filtered26_h.asset"
"265","Main/Level_Main_265","","Recovery","","","OriginalNonTarget","direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L265_direct_normal_70_direct_normal_rect_maze_long_chai.asset"
"270","Main/Level_Main_270","","Normal","","","OriginalNonTarget","direct_normal_147_direct_normal_rect_dual_zone_g2_v15","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L270_direct_normal_147_direct_normal_rect_dual_zone_g2_.asset"
"271","Main/Level_Main_271","","Recovery","","","OriginalNonTarget","direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L271_direct_pure_topup_05_16_direct_normal_pure_rect_ma.asset"
"272","Main/Level_Main_272","","Normal","","","OriginalNonTarget","direct_normal_33_direct_normal_rect_lock_buckle_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L272_direct_normal_33_direct_normal_rect_lock_buckle_g3.asset"
"280","Main/Level_Main_280","","Normal","","","OriginalNonTarget","direct_normal_113_direct_normal_rect_lock_buckle_g5_v12","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L280_direct_normal_113_direct_normal_rect_lock_buckle_g.asset"
"284","Main/Level_Main_284","","Pressure","","","OriginalNonTarget","direct_pure_topup_07_22_direct_polish_hard_pure_rect_lock_buckle_g11_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L284_direct_pure_topup_07_22_direct_polish_hard_pure_re.asset"
"286","Main/Level_Main_286","","Normal","","","OriginalNonTarget","direct_normal_topup_39_direct_normal_topup_rect_quasi_symmetry_g10_v05","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L286_direct_normal_topup_39_direct_normal_topup_rect_qu.asset"
"290","Main/Level_Main_290","","Recovery","","","OriginalNonTarget","direct_normal_82_direct_normal_rect_section_unlock_g2_v09","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L290_direct_normal_82_direct_normal_rect_section_unlock.asset"
"294","Main/Level_Main_294","","Recovery","","","OriginalNonTarget","direct_normal_155_direct_normal_rect_sweep_g3_v16","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L294_direct_normal_155_direct_normal_rect_sweep_g3_v16.asset"
"297","Main/Level_Main_297","","Normal","","","OriginalNonTarget","direct_normal_128_direct_normal_rect_stair_push_g0_v13","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L297_direct_normal_128_direct_normal_rect_stair_push_g0.asset"
"300","Main/Level_Main_300","","Recovery","","","OriginalNonTarget","direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L300_direct_normal_110_direct_normal_rect_maze_long_cha.asset"
