"order","pool","srcRoot","rel","srcExists","srcMetaExists","dstExists","dstMetaExists","same","metaSame","status"
"83","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","True","True","False","False","False","False","copy_needed"
"87","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_03_L087_racingkart.asset","True","True","False","False","False","False","copy_needed"
"90","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_02_nutation_longchain_rail_v1_rect_c80hf_01_d1_lock_rail.asset","True","True","False","False","False","False","copy_needed"
"93","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep.asset","True","True","False","False","False","False","copy_needed"
"97","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_01_nutation_longchain_curve_v1_rect_c80hf_01_d1_lock_curve.asset","True","True","False","False","False","False","copy_needed"
"98","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_05_L098_phonehandset.asset","True","True","False","False","False","False","copy_needed"
"103","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core.asset","True","True","False","False","False","False","copy_needed"
"108","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock.asset","True","True","False","False","False","False","copy_needed"
"113","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_08_L113_lightningbolt.asset","True","True","False","False","False","False","copy_needed"
"118","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_19_L118_carrot_section.asset","True","True","False","False","False","False","copy_needed"
"123","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_22_L123_car_core.asset","True","True","False","False","False","False","copy_needed"
"127","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_25_L127_mushroom_lock.asset","True","True","False","False","False","False","copy_needed"
"133","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_03_L133_musicnote.asset","True","True","False","False","False","False","copy_needed"
"138","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_04_L138_bowlingpin.asset","True","True","False","False","False","False","copy_needed"
"143","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_30_L143_watermelonslice_dense.asset","True","True","False","False","False","False","copy_needed"
"147","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_06_L147_caveentrance.asset","True","True","False","False","False","False","copy_needed"
"153","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_07_L153_pumpkin.asset","True","True","False","False","False","False","copy_needed"
"154","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_20_nutation_longchain_spine_v1_rect_c80hf3_05_d1_section_spine.asset","True","False","False","False","False","False","missing_source_meta"
"158","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10B/campaign500_shape_psg_next10b_08_L158_starfish.asset","True","True","False","False","False","False","copy_needed"
"163","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_02_L163_ring_r2dense.asset","True","True","False","False","False","False","copy_needed"
"168","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_39_L168_brickcellphone_lock.asset","True","True","False","False","False","False","copy_needed"
"173","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_05_L173_teapot_r2dense.asset","True","True","False","False","False","False","copy_needed"
"178","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_44_L178_shell_core.asset","True","True","False","False","False","False","copy_needed"
"183","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_46_L183_airplane_sweep.asset","True","True","False","False","False","False","copy_needed"
"185","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_08_nutation_longchain_spine_v1_rect_c80hf_02_d1_maze_spine.asset","True","True","False","False","False","False","copy_needed"
"187","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_07_L187_waterdrop_r2core.asset","True","True","False","False","False","False","copy_needed"
"189","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_14_nutation_longchain_rail_v1_rect_c80hf2_04_d1_core_rail.asset","True","True","False","False","False","False","copy_needed"
"193","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_05_L193_robothead.asset","True","True","False","False","False","False","copy_needed"
"198","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_06_L198_headphones.asset","True","True","False","False","False","False","copy_needed"
"203","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_07_L203_microphone.asset","True","True","False","False","False","False","copy_needed"
"207","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_11_L207_magnetvarianta_r2section.asset","True","True","False","False","False","False","copy_needed"
"208","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_06_nutation_longchain_rail_v1_rect_c80hf_02_d1_maze_rail.asset","True","True","False","False","False","False","copy_needed"
"213","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_57_L213_wizardhat_dual.asset","True","True","False","False","False","False","copy_needed"
"218","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10C/campaign500_shape_psg_next10c_10_L218_mailbox.asset","True","True","False","False","False","False","copy_needed"
"219","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_05_nutation_longchain_curve_v1_rect_c80hf3_02_d1_maze_curve.asset","True","False","False","False","False","False","missing_source_meta"
"221","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_08_nutation_longchain_spine_v1_rect_c80hf3_02_d1_maze_spine.asset","True","False","False","False","False","False","missing_source_meta"
"223","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_59_L223_magnifier_sweep.asset","True","True","False","False","False","False","copy_needed"
"228","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR4/campaign500_shape_psg_no_b_r4_08_L228_icecreamcone_r4sym.asset","True","True","False","False","False","False","copy_needed"
"233","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_03_L233_trafficcone.asset","True","True","False","False","False","False","copy_needed"
"238","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_04_L238_cactus.asset","True","True","False","False","False","False","copy_needed"
"239","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_17_nutation_longchain_curve_v1_rect_c80hf_05_d1_section_curve.asset","True","True","False","False","False","False","copy_needed"
"243","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_05_L243_house.asset","True","True","False","False","False","False","copy_needed"
"247","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_17_L247_lollipop_r2section.asset","True","True","False","False","False","False","copy_needed"
"252","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_18_nutation_longchain_rail_v1_rect_c80hf_05_d1_section_rail.asset","True","True","False","False","False","False","copy_needed"
"253","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_70_L253_gear_dense.asset","True","True","False","False","False","False","copy_needed"
"258","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10D/campaign500_shape_psg_next10d_08_L258_questionmarkvarianta.asset","True","True","False","False","False","False","copy_needed"
"263","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingHardR3/campaign500_shape_psg_remaining_hard_r3_06_L263_cherries_r3section.asset","True","True","False","False","False","False","copy_needed"
"264","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_26_nutation_longchain_rail_v1_rect_c80hf_07_d2_maze_rail.asset","True","True","False","False","False","False","copy_needed"
"268","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_77_L268_boot_sweep.asset","True","True","False","False","False","False","copy_needed"
"273","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_23_L273_gameportal_r2section.asset","True","True","False","False","False","False","copy_needed"
"274","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_09_nutation_longchain_curve_v1_rect_c80hf3_03_d1_weave_curve.asset","True","False","False","False","False","False","missing_source_meta"
"278","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10E/campaign500_shape_psg_next10e_02_L278_tree.asset","True","True","False","False","False","False","copy_needed"
"283","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_86_L283_volcano_sweep.asset","True","True","False","False","False","False","copy_needed"
"288","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10E/campaign500_shape_psg_next10e_04_L288_knighthelmet.asset","True","True","False","False","False","False","copy_needed"
"293","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_26_L293_potionbottle_r2dense.asset","True","True","False","False","False","False","copy_needed"
"298","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_93_L298_rocketvarianta_dense.asset","True","True","False","False","False","False","copy_needed"
"299","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_20_nutation_longchain_spine_v1_rect_c80hf2_05_d1_section_spine.asset","True","False","False","False","False","False","missing_source_meta"
"303","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_29_L303_virtualpetkeychain_r2dense.asset","True","True","False","False","False","False","copy_needed"
"307","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_99_L307_pear_dense.asset","True","True","False","False","False","False","copy_needed"
"312","HubMixedStrict30Refill",".worktrees/nutation-hub-maze-mixed","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_02_s01_r02.asset","True","True","False","False","False","False","copy_needed"
"313","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_101_L313_apple_sweep.asset","True","True","False","False","False","False","copy_needed"
"318","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10E/campaign500_shape_psg_next10e_10_L318_flame.asset","True","True","False","False","False","False","copy_needed"
"323","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_104_L323_hotairballoon_core.asset","True","True","False","False","False","False","copy_needed"
"324","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_20_nutation_longchain_spine_v1_rect_c80hf_05_d1_section_spine.asset","True","True","False","False","False","False","copy_needed"
"327","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_31_L327_compass_r2lock.asset","True","True","False","False","False","False","copy_needed"
"331","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_25_nutation_longchain_curve_v1_rect_c80hf2_07_d2_maze_curve.asset","True","False","False","False","False","False","missing_source_meta"
"333","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingDropTop3/campaign500_shape_psg_remaining_drop_top3_35_L333_leaf_r2section.asset","True","True","False","False","False","False","copy_needed"
"338","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_113_L338_television_sweep.asset","True","True","False","False","False","False","copy_needed"
"341","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_21_nutation_longchain_curve_v1_rect_c80_06_d2_lock_curve.asset","True","True","False","False","False","False","copy_needed"
"343","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_115_L343_skeletonskull_lock.asset","True","True","False","False","False","False","copy_needed"
"347","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_24_nutation_longchain_spine_v1_rect_c80hf3_06_d2_lock_spine.asset","True","False","False","False","False","False","missing_source_meta"
"348","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingHardR3/campaign500_shape_psg_remaining_hard_r3_12_L348_donut_r3lock.asset","True","True","False","False","False","False","copy_needed"
"352","HubMixedStrict30Refill",".worktrees/nutation-hub-maze-mixed","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_04_s01_r04.asset","True","True","False","False","False","False","copy_needed"
"353","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR4/campaign500_shape_psg_no_b_r4_15_L353_slimecrown_r4stair.asset","True","True","False","False","False","False","copy_needed"
"358","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_125_L358_clover_sweep.asset","True","True","False","False","False","False","copy_needed"
"359","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_22_nutation_longchain_rail_v1_rect_c80hf_06_d2_lock_rail.asset","True","True","False","False","False","False","copy_needed"
"363","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_129_L363_bell_core.asset","True","True","False","False","False","False","copy_needed"
"368","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_130_L368_hourglass_sweep.asset","True","True","False","False","False","False","copy_needed"
"372","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_21_nutation_longchain_curve_v1_rect_c80hf_06_d2_lock_curve.asset","True","True","False","False","False","False","copy_needed"
"373","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR4/campaign500_shape_psg_no_b_r4_20_L373_glove_r4core.asset","True","True","False","False","False","False","copy_needed"
"378","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_137_L378_pretzel_sweep.asset","True","True","False","False","False","False","copy_needed"
"383","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_139_L383_alarmclock_lock.asset","True","True","False","False","False","False","copy_needed"
"387","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR5/campaign500_shape_psg_no_b_r5_12_L387_d20die_r5mazeA.asset","True","True","False","False","False","False","copy_needed"
"389","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch.asset","True","True","False","False","False","False","copy_needed"
"393","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNoBR4/campaign500_shape_psg_no_b_r4_33_L393_chessknight_r4lock.asset","True","True","False","False","False","False","copy_needed"
"396","NutationLongChainStrict60",".worktrees/nutation-peel","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_19_nutation_longchain_patch_v1_rect_c80hf3_05_d1_section_patch.asset","True","False","False","False","False","False","missing_source_meta"
"398","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10G/campaign500_shape_psg_next10g_06_L398_butterfly.asset","True","True","False","False","False","False","copy_needed"
"403","ShapeMaskInventory",".worktrees/mask-psg-production","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgRemainingHardR3/campaign500_shape_psg_remaining_hard_r3_24_L403_dialphone_r3dense.asset","True","True","False","False","False","False","copy_needed"
