"order","section10","roleInSection","productionLane","productionChainLanguage","assemblySourcePool","assemblyGateClass","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateMaxChain","assemblyCandidateAvgChoices","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","assemblyCandidateChainLanguage","finalLevelId"
"276","28","Peak","PressurePeak","mixed_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","3","3","0.885","mixed_chain","c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain"
"287","29","Peak","PressurePeak","mixed_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","7","4","0.848","mixed_chain","c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain"
"289","29","Hard","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","11","3","3","0.875","","campaign500_normal_full_v1_s27_s38_33_nutation_peel_v2_rect_s29_o289_v02_peelmid_curve_chain"
"296","30","Hard","PeelMid","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","5","4","0.868","rail_chain","c5nep_w12d_12_nutation_strict_mixed_hard_v1_rect_s30_o296_v03_strictmixedhard_mixed_chain"
"299","30","Peak","PressurePeak","mixed_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","25","34","68","26","4.47","8","5","5","0.88","spine_chain","nutation_longchain_candidate80_holefix_s2_v1_20_nutation_longchain_spine_v1_rect_c80hf2_05_d1_section_spine"
"305","31","Hard","PeelMid","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","5","5","0.877","rail_chain","c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain"
"309","31","Peak","PressurePeak","mixed_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","5","3","0.907","mixed_chain","c5nep_w12a_22_nutation_strict_mixed_hard_v1_rect_s31_o309_v05_strictmixedhard_mixed_chain"
"312","32","Hard","PeelMid","rail_chain","HubMixedStrict30Refill","StyleLocal9ManualAllowed","23","31","99","15","4.81","9","9","4","0.851","mixed_chain","nutation_hub_mixed_v1_strict30_refill_02_s01_r02"
"316","32","Peak","PressurePeak","mixed_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","4","4","0.854","mixed_chain","c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain"
"324","33","Hard","PeelMid","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","25","34","63","26","5.33","9","5","3","0.943","spine_chain","nutation_longchain_candidate80_holefix_v1_20_nutation_longchain_spine_v1_rect_c80hf_05_d1_section_spine"
"329","33","Peak","PressurePeak","mixed_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","5","3","0.936","mixed_chain","c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b"
"331","34","Hard","PeelMid","curve_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","27","36","85","23","4.64","7","3","3","0.866","curve_chain","nutation_longchain_candidate80_holefix_s2_v1_25_nutation_longchain_curve_v1_rect_c80hf2_07_d2_maze_curve"
"336","34","Peak","PressurePeak","mixed_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","4","3","0.858","mixed_chain","campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain"
"341","35","Hard","PeelMid","curve_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","26","35","69","23","4.45","8","6","6","0.858","curve_chain","nutation_longchain_candidate80_v1_21_nutation_longchain_curve_v1_rect_c80_06_d2_lock_curve"
"347","35","Peak","PressurePeak","mixed_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","26","35","71","26","4.41","9","7","3","0.889","spine_chain","nutation_longchain_candidate80_holefix_s3_v1_24_nutation_longchain_spine_v1_rect_c80hf3_06_d2_lock_spine"
"352","36","Hard","PeelMid","rail_chain","HubMixedStrict30Refill","StyleLocal9ManualAllowed","23","31","101","15","5.23","9","9","4","0.847","mixed_chain","nutation_hub_mixed_v1_strict30_refill_04_s01_r04"
"359","36","Peak","PressurePeak","mixed_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","26","35","76","22","4.66","10","5","5","0.852","rail_chain","nutation_longchain_candidate80_holefix_v1_22_nutation_longchain_rail_v1_rect_c80hf_06_d2_lock_rail"
"365","37","Peak","PressurePeak","mixed_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","8","5","5","0.831","mixed_chain","c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain"
"369","37","Hard","PeelMid","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","6","3","0.891","rail_chain","campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain"
"372","38","Hard","PeelMid","curve_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","26","35","79","23","5.71","9","6","3","0.825","curve_chain","nutation_longchain_candidate80_holefix_v1_21_nutation_longchain_curve_v1_rect_c80hf_06_d2_lock_curve"
"376","38","Peak","PressurePeak","mixed_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","4","4","0.884","mixed_chain","campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain"
"384","39","Hard","PeelMid","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","8","3","3","0.918","rail_chain","c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain"
"389","39","Peak","PressurePeak","mixed_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","24","34","75","21","6.17","10","4","4","0.907","patch_chain","nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch"
"394","40","Hard","PeelMid","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","8","5","3","0.872","rail_chain","c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain"
"396","40","Peak","PressurePeak","mixed_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","25","34","84","21","5.24","9","5","4","0.853","patch_chain","nutation_longchain_candidate80_holefix_s3_v1_19_nutation_longchain_patch_v1_rect_c80hf3_05_d1_section_patch"
"405","41","Hard","PeelMid","curve_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","5","2","0.862","curve_chain","c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain"
"407","41","Peak","","","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","11","6","2","0.831","","campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain"
"412","42","Hard","PeelMid","rail_chain","HubMixedStrict30Refill","StyleLocal9ManualAllowed","23","31","101","15","5.16","9","9","4","0.847","mixed_chain","nutation_hub_mixed_v1_strict30_refill_08_s02_r04"
"419","42","Peak","LongChainProbe","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","27","36","92","21","4.51","8","7","4","0.821","patch_chain","nutation_longchain_candidate80_v1_27_nutation_longchain_patch_v1_rect_c80_07_d2_maze_patch"
"425","43","Peak","LongChainProbe","patch_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","27","36","86","23","5.09","9","6","5","0.862","curve_chain","nutation_longchain_candidate80_holefix_s3_v1_25_nutation_longchain_curve_v1_rect_c80hf3_07_d2_maze_curve"
"429","43","Hard","PeelMid","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","28","38","84","22","5.4","10","3","3","0.881","rail_chain","nutation_longchain_candidate80_holefix_v1_34_nutation_longchain_rail_v1_rect_c80hf_09_d2_core_rail"
"432","44","Hard","PeelMid","rail_chain","HubMixedStrict30Refill","StyleLocal9ManualAllowed","23","31","99","15","4.76","9","9","4","0.842","mixed_chain","nutation_hub_mixed_v1_strict30_refill_06_s02_r02"
"436","44","Peak","LongChainProbe","curve_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","26","35","84","21","6.58","10","4","4","0.851","patch_chain","nutation_longchain_candidate80_v1_23_nutation_longchain_patch_v1_rect_c80_06_d2_lock_patch"
"445","45","Hard","PeelMid","rail_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","7","3","0.844","rail_chain","c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain"
"449","45","Peak","LongChainProbe","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","27","36","86","22","6.34","11","4","3","0.913","rail_chain","nutation_longchain_candidate80_holefix_s3_v1_26_nutation_longchain_rail_v1_rect_c80hf3_07_d2_maze_rail"
"456","46","Peak","LongChainProbe","patch_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","29","38","92","23","5.39","9","5","5","0.828","curve_chain","nutation_longchain_candidate80_holefix_v1_37_nutation_longchain_curve_v1_rect_c80hf_10_d2_section_curve"
"459","46","Hard","PeelMid","curve_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","9","6","5","0.823","curve_chain","c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain"
"465","47","Peak","LongChainProbe","curve_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","29","38","104","21","5.26","9","6","6","0.867","patch_chain","nutation_longchain_candidate80_holefix_s2_v1_39_nutation_longchain_patch_v1_rect_c80hf2_10_d2_section_patch"
"469","47","Hard","PeelMid","curve_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","28","36","89","23","6.33","11","6","5","0.845","curve_chain","nutation_longchain_candidate80_holefix_v1_29_nutation_longchain_curve_v1_rect_c80hf_08_d2_weave_curve"
"475","48","Hard","PeelMid","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","27","36","73","26","5.53","10","3","3","0.842","spine_chain","nutation_longchain_candidate80_holefix_s3_v1_28_nutation_longchain_spine_v1_rect_c80hf3_07_d2_maze_spine"
"479","48","Peak","LongChainProbe","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","28","38","93","22","6.26","11","5","3","0.92","curve_chain","nutation_longchain_candidate80_holefix_v1_33_nutation_longchain_curve_v1_rect_c80hf_09_d2_core_curve"
"485","49","Peak","LongChainProbe","patch_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","31","39","121","21","6.77","11","6","4","0.859","patch_chain","nutation_longchain_candidate80_holefix_s2_v1_47_nutation_longchain_patch_v1_rect_c80hf2_12_d3_maze_patch"
"489","49","Hard","PeelMid","rail_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","24","32","76","21","6.83","11","4","4","0.871","patch_chain","nutation_longchain_candidate80_v1_11_nutation_longchain_patch_v1_rect_c80_03_d1_weave_patch"
"491","50","Hard","PeelMid","curve_chain","Campaign500_HardGateUntil0910","CampaignHardGate","","","","","","10","4","3","0.924","curve_chain","c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain"
"500","50","Peak","LongChainProbe","curve_chain","NutationLongChainStrict60","CampaignHardGateGenericMatch","31","39","108","23","4.71","8","7","3","0.84","curve_chain","nutation_longchain_candidate80_holefix_s3_v1_45_nutation_longchain_curve_v1_rect_c80hf3_12_d3_maze_curve"
