"order","levelId","type","relativeDifficulty","slotRole","chains","width","height","shapeId","shapeNameZh","assetPath","copiedAssetPath"
"123","r2_outer_strong_005_r2_006_a401_maskonlyb04_08_main_car","shape_magic","Novelty","Shape","90","38","30","car","汽车","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L123_car_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L123_r2_outer_strong_005_r2_006_a401_maskonlyb04_08_mai.asset"
"127","r2_outer_strong_005_r2_006_a401_maskonlyb01_01_main_mushroom","shape_character","Novelty","Shape","96","34","34","mushroom","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV8/shape_refresh_v8_L127_maskonlyb01_01_main_mushroom_20260614_170705.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L127_r2_outer_strong_005_r2_006_a401_maskonlyb01_01_mai.asset"
"133","r2_outer_strong_005_r2_006_a401_maskonlyb01_05_large_musicnote","shape_magic","Novelty","Shape","94","34","47","musicnote","音符","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L133_musicnote_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L133_r2_outer_strong_005_r2_006_a401_maskonlyb01_05_lar.asset"
"138","r2_outer_strong_005_r2_006_a401_maskonlyb05_03_main_bowlingpin","shape_space","Novelty","Shape","99","28","44","bowlingpin","保龄球瓶","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L138_bowlingpin_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L138_r2_outer_strong_005_r2_006_a401_maskonlyb05_03_mai.asset"
"143","r2_outer_strong_005_r2_006_a401_maskonlyb05_19_large_watermelonslice","shape_magic","Novelty","Shape","87","42","34","watermelonslice","西瓜片","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L143_watermelonslice_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L143_r2_outer_strong_005_r2_006_a401_maskonlyb05_19_lar.asset"
"147","r2_outer_strong_005_r2_006_a401_maskonlyb08_09_large_caveentrance","shape_landmark","Novelty","Shape","100","44","43","caveentrance","洞口","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L147_caveentrance_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L147_r2_outer_strong_005_r2_006_a401_maskonlyb08_09_lar.asset"
"153","r2_outer_strong_005_r2_006_a401_maskonlyb02_16_large_pumpkin","shape_character","Novelty","Shape","115","43","38","pumpkin","南瓜","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L153_pumpkin_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L153_r2_outer_strong_005_r2_006_a401_maskonlyb02_16_lar.asset"
"158","r2_outer_strong_005_r2_006_a401_maskonlyb01_07_large_starfish","shape_symbol","Novelty","Shape","99","43","43","starfish","海星","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L158_starfish_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L158_r2_outer_strong_005_r2_006_a401_maskonlyb01_07_lar.asset"
"163","r2_outer_strong_005_r2_006_a401_maskonlyb05_16_main_ring","shape_ocean","Novelty","Shape","99","34","42","ring","戒指","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L163_ring_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L163_r2_outer_strong_005_r2_006_a401_maskonlyb05_16_mai.asset"
"168","r2_outer_strong_005_r2_006_a401_maskonlyb06_01_large_brickcellphone","shape_object","Novelty","Shape","110","38","49","brickcellphone","砖头手机","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L168_brickcellphone_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L168_r2_outer_strong_005_r2_006_a401_maskonlyb06_01_lar.asset"
"173","r2_outer_strong_005_r2_006_a401_maskonlyb05_18_large_teapot","shape_magic","Novelty","Shape","104","44","38","teapot","茶壶","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L173_teapot_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L173_r2_outer_strong_005_r2_006_a401_maskonlyb05_18_lar.asset"
"178","r2_outer_strong_005_r2_006_a401_maskonlyb01_11_main_shell","shape_art","Novelty","Shape","104","38","34","shell","贝壳","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L178_shell_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L178_r2_outer_strong_005_r2_006_a401_maskonlyb01_11_mai.asset"
"183","r2_outer_strong_005_r2_006_a401_maskonlyb04_04_main_airplane","shape_ocean","Novelty","Shape","103","42","42","airplane","飞机","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L183_r2_outer_strong_005_r2_006_a401_maskonlyb04_04_mai.asset"
"187","r2_outer_strong_005_r2_006_a401_maskonlyb04_03_main_waterdrop","shape_landmark","Novelty","Shape","102","30","42","waterdrop","水滴","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L187_waterdrop_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L187_r2_outer_strong_005_r2_006_a401_maskonlyb04_03_mai.asset"
"193","r2_outer_strong_005_r2_006_a401_maskonlyb07_08_large_robothead","shape_ocean","Novelty","Shape","102","44","40","robothead","机器人头","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L193_robothead_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L193_r2_outer_strong_005_r2_006_a401_maskonlyb07_08_lar.asset"
"198","r2_outer_strong_005_r2_006_a401_maskonlyb05_09_main_headphones","shape_object","Novelty","Shape","104","40","38","headphones","耳机","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L198_headphones_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L198_r2_outer_strong_005_r2_006_a401_maskonlyb05_09_mai.asset"
"203","r2_outer_strong_005_r2_006_a401_maskonlyb05_10_large_microphone","shape_ocean","Novelty","Shape","102","34","49","microphone","麦克风","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L203_microphone_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L203_r2_outer_strong_005_r2_006_a401_maskonlyb05_10_lar.asset"
"207","r2_outer_strong_005_r2_006_a401_maskonlyb09_04_main_magnetvarianta","shape_music","Novelty","Shape","114","38","38","magnetvarianta","磁铁","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L207_magnetvarianta_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L207_r2_outer_strong_005_r2_006_a401_maskonlyb09_04_mai.asset"
"213","r2_outer_strong_005_r2_006_a401_maskonlyb02_07_large_wizardhat","shape_nature","Novelty","Shape","111","44","43","wizardhat","巫师帽","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L213_maskonlyb02_07_large_wizardhat_20260614_171915.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L213_r2_outer_strong_005_r2_006_a401_maskonlyb02_07_lar.asset"
"218","r2_outer_strong_005_r2_006_a401_maskonlyb04_14_main_mailbox","shape_vehicle","Novelty","Shape","106","40","36","mailbox","邮箱","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L218_mailbox_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L218_r2_outer_strong_005_r2_006_a401_maskonlyb04_14_mai.asset"
"223","r2_outer_strong_005_r2_006_a401_maskonlyb01_03_large_magnifier","shape_music","Novelty","Shape","102","38","47","magnifier","放大镜","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L223_magnifier_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L223_r2_outer_strong_005_r2_006_a401_maskonlyb01_03_lar.asset"
"228","r2_outer_strong_005_r2_006_a401_maskonlyb02_05_large_icecreamcone","shape_magic","Novelty","Shape","109","36","49","icecreamcone","冰淇淋","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L228_icecreamcone_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L228_r2_outer_strong_005_r2_006_a401_maskonlyb02_05_lar.asset"
"233","r2_outer_strong_005_r2_006_a401_maskonlyb04_20_large_trafficcone","shape_object","Novelty","Shape","110","38","47","trafficcone","交通锥","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L233_trafficcone_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L233_r2_outer_strong_005_r2_006_a401_maskonlyb04_20_lar.asset"
"238","r2_outer_strong_005_r2_006_a401_maskonlyb04_07_main_cactus","shape_character","Novelty","Shape","106","34","42","cactus","仙人掌","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L238_cactus_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L238_r2_outer_strong_005_r2_006_a401_maskonlyb04_07_mai.asset"
"243","r2_outer_strong_005_r2_006_a401_maskonlyb03_01_main_house","shape_space","Novelty","Shape","120","36","38","house","房子","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L243_house_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L243_r2_outer_strong_005_r2_006_a401_maskonlyb03_01_mai.asset"
"247","r2_outer_strong_005_r2_006_a401_maskonlyb02_18_large_lollipop","shape_object","Novelty","Shape","109","38","47","lollipop","棒棒糖","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L247_lollipop_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L247_r2_outer_strong_005_r2_006_a401_maskonlyb02_18_lar.asset"
"253","r2_outer_strong_005_r2_006_a401_maskonlyb04_12_main_gear","shape_space","Novelty","Shape","117","38","38","gear","齿轮","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L253_gear_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L253_r2_outer_strong_005_r2_006_a401_maskonlyb04_12_mai.asset"
"258","r2_outer_strong_005_r2_006_a401_maskonlyb09_02_main_questionmarkvarianta","shape_ocean","Novelty","Shape","110","34","44","questionmarkvarianta","问号","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L258_questionmarkvarianta_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L258_r2_outer_strong_005_r2_006_a401_maskonlyb09_02_mai.asset"
"263","r2_outer_strong_005_r2_006_a401_maskonlyb05_04_main_cherries","shape_toolui","Novelty","Shape","116","36","42","cherries","樱桃","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L263_cherries_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L263_r2_outer_strong_005_r2_006_a401_maskonlyb05_04_mai.asset"
"268","r2_outer_strong_005_r2_006_a401_maskonlyb05_02_main_boot","shape_magic","Novelty","Shape","118","34","42","boot","靴子","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L268_boot_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L268_r2_outer_strong_005_r2_006_a401_maskonlyb05_02_mai.asset"
"273","r2_outer_strong_005_r2_006_a401_maskonlyb07_10_main_gameportal","shape_toolui","Novelty","Shape","113","36","44","gameportal","游戏传送门","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L273_gameportal_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L273_r2_outer_strong_005_r2_006_a401_maskonlyb07_10_mai.asset"
"278","r2_outer_strong_005_r2_006_a401_maskonlyb04_02_main_tree","shape_ocean","Novelty","Shape","119","36","42","tree","树","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L278_tree_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L278_r2_outer_strong_005_r2_006_a401_maskonlyb04_02_mai.asset"
"283","r2_outer_strong_005_r2_006_a401_maskonlyb08_02_main_volcano","shape_toolui","Novelty","Shape","119","40","42","volcano","火山","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L283_volcano_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L283_r2_outer_strong_005_r2_006_a401_maskonlyb08_02_mai.asset"
"288","r2_outer_strong_005_r2_006_a401_maskonlyb07_02_main_knighthelmet","shape_ocean","Novelty","Shape","120","36","44","knighthelmet","骑士头盔","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L288_knighthelmet_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L288_r2_outer_strong_005_r2_006_a401_maskonlyb07_02_mai.asset"
"293","r2_outer_strong_005_r2_006_a401_maskonlyb02_04_large_potionbottle","shape_landmark","Novelty","Shape","118","36","47","potionbottle","药水瓶","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L293_potionbottle_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L293_r2_outer_strong_005_r2_006_a401_maskonlyb02_04_lar.asset"
"298","r2_outer_strong_005_r2_006_a401_maskonlyb09_10_main_rocketvarianta","shape_magic","Novelty","Shape","123","34","44","rocketvarianta","火箭","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L298_rocketvarianta_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L298_r2_outer_strong_005_r2_006_a401_maskonlyb09_10_mai.asset"
"303","r2_outer_strong_005_r2_006_a401_maskonlyb06_08_main_virtualpetkeychain","shape_landmark","Novelty","Shape","120","34","44","virtualpetkeychain","电子宠物钥匙扣","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L303_virtualpetkeychain_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L303_r2_outer_strong_005_r2_006_a401_maskonlyb06_08_mai.asset"
"307","r2_outer_strong_005_r2_006_a401_maskonlyb05_13_large_pear","shape_ocean","Novelty","Shape","121","36","47","pear","梨","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L307_pear_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L307_r2_outer_strong_005_r2_006_a401_maskonlyb05_13_lar.asset"
"313","r2_outer_strong_005_r2_006_a401_maskonlyb02_02_main_apple","shape_music","Novelty","Shape","121","34","38","apple","苹果","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L313_apple_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L313_r2_outer_strong_005_r2_006_a401_maskonlyb02_02_mai.asset"
"318","r2_outer_strong_005_r2_006_a401_maskonlyb04_10_main_flame","shape_character","Novelty","Shape","125","34","42","flame","火焰","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L318_flame_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L318_r2_outer_strong_005_r2_006_a401_maskonlyb04_10_mai.asset"
"323","r2_outer_strong_005_r2_006_a401_maskonlyb02_06_main_hotairballoon","shape_ocean","Novelty","Shape","124","34","44","hotairballoon","热气球","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L323_hotairballoon_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L323_r2_outer_strong_005_r2_006_a401_maskonlyb02_06_mai.asset"
"327","r2_outer_strong_005_r2_006_a401_maskonlyb01_04_large_compass","shape_landmark","Novelty","Shape","130","38","47","compass","指南针","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L327_compass_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L327_r2_outer_strong_005_r2_006_a401_maskonlyb01_04_lar.asset"
