order,section10,mainMissionId,levelName,missionTypeCode,category,psgGenerateMode,styleHint,difficultyCode,difficultyNameZh,stageDifficultyHint,experienceRole,psgProfileHint,targetWidth,targetHeight,targetAspect,targetChains,targetChainsMin,targetChainsMax,referenceArrowTiles,referenceMaxChainLength,isShapeSlot,shapeId,shapeNameZh,shapeUsageDisplayId,specialClearAssetPath,isHoleSlot,missionAniId,missionAniResPath,missionAniWinPath,sourceV11LevelId,sourceV11AssetPath,sourceV11CopiedAssetPath,sourceV11Guid,sourceV11Status,sourceV11Flags,templateNote
87,9,187,Main/Level_Main_87,1,shape,PSG_ShapeMask,shape_object,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,40,32,1.25,107,96,118,742,13,1,racingkart,卡丁车,shape_racing_kart,UI/B_MissionAni/Special/ShapeIcons/shape_racing_kart,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb07_06_main_racingkart,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L087_maskonlyb07_06_main_racingkart_20260615_225216.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L087_r2_outer_strong_005_r2_006_a401_maskonlyb07_06_mai.asset,94b2a571bba7e6c4a8732b21f4fc7114,Green,None,
93,10,193,Main/Level_Main_93,1,shape,PSG_ShapeMask,shape_symbol,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,37,29,1.276,86,77,95,734,17,1,wrappedcandy,糖果,shape_wrapped_candy,UI/B_MissionAni/Special/ShapeIcons/shape_candy,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb02_10_large_wrappedcandy,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L093_wrappedcandy_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L093_r2_outer_strong_005_r2_006_a401_maskonlyb02_10_lar.asset,911f8161cb043114b806fc6d3526eb89,Yellow,GrindyLowClear,
98,10,198,Main/Level_Main_98,1,shape,PSG_ShapeMask,shape_music,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,34,42,0.81,87,78,96,575,13,1,phonehandset,电话听筒,shape_phone_handset,UI/B_MissionAni/Special/ShapeIcons/shape_phone_handset,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb04_16_main_phonehandset,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L098_phonehandset_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L098_r2_outer_strong_005_r2_006_a401_maskonlyb04_16_mai.asset,61579aec3b4969c428b2df9fbcf954d9,Green,ShapeLowFill,
103,11,203,Main/Level_Main_103,1,shape,PSG_ShapeMask,shape_ocean,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,44,38,1.158,102,92,112,838,17,1,paperplane,纸飞机,shape_paper_plane,UI/B_MissionAni/Special/ShapeIcons/shape_paper_airplane,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb02_01_large_paperplane,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L103_paperplane_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L103_r2_outer_strong_005_r2_006_a401_maskonlyb02_01_lar.asset,77941184af864f94fa42dcae05954e94,Yellow,GrindyLowClear,
108,11,208,Main/Level_Main_108,1,shape,PSG_ShapeMask,shape_symbol,1,普通/恢复,Novelty,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,42,36,1.167,89,80,98,624,13,1,hammer,锤子,shape_hammer,UI/B_MissionAni/Special/ShapeIcons/shape_hammer,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb05_08_main_hammer,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L108_hammer_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L108_r2_outer_strong_005_r2_006_a401_maskonlyb05_08_mai.asset,bf56637f6ea290c4890ee16f50d7dadf,Green,ShapeLowFill,
113,12,213,Main/Level_Main_113,1,shape,PSG_ShapeMask,shape_magic,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,34,49,0.694,97,87,107,775,17,1,lightningbolt,闪电,shape_lightning_bolt,UI/B_MissionAni/Special/ShapeIcons/shape_lightning_bolt,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb09_23_large_lightningbolt,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L113_lightningbolt_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L113_r2_outer_strong_005_r2_006_a401_maskonlyb09_23_lar.asset,6cf063ad896ba3045a728b1dd406081e,Yellow,GrindyLowClear,
118,12,218,Main/Level_Main_118,1,shape,PSG_ShapeMask,shape_ocean,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,34,47,0.723,95,85,105,782,17,1,carrot,胡萝卜,shape_carrot,UI/B_MissionAni/Special/ShapeIcons/shape_carrot,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb02_12_large_carrot,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L118_carrot_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L118_r2_outer_strong_005_r2_006_a401_maskonlyb02_12_lar.asset,2292f66331c83af4eafc08e995215e21,Green,None,
123,13,223,Main/Level_Main_123,1,shape,PSG_ShapeMask,shape_magic,1,普通/恢复,Novelty,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,38,30,1.267,90,81,99,662,13,1,car,汽车,shape_car,UI/B_MissionAni/Special/ShapeIcons/shape_car,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb04_08_main_car,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L123_car_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L123_r2_outer_strong_005_r2_006_a401_maskonlyb04_08_mai.asset,79501bada43793c48825eb06d77d0eca,Green,None,
127,13,227,Main/Level_Main_127,1,shape,PSG_ShapeMask,shape_character,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,34,34,1.0,96,86,106,707,13,1,mushroom,,shape_mushroom,UI/B_MissionAni/Special/ShapeIcons/shape_mushroom,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb01_01_main_mushroom,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV8/shape_refresh_v8_L127_maskonlyb01_01_main_mushroom_20260614_170705.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L127_r2_outer_strong_005_r2_006_a401_maskonlyb01_01_mai.asset,d1fe3ebb2b9ffc142bddcc6d6b7d408e,Green,None,
133,14,233,Main/Level_Main_133,1,shape,PSG_ShapeMask,shape_magic,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,34,47,0.723,94,85,103,700,17,1,musicnote,音符,shape_music_note,UI/B_MissionAni/Special/ShapeIcons/shape_music_note,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb01_05_large_musicnote,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L133_musicnote_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L133_r2_outer_strong_005_r2_006_a401_maskonlyb01_05_lar.asset,bc890f2701c97a540b3226d0de8dff1d,Green,ShapeLowFill,
138,14,238,Main/Level_Main_138,1,shape,PSG_ShapeMask,shape_space,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,28,44,0.636,99,89,109,729,13,1,bowlingpin,保龄球瓶,shape_bowling_pin,UI/B_MissionAni/Special/ShapeIcons/shape_bowling_pin,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb05_03_main_bowlingpin,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L138_bowlingpin_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L138_r2_outer_strong_005_r2_006_a401_maskonlyb05_03_mai.asset,e11c004d91a350b48a3ffe322f831088,Green,None,
143,15,243,Main/Level_Main_143,1,shape,PSG_ShapeMask,shape_magic,1,普通/恢复,Novelty,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,42,34,1.235,87,78,96,755,17,1,watermelonslice,西瓜片,shape_watermelon_slice,UI/B_MissionAni/Special/ShapeIcons/shape_watermelon_slice,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb05_19_large_watermelonslice,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L143_watermelonslice_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L143_r2_outer_strong_005_r2_006_a401_maskonlyb05_19_lar.asset,b21aee2f86e682446ae8aa6852499cfc,Green,None,
147,15,247,Main/Level_Main_147,1,shape,PSG_ShapeMask,shape_landmark,1,普通/恢复,Novelty,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,44,43,1.023,100,90,110,858,17,1,caveentrance,洞口,shape_cave_entrance,UI/B_MissionAni/Special/ShapeIcons/shape_cave_entrance,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb08_09_large_caveentrance,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L147_caveentrance_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L147_r2_outer_strong_005_r2_006_a401_maskonlyb08_09_lar.asset,9280c6dee70c1c54baf007f8f12e8f15,Green,None,
153,16,253,Main/Level_Main_153,1,shape,PSG_ShapeMask,shape_character,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,43,38,1.132,115,103,127,1045,17,1,pumpkin,南瓜,shape_pumpkin,UI/B_MissionAni/Special/ShapeIcons/shape_pumpkin,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb02_16_large_pumpkin,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L153_pumpkin_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L153_r2_outer_strong_005_r2_006_a401_maskonlyb02_16_lar.asset,712f8bf440399dd48809b78211a5a926,Yellow,GrindyLowClear,
158,16,258,Main/Level_Main_158,1,shape,PSG_ShapeMask,shape_symbol,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,43,43,1.0,99,89,109,835,17,1,starfish,海星,shape_starfish,UI/B_MissionAni/Special/ShapeIcons/shape_starfish,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb01_07_large_starfish,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L158_starfish_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L158_r2_outer_strong_005_r2_006_a401_maskonlyb01_07_lar.asset,f43f41cbd49bf3a41a467ef8d5145c9d,Green,None,
163,17,263,Main/Level_Main_163,1,shape,PSG_ShapeMask,shape_ocean,1,普通/恢复,Novelty,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,34,42,0.81,99,89,109,676,13,1,ring,戒指,shape_ring,UI/B_MissionAni/Special/ShapeIcons/shape_ring,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb05_16_main_ring,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L163_ring_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L163_r2_outer_strong_005_r2_006_a401_maskonlyb05_16_mai.asset,adff2bc88691727408d494576d516892,Green,None,
168,17,268,Main/Level_Main_168,1,shape,PSG_ShapeMask,shape_object,2,困难,Novelty,Shape,PSG_ShapeMask_Hard_Shape,38,49,0.776,110,99,121,986,17,1,brickcellphone,砖头手机,shape_brick_cellphone,UI/B_MissionAni/Special/ShapeIcons/shape_brick_cellphone,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb06_01_large_brickcellphone,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L168_brickcellphone_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L168_r2_outer_strong_005_r2_006_a401_maskonlyb06_01_lar.asset,ac46900fa5d274a4fb32ff876e6363cb,Green,None,
173,18,273,Main/Level_Main_173,1,shape,PSG_ShapeMask,shape_magic,1,普通/恢复,Novelty,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,44,38,1.158,104,94,114,840,17,1,teapot,茶壶,shape_teapot,UI/B_MissionAni/Special/ShapeIcons/shape_teapot,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb05_18_large_teapot,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L173_teapot_large.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L173_r2_outer_strong_005_r2_006_a401_maskonlyb05_18_lar.asset,0b392458dcddb404ea468aa7e94ebdee,Green,None,
178,18,278,Main/Level_Main_178,1,shape,PSG_ShapeMask,shape_art,1,普通/恢复,Novelty,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,38,34,1.118,104,94,114,778,13,1,shell,贝壳,shape_shell,UI/B_MissionAni/Special/ShapeIcons/shape_seashell,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb01_11_main_shell,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L178_shell_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L178_r2_outer_strong_005_r2_006_a401_maskonlyb01_11_mai.asset,35f239961206c0b488129312de77e0d9,Green,None,
183,19,283,Main/Level_Main_183,1,shape,PSG_ShapeMask,shape_ocean,1,普通/恢复,Novelty,Shape,PSG_ShapeMask_NormalOrRecovery_Shape,42,42,1.0,103,93,113,749,13,1,airplane,飞机,shape_airplane,UI/B_MissionAni/Special/ShapeIcons/shape_airplane,0,,,,r2_outer_strong_005_r2_006_a401_maskonlyb04_04_main_airplane,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset,Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L183_r2_outer_strong_005_r2_006_a401_maskonlyb04_04_mai.asset,ce9378a7750f364479219b8983adb298,Green,ShapeLowFill,
