section10,range,avgChains,minChains,maxChains,normalCount,shapeCount,holeCount,difficulty1Count,difficulty2Count,difficulty3Count,difficulty4Count,roleMix
40,391-400,138.8,87,174,7,2,1,6,2,1,1,HoleRescue:1;Normal:3;Peak:1;Pressure:1;Recovery:2;Shape:2
41,401-410,139.4,73,196,7,2,1,4,4,1,1,HoleRescue:1;Normal:2;Peak:1;Pressure:2;Recovery:2;Shape:2
42,411-420,140.0,75,203,7,2,1,5,2,2,1,HoleRescue:1;Normal:1;Peak:1;Pressure:2;Recovery:3;Shape:2
43,421-430,151.0,80,213,7,2,1,7,1,1,1,HoleRescue:1;Normal:4;Pressure:2;Recovery:1;Shape:2
44,431-440,151.8,76,194,7,2,1,6,3,0,1,HoleRescue:1;Normal:4;Peak:1;Pressure:1;Recovery:1;Shape:2
45,441-450,138.2,78,197,7,2,1,6,1,2,1,HoleRescue:1;Normal:2;Peak:1;Pressure:2;Recovery:2;Shape:2
46,451-460,144.4,90,224,7,2,1,7,1,1,1,HoleRescue:1;Normal:4;Peak:1;Pressure:1;Recovery:1;Shape:2
47,461-470,130.9,63,213,7,2,1,8,1,1,0,HoleRescue:1;Normal:2;Pressure:2;Recovery:3;Shape:2
48,471-480,140.1,60,231,7,2,1,7,1,1,1,HoleRescue:1;Normal:1;Peak:1;Pressure:2;Recovery:3;Shape:2
49,481-490,140.1,62,213,7,2,1,9,0,1,0,HoleRescue:1;Normal:3;Pressure:2;Recovery:2;Shape:2
50,491-500,133.3,64,200,7,2,1,9,0,1,0,HoleRescue:1;Normal:4;Peak:1;Recovery:2;Shape:2
