pack,rank,decision,sourceId,sourcePath,selectedPath,mode,edgeLongBefore,edgeLongAfter,maxEdgeRunAfter,selectedChains,selectedTiles,reason
R1,11,keep_repair,r1_ab_015_above300_level_426_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_015_above300_level_426_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_011_r1_015_a426.asset,fill_outer,3,3,13,69,657,ok
R1,12,keep_repair,r1_ab_016_above300_level_427_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_016_above300_level_427_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_012_r1_016_a427.asset,trim_refill,0,0,9,105,688,ok
R1,13,filter_sparse,r1_ab_018_above300_level_428_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_018_above300_level_428_final.asset,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_018_above300_level_428_final.asset,fill_outer,0,132,18,5,12,too_small
R1,14,keep_repair,r1_ab_020_above300_level_435_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_020_above300_level_435_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_014_r1_020_a435.asset,fill_outer,10,10,13,36,472,ok
R1,15,filter_sparse,r1_ab_021_above300_level_439_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_021_above300_level_439_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_015_r1_021_a439.asset,fill_outer,0,3,11,9,65,too_small
R1,16,keep_repair,r1_ab_025_above300_level_446_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_025_above300_level_446_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_016_r1_025_a446.asset,original,1,1,11,40,362,ok
R1,17,keep_repair,r1_ab_026_above300_level_451_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_026_above300_level_451_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_017_r1_026_a451.asset,fill_outer,2,5,18,76,656,ok
R1,18,filter_sparse,r1_ab_027_above300_level_454_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_027_above300_level_454_final.asset,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_027_above300_level_454_final.asset,fill_outer,0,132,18,5,13,too_small
R1,19,keep_repair,r1_ab_029_above300_level_456_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_029_above300_level_456_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_019_r1_029_a456.asset,original,5,5,14,54,583,ok
R1,20,keep_repair,r1_ab_032_above300_level_462_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_032_above300_level_462_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_020_r1_032_a462.asset,fill_outer,1,2,18,60,516,ok
R1,21,keep_repair,r1_ab_033_above300_level_463_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_033_above300_level_463_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_021_r1_033_a463.asset,fill_outer,3,4,24,94,909,ok
R1,22,keep_repair,r1_ab_036_above300_level_466_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_036_above300_level_466_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_022_r1_036_a466.asset,original,3,3,13,48,425,ok
R1,23,keep_repair,r1_ab_037_above300_level_467_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_037_above300_level_467_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_023_r1_037_a467.asset,fill_outer,3,5,18,39,497,ok
R1,24,keep_repair,r1_ab_038_above300_level_468_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_038_above300_level_468_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_024_r1_038_a468.asset,fill_outer,4,4,20,56,532,ok
R1,25,keep_repair,r1_ab_039_above300_level_470_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_039_above300_level_470_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_025_r1_039_a470.asset,original,3,3,25,82,840,ok
R1,26,keep_repair,r1_ab_040_above300_level_472_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_040_above300_level_472_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_026_r1_040_a472.asset,fill_outer,3,4,18,63,503,ok
R1,27,keep_repair,r1_ab_041_above300_level_473_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_041_above300_level_473_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_027_r1_041_a473.asset,fill_outer,2,4,18,56,505,ok
R1,28,filter_sparse,r1_ab_042_above300_level_474_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_042_above300_level_474_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_028_r1_042_a474.asset,fill_outer,0,0,9,7,30,too_small
R1,29,keep_repair,r1_ab_043_above300_level_475_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_043_above300_level_475_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_029_r1_043_a475.asset,original,0,0,8,52,446,ok
R1,30,filter_sparse,r1_ab_046_above300_level_484_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_046_above300_level_484_final.asset,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_046_above300_level_484_final.asset,fill_outer,0,42,18,5,11,too_small
R1,31,keep_repair,r1_ab_048_above300_level_491_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_048_above300_level_491_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_031_r1_048_a491.asset,fill_outer,4,4,19,66,753,ok
R1,32,keep_repair,r1_ab_049_above300_level_492_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_049_above300_level_492_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_032_r1_049_a492.asset,fill_outer,1,1,13,48,495,ok
R1,33,keep_repair,r1_ab_052_above300_level_497_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_052_above300_level_497_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_033_r1_052_a497.asset,fill_outer,5,4,12,54,421,ok
R1,34,keep_repair,r1_ab_054_above300_level_500_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_054_above300_level_500_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_034_r1_054_a500.asset,original,9,9,16,159,1455,ok
R1,35,keep_repair,r1_ab_055_above300_level_501_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_055_above300_level_501_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_035_r1_055_a501.asset,fill_outer,3,3,15,72,620,ok
R1,36,keep_repair,r1_ab_060_above300_level_510_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_060_above300_level_510_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_036_r1_060_a510.asset,fill_outer,7,7,14,186,1967,ok
R1,37,keep_repair,r1_ab_063_above300_level_515_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_063_above300_level_515_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_037_r1_063_a515.asset,original,3,3,16,86,906,ok
R1,38,keep_repair,r1_ab_067_above300_level_524_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_067_above300_level_524_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_038_r1_067_a524.asset,fill_outer,4,4,17,88,781,ok
R1,39,keep_repair,r1_ab_069_above300_level_526_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_069_above300_level_526_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_039_r1_069_a526.asset,fill_outer,3,3,12,57,482,ok
R1,40,keep_repair,r1_ab_070_above300_level_527_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_070_above300_level_527_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_040_r1_070_a527.asset,fill_outer,5,4,19,64,500,ok
R1,41,keep_repair,r1_ab_071_above300_level_528_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_071_above300_level_528_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_041_r1_071_a528.asset,fill_outer,4,5,19,66,671,ok
R1,42,keep_repair,r1_ab_072_above300_level_532_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_072_above300_level_532_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_042_r1_072_a532.asset,original,0,0,9,53,496,ok
R1,43,keep_repair,r1_ab_074_above300_level_535_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_074_above300_level_535_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_043_r1_074_a535.asset,fill_outer,1,2,18,53,461,ok
R1,44,keep_repair,r1_ab_079_above300_level_540_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_079_above300_level_540_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_044_r1_079_a540.asset,fill_outer,17,17,33,134,1890,ok
R1,45,keep_repair,r1_ab_080_above300_level_542_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_080_above300_level_542_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_045_r1_080_a542.asset,fill_outer,2,1,14,86,705,ok
R1,46,keep_repair,r1_ab_084_above300_level_552_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_084_above300_level_552_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_046_r1_084_a552.asset,fill_outer,3,3,20,49,511,ok
R1,47,keep_repair,r1_ab_085_above300_level_556_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_085_above300_level_556_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_047_r1_085_a556.asset,original,1,1,12,81,761,ok
R1,48,keep_repair,r1_ab_086_above300_level_557_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_086_above300_level_557_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_048_r1_086_a557.asset,fill_outer,1,1,14,104,733,ok
R1,49,keep_repair,r1_ab_087_above300_level_558_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_087_above300_level_558_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_049_r1_087_a558.asset,fill_outer,4,5,20,50,559,ok
R1,50,keep_repair,r1_ab_088_above300_level_564_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_088_above300_level_564_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_050_r1_088_a564.asset,original,1,1,12,91,728,ok
R1,51,keep_repair,r1_ab_089_above300_level_565_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_089_above300_level_565_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_051_r1_089_a565.asset,original,2,2,12,80,651,ok
R1,52,keep_repair,r1_ab_091_above300_level_571_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_091_above300_level_571_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_052_r1_091_a571.asset,original,2,2,13,51,427,ok
R1,53,keep_repair,r1_ab_092_above300_level_573_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_092_above300_level_573_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_053_r1_092_a573.asset,original,3,3,13,55,578,ok
R1,54,keep_repair,r1_ab_093_above300_level_574_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_093_above300_level_574_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_054_r1_093_a574.asset,fill_outer,2,3,18,63,530,ok
R1,55,keep_repair,r1_ab_095_above300_level_577_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_095_above300_level_577_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_055_r1_095_a577.asset,original,5,5,20,39,343,ok
R1,56,keep_repair,r1_ab_096_above300_level_578_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_096_above300_level_578_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_056_r1_096_a578.asset,fill_outer,3,3,11,59,632,ok
R1,57,keep_repair,r1_ab_097_above300_level_581_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_097_above300_level_581_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_057_r1_097_a581.asset,fill_outer,1,1,11,71,679,ok
R1,58,keep_repair,r1_ab_100_above300_level_588_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_100_above300_level_588_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_058_r1_100_a588.asset,fill_outer,2,2,13,80,653,ok
R1,59,keep_repair,r1_ab_102_above300_level_592_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_102_above300_level_592_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_059_r1_102_a592.asset,fill_outer,0,6,18,67,563,ok
R1,60,keep_repair,r1_ab_103_above300_level_593_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_103_above300_level_593_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_060_r1_103_a593.asset,original,6,6,15,54,484,ok
R1,61,keep_repair,r1_ab_104_above300_level_594_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_104_above300_level_594_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_061_r1_104_a594.asset,fill_outer,0,0,7,45,450,ok
R1,62,keep_repair,r1_ab_105_above300_level_598_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_105_above300_level_598_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_062_r1_105_a598.asset,fill_outer,4,4,15,53,565,ok
R1,63,keep_repair,r1_ab_106_above300_level_599_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_106_above300_level_599_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_063_r1_106_a599.asset,fill_outer,13,13,20,91,1002,ok
R1,64,keep_repair,r1_ab_109_above300_level_606_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_109_above300_level_606_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_064_r1_109_a606.asset,original,2,2,14,77,737,ok
R1,65,keep_repair,r1_ab_110_above300_level_607_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_110_above300_level_607_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_065_r1_110_a607.asset,fill_outer,1,1,10,75,693,ok
R1,66,keep_repair,r1_ab_113_above300_level_616_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_113_above300_level_616_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_066_r1_113_a616.asset,fill_outer,3,4,18,51,499,ok
R1,67,keep_repair,r1_ab_114_above300_level_618_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_114_above300_level_618_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_067_r1_114_a618.asset,fill_outer,3,4,22,75,659,ok
R1,68,keep_repair,r1_ab_121_above300_level_621_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_121_above300_level_621_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_068_r1_121_a621.asset,fill_outer,6,7,20,47,538,ok
R1,69,keep_repair,r1_ab_132_above300_level_622_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_132_above300_level_622_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_069_r1_132_a622.asset,original,3,3,13,61,471,ok
R1,70,keep_repair,r1_ab_136_above300_level_623_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_136_above300_level_623_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_070_r1_136_a623.asset,fill_outer,2,2,14,62,624,ok
R1,71,keep_repair,r1_ab_139_above300_level_632_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_139_above300_level_632_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_071_r1_139_a632.asset,fill_outer,3,3,15,82,670,ok
R1,72,keep_repair,r1_ab_140_above300_level_635_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_140_above300_level_635_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_072_r1_140_a635.asset,fill_outer,5,5,15,74,727,ok
R1,73,keep_repair,r1_ab_141_above300_level_638_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_141_above300_level_638_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_073_r1_141_a638.asset,fill_outer,0,1,14,82,678,ok
R1,74,keep_repair,r1_ab_144_above300_level_641_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_144_above300_level_641_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_074_r1_144_a641.asset,fill_outer,5,5,14,71,537,ok
R1,75,keep_repair,r1_ab_146_above300_level_645_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_146_above300_level_645_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_075_r1_146_a645.asset,trim_refill,6,7,20,55,519,ok
R1,76,keep_repair,r1_ab_148_above300_level_652_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_148_above300_level_652_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_076_r1_148_a652.asset,original,1,1,15,75,551,ok
R1,77,keep_repair,r1_ab_149_above300_level_654_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_149_above300_level_654_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_077_r1_149_a654.asset,fill_outer,8,9,20,50,574,ok
R1,78,keep_repair,r1_ab_150_above300_level_655_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_150_above300_level_655_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_078_r1_150_a655.asset,fill_outer,2,2,18,54,495,ok
R1,79,keep_repair,r1_ab_151_above300_level_656_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_151_above300_level_656_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_079_r1_151_a656.asset,fill_outer,0,13,18,84,875,ok
R1,80,keep_repair,r1_ab_152_above300_level_661_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_152_above300_level_661_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_080_r1_152_a661.asset,fill_outer,4,4,21,41,513,ok
R1,81,keep_repair,r1_ab_153_above300_level_664_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_153_above300_level_664_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_081_r1_153_a664.asset,original,0,0,9,31,413,ok
R1,82,keep_repair,r1_ab_154_above300_level_665_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_154_above300_level_665_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_082_r1_154_a665.asset,fill_outer,2,3,18,62,778,ok
R1,83,keep_repair,r1_ab_155_above300_level_667_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_155_above300_level_667_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_083_r1_155_a667.asset,fill_outer,2,1,12,60,430,ok
R1,84,keep_repair,r1_ab_156_above300_level_672_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_156_above300_level_672_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_084_r1_156_a672.asset,original,1,1,11,75,666,ok
R1,85,keep_repair,r1_ab_159_above300_level_677_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_159_above300_level_677_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_085_r1_159_a677.asset,trim_refill,0,0,9,61,576,ok
R1,86,keep_repair,r1_ab_160_above300_level_681_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_160_above300_level_681_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_086_r1_160_a681.asset,fill_outer,0,12,18,59,590,ok
R1,87,keep_repair,r1_ab_161_above300_level_682_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_161_above300_level_682_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_087_r1_161_a682.asset,fill_outer,6,7,15,47,506,ok
R1,88,keep_repair,r1_ab_162_above300_level_685_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_162_above300_level_685_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_088_r1_162_a685.asset,fill_outer,3,3,18,74,584,ok
R1,89,keep_repair,r1_ab_165_above300_level_691_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_165_above300_level_691_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_089_r1_165_a691.asset,trim_refill,5,5,14,61,556,ok
R1,90,keep_repair,r1_ab_168_above300_level_696_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_168_above300_level_696_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_090_r1_168_a696.asset,fill_outer,3,4,18,80,665,ok
R1,91,keep_repair,r1_ab_171_above300_level_704_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_171_above300_level_704_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_091_r1_171_a704.asset,fill_outer,3,4,18,66,587,ok
R1,92,filter_sparse,r1_ab_172_above300_level_709_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_172_above300_level_709_final.asset,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_172_above300_level_709_final.asset,fill_outer,0,134,18,5,10,too_small
R1,93,keep_repair,r1_ab_173_above300_level_710_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_173_above300_level_710_final.asset,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_093_r1_173_a710.asset,original,2,2,12,62,607,ok
