rank,id,path,source,transform,reversePattern,reversed,variantMode,addedChains,width,height,chains,coverage,greedy,details
15,composite_production100_015_composite_greedy_ab_012_r2_049_a492_r1_271_a943__identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_015_composite_greedy_ab_012_r2_049_a492_r1_271_a943__identity_keep_none.asset,composite_greedy_ab_012_r2_049_a492_r1_271_a943_h0,identity,keep,0,none,0,46,28,120,0.904,True,fast greedy budget=450
16,composite_production100_016_composite_greedy_ab_013_a717_r1_232_a845_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_016_composite_greedy_ab_013_a717_r1_232_a845_h0_identity_keep_none.asset,composite_greedy_ab_013_a717_r1_232_a845_h0,identity,keep,0,none,0,48,30,128,0.930,True,fast greedy budget=450
17,composite_production100_017_composite_greedy_ab_001_r2_254_a887_a845_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_017_composite_greedy_ab_001_r2_254_a887_a845_h0_hflip_keep_none.asset,composite_greedy_ab_001_r2_254_a887_a845_h0,hflip,keep,0,none,0,46,30,151,0.930,True,fast greedy budget=453
18,composite_production100_018_composite_greedy_ab_002_r1_165_a691_a946_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_018_composite_greedy_ab_002_r1_165_a691_a946_h0_hflip_keep_none.asset,composite_greedy_ab_002_r1_165_a691_a946_h0,hflip,keep,0,none,0,39,32,136,0.944,True,fast greedy budget=450
19,composite_production100_019_composite_greedy_ab_003_r2_254_a887_r1_232_a845__hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_019_composite_greedy_ab_003_r2_254_a887_r1_232_a845__hflip_keep_none.asset,composite_greedy_ab_003_r2_254_a887_r1_232_a845_h0,hflip,keep,0,none,0,48,30,158,0.931,True,fast greedy budget=474
20,composite_production100_020_composite_greedy_ab_001_r1_029_a456_a845_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_020_composite_greedy_ab_001_r1_029_a456_a845_h2_hflip_keep_none.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,hflip,keep,0,none,0,47,30,128,0.920,True,fast greedy budget=450
21,composite_production100_021_composite_greedy_ab_002_r1_029_a456_r1_232_a845__hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_021_composite_greedy_ab_002_r1_029_a456_r1_232_a845__hflip_keep_none.asset,composite_greedy_ab_002_r1_029_a456_r1_232_a845_h0,hflip,keep,0,none,0,49,30,141,0.931,True,fast greedy budget=450
22,composite_production100_022_composite_greedy_ab_003_r2_254_a887_a845_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_022_composite_greedy_ab_003_r2_254_a887_a845_h0_hflip_keep_none.asset,composite_greedy_ab_003_r2_254_a887_a845_h0,hflip,keep,0,none,0,46,30,139,0.913,True,fast greedy budget=450
23,composite_production100_023_composite_greedy_ab_004_r1_249_a879_a845_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_023_composite_greedy_ab_004_r1_249_a879_a845_h2_hflip_keep_none.asset,composite_greedy_ab_004_r1_249_a879_a845_h2,hflip,keep,0,none,0,44,30,131,0.930,True,fast greedy budget=450
24,composite_production100_024_composite_greedy_ab_005_r2_254_a887_r1_232_a845__hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_024_composite_greedy_ab_005_r2_254_a887_r1_232_a845__hflip_keep_none.asset,composite_greedy_ab_005_r2_254_a887_r1_232_a845_h0,hflip,keep,0,none,0,48,30,149,0.919,True,fast greedy budget=450
25,composite_production100_025_composite_greedy_ab_006_r2_249_a879_r1_232_a845__hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_025_composite_greedy_ab_006_r2_249_a879_r1_232_a845__hflip_keep_none.asset,composite_greedy_ab_006_r2_249_a879_r1_232_a845_h0,hflip,keep,0,none,0,48,30,148,0.933,True,fast greedy budget=450
26,composite_production100_026_composite_greedy_ab_007_z022_a883_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_026_composite_greedy_ab_007_z022_a883_h0_hflip_keep_none.asset,composite_greedy_ab_007_z022_a883_h0,hflip,keep,0,none,0,47,31,128,0.900,True,fast greedy budget=450
27,composite_production100_027_composite_greedy_ab_008_a717_a883_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_027_composite_greedy_ab_008_a717_a883_h0_hflip_keep_none.asset,composite_greedy_ab_008_a717_a883_h0,hflip,keep,0,none,0,49,31,127,0.916,True,fast greedy budget=450
28,composite_production100_028_composite_greedy_ab_009_r1_185_a731_a883_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_028_composite_greedy_ab_009_r1_185_a731_a883_h0_hflip_keep_none.asset,composite_greedy_ab_009_r1_185_a731_a883_h0,hflip,keep,0,none,0,48,31,128,0.915,True,fast greedy budget=450
29,composite_production100_029_composite_greedy_ab_010_r2_254_a887_r1_156_a672__hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_029_composite_greedy_ab_010_r2_254_a887_r1_156_a672__hflip_keep_none.asset,composite_greedy_ab_010_r2_254_a887_r1_156_a672_h0,hflip,keep,0,none,0,45,30,140,0.911,True,fast greedy budget=450
30,composite_production100_030_composite_greedy_ab_011_r1_249_a879_r1_156_a672__hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_030_composite_greedy_ab_011_r1_249_a879_r1_156_a672__hflip_keep_none.asset,composite_greedy_ab_011_r1_249_a879_r1_156_a672_h0,hflip,keep,0,none,0,43,30,132,0.928,True,fast greedy budget=450
31,composite_production100_031_composite_greedy_ab_012_r2_049_a492_r1_271_a943__hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_031_composite_greedy_ab_012_r2_049_a492_r1_271_a943__hflip_keep_none.asset,composite_greedy_ab_012_r2_049_a492_r1_271_a943_h0,hflip,keep,0,none,0,46,28,120,0.904,True,fast greedy budget=450
32,composite_production100_032_composite_greedy_ab_013_a717_r1_232_a845_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_032_composite_greedy_ab_013_a717_r1_232_a845_h0_hflip_keep_none.asset,composite_greedy_ab_013_a717_r1_232_a845_h0,hflip,keep,0,none,0,48,30,128,0.930,True,fast greedy budget=450
33,composite_production100_033_composite_greedy_ab_001_r2_254_a887_a845_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_033_composite_greedy_ab_001_r2_254_a887_a845_h0_vflip_keep_none.asset,composite_greedy_ab_001_r2_254_a887_a845_h0,vflip,keep,0,none,0,46,30,151,0.930,True,fast greedy budget=453
34,composite_production100_034_composite_greedy_ab_002_r1_165_a691_a946_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_034_composite_greedy_ab_002_r1_165_a691_a946_h0_vflip_keep_none.asset,composite_greedy_ab_002_r1_165_a691_a946_h0,vflip,keep,0,none,0,39,32,136,0.944,True,fast greedy budget=450
35,composite_production100_035_composite_greedy_ab_003_r2_254_a887_r1_232_a845__vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_035_composite_greedy_ab_003_r2_254_a887_r1_232_a845__vflip_keep_none.asset,composite_greedy_ab_003_r2_254_a887_r1_232_a845_h0,vflip,keep,0,none,0,48,30,158,0.931,True,fast greedy budget=474
36,composite_production100_036_composite_greedy_ab_001_r1_029_a456_a845_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_036_composite_greedy_ab_001_r1_029_a456_a845_h2_vflip_keep_none.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,vflip,keep,0,none,0,47,30,128,0.920,True,fast greedy budget=450
37,composite_production100_037_composite_greedy_ab_002_r1_029_a456_r1_232_a845__vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_037_composite_greedy_ab_002_r1_029_a456_r1_232_a845__vflip_keep_none.asset,composite_greedy_ab_002_r1_029_a456_r1_232_a845_h0,vflip,keep,0,none,0,49,30,141,0.931,True,fast greedy budget=450
38,composite_production100_038_composite_greedy_ab_003_r2_254_a887_a845_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_038_composite_greedy_ab_003_r2_254_a887_a845_h0_vflip_keep_none.asset,composite_greedy_ab_003_r2_254_a887_a845_h0,vflip,keep,0,none,0,46,30,139,0.913,True,fast greedy budget=450
39,composite_production100_039_composite_greedy_ab_004_r1_249_a879_a845_h2_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_039_composite_greedy_ab_004_r1_249_a879_a845_h2_vflip_keep_none.asset,composite_greedy_ab_004_r1_249_a879_a845_h2,vflip,keep,0,none,0,44,30,131,0.930,True,fast greedy budget=450
40,composite_production100_040_composite_greedy_ab_005_r2_254_a887_r1_232_a845__vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_040_composite_greedy_ab_005_r2_254_a887_r1_232_a845__vflip_keep_none.asset,composite_greedy_ab_005_r2_254_a887_r1_232_a845_h0,vflip,keep,0,none,0,48,30,149,0.919,True,fast greedy budget=450
41,composite_production100_041_composite_greedy_ab_006_r2_249_a879_r1_232_a845__vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_041_composite_greedy_ab_006_r2_249_a879_r1_232_a845__vflip_keep_none.asset,composite_greedy_ab_006_r2_249_a879_r1_232_a845_h0,vflip,keep,0,none,0,48,30,148,0.933,True,fast greedy budget=450
42,composite_production100_042_composite_greedy_ab_007_z022_a883_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_042_composite_greedy_ab_007_z022_a883_h0_vflip_keep_none.asset,composite_greedy_ab_007_z022_a883_h0,vflip,keep,0,none,0,47,31,128,0.900,True,fast greedy budget=450
43,composite_production100_043_composite_greedy_ab_008_a717_a883_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_043_composite_greedy_ab_008_a717_a883_h0_vflip_keep_none.asset,composite_greedy_ab_008_a717_a883_h0,vflip,keep,0,none,0,49,31,127,0.916,True,fast greedy budget=450
44,composite_production100_044_composite_greedy_ab_009_r1_185_a731_a883_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_044_composite_greedy_ab_009_r1_185_a731_a883_h0_vflip_keep_none.asset,composite_greedy_ab_009_r1_185_a731_a883_h0,vflip,keep,0,none,0,48,31,128,0.915,True,fast greedy budget=450
45,composite_production100_045_composite_greedy_ab_010_r2_254_a887_r1_156_a672__vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_045_composite_greedy_ab_010_r2_254_a887_r1_156_a672__vflip_keep_none.asset,composite_greedy_ab_010_r2_254_a887_r1_156_a672_h0,vflip,keep,0,none,0,45,30,140,0.911,True,fast greedy budget=450
46,composite_production100_046_composite_greedy_ab_011_r1_249_a879_r1_156_a672__vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_046_composite_greedy_ab_011_r1_249_a879_r1_156_a672__vflip_keep_none.asset,composite_greedy_ab_011_r1_249_a879_r1_156_a672_h0,vflip,keep,0,none,0,43,30,132,0.928,True,fast greedy budget=450
47,composite_production100_047_composite_greedy_ab_012_r2_049_a492_r1_271_a943__vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_047_composite_greedy_ab_012_r2_049_a492_r1_271_a943__vflip_keep_none.asset,composite_greedy_ab_012_r2_049_a492_r1_271_a943_h0,vflip,keep,0,none,0,46,28,120,0.904,True,fast greedy budget=450
48,composite_production100_048_composite_greedy_ab_013_a717_r1_232_a845_h0_vflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_048_composite_greedy_ab_013_a717_r1_232_a845_h0_vflip_keep_none.asset,composite_greedy_ab_013_a717_r1_232_a845_h0,vflip,keep,0,none,0,48,30,128,0.930,True,fast greedy budget=450
49,composite_production100_049_composite_greedy_ab_001_r2_254_a887_a845_h0_rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_049_composite_greedy_ab_001_r2_254_a887_a845_h0_rot180_keep_none.asset,composite_greedy_ab_001_r2_254_a887_a845_h0,rot180,keep,0,none,0,46,30,151,0.930,True,fast greedy budget=453
50,composite_production100_050_composite_greedy_ab_002_r1_165_a691_a946_h0_rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_050_composite_greedy_ab_002_r1_165_a691_a946_h0_rot180_keep_none.asset,composite_greedy_ab_002_r1_165_a691_a946_h0,rot180,keep,0,none,0,39,32,136,0.944,True,fast greedy budget=450
51,composite_production100_051_composite_greedy_ab_003_r2_254_a887_r1_232_a845__rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_051_composite_greedy_ab_003_r2_254_a887_r1_232_a845__rot180_keep_none.asset,composite_greedy_ab_003_r2_254_a887_r1_232_a845_h0,rot180,keep,0,none,0,48,30,158,0.931,True,fast greedy budget=474
52,composite_production100_052_composite_greedy_ab_001_r1_029_a456_a845_h2_rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_052_composite_greedy_ab_001_r1_029_a456_a845_h2_rot180_keep_none.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,rot180,keep,0,none,0,47,30,128,0.920,True,fast greedy budget=450
53,composite_production100_053_composite_greedy_ab_002_r1_029_a456_r1_232_a845__rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_053_composite_greedy_ab_002_r1_029_a456_r1_232_a845__rot180_keep_none.asset,composite_greedy_ab_002_r1_029_a456_r1_232_a845_h0,rot180,keep,0,none,0,49,30,141,0.931,True,fast greedy budget=450
54,composite_production100_054_composite_greedy_ab_003_r2_254_a887_a845_h0_rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_054_composite_greedy_ab_003_r2_254_a887_a845_h0_rot180_keep_none.asset,composite_greedy_ab_003_r2_254_a887_a845_h0,rot180,keep,0,none,0,46,30,139,0.913,True,fast greedy budget=450
55,composite_production100_055_composite_greedy_ab_004_r1_249_a879_a845_h2_rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_055_composite_greedy_ab_004_r1_249_a879_a845_h2_rot180_keep_none.asset,composite_greedy_ab_004_r1_249_a879_a845_h2,rot180,keep,0,none,0,44,30,131,0.930,True,fast greedy budget=450
56,composite_production100_056_composite_greedy_ab_005_r2_254_a887_r1_232_a845__rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_056_composite_greedy_ab_005_r2_254_a887_r1_232_a845__rot180_keep_none.asset,composite_greedy_ab_005_r2_254_a887_r1_232_a845_h0,rot180,keep,0,none,0,48,30,149,0.919,True,fast greedy budget=450
57,composite_production100_057_composite_greedy_ab_006_r2_249_a879_r1_232_a845__rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_057_composite_greedy_ab_006_r2_249_a879_r1_232_a845__rot180_keep_none.asset,composite_greedy_ab_006_r2_249_a879_r1_232_a845_h0,rot180,keep,0,none,0,48,30,148,0.933,True,fast greedy budget=450
58,composite_production100_058_composite_greedy_ab_007_z022_a883_h0_rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_058_composite_greedy_ab_007_z022_a883_h0_rot180_keep_none.asset,composite_greedy_ab_007_z022_a883_h0,rot180,keep,0,none,0,47,31,128,0.900,True,fast greedy budget=450
59,composite_production100_059_composite_greedy_ab_008_a717_a883_h0_rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_059_composite_greedy_ab_008_a717_a883_h0_rot180_keep_none.asset,composite_greedy_ab_008_a717_a883_h0,rot180,keep,0,none,0,49,31,127,0.916,True,fast greedy budget=450
60,composite_production100_060_composite_greedy_ab_009_r1_185_a731_a883_h0_rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_060_composite_greedy_ab_009_r1_185_a731_a883_h0_rot180_keep_none.asset,composite_greedy_ab_009_r1_185_a731_a883_h0,rot180,keep,0,none,0,48,31,128,0.915,True,fast greedy budget=450
61,composite_production100_061_composite_greedy_ab_010_r2_254_a887_r1_156_a672__rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_061_composite_greedy_ab_010_r2_254_a887_r1_156_a672__rot180_keep_none.asset,composite_greedy_ab_010_r2_254_a887_r1_156_a672_h0,rot180,keep,0,none,0,45,30,140,0.911,True,fast greedy budget=450
62,composite_production100_062_composite_greedy_ab_011_r1_249_a879_r1_156_a672__rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_062_composite_greedy_ab_011_r1_249_a879_r1_156_a672__rot180_keep_none.asset,composite_greedy_ab_011_r1_249_a879_r1_156_a672_h0,rot180,keep,0,none,0,43,30,132,0.928,True,fast greedy budget=450
63,composite_production100_063_composite_greedy_ab_012_r2_049_a492_r1_271_a943__rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_063_composite_greedy_ab_012_r2_049_a492_r1_271_a943__rot180_keep_none.asset,composite_greedy_ab_012_r2_049_a492_r1_271_a943_h0,rot180,keep,0,none,0,46,28,120,0.904,True,fast greedy budget=450
64,composite_production100_064_composite_greedy_ab_013_a717_r1_232_a845_h0_rot180_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_064_composite_greedy_ab_013_a717_r1_232_a845_h0_rot180_keep_none.asset,composite_greedy_ab_013_a717_r1_232_a845_h0,rot180,keep,0,none,0,48,30,128,0.930,True,fast greedy budget=450
65,composite_production100_065_composite_greedy_ab_001_r2_254_a887_a845_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_065_composite_greedy_ab_001_r2_254_a887_a845_h0_rot90_keep_none.asset,composite_greedy_ab_001_r2_254_a887_a845_h0,rot90,keep,0,none,0,30,46,151,0.930,True,fast greedy budget=453
66,composite_production100_066_composite_greedy_ab_002_r1_165_a691_a946_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_066_composite_greedy_ab_002_r1_165_a691_a946_h0_rot90_keep_none.asset,composite_greedy_ab_002_r1_165_a691_a946_h0,rot90,keep,0,none,0,32,39,136,0.944,True,fast greedy budget=450
67,composite_production100_067_composite_greedy_ab_003_r2_254_a887_r1_232_a845__rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_067_composite_greedy_ab_003_r2_254_a887_r1_232_a845__rot90_keep_none.asset,composite_greedy_ab_003_r2_254_a887_r1_232_a845_h0,rot90,keep,0,none,0,30,48,158,0.931,True,fast greedy budget=474
68,composite_production100_068_composite_greedy_ab_001_r1_029_a456_a845_h2_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_068_composite_greedy_ab_001_r1_029_a456_a845_h2_rot90_keep_none.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,rot90,keep,0,none,0,30,47,128,0.920,True,fast greedy budget=450
69,composite_production100_069_composite_greedy_ab_002_r1_029_a456_r1_232_a845__rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_069_composite_greedy_ab_002_r1_029_a456_r1_232_a845__rot90_keep_none.asset,composite_greedy_ab_002_r1_029_a456_r1_232_a845_h0,rot90,keep,0,none,0,30,49,141,0.931,True,fast greedy budget=450
70,composite_production100_070_composite_greedy_ab_003_r2_254_a887_a845_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_070_composite_greedy_ab_003_r2_254_a887_a845_h0_rot90_keep_none.asset,composite_greedy_ab_003_r2_254_a887_a845_h0,rot90,keep,0,none,0,30,46,139,0.913,True,fast greedy budget=450
71,composite_production100_071_composite_greedy_ab_004_r1_249_a879_a845_h2_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABProduction100/composite_production100_071_composite_greedy_ab_004_r1_249_a879_a845_h2_rot90_keep_none.asset,composite_greedy_ab_004_r1_249_a879_a845_h2,rot90,keep,0,none,0,30,44,131,0.930,True,fast greedy budget=450
