rank,status,pack,sourceId,sourcePath,outputId,outputPath,mode,width,height,chainsBefore,chainsAfter,tilesBefore,tilesAfter,coverageBefore,coverageAfter,outer1Before,outer1After,outer2Before,outer2After,maxOuterEmptyBefore,maxOuterEmptyAfter,edgeShortBefore,edgeShortAfter,edgeLongBefore,edgeLongAfter,maxEdgeRunBefore,maxEdgeRunAfter,trimmedOuterExit,trimmedOuterShort,filled,greedy,score,details
11,repaired,R1,r1_ab_015_above300_level_426_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_015_above300_level_426_final.asset,r1_outer_strong_011_r1_015_a426,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_011_r1_015_a426.asset,fill_outer,26,27,63,69,624,657,0.889,0.936,0.912,1.000,0.918,0.990,5,0,13,13,3,3,13,13,0,0,8,True,10555.0,original:greedy=True:outer1=0.912:outer2=0.918:empty=5:edgeShort=13:edgeLong=3:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=1.000:outer2=0.990:empty=0:edgeShort=13:edgeLong=3:filled=8:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=1.000:outer2=0.990:empty=0:edgeShort=13:edgeLong=3:filled=8:trim=0/0:fast greedy budget=450
12,repaired,R1,r1_ab_016_above300_level_427_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_016_above300_level_427_final.asset,r1_outer_strong_012_r1_016_a427,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_012_r1_016_a427.asset,trim_refill,25,29,106,105,683,688,0.942,0.949,0.923,0.971,0.950,0.975,4,1,21,19,0,0,9,9,0,3,9,True,10257.3,original:greedy=True:outer1=0.923:outer2=0.950:empty=4:edgeShort=21:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.971:outer2=0.975:empty=1:edgeShort=20:edgeLong=0:filled=5:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.971:outer2=0.975:empty=1:edgeShort=19:edgeLong=0:filled=9:trim=0/3:fast greedy budget=450
13,repaired,R1,r1_ab_018_above300_level_428_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_018_above300_level_428_final.asset,r1_outer_strong_013_r1_018_a428,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_013_r1_018_a428.asset,fill_outer,39,64,5,137,12,2369,0.005,0.949,0.000,0.995,0.015,0.987,202,1,3,3,0,132,3,18,0,0,133,True,2494.2,original:greedy=True:outer1=0.000:outer2=0.015:empty=202:edgeShort=3:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.995:outer2=0.987:empty=1:edgeShort=3:edgeLong=132:filled=133:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.995:outer2=0.987:empty=1:edgeShort=3:edgeLong=132:filled=133:trim=0/0:fast greedy budget=450
14,repaired,R1,r1_ab_020_above300_level_435_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_020_above300_level_435_final.asset,r1_outer_strong_014_r1_020_a435,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_014_r1_020_a435.asset,fill_outer,20,24,36,36,468,472,0.975,0.983,0.952,1.000,0.969,0.994,2,0,7,7,10,10,12,13,0,0,4,True,10171.7,original:greedy=True:outer1=0.952:outer2=0.969:empty=2:edgeShort=7:edgeLong=10:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=1.000:outer2=0.994:empty=0:edgeShort=7:edgeLong=10:filled=4:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=1.000:outer2=0.994:empty=0:edgeShort=7:edgeLong=10:filled=5:trim=1/0:fast greedy budget=450
15,repaired,R1,r1_ab_021_above300_level_439_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_021_above300_level_439_final.asset,r1_outer_strong_015_r1_021_a439,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_015_r1_021_a439.asset,fill_outer,13,5,3,9,11,65,0.169,1.000,0.250,1.000,0.196,1.000,20,0,2,2,0,3,5,11,0,0,9,True,10716.0,original:greedy=True:outer1=0.250:outer2=0.196:empty=20:edgeShort=2:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=1.000:outer2=1.000:empty=0:edgeShort=2:edgeLong=3:filled=9:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=1.000:outer2=1.000:empty=0:edgeShort=2:edgeLong=3:filled=9:trim=0/0:fast greedy budget=450
16,kept,R1,r1_ab_025_above300_level_446_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_025_above300_level_446_final.asset,r1_outer_strong_016_r1_025_a446,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_016_r1_025_a446.asset,original,17,23,40,40,362,362,0.926,0.926,0.763,0.763,0.840,0.840,6,6,4,4,1,1,11,11,0,0,0,True,7620.0,original:greedy=True:outer1=0.763:outer2=0.840:empty=6:edgeShort=4:edgeLong=1:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.961:outer2=0.965:empty=1:edgeShort=7:edgeLong=1:filled=12:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.961:outer2=0.965:empty=1:edgeShort=7:edgeLong=1:filled=12:trim=0/0:fast greedy failed budget=450
17,repaired,R1,r1_ab_026_above300_level_451_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_026_above300_level_451_final.asset,r1_outer_strong_017_r1_026_a451,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_017_r1_026_a451.asset,fill_outer,22,31,65,76,580,656,0.850,0.962,0.196,0.941,0.571,0.959,81,3,4,6,2,5,20,18,0,0,22,True,9447.5,original:greedy=True:outer1=0.196:outer2=0.571:empty=81:edgeShort=4:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.941:outer2=0.959:empty=3:edgeShort=6:edgeLong=5:filled=22:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.941:outer2=0.959:empty=3:edgeShort=6:edgeLong=5:filled=22:trim=0/0:fast greedy budget=450
18,repaired,R1,r1_ab_027_above300_level_454_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_027_above300_level_454_final.asset,r1_outer_strong_018_r1_027_a454,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_018_r1_027_a454.asset,fill_outer,39,64,5,137,13,2369,0.005,0.949,0.000,0.995,0.013,0.992,202,1,3,3,0,132,3,18,0,0,133,True,2498.3,original:greedy=True:outer1=0.000:outer2=0.013:empty=202:edgeShort=3:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.995:outer2=0.992:empty=1:edgeShort=3:edgeLong=132:filled=133:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.995:outer2=0.992:empty=1:edgeShort=3:edgeLong=132:filled=133:trim=0/0:fast greedy budget=450
19,kept,R1,r1_ab_029_above300_level_456_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_029_above300_level_456_final.asset,r1_outer_strong_019_r1_029_a456,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_019_r1_029_a456.asset,original,23,26,54,54,583,583,0.975,0.975,0.947,0.947,0.956,0.956,2,2,9,9,5,5,14,14,0,0,0,True,9682.5,original:greedy=True:outer1=0.947:outer2=0.956:empty=2:edgeShort=9:edgeLong=5:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=1.000:outer2=0.983:empty=0:edgeShort=10:edgeLong=5:filled=5:trim=0/0:build failed 第 28 条箭头头部前方被自身占用。 | trim_refill:greedy=False:outer1=1.000:outer2=0.983:empty=0:edgeShort=10:edgeLong=5:filled=5:trim=0/0:build failed 第 28 条箭头头部前方被自身占用。
20,repaired,R1,r1_ab_032_above300_level_462_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_032_above300_level_462_final.asset,r1_outer_strong_020_r1_032_a462,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_020_r1_032_a462.asset,fill_outer,23,23,54,60,469,516,0.887,0.975,0.443,0.977,0.690,0.970,45,2,9,9,1,2,12,18,0,0,9,True,10108.0,original:greedy=True:outer1=0.443:outer2=0.690:empty=45:edgeShort=9:edgeLong=1:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.977:outer2=0.970:empty=2:edgeShort=9:edgeLong=2:filled=9:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.977:outer2=0.970:empty=2:edgeShort=9:edgeLong=2:filled=9:trim=0/0:fast greedy budget=450
21,repaired,R1,r1_ab_033_above300_level_463_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_033_above300_level_463_final.asset,r1_outer_strong_021_r1_033_a463,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_021_r1_033_a463.asset,fill_outer,23,41,92,94,886,909,0.940,0.964,0.927,0.976,0.842,0.938,3,2,21,22,3,4,24,24,0,0,3,True,9682.9,original:greedy=True:outer1=0.927:outer2=0.842:empty=3:edgeShort=21:edgeLong=3:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.976:outer2=0.938:empty=2:edgeShort=22:edgeLong=4:filled=3:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.976:outer2=0.938:empty=2:edgeShort=22:edgeLong=4:filled=3:trim=0/0:fast greedy budget=450
22,kept,R1,r1_ab_036_above300_level_466_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_036_above300_level_466_final.asset,r1_outer_strong_022_r1_036_a466,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_022_r1_036_a466.asset,original,21,23,48,48,425,425,0.880,0.880,0.452,0.452,0.700,0.700,43,43,6,6,3,3,13,13,0,0,0,True,-237.2,original:greedy=True:outer1=0.452:outer2=0.700:empty=43:edgeShort=6:edgeLong=3:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.988:outer2=0.981:empty=1:edgeShort=6:edgeLong=5:filled=7:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.988:outer2=0.981:empty=1:edgeShort=6:edgeLong=5:filled=7:trim=0/0:fast greedy failed budget=450
23,repaired,R1,r1_ab_037_above300_level_467_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_037_above300_level_467_final.asset,r1_outer_strong_023_r1_037_a467,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_023_r1_037_a467.asset,fill_outer,21,25,29,39,417,497,0.794,0.947,0.000,0.886,0.440,0.917,88,4,4,4,3,5,15,18,0,0,16,True,8738.3,original:greedy=True:outer1=0.000:outer2=0.440:empty=88:edgeShort=4:edgeLong=3:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.886:outer2=0.917:empty=4:edgeShort=4:edgeLong=5:filled=16:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.886:outer2=0.917:empty=4:edgeShort=4:edgeLong=5:filled=16:trim=0/0:fast greedy budget=450
24,repaired,R1,r1_ab_038_above300_level_468_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_038_above300_level_468_final.asset,r1_outer_strong_024_r1_038_a468,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_024_r1_038_a468.asset,fill_outer,27,20,47,56,501,532,0.928,0.985,0.800,1.000,0.849,0.994,8,0,11,17,4,4,19,20,0,0,14,True,10390.4,original:greedy=True:outer1=0.800:outer2=0.849:empty=8:edgeShort=11:edgeLong=4:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=1.000:outer2=0.994:empty=0:edgeShort=17:edgeLong=4:filled=14:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=1.000:outer2=0.994:empty=0:edgeShort=17:edgeLong=4:filled=14:trim=0/0:fast greedy budget=450
25,kept,R1,r1_ab_039_above300_level_470_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_039_above300_level_470_final.asset,r1_outer_strong_025_r1_039_a470,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_025_r1_039_a470.asset,original,26,36,82,82,840,840,0.897,0.897,0.442,0.442,0.672,0.672,61,61,6,6,3,3,25,25,0,0,0,True,-2651.9,original:greedy=True:outer1=0.442:outer2=0.672:empty=61:edgeShort=6:edgeLong=3:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.958:outer2=0.957:empty=2:edgeShort=8:edgeLong=5:filled=21:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.958:outer2=0.957:empty=2:edgeShort=8:edgeLong=5:filled=21:trim=0/0:fast greedy failed budget=450
26,repaired,R1,r1_ab_040_above300_level_472_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_040_above300_level_472_final.asset,r1_outer_strong_026_r1_040_a472,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_026_r1_040_a472.asset,fill_outer,18,29,61,63,483,503,0.925,0.964,0.778,1.000,0.872,0.988,18,0,8,8,3,4,12,18,0,0,3,True,10519.4,original:greedy=True:outer1=0.778:outer2=0.872:empty=18:edgeShort=8:edgeLong=3:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=1.000:outer2=0.988:empty=0:edgeShort=8:edgeLong=4:filled=3:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=1.000:outer2=0.988:empty=0:edgeShort=8:edgeLong=4:filled=3:trim=0/0:fast greedy budget=450
27,repaired,R1,r1_ab_041_above300_level_473_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_041_above300_level_473_final.asset,r1_outer_strong_027_r1_041_a473,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_027_r1_041_a473.asset,fill_outer,20,26,52,56,465,505,0.894,0.971,0.523,0.977,0.732,0.970,20,1,5,6,2,4,13,18,0,0,6,True,10083.2,original:greedy=True:outer1=0.523:outer2=0.732:empty=20:edgeShort=5:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.977:outer2=0.970:empty=1:edgeShort=6:edgeLong=4:filled=6:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.977:outer2=0.970:empty=1:edgeShort=6:edgeLong=4:filled=6:trim=0/0:fast greedy budget=450
28,repaired,R1,r1_ab_042_above300_level_474_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_042_above300_level_474_final.asset,r1_outer_strong_028_r1_042_a474,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_028_r1_042_a474.asset,fill_outer,9,4,5,7,13,30,0.361,0.833,0.273,0.864,0.361,0.833,9,1,5,5,0,0,3,9,0,0,5,True,9269.7,original:greedy=True:outer1=0.273:outer2=0.361:empty=9:edgeShort=5:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.864:outer2=0.833:empty=1:edgeShort=5:edgeLong=0:filled=5:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.864:outer2=0.833:empty=1:edgeShort=5:edgeLong=0:filled=5:trim=0/0:fast greedy budget=450
29,kept,R1,r1_ab_043_above300_level_475_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_043_above300_level_475_final.asset,r1_outer_strong_029_r1_043_a475,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_029_r1_043_a475.asset,original,21,22,52,52,446,446,0.965,0.965,0.939,0.939,0.955,0.955,2,2,10,10,0,0,8,8,0,0,0,True,9922.4,original:greedy=True:outer1=0.939:outer2=0.955:empty=2:edgeShort=10:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.988:outer2=0.981:empty=1:edgeShort=11:edgeLong=0:filled=4:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.988:outer2=0.981:empty=1:edgeShort=11:edgeLong=0:filled=4:trim=0/0:fast greedy failed budget=450
30,repaired,R1,r1_ab_046_above300_level_484_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_046_above300_level_484_final.asset,r1_outer_strong_030_r1_046_a484,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_030_r1_046_a484.asset,fill_outer,27,43,5,93,11,1152,0.009,0.992,0.015,0.985,0.023,0.977,134,1,5,6,0,42,2,18,0,0,90,True,7929.2,original:greedy=True:outer1=0.015:outer2=0.023:empty=134:edgeShort=5:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.985:outer2=0.977:empty=1:edgeShort=6:edgeLong=42:filled=90:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.985:outer2=0.977:empty=1:edgeShort=6:edgeLong=42:filled=90:trim=0/0:fast greedy budget=450
31,repaired,R1,r1_ab_048_above300_level_491_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_048_above300_level_491_final.asset,r1_outer_strong_031_r1_048_a491,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_031_r1_048_a491.asset,fill_outer,24,32,66,66,749,753,0.975,0.980,0.963,1.000,0.966,0.986,1,0,9,9,4,4,19,19,0,0,4,True,10489.6,original:greedy=True:outer1=0.963:outer2=0.966:empty=1:edgeShort=9:edgeLong=4:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=1.000:outer2=0.986:empty=0:edgeShort=9:edgeLong=4:filled=4:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=1.000:outer2=0.986:empty=0:edgeShort=9:edgeLong=4:filled=4:trim=0/0:fast greedy budget=450
