rank,id,path,source,transform,reversePattern,reversed,variantMode,addedChains,width,height,chains,coverage,greedy,details
1,composite_final100_001_composite_greedy_ab_001_r1_029_a456_a845_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_001_composite_greedy_ab_001_r1_029_a456_a845_h2_identity_keep_none.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,identity,keep,0,none,0,47,30,131,0.926,True,fast greedy budget=450; localEmpty=0.266
12,composite_final100_012_composite_greedy_ab_012_a754_a845_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_012_composite_greedy_ab_012_a754_a845_h2_identity_keep_none.asset,composite_greedy_ab_012_a754_a845_h2,identity,keep,0,none,0,44,31,124,0.933,True,fast greedy budget=450; localEmpty=0.234
13,composite_final100_013_composite_greedy_ab_013_r1_249_a879_r1_156_a672__identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_013_composite_greedy_ab_013_r1_249_a879_r1_156_a672__identity_keep_none.asset,composite_greedy_ab_013_r1_249_a879_r1_156_a672_h0,identity,keep,0,none,0,43,30,133,0.938,True,fast greedy budget=450; localEmpty=0.281
14,composite_final100_014_composite_greedy_ab_014_r1_264_a906_a845_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_014_composite_greedy_ab_014_r1_264_a906_a845_h0_identity_keep_none.asset,composite_greedy_ab_014_r1_264_a906_a845_h0,identity,keep,0,none,0,45,30,134,0.959,True,fast greedy budget=450; localEmpty=0.125
15,composite_final100_015_composite_greedy_ab_015_r2_029_a456_a966_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_015_composite_greedy_ab_015_r2_029_a456_a966_h2_identity_keep_none.asset,composite_greedy_ab_015_r2_029_a456_a966_h2,identity,keep,0,none,0,43,28,130,0.920,True,fast greedy budget=450; localEmpty=0.250
16,composite_final100_016_composite_greedy_ab_017_r1_179_a717_a845_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_016_composite_greedy_ab_017_r1_179_a717_a845_h0_identity_keep_none.asset,composite_greedy_ab_017_r1_179_a717_a845_h0,identity,keep,0,none,0,48,30,130,0.915,True,fast greedy budget=450; localEmpty=0.297
17,composite_final100_017_composite_greedy_ab_018_r2_237_a857_r1_271_a943__identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_017_composite_greedy_ab_018_r2_237_a857_r1_271_a943__identity_keep_none.asset,composite_greedy_ab_018_r2_237_a857_r1_271_a943_h0,identity,keep,0,none,0,46,28,128,0.931,True,fast greedy budget=450; localEmpty=0.281
18,composite_final100_018_composite_greedy_ab_020_a665_a845_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_018_composite_greedy_ab_020_a665_a845_h2_identity_keep_none.asset,composite_greedy_ab_020_a665_a845_h2,identity,keep,0,none,0,48,31,122,0.911,True,fast greedy budget=450; localEmpty=0.313
19,composite_final100_019_composite_greedy_ab_021_r1_249_a879_a883_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_019_composite_greedy_ab_021_r1_249_a879_a883_h2_identity_keep_none.asset,composite_greedy_ab_021_r1_249_a879_a883_h2,identity,keep,0,none,0,47,31,139,0.902,True,fast greedy budget=450; localEmpty=0.313
20,composite_final100_020_composite_greedy_ab_022_r1_165_a691_a845_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_020_composite_greedy_ab_022_r1_165_a691_a845_h0_identity_keep_none.asset,composite_greedy_ab_022_r1_165_a691_a845_h0,identity,keep,0,none,0,42,32,132,0.906,True,fast greedy budget=450; localEmpty=0.375
21,composite_final100_021_composite_greedy_ab_023_a754_a946_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_021_composite_greedy_ab_023_a754_a946_h2_identity_keep_none.asset,composite_greedy_ab_023_a754_a946_h2,identity,keep,0,none,0,41,32,121,0.923,True,fast greedy budget=450; localEmpty=0.422
22,composite_final100_022_composite_greedy_ab_026_r2_012_a419_a966_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_022_composite_greedy_ab_026_r2_012_a419_a966_h0_identity_keep_none.asset,composite_greedy_ab_026_r2_012_a419_a966_h0,identity,keep,0,none,0,37,28,133,0.921,True,fast greedy budget=450; localEmpty=0.266
23,composite_final100_023_composite_greedy_ab_027_r2_211_a789_a845_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_023_composite_greedy_ab_027_r2_211_a789_a845_h2_identity_keep_none.asset,composite_greedy_ab_027_r2_211_a789_a845_h2,identity,keep,0,none,0,44,30,129,0.914,True,fast greedy budget=450; localEmpty=0.328
24,composite_final100_024_composite_greedy_ab_028_a515_r1_195_a754_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_024_composite_greedy_ab_028_a515_r1_195_a754_h0_identity_keep_none.asset,composite_greedy_ab_028_a515_r1_195_a754_h0,identity,keep,0,none,0,48,35,143,0.906,True,fast greedy budget=450; localEmpty=0.328
25,composite_final100_025_composite_greedy_ab_029_r2_237_a857_a946_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_025_composite_greedy_ab_029_r2_237_a857_a946_h0_identity_keep_none.asset,composite_greedy_ab_029_r2_237_a857_a946_h0,identity,keep,0,none,0,41,32,139,0.931,True,fast greedy budget=450; localEmpty=0.281
26,composite_final100_026_composite_greedy_ab_030_a491_a845_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_026_composite_greedy_ab_030_a491_a845_h0_identity_keep_none.asset,composite_greedy_ab_030_a491_a845_h0,identity,keep,0,none,0,48,30,120,0.939,True,fast greedy budget=450; localEmpty=0.203
27,composite_final100_027_composite_greedy_ab_031_r2_012_a419_a845_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_027_composite_greedy_ab_031_r2_012_a419_a845_h2_identity_keep_none.asset,composite_greedy_ab_031_r2_012_a419_a845_h2,identity,keep,0,none,0,43,30,137,0.917,True,fast greedy budget=450; localEmpty=0.297
28,composite_final100_028_composite_greedy_ab_032_r1_236_a855_r1_282_a966__identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_028_composite_greedy_ab_032_r1_236_a855_r1_282_a966__identity_keep_none.asset,composite_greedy_ab_032_r1_236_a855_r1_282_a966_h2,identity,keep,0,none,0,38,28,141,0.922,True,fast greedy budget=450; localEmpty=0.313
29,composite_final100_029_composite_greedy_ab_034_z166_a845_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_029_composite_greedy_ab_034_z166_a845_h0_identity_keep_none.asset,composite_greedy_ab_034_z166_a845_h0,identity,keep,0,none,0,46,30,128,0.907,True,fast greedy budget=450; localEmpty=0.375
30,composite_final100_030_composite_greedy_ab_036_r2_020_a435_r1_156_a672__identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_030_composite_greedy_ab_036_r2_020_a435_r1_156_a672__identity_keep_none.asset,composite_greedy_ab_036_r2_020_a435_r1_156_a672_h0,identity,keep,0,none,0,43,30,122,0.900,True,fast greedy budget=450; localEmpty=0.281
31,composite_final100_031_composite_greedy_ab_037_r2_264_a906_a845_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_031_composite_greedy_ab_037_r2_264_a906_a845_h0_identity_keep_none.asset,composite_greedy_ab_037_r2_264_a906_a845_h0,identity,keep,0,none,0,47,30,140,0.945,True,fast greedy budget=450; localEmpty=0.125
32,composite_final100_032_composite_greedy_ab_038_r1_165_a691_a946_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_032_composite_greedy_ab_038_r1_165_a691_a946_h2_identity_keep_none.asset,composite_greedy_ab_038_r1_165_a691_a946_h2,identity,keep,0,none,0,39,32,130,0.951,True,fast greedy budget=450; localEmpty=0.172
33,composite_final100_033_composite_greedy_ab_039_z103_a672_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_033_composite_greedy_ab_039_z103_a672_h0_identity_keep_none.asset,composite_greedy_ab_039_z103_a672_h0,identity,keep,0,none,0,51,36,132,0.917,True,fast greedy budget=450; localEmpty=0.438
34,composite_final100_034_composite_greedy_ab_040_r2_165_a691_a946_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_034_composite_greedy_ab_040_r2_165_a691_a946_h2_identity_keep_none.asset,composite_greedy_ab_040_r2_165_a691_a946_h2,identity,keep,0,none,0,39,35,140,0.916,True,fast greedy budget=450; localEmpty=0.172
35,composite_final100_035_composite_greedy_ab_001_r1_029_a456_a845_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_035_composite_greedy_ab_001_r1_029_a456_a845_h2_hflip_keep_none.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,hflip,keep,0,none,0,47,30,131,0.926,True,fast greedy budget=450; localEmpty=0.266
36,composite_final100_036_composite_greedy_ab_002_r1_249_a879_a966_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_036_composite_greedy_ab_002_r1_249_a879_a966_h0_hflip_keep_none.asset,composite_greedy_ab_002_r1_249_a879_a966_h0,hflip,keep,0,none,0,38,28,125,0.930,True,fast greedy budget=450; localEmpty=0.297
37,composite_final100_037_composite_greedy_ab_003_r1_249_a879_a845_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_037_composite_greedy_ab_003_r1_249_a879_a845_h2_hflip_keep_none.asset,composite_greedy_ab_003_r1_249_a879_a845_h2,hflip,keep,0,none,0,44,30,131,0.930,True,fast greedy budget=450; localEmpty=0.281
38,composite_final100_038_composite_greedy_ab_004_a515_a672_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_038_composite_greedy_ab_004_a515_a672_h2_hflip_keep_none.asset,composite_greedy_ab_004_a515_a672_h2,hflip,keep,0,none,0,45,35,127,0.917,True,fast greedy budget=450; localEmpty=0.219
39,composite_final100_039_composite_greedy_ab_005_a857_r1_282_a966_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_039_composite_greedy_ab_005_a857_r1_282_a966_h0_hflip_keep_none.asset,composite_greedy_ab_005_a857_r1_282_a966_h0,hflip,keep,0,none,0,39,28,137,0.922,True,fast greedy budget=450; localEmpty=0.281
40,composite_final100_040_composite_greedy_ab_006_r2_152_a661_a845_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_040_composite_greedy_ab_006_r2_152_a661_a845_h0_hflip_keep_none.asset,composite_greedy_ab_006_r2_152_a661_a845_h0,hflip,keep,0,none,0,47,30,131,0.922,True,fast greedy budget=450; localEmpty=0.328
41,composite_final100_041_composite_greedy_ab_007_r1_278_a955_a845_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_041_composite_greedy_ab_007_r1_278_a955_a845_h0_hflip_keep_none.asset,composite_greedy_ab_007_r1_278_a955_a845_h0,hflip,keep,0,none,0,42,30,131,0.934,True,fast greedy budget=450; localEmpty=0.141
42,composite_final100_042_composite_greedy_ab_008_r2_020_a435_a845_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_042_composite_greedy_ab_008_r2_020_a435_a845_h0_hflip_keep_none.asset,composite_greedy_ab_008_r2_020_a435_a845_h0,hflip,keep,0,none,0,44,30,121,0.905,True,fast greedy budget=450; localEmpty=0.281
43,composite_final100_043_composite_greedy_ab_009_a876_a845_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_043_composite_greedy_ab_009_a876_a845_h2_hflip_keep_none.asset,composite_greedy_ab_009_a876_a845_h2,hflip,keep,0,none,0,44,30,126,0.924,True,fast greedy budget=450; localEmpty=0.188
44,composite_final100_044_composite_greedy_ab_010_r1_097_a581_a845_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_044_composite_greedy_ab_010_r1_097_a581_a845_h2_hflip_keep_none.asset,composite_greedy_ab_010_r1_097_a581_a845_h2,hflip,keep,0,none,0,46,32,144,0.932,True,fast greedy budget=450; localEmpty=0.375
45,composite_final100_045_composite_greedy_ab_011_r1_063_a515_a672_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_045_composite_greedy_ab_011_r1_063_a515_a672_h0_hflip_keep_none.asset,composite_greedy_ab_011_r1_063_a515_a672_h0,hflip,keep,0,none,0,47,35,141,0.922,True,fast greedy budget=450; localEmpty=0.328
46,composite_final100_046_composite_greedy_ab_012_a754_a845_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_046_composite_greedy_ab_012_a754_a845_h2_hflip_keep_none.asset,composite_greedy_ab_012_a754_a845_h2,hflip,keep,0,none,0,44,31,124,0.933,True,fast greedy budget=450; localEmpty=0.234
47,composite_final100_047_composite_greedy_ab_013_r1_249_a879_r1_156_a672__hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_047_composite_greedy_ab_013_r1_249_a879_r1_156_a672__hflip_keep_none.asset,composite_greedy_ab_013_r1_249_a879_r1_156_a672_h0,hflip,keep,0,none,0,43,30,133,0.938,True,fast greedy budget=450; localEmpty=0.281
48,composite_final100_048_composite_greedy_ab_014_r1_264_a906_a845_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_048_composite_greedy_ab_014_r1_264_a906_a845_h0_hflip_keep_none.asset,composite_greedy_ab_014_r1_264_a906_a845_h0,hflip,keep,0,none,0,45,30,134,0.959,True,fast greedy budget=450; localEmpty=0.094
49,composite_final100_049_composite_greedy_ab_015_r2_029_a456_a966_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_049_composite_greedy_ab_015_r2_029_a456_a966_h2_hflip_keep_none.asset,composite_greedy_ab_015_r2_029_a456_a966_h2,hflip,keep,0,none,0,43,28,130,0.920,True,fast greedy budget=450; localEmpty=0.281
50,composite_final100_050_composite_greedy_ab_017_r1_179_a717_a845_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_050_composite_greedy_ab_017_r1_179_a717_a845_h0_hflip_keep_none.asset,composite_greedy_ab_017_r1_179_a717_a845_h0,hflip,keep,0,none,0,48,30,130,0.915,True,fast greedy budget=450; localEmpty=0.297
51,composite_final100_051_composite_greedy_ab_020_a665_a845_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_051_composite_greedy_ab_020_a665_a845_h2_hflip_keep_none.asset,composite_greedy_ab_020_a665_a845_h2,hflip,keep,0,none,0,48,31,122,0.911,True,fast greedy budget=450; localEmpty=0.313
52,composite_final100_052_composite_greedy_ab_021_r1_249_a879_a883_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_052_composite_greedy_ab_021_r1_249_a879_a883_h2_hflip_keep_none.asset,composite_greedy_ab_021_r1_249_a879_a883_h2,hflip,keep,0,none,0,47,31,139,0.902,True,fast greedy budget=450; localEmpty=0.297
53,composite_final100_053_composite_greedy_ab_022_r1_165_a691_a845_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_053_composite_greedy_ab_022_r1_165_a691_a845_h0_hflip_keep_none.asset,composite_greedy_ab_022_r1_165_a691_a845_h0,hflip,keep,0,none,0,42,32,132,0.906,True,fast greedy budget=450; localEmpty=0.375
54,composite_final100_054_composite_greedy_ab_023_a754_a946_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_054_composite_greedy_ab_023_a754_a946_h2_hflip_keep_none.asset,composite_greedy_ab_023_a754_a946_h2,hflip,keep,0,none,0,41,32,121,0.923,True,fast greedy budget=450; localEmpty=0.391
55,composite_final100_055_composite_greedy_ab_026_r2_012_a419_a966_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_055_composite_greedy_ab_026_r2_012_a419_a966_h0_hflip_keep_none.asset,composite_greedy_ab_026_r2_012_a419_a966_h0,hflip,keep,0,none,0,37,28,133,0.921,True,fast greedy budget=450; localEmpty=0.297
56,composite_final100_056_composite_greedy_ab_027_r2_211_a789_a845_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_056_composite_greedy_ab_027_r2_211_a789_a845_h2_hflip_keep_none.asset,composite_greedy_ab_027_r2_211_a789_a845_h2,hflip,keep,0,none,0,44,30,129,0.914,True,fast greedy budget=450; localEmpty=0.328
57,composite_final100_057_composite_greedy_ab_028_a515_r1_195_a754_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_057_composite_greedy_ab_028_a515_r1_195_a754_h0_hflip_keep_none.asset,composite_greedy_ab_028_a515_r1_195_a754_h0,hflip,keep,0,none,0,48,35,143,0.906,True,fast greedy budget=450; localEmpty=0.328
58,composite_final100_058_composite_greedy_ab_029_r2_237_a857_a946_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_058_composite_greedy_ab_029_r2_237_a857_a946_h0_hflip_keep_none.asset,composite_greedy_ab_029_r2_237_a857_a946_h0,hflip,keep,0,none,0,41,32,139,0.931,True,fast greedy budget=450; localEmpty=0.266
59,composite_final100_059_composite_greedy_ab_030_a491_a845_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_059_composite_greedy_ab_030_a491_a845_h0_hflip_keep_none.asset,composite_greedy_ab_030_a491_a845_h0,hflip,keep,0,none,0,48,30,120,0.939,True,fast greedy budget=450; localEmpty=0.203
60,composite_final100_060_composite_greedy_ab_031_r2_012_a419_a845_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_060_composite_greedy_ab_031_r2_012_a419_a845_h2_hflip_keep_none.asset,composite_greedy_ab_031_r2_012_a419_a845_h2,hflip,keep,0,none,0,43,30,137,0.917,True,fast greedy budget=450; localEmpty=0.344
61,composite_final100_061_composite_greedy_ab_032_r1_236_a855_r1_282_a966__hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_061_composite_greedy_ab_032_r1_236_a855_r1_282_a966__hflip_keep_none.asset,composite_greedy_ab_032_r1_236_a855_r1_282_a966_h2,hflip,keep,0,none,0,38,28,141,0.922,True,fast greedy budget=450; localEmpty=0.344
62,composite_final100_062_composite_greedy_ab_034_z166_a845_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_062_composite_greedy_ab_034_z166_a845_h0_hflip_keep_none.asset,composite_greedy_ab_034_z166_a845_h0,hflip,keep,0,none,0,46,30,128,0.907,True,fast greedy budget=450; localEmpty=0.375
63,composite_final100_063_composite_greedy_ab_035_r2_237_a857_r2_113_a616__hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_063_composite_greedy_ab_035_r2_237_a857_r2_113_a616__hflip_keep_none.asset,composite_greedy_ab_035_r2_237_a857_r2_113_a616_h0,hflip,keep,0,none,0,42,28,122,0.916,True,fast greedy budget=450; localEmpty=0.391
64,composite_final100_064_composite_greedy_ab_036_r2_020_a435_r1_156_a672__hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_064_composite_greedy_ab_036_r2_020_a435_r1_156_a672__hflip_keep_none.asset,composite_greedy_ab_036_r2_020_a435_r1_156_a672_h0,hflip,keep,0,none,0,43,30,122,0.900,True,fast greedy budget=450; localEmpty=0.281
65,composite_final100_065_composite_greedy_ab_037_r2_264_a906_a845_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_065_composite_greedy_ab_037_r2_264_a906_a845_h0_hflip_keep_none.asset,composite_greedy_ab_037_r2_264_a906_a845_h0,hflip,keep,0,none,0,47,30,140,0.945,True,fast greedy budget=450; localEmpty=0.125
66,composite_final100_066_composite_greedy_ab_038_r1_165_a691_a946_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_066_composite_greedy_ab_038_r1_165_a691_a946_h2_hflip_keep_none.asset,composite_greedy_ab_038_r1_165_a691_a946_h2,hflip,keep,0,none,0,39,32,130,0.951,True,fast greedy budget=450; localEmpty=0.203
67,composite_final100_067_composite_greedy_ab_039_z103_a672_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_067_composite_greedy_ab_039_z103_a672_h0_hflip_keep_none.asset,composite_greedy_ab_039_z103_a672_h0,hflip,keep,0,none,0,51,36,132,0.917,True,fast greedy budget=450; localEmpty=0.453
68,composite_final100_068_composite_greedy_ab_040_r2_165_a691_a946_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinal100/composite_final100_068_composite_greedy_ab_040_r2_165_a691_a946_h2_hflip_keep_none.asset,composite_greedy_ab_040_r2_165_a691_a946_h2,hflip,keep,0,none,0,39,35,140,0.916,True,fast greedy budget=450; localEmpty=0.203
