slot,group,kind,levelId,path,sourceA,sourceB,variant,layout,width,height,chains,coverage,crossBlocks,greedy,repair
11,4,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,r1_ab_278_above300_level_955_final,seed_Above300_level_845,composite_greedy_ab_004_r1_278_a955_a845_h0,H0,42,30,131,0.934,18,True,preserved-repaired reversed=13 removed=2 chains=128 coverage=0.910 dep=del#73 blocks=118->117 rayBlocks=489->475 layers=105/24->128/0 gate=103:8->110:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=10>14>19>21>26>34>73>85; edgeFill=3
12,4,A+B greedy,composite_greedy_ab_004_r1_278_a955_a845_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABDependencySmoke10/composite_greedy_ab_004_r1_278_a955_a845_h0.asset,r1_ab_278_above300_level_955_final,seed_Above300_level_845,composite_greedy_ab_004_r1_278_a955_a845_h0,H0,42,30,131,0.934,18,True,preserved-repaired reversed=13 removed=2 chains=128 coverage=0.910 dep=del#73 blocks=118->117 rayBlocks=489->475 layers=105/24->128/0 gate=103:8->110:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=10>14>19>21>26>34>73>85; edgeFill=3
13,5,A,r1_ab_063_above300_level_515_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_063_above300_level_515_final.asset,r1_ab_063_above300_level_515_final,seed_Above300_level_672,composite_greedy_ab_005_r1_063_a515_a672_h0,H0,47,35,141,0.922,22,True,preserved-repaired reversed=13 removed=3 chains=135 coverage=0.888 dep=del#51 blocks=122->121 rayBlocks=601->585 layers=115/21->135/0 gate=16:5->54:17 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=10>16>35>49>51>61>62>97; edgeFill=6
14,5,B,seed_Above300_level_672,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_672.asset,r1_ab_063_above300_level_515_final,seed_Above300_level_672,composite_greedy_ab_005_r1_063_a515_a672_h0,H0,47,35,141,0.922,22,True,preserved-repaired reversed=13 removed=3 chains=135 coverage=0.888 dep=del#51 blocks=122->121 rayBlocks=601->585 layers=115/21->135/0 gate=16:5->54:17 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=10>16>35>49>51>61>62>97; edgeFill=6
15,5,A+B greedy,composite_greedy_ab_005_r1_063_a515_a672_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABDependencySmoke10/composite_greedy_ab_005_r1_063_a515_a672_h0.asset,r1_ab_063_above300_level_515_final,seed_Above300_level_672,composite_greedy_ab_005_r1_063_a515_a672_h0,H0,47,35,141,0.922,22,True,preserved-repaired reversed=13 removed=3 chains=135 coverage=0.888 dep=del#51 blocks=122->121 rayBlocks=601->585 layers=115/21->135/0 gate=16:5->54:17 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=10>16>35>49>51>61>62>97; edgeFill=6
16,6,A,r1_ab_249_above300_level_879_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_249_above300_level_879_final.asset,r1_ab_249_above300_level_879_final,r1_ab_156_above300_level_672_final,composite_greedy_ab_006_r1_249_a879_r1_156_a672_h0,H0,43,30,133,0.938,23,True,preserved-repaired reversed=13 removed=0 chains=129 coverage=0.907 dep=rev#56 blocks=114->113 rayBlocks=551->543 layers=93/36->129/0 gate=58:10->107:15 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>3>4>9>11>12>16>17; edgeFill=4
17,6,B,r1_ab_156_above300_level_672_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_156_above300_level_672_final.asset,r1_ab_249_above300_level_879_final,r1_ab_156_above300_level_672_final,composite_greedy_ab_006_r1_249_a879_r1_156_a672_h0,H0,43,30,133,0.938,23,True,preserved-repaired reversed=13 removed=0 chains=129 coverage=0.907 dep=rev#56 blocks=114->113 rayBlocks=551->543 layers=93/36->129/0 gate=58:10->107:15 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>3>4>9>11>12>16>17; edgeFill=4
18,6,A+B greedy,composite_greedy_ab_006_r1_249_a879_r1_156_a672_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABDependencySmoke10/composite_greedy_ab_006_r1_249_a879_r1_156_a672_h0.asset,r1_ab_249_above300_level_879_final,r1_ab_156_above300_level_672_final,composite_greedy_ab_006_r1_249_a879_r1_156_a672_h0,H0,43,30,133,0.938,23,True,preserved-repaired reversed=13 removed=0 chains=129 coverage=0.907 dep=rev#56 blocks=114->113 rayBlocks=551->543 layers=93/36->129/0 gate=58:10->107:15 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>3>4>9>11>12>16>17; edgeFill=4
19,7,A,r1_ab_264_above300_level_906_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_264_above300_level_906_final.asset,r1_ab_264_above300_level_906_final,seed_Above300_level_845,composite_greedy_ab_007_r1_264_a906_a845_h0,H0,45,30,134,0.959,28,True,preserved-repaired reversed=10 removed=0 chains=132 coverage=0.944 dep=rev#24 blocks=117->117 rayBlocks=509->506 layers=98/34->132/0 gate=106:8->114:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>4>6>7>9>11>12>13; edgeFill=2
20,7,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,r1_ab_264_above300_level_906_final,seed_Above300_level_845,composite_greedy_ab_007_r1_264_a906_a845_h0,H0,45,30,134,0.959,28,True,preserved-repaired reversed=10 removed=0 chains=132 coverage=0.944 dep=rev#24 blocks=117->117 rayBlocks=509->506 layers=98/34->132/0 gate=106:8->114:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>4>6>7>9>11>12>13; edgeFill=2
21,7,A+B greedy,composite_greedy_ab_007_r1_264_a906_a845_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABDependencySmoke10/composite_greedy_ab_007_r1_264_a906_a845_h0.asset,r1_ab_264_above300_level_906_final,seed_Above300_level_845,composite_greedy_ab_007_r1_264_a906_a845_h0,H0,45,30,134,0.959,28,True,preserved-repaired reversed=10 removed=0 chains=132 coverage=0.944 dep=rev#24 blocks=117->117 rayBlocks=509->506 layers=98/34->132/0 gate=106:8->114:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>4>6>7>9>11>12>13; edgeFill=2
22,8,A,r1_ab_029_above300_level_456_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_l2_added50_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_029_above300_level_456_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_l2_added50_rotation_vflip.asset,r1_ab_029_above300_level_456_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_l2_added50_rotation_vflip,seed_Above300_level_966,composite_greedy_ab_008_r2_029_a456_a966_h2,H2,43,28,130,0.920,21,True,preserved-repaired reversed=15 removed=4 chains=132 coverage=0.908 dep=del#112 blocks=114->113 rayBlocks=497->486 layers=127/6->132/0 gate=112:4->101:22 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=86>107>112>114>117>118; edgeFill=2; gapCompact=2 removedChains=4 coverage=0.920
23,8,B,seed_Above300_level_966,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_966.asset,r1_ab_029_above300_level_456_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_l2_added50_rotation_vflip,seed_Above300_level_966,composite_greedy_ab_008_r2_029_a456_a966_h2,H2,43,28,130,0.920,21,True,preserved-repaired reversed=15 removed=4 chains=132 coverage=0.908 dep=del#112 blocks=114->113 rayBlocks=497->486 layers=127/6->132/0 gate=112:4->101:22 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=86>107>112>114>117>118; edgeFill=2; gapCompact=2 removedChains=4 coverage=0.920
24,8,A+B greedy,composite_greedy_ab_008_r2_029_a456_a966_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABDependencySmoke10/composite_greedy_ab_008_r2_029_a456_a966_h2.asset,r1_ab_029_above300_level_456_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_l2_added50_rotation_vflip,seed_Above300_level_966,composite_greedy_ab_008_r2_029_a456_a966_h2,H2,43,28,130,0.920,21,True,preserved-repaired reversed=15 removed=4 chains=132 coverage=0.908 dep=del#112 blocks=114->113 rayBlocks=497->486 layers=127/6->132/0 gate=112:4->101:22 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=86>107>112>114>117>118; edgeFill=2; gapCompact=2 removedChains=4 coverage=0.920
25,9,A,seed_Above300_level_857,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_857.asset,seed_Above300_level_857,r1_ab_156_above300_level_672_final_take_refill_v2_p2_delta7_occ7_addcells_rewrite_v2_v2_l3_added85_rotation_vflip,composite_greedy_ab_009_a857_r2_156_a672_h0,H0,44,30,141,0.908,22,True,preserved-repaired reversed=18 removed=4 chains=135 coverage=0.864 dep=del#89 blocks=120->119 rayBlocks=547->539 layers=126/10->135/0 gate=14:4->116:17 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=2>3>6>8>14>15>16>37; edgeFill=6
26,9,B,r1_ab_156_above300_level_672_final_take_refill_v2_p2_delta7_occ7_addcells_rewrite_v2_v2_l3_added85_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_156_above300_level_672_final_take_refill_v2_p2_delta7_occ7_addcells_rewrite_v2_v2_l3_added85_rotation_vflip.asset,seed_Above300_level_857,r1_ab_156_above300_level_672_final_take_refill_v2_p2_delta7_occ7_addcells_rewrite_v2_v2_l3_added85_rotation_vflip,composite_greedy_ab_009_a857_r2_156_a672_h0,H0,44,30,141,0.908,22,True,preserved-repaired reversed=18 removed=4 chains=135 coverage=0.864 dep=del#89 blocks=120->119 rayBlocks=547->539 layers=126/10->135/0 gate=14:4->116:17 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=2>3>6>8>14>15>16>37; edgeFill=6
27,9,A+B greedy,composite_greedy_ab_009_a857_r2_156_a672_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABDependencySmoke10/composite_greedy_ab_009_a857_r2_156_a672_h0.asset,seed_Above300_level_857,r1_ab_156_above300_level_672_final_take_refill_v2_p2_delta7_occ7_addcells_rewrite_v2_v2_l3_added85_rotation_vflip,composite_greedy_ab_009_a857_r2_156_a672_h0,H0,44,30,141,0.908,22,True,preserved-repaired reversed=18 removed=4 chains=135 coverage=0.864 dep=del#89 blocks=120->119 rayBlocks=547->539 layers=126/10->135/0 gate=14:4->116:17 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=2>3>6>8>14>15>16>37; edgeFill=6
28,10,A,r1_ab_237_above300_level_857_final_take_refill_v2_p2_delta12_occ4_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_237_above300_level_857_final_take_refill_v2_p2_delta12_occ4_addcells_rewrite_v2_v2_t3_added58_rotation_vflip.asset,r1_ab_237_above300_level_857_final_take_refill_v2_p2_delta12_occ4_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,r1_ab_271_above300_level_943_final,composite_greedy_ab_010_r2_237_a857_r1_271_a943_h0,H0,46,28,128,0.931,12,True,preserved-repaired reversed=16 removed=3 chains=124 coverage=0.908 dep=del#13 blocks=112->111 rayBlocks=525->502 layers=115/10->124/0 gate=7:8->64:25 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=3>6>7>8>13>14>15>43; edgeFill=4
29,10,B,r1_ab_271_above300_level_943_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_271_above300_level_943_final.asset,r1_ab_237_above300_level_857_final_take_refill_v2_p2_delta12_occ4_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,r1_ab_271_above300_level_943_final,composite_greedy_ab_010_r2_237_a857_r1_271_a943_h0,H0,46,28,128,0.931,12,True,preserved-repaired reversed=16 removed=3 chains=124 coverage=0.908 dep=del#13 blocks=112->111 rayBlocks=525->502 layers=115/10->124/0 gate=7:8->64:25 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=3>6>7>8>13>14>15>43; edgeFill=4
30,10,A+B greedy,composite_greedy_ab_010_r2_237_a857_r1_271_a943_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABDependencySmoke10/composite_greedy_ab_010_r2_237_a857_r1_271_a943_h0.asset,r1_ab_237_above300_level_857_final_take_refill_v2_p2_delta12_occ4_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,r1_ab_271_above300_level_943_final,composite_greedy_ab_010_r2_237_a857_r1_271_a943_h0,H0,46,28,128,0.931,12,True,preserved-repaired reversed=16 removed=3 chains=124 coverage=0.908 dep=del#13 blocks=112->111 rayBlocks=525->502 layers=115/10->124/0 gate=7:8->64:25 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=3>6>7>8>13>14>15>43; edgeFill=4
