slot,group,kind,levelId,path,sourceA,sourceB,variant,layout,width,height,chains,coverage,crossBlocks,greedy,repair
11,4,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,r1_ab_249_above300_level_879_final,seed_Above300_level_845,composite_greedy_ab_004_r1_249_a879_a845_h2,H2,44,30,131,0.930,20,True,preserved-repaired reversed=9 removed=0 chains=131 coverage=0.904; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.930
12,4,A+B greedy,composite_greedy_ab_004_r1_249_a879_a845_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop/composite_greedy_ab_004_r1_249_a879_a845_h2.asset,r1_ab_249_above300_level_879_final,seed_Above300_level_845,composite_greedy_ab_004_r1_249_a879_a845_h2,H2,44,30,131,0.930,20,True,preserved-repaired reversed=9 removed=0 chains=131 coverage=0.904; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.930
13,5,A,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip.asset,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,r1_ab_232_above300_level_845_final,composite_greedy_ab_005_r2_254_a887_r1_232_a845_h0,H0,48,30,149,0.919,14,True,preserved-repaired reversed=5 removed=0 chains=148 coverage=0.912; edgeFill=1
14,5,B,r1_ab_232_above300_level_845_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_232_above300_level_845_final.asset,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,r1_ab_232_above300_level_845_final,composite_greedy_ab_005_r2_254_a887_r1_232_a845_h0,H0,48,30,149,0.919,14,True,preserved-repaired reversed=5 removed=0 chains=148 coverage=0.912; edgeFill=1
15,5,A+B greedy,composite_greedy_ab_005_r2_254_a887_r1_232_a845_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop/composite_greedy_ab_005_r2_254_a887_r1_232_a845_h0.asset,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,r1_ab_232_above300_level_845_final,composite_greedy_ab_005_r2_254_a887_r1_232_a845_h0,H0,48,30,149,0.919,14,True,preserved-repaired reversed=5 removed=0 chains=148 coverage=0.912; edgeFill=1
16,6,A,r1_ab_249_above300_level_879_final_take_refill_v2_p2_delta9_occ7_addcells_rewrite_v2_v2_r2_added49_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_249_above300_level_879_final_take_refill_v2_p2_delta9_occ7_addcells_rewrite_v2_v2_r2_added49_rotation_vflip.asset,r1_ab_249_above300_level_879_final_take_refill_v2_p2_delta9_occ7_addcells_rewrite_v2_v2_r2_added49_rotation_vflip,r1_ab_232_above300_level_845_final,composite_greedy_ab_006_r2_249_a879_r1_232_a845_h0,H0,48,30,148,0.933,33,True,preserved-repaired reversed=12 removed=1 chains=142 coverage=0.898; edgeFill=6
17,6,B,r1_ab_232_above300_level_845_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_232_above300_level_845_final.asset,r1_ab_249_above300_level_879_final_take_refill_v2_p2_delta9_occ7_addcells_rewrite_v2_v2_r2_added49_rotation_vflip,r1_ab_232_above300_level_845_final,composite_greedy_ab_006_r2_249_a879_r1_232_a845_h0,H0,48,30,148,0.933,33,True,preserved-repaired reversed=12 removed=1 chains=142 coverage=0.898; edgeFill=6
18,6,A+B greedy,composite_greedy_ab_006_r2_249_a879_r1_232_a845_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop/composite_greedy_ab_006_r2_249_a879_r1_232_a845_h0.asset,r1_ab_249_above300_level_879_final_take_refill_v2_p2_delta9_occ7_addcells_rewrite_v2_v2_r2_added49_rotation_vflip,r1_ab_232_above300_level_845_final,composite_greedy_ab_006_r2_249_a879_r1_232_a845_h0,H0,48,30,148,0.933,33,True,preserved-repaired reversed=12 removed=1 chains=142 coverage=0.898; edgeFill=6
19,7,A,seed_Arrowz_level_022,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Arrowz_level_022.asset,seed_Arrowz_level_022,seed_above300_level_883,composite_greedy_ab_007_z022_a883_h0,H0,47,31,128,0.900,21,True,preserved-repaired reversed=15 removed=6 chains=120 coverage=0.857; edgeFill=8
20,7,B,seed_above300_level_883,Assets/ArrowMagic/SOData/Levels/Seeds/seed_above300_level_883.asset,seed_Arrowz_level_022,seed_above300_level_883,composite_greedy_ab_007_z022_a883_h0,H0,47,31,128,0.900,21,True,preserved-repaired reversed=15 removed=6 chains=120 coverage=0.857; edgeFill=8
21,7,A+B greedy,composite_greedy_ab_007_z022_a883_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop/composite_greedy_ab_007_z022_a883_h0.asset,seed_Arrowz_level_022,seed_above300_level_883,composite_greedy_ab_007_z022_a883_h0,H0,47,31,128,0.900,21,True,preserved-repaired reversed=15 removed=6 chains=120 coverage=0.857; edgeFill=8
22,8,A,seed_Above300_level_717,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_717.asset,seed_Above300_level_717,seed_above300_level_883,composite_greedy_ab_008_a717_a883_h0,H0,49,31,127,0.916,18,True,preserved-repaired reversed=15 removed=4 chains=122 coverage=0.883; edgeFill=5
23,8,B,seed_above300_level_883,Assets/ArrowMagic/SOData/Levels/Seeds/seed_above300_level_883.asset,seed_Above300_level_717,seed_above300_level_883,composite_greedy_ab_008_a717_a883_h0,H0,49,31,127,0.916,18,True,preserved-repaired reversed=15 removed=4 chains=122 coverage=0.883; edgeFill=5
24,8,A+B greedy,composite_greedy_ab_008_a717_a883_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop/composite_greedy_ab_008_a717_a883_h0.asset,seed_Above300_level_717,seed_above300_level_883,composite_greedy_ab_008_a717_a883_h0,H0,49,31,127,0.916,18,True,preserved-repaired reversed=15 removed=4 chains=122 coverage=0.883; edgeFill=5
25,9,A,r1_ab_185_above300_level_731_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_185_above300_level_731_final.asset,r1_ab_185_above300_level_731_final,seed_above300_level_883,composite_greedy_ab_009_r1_185_a731_a883_h0,H0,48,31,128,0.915,14,True,preserved-repaired reversed=13 removed=4 chains=122 coverage=0.880; edgeFill=6
26,9,B,seed_above300_level_883,Assets/ArrowMagic/SOData/Levels/Seeds/seed_above300_level_883.asset,r1_ab_185_above300_level_731_final,seed_above300_level_883,composite_greedy_ab_009_r1_185_a731_a883_h0,H0,48,31,128,0.915,14,True,preserved-repaired reversed=13 removed=4 chains=122 coverage=0.880; edgeFill=6
27,9,A+B greedy,composite_greedy_ab_009_r1_185_a731_a883_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop/composite_greedy_ab_009_r1_185_a731_a883_h0.asset,r1_ab_185_above300_level_731_final,seed_above300_level_883,composite_greedy_ab_009_r1_185_a731_a883_h0,H0,48,31,128,0.915,14,True,preserved-repaired reversed=13 removed=4 chains=122 coverage=0.880; edgeFill=6
28,10,A,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip.asset,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,r1_ab_156_above300_level_672_final,composite_greedy_ab_010_r2_254_a887_r1_156_a672_h0,H0,45,30,140,0.911,13,True,preserved-repaired reversed=15 removed=1 chains=139 coverage=0.904; edgeFill=1
29,10,B,r1_ab_156_above300_level_672_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_156_above300_level_672_final.asset,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,r1_ab_156_above300_level_672_final,composite_greedy_ab_010_r2_254_a887_r1_156_a672_h0,H0,45,30,140,0.911,13,True,preserved-repaired reversed=15 removed=1 chains=139 coverage=0.904; edgeFill=1
30,10,A+B greedy,composite_greedy_ab_010_r2_254_a887_r1_156_a672_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABScoreTop/composite_greedy_ab_010_r2_254_a887_r1_156_a672_h0.asset,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,r1_ab_156_above300_level_672_final,composite_greedy_ab_010_r2_254_a887_r1_156_a672_h0,H0,45,30,140,0.911,13,True,preserved-repaired reversed=15 removed=1 chains=139 coverage=0.904; edgeFill=1
