rank,status,pack,sourceId,sourcePath,outputId,outputPath,mode,width,height,chainsBefore,chainsAfter,tilesBefore,tilesAfter,coverageBefore,coverageAfter,outer1Before,outer1After,outer2Before,outer2After,maxOuterEmptyBefore,maxOuterEmptyAfter,edgeShortBefore,edgeShortAfter,edgeLongBefore,edgeLongAfter,maxEdgeRunBefore,maxEdgeRunAfter,trimmedOuterExit,trimmedOuterShort,filled,greedy,score,details
11,repaired,R2,r1_ab_015_above300_level_426_final_sparse_prefill_fill12_hole46_addcells_rewrite_v2_v2_b2_added50_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_015_above300_level_426_final_sparse_prefill_fill12_hole46_addcells_rewrite_v2_v2_b2_added50_rotation_vflip.asset,r2_outer_strong_011_r2_015_a426,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_011_r2_015_a426.asset,fill_outer,26,29,75,79,686,704,0.910,0.934,0.906,0.981,0.912,0.980,5,1,15,17,1,1,13,13,0,0,8,True,10330.4,original:greedy=True:outer1=0.906:outer2=0.912:empty=5:edgeShort=15:edgeLong=1:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.981:outer2=0.980:empty=1:edgeShort=17:edgeLong=1:filled=8:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.981:outer2=0.980:empty=1:edgeShort=17:edgeLong=1:filled=8:trim=0/0:fast greedy budget=450
12,kept,R2,r1_ab_016_above300_level_427_final_take_refill_v2_p2_delta15_occ9_addcells_rewrite_v2_v2_l2_added53_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_016_above300_level_427_final_take_refill_v2_p2_delta15_occ9_addcells_rewrite_v2_v2_l2_added53_rotation_vflip.asset,r2_outer_strong_012_r2_016_a427,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_012_r2_016_a427.asset,original,27,29,113,113,737,737,0.941,0.941,0.907,0.907,0.942,0.942,2,2,21,21,0,0,9,9,0,0,0,True,9415.2,original:greedy=True:outer1=0.907:outer2=0.942:empty=2:edgeShort=21:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.991:outer2=0.986:empty=1:edgeShort=24:edgeLong=0:filled=8:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.981:outer2=0.976:empty=1:edgeShort=22:edgeLong=0:filled=11:trim=0/3:fast greedy failed budget=450
13,repaired,R2,r1_ab_018_above300_level_428_final_rotation_double_flip_180,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_018_above300_level_428_final_rotation_double_flip_180.asset,r2_outer_strong_013_r2_018_a428,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_013_r2_018_a428.asset,fill_outer,39,64,5,137,12,2369,0.005,0.949,0.000,0.995,0.015,0.987,202,1,3,3,0,132,3,18,0,0,133,True,2494.2,original:greedy=True:outer1=0.000:outer2=0.015:empty=202:edgeShort=3:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.995:outer2=0.987:empty=1:edgeShort=3:edgeLong=132:filled=133:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.995:outer2=0.987:empty=1:edgeShort=3:edgeLong=132:filled=133:trim=0/0:fast greedy budget=450
14,repaired,R2,r1_ab_020_above300_level_435_final_take_refill_v2_p2_delta12_occ6_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_020_above300_level_435_final_take_refill_v2_p2_delta12_occ6_addcells_rewrite_v2_v2_t3_added58_rotation_vflip.asset,r2_outer_strong_014_r2_020_a435,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_014_r2_020_a435.asset,fill_outer,20,27,48,49,526,530,0.974,0.981,0.956,1.000,0.977,1.000,1,0,12,12,8,8,12,13,0,0,4,True,10252.3,original:greedy=True:outer1=0.956:outer2=0.977:empty=1:edgeShort=12:edgeLong=8:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=1.000:outer2=1.000:empty=0:edgeShort=12:edgeLong=8:filled=4:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=1.000:outer2=1.000:empty=0:edgeShort=12:edgeLong=8:filled=4:trim=0/0:fast greedy budget=450
15,repaired,R2,r1_ab_021_above300_level_439_final_rotation_hflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_021_above300_level_439_final_rotation_hflip.asset,r2_outer_strong_015_r2_021_a439,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_015_r2_021_a439.asset,fill_outer,13,5,3,9,11,64,0.169,0.985,0.250,0.969,0.196,0.982,11,1,2,1,0,3,5,11,0,0,8,True,10282.1,original:greedy=True:outer1=0.250:outer2=0.196:empty=11:edgeShort=2:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.969:outer2=0.982:empty=1:edgeShort=1:edgeLong=3:filled=8:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.969:outer2=0.982:empty=1:edgeShort=1:edgeLong=3:filled=8:trim=0/0:fast greedy budget=450
16,kept,R2,r1_ab_025_above300_level_446_final_take_refill_v2_p2_delta14_occ14_addcells_rewrite_v2_v2_l2_added39_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_025_above300_level_446_final_take_refill_v2_p2_delta14_occ14_addcells_rewrite_v2_v2_l2_added39_rotation_vflip.asset,r2_outer_strong_016_r2_025_a446,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_016_r2_025_a446.asset,original,19,23,49,49,413,413,0.945,0.945,0.825,0.825,0.888,0.888,4,4,7,7,0,0,9,9,0,0,0,True,8532.5,original:greedy=True:outer1=0.825:outer2=0.888:empty=4:edgeShort=7:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.938:outer2=0.947:empty=1:edgeShort=7:edgeLong=0:filled=9:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.938:outer2=0.947:empty=1:edgeShort=7:edgeLong=0:filled=9:trim=0/0:fast greedy failed budget=450
17,repaired,R2,r1_ab_026_above300_level_451_final_take_refill_v2_p1_delta3_occ3_addcells_rewrite_v2_v2_b3_added60_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_026_above300_level_451_final_take_refill_v2_p1_delta3_occ3_addcells_rewrite_v2_v2_b3_added60_rotation_vflip.asset,r2_outer_strong_017_r2_026_a451,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_017_r2_026_a451.asset,fill_outer,22,34,70,84,639,721,0.854,0.964,0.185,0.944,0.567,0.962,55,1,4,7,2,5,20,18,0,0,28,True,9706.5,original:greedy=True:outer1=0.185:outer2=0.567:empty=55:edgeShort=4:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.944:outer2=0.962:empty=1:edgeShort=7:edgeLong=5:filled=28:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.944:outer2=0.962:empty=1:edgeShort=7:edgeLong=5:filled=28:trim=0/0:fast greedy budget=450
18,repaired,R2,r1_ab_027_above300_level_454_final_rotation_double_flip_180,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_027_above300_level_454_final_rotation_double_flip_180.asset,r2_outer_strong_018_r2_027_a454,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_018_r2_027_a454.asset,fill_outer,39,64,5,137,13,2369,0.005,0.949,0.000,0.995,0.013,0.992,202,1,3,3,0,132,3,18,0,0,133,True,2498.3,original:greedy=True:outer1=0.000:outer2=0.013:empty=202:edgeShort=3:edgeLong=0:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.995:outer2=0.992:empty=1:edgeShort=3:edgeLong=132:filled=133:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.995:outer2=0.992:empty=1:edgeShort=3:edgeLong=132:filled=133:trim=0/0:fast greedy budget=450
19,kept,R2,r1_ab_029_above300_level_456_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_l2_added50_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_029_above300_level_456_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_l2_added50_rotation_vflip.asset,r2_outer_strong_019_r2_029_a456,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_019_r2_029_a456.asset,original,25,26,60,60,628,628,0.966,0.966,0.898,0.898,0.941,0.941,2,2,12,12,2,2,13,13,0,0,0,True,9349.0,original:greedy=True:outer1=0.898:outer2=0.941:empty=2:edgeShort=12:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=1.000:outer2=0.995:empty=0:edgeShort=13:edgeLong=2:filled=10:trim=0/0:build failed 第 28 条箭头头部前方被自身占用。 | trim_refill:greedy=False:outer1=1.000:outer2=0.995:empty=0:edgeShort=13:edgeLong=2:filled=10:trim=0/0:build failed 第 28 条箭头头部前方被自身占用。
20,repaired,R2,r1_ab_032_above300_level_462_final_take_refill_v2_p2_delta8_occ4_addcells_rewrite_v2_v2_b2_added41_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_032_above300_level_462_final_take_refill_v2_p2_delta8_occ4_addcells_rewrite_v2_v2_b2_added41_rotation_vflip.asset,r2_outer_strong_020_r2_032_a462,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_020_r2_032_a462.asset,fill_outer,23,25,58,70,508,556,0.883,0.967,0.435,0.946,0.693,0.966,45,1,7,13,1,1,12,18,0,0,26,True,9938.6,original:greedy=True:outer1=0.435:outer2=0.693:empty=45:edgeShort=7:edgeLong=1:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.946:outer2=0.966:empty=1:edgeShort=13:edgeLong=1:filled=26:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.946:outer2=0.966:empty=1:edgeShort=13:edgeLong=1:filled=26:trim=0/0:fast greedy budget=450
21,kept,R2,r1_ab_033_above300_level_463_final_take_refill_v2_p2_delta16_occ10_addcells_rewrite_v2_v2_b2_added44_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_033_above300_level_463_final_take_refill_v2_p2_delta16_occ10_addcells_rewrite_v2_v2_b2_added44_rotation_vflip.asset,r2_outer_strong_021_r2_033_a463,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_021_r2_033_a463.asset,original,23,43,100,100,928,928,0.938,0.938,0.891,0.891,0.823,0.823,6,6,21,21,2,2,24,24,0,0,0,True,8401.0,original:greedy=True:outer1=0.891:outer2=0.823:empty=6:edgeShort=21:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.969:outer2=0.863:empty=2:edgeShort=20:edgeLong=2:filled=5:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.969:outer2=0.863:empty=2:edgeShort=20:edgeLong=2:filled=5:trim=0/0:fast greedy failed budget=450
22,repaired,R2,r1_ab_036_above300_level_466_final_take_refill_v2_p2_delta14_occ10_addcells_rewrite_v2_v2_l2_added43_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_036_above300_level_466_final_take_refill_v2_p2_delta14_occ10_addcells_rewrite_v2_v2_l2_added43_rotation_vflip.asset,r2_outer_strong_022_r2_036_a466,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_022_r2_036_a466.asset,fill_outer,23,23,55,60,466,511,0.881,0.966,0.477,0.977,0.702,0.970,43,1,8,10,2,4,11,18,0,0,10,True,10054.1,original:greedy=True:outer1=0.477:outer2=0.702:empty=43:edgeShort=8:edgeLong=2:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.977:outer2=0.970:empty=1:edgeShort=10:edgeLong=4:filled=10:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.977:outer2=0.970:empty=1:edgeShort=10:edgeLong=4:filled=10:trim=0/0:fast greedy budget=450
23,repaired,R2,r1_ab_037_above300_level_467_final_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_037_above300_level_467_final_rotation_vflip.asset,r2_outer_strong_023_r2_037_a467,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_023_r2_037_a467.asset,fill_outer,21,25,29,41,417,497,0.794,0.947,0.000,0.886,0.440,0.917,88,4,4,6,3,5,15,18,0,0,20,True,8706.3,original:greedy=True:outer1=0.000:outer2=0.440:empty=88:edgeShort=4:edgeLong=3:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.886:outer2=0.917:empty=4:edgeShort=6:edgeLong=5:filled=20:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.886:outer2=0.917:empty=4:edgeShort=6:edgeLong=5:filled=20:trim=0/0:fast greedy budget=450
24,repaired,R2,r1_ab_038_above300_level_468_final_take_refill_v2_p2_delta14_occ12_addcells_rewrite_v2_v2_r2_added39_rotation_hflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_038_above300_level_468_final_take_refill_v2_p2_delta14_occ12_addcells_rewrite_v2_v2_r2_added39_rotation_hflip.asset,r2_outer_strong_024_r2_038_a468,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_024_r2_038_a468.asset,fill_outer,29,20,54,61,546,568,0.941,0.979,0.840,0.989,0.889,0.989,6,1,12,16,4,4,19,20,0,0,11,True,10174.6,original:greedy=True:outer1=0.840:outer2=0.889:empty=6:edgeShort=12:edgeLong=4:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=True:outer1=0.989:outer2=0.989:empty=1:edgeShort=16:edgeLong=4:filled=11:trim=0/0:fast greedy budget=450 | trim_refill:greedy=True:outer1=0.989:outer2=0.989:empty=1:edgeShort=16:edgeLong=4:filled=11:trim=0/0:fast greedy budget=450
25,kept,R2,r1_ab_039_above300_level_470_final_addcells_rewrite_v2_v2_l3_added99_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_039_above300_level_470_final_addcells_rewrite_v2_v2_l3_added99_rotation_vflip.asset,r2_outer_strong_025_r2_039_a470,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_025_r2_039_a470.asset,original,29,36,94,94,939,939,0.899,0.899,0.421,0.421,0.660,0.660,64,64,6,6,3,3,25,25,0,0,0,True,-3231.9,original:greedy=True:outer1=0.421:outer2=0.660:empty=64:edgeShort=6:edgeLong=3:filled=0:trim=0/0:fast greedy budget=450 | fill_outer:greedy=False:outer1=0.960:outer2=0.955:empty=2:edgeShort=7:edgeLong=6:filled=19:trim=0/0:fast greedy failed budget=450 | trim_refill:greedy=False:outer1=0.960:outer2=0.955:empty=2:edgeShort=7:edgeLong=6:filled=19:trim=0/0:fast greedy failed budget=450
