slot,group,kind,levelId,path,sourceA,sourceB,variant,layout,width,height,chains,coverage,crossBlocks,greedy,repair
11,4,B,seed_Above300_level_672,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_672.asset,seed_Above300_level_515,seed_Above300_level_672,composite_greedy_ab_004_a515_a672_h2,H2,45,35,127,0.917,24,True,preserved-repaired reversed=13 removed=4 chains=123 coverage=0.881 dep=del#53 blocks=109->108 rayBlocks=531->516 layers=116/8->123/0 gate=53:3->45:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=15>34>51>53>65>67>106>113; edgeFill=8; gapCompact=2 removedChains=4 coverage=0.917
12,4,A+B greedy,composite_greedy_ab_004_a515_a672_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_004_a515_a672_h2.asset,seed_Above300_level_515,seed_Above300_level_672,composite_greedy_ab_004_a515_a672_h2,H2,45,35,127,0.917,24,True,preserved-repaired reversed=13 removed=4 chains=123 coverage=0.881 dep=del#53 blocks=109->108 rayBlocks=531->516 layers=116/8->123/0 gate=53:3->45:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=15>34>51>53>65>67>106>113; edgeFill=8; gapCompact=2 removedChains=4 coverage=0.917
13,5,A,seed_Above300_level_857,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_857.asset,seed_Above300_level_857,r1_ab_282_above300_level_966_final,composite_greedy_ab_005_a857_r1_282_a966_h0,H0,39,28,137,0.922,22,True,preserved-repaired reversed=14 removed=3 chains=134 coverage=0.895 dep=del#90 blocks=120->119 rayBlocks=579->567 layers=129/6->134/0 gate=90:4->79:23 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=66>85>90>92>95>96; edgeFill=3
14,5,B,r1_ab_282_above300_level_966_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_282_above300_level_966_final.asset,seed_Above300_level_857,r1_ab_282_above300_level_966_final,composite_greedy_ab_005_a857_r1_282_a966_h0,H0,39,28,137,0.922,22,True,preserved-repaired reversed=14 removed=3 chains=134 coverage=0.895 dep=del#90 blocks=120->119 rayBlocks=579->567 layers=129/6->134/0 gate=90:4->79:23 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=66>85>90>92>95>96; edgeFill=3
15,5,A+B greedy,composite_greedy_ab_005_a857_r1_282_a966_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_005_a857_r1_282_a966_h0.asset,seed_Above300_level_857,r1_ab_282_above300_level_966_final,composite_greedy_ab_005_a857_r1_282_a966_h0,H0,39,28,137,0.922,22,True,preserved-repaired reversed=14 removed=3 chains=134 coverage=0.895 dep=del#90 blocks=120->119 rayBlocks=579->567 layers=129/6->134/0 gate=90:4->79:23 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=66>85>90>92>95>96; edgeFill=3
16,6,A,r1_ab_152_above300_level_661_final_take_refill_v2_p2_delta13_occ5_addcells_rewrite_v2_v2_l3_added77_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_152_above300_level_661_final_take_refill_v2_p2_delta13_occ5_addcells_rewrite_v2_v2_l3_added77_rotation_vflip.asset,r1_ab_152_above300_level_661_final_take_refill_v2_p2_delta13_occ5_addcells_rewrite_v2_v2_l3_added77_rotation_vflip,seed_Above300_level_845,composite_greedy_ab_006_r2_152_a661_a845_h0,H0,47,30,131,0.922,21,True,preserved-repaired reversed=13 removed=2 chains=126 coverage=0.887 dep=del#35 blocks=112->110 rayBlocks=454->446 layers=115/12->126/0 gate=35:4->53:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=11>14>18>22>24>31>33>34; edgeFill=5
17,6,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,r1_ab_152_above300_level_661_final_take_refill_v2_p2_delta13_occ5_addcells_rewrite_v2_v2_l3_added77_rotation_vflip,seed_Above300_level_845,composite_greedy_ab_006_r2_152_a661_a845_h0,H0,47,30,131,0.922,21,True,preserved-repaired reversed=13 removed=2 chains=126 coverage=0.887 dep=del#35 blocks=112->110 rayBlocks=454->446 layers=115/12->126/0 gate=35:4->53:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=11>14>18>22>24>31>33>34; edgeFill=5
18,6,A+B greedy,composite_greedy_ab_006_r2_152_a661_a845_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_006_r2_152_a661_a845_h0.asset,r1_ab_152_above300_level_661_final_take_refill_v2_p2_delta13_occ5_addcells_rewrite_v2_v2_l3_added77_rotation_vflip,seed_Above300_level_845,composite_greedy_ab_006_r2_152_a661_a845_h0,H0,47,30,131,0.922,21,True,preserved-repaired reversed=13 removed=2 chains=126 coverage=0.887 dep=del#35 blocks=112->110 rayBlocks=454->446 layers=115/12->126/0 gate=35:4->53:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=11>14>18>22>24>31>33>34; edgeFill=5
19,7,A,r1_ab_278_above300_level_955_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_278_above300_level_955_final.asset,r1_ab_278_above300_level_955_final,seed_Above300_level_845,composite_greedy_ab_007_r1_278_a955_a845_h0,H0,42,30,131,0.934,18,True,preserved-repaired reversed=13 removed=2 chains=128 coverage=0.910 dep=del#73 blocks=118->117 rayBlocks=489->475 layers=105/24->128/0 gate=103:8->110:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=10>14>19>21>26>34>73>85; edgeFill=3
20,7,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,r1_ab_278_above300_level_955_final,seed_Above300_level_845,composite_greedy_ab_007_r1_278_a955_a845_h0,H0,42,30,131,0.934,18,True,preserved-repaired reversed=13 removed=2 chains=128 coverage=0.910 dep=del#73 blocks=118->117 rayBlocks=489->475 layers=105/24->128/0 gate=103:8->110:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=10>14>19>21>26>34>73>85; edgeFill=3
21,7,A+B greedy,composite_greedy_ab_007_r1_278_a955_a845_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_007_r1_278_a955_a845_h0.asset,r1_ab_278_above300_level_955_final,seed_Above300_level_845,composite_greedy_ab_007_r1_278_a955_a845_h0,H0,42,30,131,0.934,18,True,preserved-repaired reversed=13 removed=2 chains=128 coverage=0.910 dep=del#73 blocks=118->117 rayBlocks=489->475 layers=105/24->128/0 gate=103:8->110:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=10>14>19>21>26>34>73>85; edgeFill=3
22,8,A,r1_ab_020_above300_level_435_final_take_refill_v2_p2_delta12_occ6_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_020_above300_level_435_final_take_refill_v2_p2_delta12_occ6_addcells_rewrite_v2_v2_t3_added58_rotation_vflip.asset,r1_ab_020_above300_level_435_final_take_refill_v2_p2_delta12_occ6_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,seed_Above300_level_845,composite_greedy_ab_008_r2_020_a435_a845_h0,H0,44,30,121,0.905,16,True,preserved-repaired reversed=13 removed=3 chains=118 coverage=0.882 dep=del#2 blocks=106->105 rayBlocks=459->443 layers=108/11->118/0 gate=2:7->100:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>2>5>7>13>14>16>18; edgeFill=3
23,8,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,r1_ab_020_above300_level_435_final_take_refill_v2_p2_delta12_occ6_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,seed_Above300_level_845,composite_greedy_ab_008_r2_020_a435_a845_h0,H0,44,30,121,0.905,16,True,preserved-repaired reversed=13 removed=3 chains=118 coverage=0.882 dep=del#2 blocks=106->105 rayBlocks=459->443 layers=108/11->118/0 gate=2:7->100:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>2>5>7>13>14>16>18; edgeFill=3
24,8,A+B greedy,composite_greedy_ab_008_r2_020_a435_a845_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_008_r2_020_a435_a845_h0.asset,r1_ab_020_above300_level_435_final_take_refill_v2_p2_delta12_occ6_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,seed_Above300_level_845,composite_greedy_ab_008_r2_020_a435_a845_h0,H0,44,30,121,0.905,16,True,preserved-repaired reversed=13 removed=3 chains=118 coverage=0.882 dep=del#2 blocks=106->105 rayBlocks=459->443 layers=108/11->118/0 gate=2:7->100:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>2>5>7>13>14>16>18; edgeFill=3
25,9,A,seed_above300_level_876,Assets/ArrowMagic/SOData/Levels/Seeds/seed_above300_level_876.asset,seed_above300_level_876,seed_Above300_level_845,composite_greedy_ab_009_a876_a845_h2,H2,44,30,126,0.924,16,True,preserved-repaired reversed=14 removed=1 chains=126 coverage=0.902 dep=del#5 blocks=110->108 rayBlocks=493->475 layers=90/37->126/0 gate=29:7->104:17 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=5>6>15>17>24>25>26>29; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.924
26,9,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,seed_above300_level_876,seed_Above300_level_845,composite_greedy_ab_009_a876_a845_h2,H2,44,30,126,0.924,16,True,preserved-repaired reversed=14 removed=1 chains=126 coverage=0.902 dep=del#5 blocks=110->108 rayBlocks=493->475 layers=90/37->126/0 gate=29:7->104:17 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=5>6>15>17>24>25>26>29; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.924
27,9,A+B greedy,composite_greedy_ab_009_a876_a845_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_009_a876_a845_h2.asset,seed_above300_level_876,seed_Above300_level_845,composite_greedy_ab_009_a876_a845_h2,H2,44,30,126,0.924,16,True,preserved-repaired reversed=14 removed=1 chains=126 coverage=0.902 dep=del#5 blocks=110->108 rayBlocks=493->475 layers=90/37->126/0 gate=29:7->104:17 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=5>6>15>17>24>25>26>29; edgeFill=4; gapCompact=2 removedChains=4 coverage=0.924
28,10,A,r1_ab_097_above300_level_581_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_097_above300_level_581_final.asset,r1_ab_097_above300_level_581_final,seed_Above300_level_845,composite_greedy_ab_010_r1_097_a581_a845_h2,H2,46,32,144,0.932,24,True,preserved-repaired reversed=14 removed=2 chains=146 coverage=0.922 dep=del#33 blocks=133->132 rayBlocks=625->612 layers=138/9->146/0 gate=30:3->69:15 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=5>10>25>30>31>33>35>51; edgeFill=2; gapCompact=2 removedChains=4 coverage=0.932
29,10,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,r1_ab_097_above300_level_581_final,seed_Above300_level_845,composite_greedy_ab_010_r1_097_a581_a845_h2,H2,46,32,144,0.932,24,True,preserved-repaired reversed=14 removed=2 chains=146 coverage=0.922 dep=del#33 blocks=133->132 rayBlocks=625->612 layers=138/9->146/0 gate=30:3->69:15 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=5>10>25>30>31>33>35>51; edgeFill=2; gapCompact=2 removedChains=4 coverage=0.932
30,10,A+B greedy,composite_greedy_ab_010_r1_097_a581_a845_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_010_r1_097_a581_a845_h2.asset,r1_ab_097_above300_level_581_final,seed_Above300_level_845,composite_greedy_ab_010_r1_097_a581_a845_h2,H2,46,32,144,0.932,24,True,preserved-repaired reversed=14 removed=2 chains=146 coverage=0.922 dep=del#33 blocks=133->132 rayBlocks=625->612 layers=138/9->146/0 gate=30:3->69:15 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=5>10>25>30>31>33>35>51; edgeFill=2; gapCompact=2 removedChains=4 coverage=0.932
31,11,A,r1_ab_063_above300_level_515_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_063_above300_level_515_final.asset,r1_ab_063_above300_level_515_final,seed_Above300_level_672,composite_greedy_ab_011_r1_063_a515_a672_h0,H0,47,35,141,0.922,22,True,preserved-repaired reversed=13 removed=3 chains=135 coverage=0.888 dep=del#51 blocks=122->121 rayBlocks=601->585 layers=115/21->135/0 gate=16:5->54:17 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=10>16>35>49>51>61>62>97; edgeFill=6
32,11,B,seed_Above300_level_672,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_672.asset,r1_ab_063_above300_level_515_final,seed_Above300_level_672,composite_greedy_ab_011_r1_063_a515_a672_h0,H0,47,35,141,0.922,22,True,preserved-repaired reversed=13 removed=3 chains=135 coverage=0.888 dep=del#51 blocks=122->121 rayBlocks=601->585 layers=115/21->135/0 gate=16:5->54:17 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=10>16>35>49>51>61>62>97; edgeFill=6
33,11,A+B greedy,composite_greedy_ab_011_r1_063_a515_a672_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_011_r1_063_a515_a672_h0.asset,r1_ab_063_above300_level_515_final,seed_Above300_level_672,composite_greedy_ab_011_r1_063_a515_a672_h0,H0,47,35,141,0.922,22,True,preserved-repaired reversed=13 removed=3 chains=135 coverage=0.888 dep=del#51 blocks=122->121 rayBlocks=601->585 layers=115/21->135/0 gate=16:5->54:17 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=10>16>35>49>51>61>62>97; edgeFill=6
34,12,A,seed_Above300_level_754,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_754.asset,seed_Above300_level_754,seed_Above300_level_845,composite_greedy_ab_012_a754_a845_h2,H2,44,31,124,0.933,18,True,preserved-repaired reversed=12 removed=2 chains=127 coverage=0.928 dep=del#24 blocks=111->110 rayBlocks=504->483 layers=110/18->127/0 gate=24:7->14:19 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=2>4>9>15>16>17>23>24; edgeFill=1; gapCompact=2 removedChains=4 coverage=0.933
35,12,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,seed_Above300_level_754,seed_Above300_level_845,composite_greedy_ab_012_a754_a845_h2,H2,44,31,124,0.933,18,True,preserved-repaired reversed=12 removed=2 chains=127 coverage=0.928 dep=del#24 blocks=111->110 rayBlocks=504->483 layers=110/18->127/0 gate=24:7->14:19 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=2>4>9>15>16>17>23>24; edgeFill=1; gapCompact=2 removedChains=4 coverage=0.933
36,12,A+B greedy,composite_greedy_ab_012_a754_a845_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_012_a754_a845_h2.asset,seed_Above300_level_754,seed_Above300_level_845,composite_greedy_ab_012_a754_a845_h2,H2,44,31,124,0.933,18,True,preserved-repaired reversed=12 removed=2 chains=127 coverage=0.928 dep=del#24 blocks=111->110 rayBlocks=504->483 layers=110/18->127/0 gate=24:7->14:19 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=2>4>9>15>16>17>23>24; edgeFill=1; gapCompact=2 removedChains=4 coverage=0.933
37,13,A,r1_ab_249_above300_level_879_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_249_above300_level_879_final.asset,r1_ab_249_above300_level_879_final,r1_ab_156_above300_level_672_final,composite_greedy_ab_013_r1_249_a879_r1_156_a672_h0,H0,43,30,133,0.938,23,True,preserved-repaired reversed=13 removed=0 chains=129 coverage=0.907 dep=rev#56 blocks=114->113 rayBlocks=551->543 layers=93/36->129/0 gate=58:10->107:15 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>3>4>9>11>12>16>17; edgeFill=4
38,13,B,r1_ab_156_above300_level_672_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_156_above300_level_672_final.asset,r1_ab_249_above300_level_879_final,r1_ab_156_above300_level_672_final,composite_greedy_ab_013_r1_249_a879_r1_156_a672_h0,H0,43,30,133,0.938,23,True,preserved-repaired reversed=13 removed=0 chains=129 coverage=0.907 dep=rev#56 blocks=114->113 rayBlocks=551->543 layers=93/36->129/0 gate=58:10->107:15 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>3>4>9>11>12>16>17; edgeFill=4
39,13,A+B greedy,composite_greedy_ab_013_r1_249_a879_r1_156_a672_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_013_r1_249_a879_r1_156_a672_h0.asset,r1_ab_249_above300_level_879_final,r1_ab_156_above300_level_672_final,composite_greedy_ab_013_r1_249_a879_r1_156_a672_h0,H0,43,30,133,0.938,23,True,preserved-repaired reversed=13 removed=0 chains=129 coverage=0.907 dep=rev#56 blocks=114->113 rayBlocks=551->543 layers=93/36->129/0 gate=58:10->107:15 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>3>4>9>11>12>16>17; edgeFill=4
40,14,A,r1_ab_264_above300_level_906_final,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_264_above300_level_906_final.asset,r1_ab_264_above300_level_906_final,seed_Above300_level_845,composite_greedy_ab_014_r1_264_a906_a845_h0,H0,45,30,134,0.959,28,True,preserved-repaired reversed=10 removed=0 chains=132 coverage=0.944 dep=rev#24 blocks=117->117 rayBlocks=509->506 layers=98/34->132/0 gate=106:8->114:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>4>6>7>9>11>12>13; edgeFill=2
41,14,B,seed_Above300_level_845,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_845.asset,r1_ab_264_above300_level_906_final,seed_Above300_level_845,composite_greedy_ab_014_r1_264_a906_a845_h0,H0,45,30,134,0.959,28,True,preserved-repaired reversed=10 removed=0 chains=132 coverage=0.944 dep=rev#24 blocks=117->117 rayBlocks=509->506 layers=98/34->132/0 gate=106:8->114:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>4>6>7>9>11>12>13; edgeFill=2
42,14,A+B greedy,composite_greedy_ab_014_r1_264_a906_a845_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_014_r1_264_a906_a845_h0.asset,r1_ab_264_above300_level_906_final,seed_Above300_level_845,composite_greedy_ab_014_r1_264_a906_a845_h0,H0,45,30,134,0.959,28,True,preserved-repaired reversed=10 removed=0 chains=132 coverage=0.944 dep=rev#24 blocks=117->117 rayBlocks=509->506 layers=98/34->132/0 gate=106:8->114:16 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=1>4>6>7>9>11>12>13; edgeFill=2
43,15,A,r1_ab_029_above300_level_456_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_l2_added50_rotation_vflip,Assets/ArrowMagic/SOData/Levels/Seeds/R2FinalCandidatePool/r1_ab_029_above300_level_456_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_l2_added50_rotation_vflip.asset,r1_ab_029_above300_level_456_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_l2_added50_rotation_vflip,seed_Above300_level_966,composite_greedy_ab_015_r2_029_a456_a966_h2,H2,43,28,130,0.920,21,True,preserved-repaired reversed=15 removed=4 chains=132 coverage=0.908 dep=del#112 blocks=114->113 rayBlocks=497->486 layers=127/6->132/0 gate=112:4->101:22 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=86>107>112>114>117>118; edgeFill=2; gapCompact=2 removedChains=4 coverage=0.920
44,15,B,seed_Above300_level_966,Assets/ArrowMagic/SOData/Levels/Seeds/seed_Above300_level_966.asset,r1_ab_029_above300_level_456_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_l2_added50_rotation_vflip,seed_Above300_level_966,composite_greedy_ab_015_r2_029_a456_a966_h2,H2,43,28,130,0.920,21,True,preserved-repaired reversed=15 removed=4 chains=132 coverage=0.908 dep=del#112 blocks=114->113 rayBlocks=497->486 layers=127/6->132/0 gate=112:4->101:22 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=86>107>112>114>117>118; edgeFill=2; gapCompact=2 removedChains=4 coverage=0.920
45,15,A+B greedy,composite_greedy_ab_015_r2_029_a456_a966_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABFinalParents40/composite_greedy_ab_015_r2_029_a456_a966_h2.asset,r1_ab_029_above300_level_456_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_l2_added50_rotation_vflip,seed_Above300_level_966,composite_greedy_ab_015_r2_029_a456_a966_h2,H2,43,28,130,0.920,21,True,preserved-repaired reversed=15 removed=4 chains=132 coverage=0.908 dep=del#112 blocks=114->113 rayBlocks=497->486 layers=127/6->132/0 gate=112:4->101:22 cycles=0/0->0/0 maxCycle=0->0 sample=none stuck=86>107>112>114>117>118; edgeFill=2; gapCompact=2 removedChains=4 coverage=0.920
