rank,pairPriority,riskScore,sourceAType,sourceBType,sourceA,sourceB,basePair,layout,gap,width,height,chains,coverage,aspect,inwardPressure,crossBlocks,blockedChains,blockingChains,blockedByOtherMax,blocksOtherMax,topBlockedIndex,topBlockedOwner,topBlockedHits,topBlockerIndex,topBlockerOwner,topBlockerHits,planScore,details
23,3,383.99,R1,Seed,r1_ab_152_above300_level_661_final,seed_above300_level_883,r1:a661|seed:a883|h,H0,0,47,31,125,0.906,1.516,14,10,10,5,1,4,5,0,1,103,1,4,811.138,rawOk tiles=1320
24,3,386.856,R1,Seed,r1_ab_063_above300_level_515_final,seed_Above300_level_754,r1:a515|seed:a754|h,H0,0,47,35,138,0.914,1.343,12,12,12,8,1,3,3,0,1,32,0,3,895.037,rawOk tiles=1503
25,0,387.471,R2,R1,r1_ab_113_above300_level_616_final_take_refill_v2_p2_delta20_occ14_addcells_rewrite_v2_v2_r2_added50_rotation_vflip,r1_ab_282_above300_level_966_final,r1:a966|r2:a616|h,H0,0,43,28,150,0.918,1.536,13,12,12,6,1,3,6,0,1,49,0,3,890.737,rawOk tiles=1105
26,4,388.51,Seed,Seed,seed_Above300_level_515,seed_Above300_level_946,seed:a515|seed:a946|h,H0,0,46,35,142,0.919,1.314,13,13,13,10,1,2,3,0,1,3,0,2,887.228,rawOk tiles=1480
27,2,389.438,R2,Seed,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,seed_Above300_level_966,r2:a887|seed:a966|h,H0,0,40,29,137,0.908,1.379,12,12,12,8,1,3,2,0,1,25,0,3,901.177,rawOk tiles=1053
28,2,389.439,R2,Seed,r1_ab_154_above300_level_665_final_take_refill_v2_p2_delta15_occ13_addcells_rewrite_v2_v2_t2_added50_rotation_vflip,seed_Above300_level_754,r2:a665|seed:a754|h,H0,0,46,33,121,0.926,1.394,12,12,12,7,1,3,4,0,1,48,0,3,896.478,rawOk tiles=1406
29,2,390.127,R2,Seed,r1_ab_020_above300_level_435_final_take_refill_v2_p2_delta12_occ6_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,seed_Above300_level_845,r2:a435|seed:a845|h,H0,0,44,30,121,0.916,1.467,12,11,11,4,1,4,2,0,1,5,0,4,876.943,rawOk tiles=1209
30,2,390.529,R2,Seed,r1_ab_113_above300_level_616_final_take_refill_v2_p2_delta20_occ14_addcells_rewrite_v2_v2_r2_added50_rotation_vflip,seed_Above300_level_966,r2:a616|seed:a966|h,H0,0,40,28,129,0.910,1.429,12,11,11,5,1,4,6,0,1,49,0,4,886.089,rawOk tiles=1019
31,3,392.014,R1,Seed,r1_ab_254_above300_level_887_final,seed_Above300_level_966,r1:a887|seed:a966|h,H0,0,40,28,127,0.900,1.429,12,11,11,5,1,4,2,0,1,11,0,4,880.446,rawOk tiles=1008
32,2,392.363,R2,Seed,r1_ab_154_above300_level_665_final_take_refill_v2_p2_delta15_occ13_addcells_rewrite_v2_v2_t2_added50_rotation_vflip,seed_Above300_level_946,r2:a665|seed:a946|h,H0,0,47,33,140,0.936,1.424,13,13,13,10,1,2,4,0,1,47,0,2,907.699,rawOk tiles=1451
33,1,394.258,R1,R1,r1_ab_249_above300_level_879_final,r1_ab_195_above300_level_754_final,r1:a754|r1:a879|h,H0,0,43,31,122,0.900,1.387,13,13,13,9,1,2,1,0,1,5,0,2,829.699,rawOk tiles=1200
34,2,397.62,R2,Seed,r1_ab_154_above300_level_665_final_take_refill_v2_p2_delta15_occ13_addcells_rewrite_v2_v2_t2_added50_rotation_vflip,seed_Above300_level_845,r2:a665|seed:a845|h,H0,0,50,33,142,0.904,1.515,11,11,11,7,1,4,4,0,1,100,1,4,913.229,rawOk tiles=1492
35,0,399.089,R2,R1,r1_ab_249_above300_level_879_final_take_refill_v2_p2_delta9_occ7_addcells_rewrite_v2_v2_r2_added49_rotation_vflip,r1_ab_232_above300_level_845_final,r1:a845|r2:a879|h,H0,0,48,30,143,0.901,1.600,14,12,12,6,1,3,1,0,1,134,1,3,829.764,rawOk tiles=1298
36,0,400.237,R2,R1,r1_ab_029_above300_level_456_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_l2_added50_rotation_vflip,r1_ab_282_above300_level_966_final,r1:a966|r2:a456|h,H0,0,46,28,153,0.932,1.643,14,13,13,9,1,2,40,0,1,43,0,2,881.467,rawOk tiles=1200
37,3,400.382,R1,Seed,r1_ab_154_above300_level_665_final,seed_Above300_level_946,r1:a665|seed:a946|h,H0,0,47,32,127,0.926,1.469,13,13,13,10,1,2,4,0,1,47,0,2,881.633,rawOk tiles=1392
38,3,401.413,R1,Seed,r1_ab_154_above300_level_665_final,seed_Above300_level_845,r1:a665|seed:a845|h,H0,0,50,31,129,0.925,1.613,11,11,11,6,1,4,4,0,1,49,0,4,927.035,rawOk tiles=1433
39,4,403.883,Seed,Seed,seed_Arrowz_level_022,seed_above300_level_883,seed:a022|seed:a883|h,H0,0,47,31,126,0.928,1.516,14,10,10,3,1,5,8,0,1,104,1,5,845.839,rawOk tiles=1352
40,0,405.406,R1,R2,r1_ab_249_above300_level_879_final,r1_ab_232_above300_level_845_final_take_refill_v2_p2_delta12_occ8_addcells_rewrite_v2_v2_r3_added89_rotation_vflip,r1:a879|r2:a845|h,H0,0,49,30,162,0.907,1.633,13,11,11,6,1,4,1,0,1,8,0,4,875.287,rawOk tiles=1333
41,1,405.865,R1,R1,r1_ab_152_above300_level_661_final,r1_ab_232_above300_level_845_final,r1:a661|r1:a845|h,H0,0,46,30,124,0.912,1.533,14,12,12,7,1,3,5,0,1,115,1,3,820.949,rawOk tiles=1259
42,4,406.51,Seed,Seed,seed_Above300_level_906,seed_above300_level_883,seed:a883|seed:a906|h,H0,0,48,31,126,0.901,1.548,15,11,11,4,1,4,6,0,1,53,1,4,787.812,rawOk tiles=1340
43,1,407.568,R2,R2,r1_ab_012_above300_level_419_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_b3_added56_rotation_vflip,r1_ab_113_above300_level_616_final_take_refill_v2_p2_delta20_occ14_addcells_rewrite_v2_v2_r2_added50_rotation_vflip,r2:a419|r2:a616|h,H0,0,41,26,120,0.947,1.577,13,13,13,10,1,2,1,0,1,96,1,2,898.516,rawOk tiles=1010
44,2,407.826,R2,Seed,r1_ab_020_above300_level_435_final_take_refill_v2_p2_delta12_occ6_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,seed_above300_level_883,r2:a435|seed:a883|h,H0,0,47,31,132,0.915,1.516,14,10,10,4,1,5,2,0,1,59,1,5,833.742,rawOk tiles=1333
45,0,411.601,R2,R1,r1_ab_154_above300_level_665_final_take_refill_v2_p2_delta15_occ13_addcells_rewrite_v2_v2_t2_added50_rotation_vflip,r1_ab_232_above300_level_845_final,r1:a845|r2:a665|h,H0,0,52,33,152,0.906,1.576,13,13,13,6,1,3,4,0,1,47,0,3,876.89,rawOk tiles=1555
46,3,412.771,R1,Seed,r1_ab_063_above300_level_515_final,seed_Above300_level_946,r1:a515|seed:a946|h,H0,0,48,35,157,0.921,1.371,13,13,13,9,1,3,3,0,1,3,0,3,904.375,rawOk tiles=1548
47,4,414.311,Seed,Seed,seed_Above300_level_515,seed_Above300_level_754,seed:a515|seed:a754|h,H0,0,45,35,123,0.911,1.286,12,12,12,6,1,4,3,0,1,102,1,4,877.581,rawOk tiles=1435
48,4,414.467,Seed,Seed,seed_Above300_level_717,seed_above300_level_883,seed:a717|seed:a883|h,H0,0,49,31,126,0.907,1.581,14,10,10,4,1,5,11,0,1,53,1,5,811.194,rawOk tiles=1377
49,3,414.731,R1,Seed,r1_ab_063_above300_level_515_final,seed_Above300_level_672,r1:a515|seed:a672|h,H0,0,47,35,138,0.903,1.343,12,12,12,7,1,4,3,0,1,86,1,4,878.952,rawOk tiles=1485
50,2,414.899,Seed,R2,seed_above300_level_521,r1_ab_156_above300_level_672_final_take_refill_v2_p2_delta7_occ7_addcells_rewrite_v2_v2_l3_added85_rotation_vflip,r2:a672|seed:a521|h,H0,0,44,30,142,0.914,1.467,16,13,13,5,1,3,4,0,1,1,0,3,809.053,rawOk tiles=1207
51,3,415.741,R1,Seed,r1_ab_185_above300_level_731_final,seed_above300_level_883,r1:a731|seed:a883|h,H0,0,48,31,126,0.904,1.548,12,12,12,4,1,4,2,0,1,1,0,4,886.398,rawOk tiles=1345
52,3,417.27,Seed,R1,seed_above300_level_521,r1_ab_156_above300_level_672_final,r1:a672|seed:a521|h,H0,0,41,30,122,0.910,1.367,15,13,13,6,1,3,4,0,1,18,0,3,808.909,rawOk tiles=1119
53,2,419.658,R2,Seed,r1_ab_049_above300_level_492_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_r2_added54_rotation_vflip,seed_Above300_level_845,r2:a492|seed:a845|h,H0,0,44,30,131,0.928,1.467,14,13,13,7,1,3,0,0,1,68,1,3,858.314,rawOk tiles=1225
54,1,419.675,R1,R1,r1_ab_249_above300_level_879_final,r1_ab_282_above300_level_966_final,r1:a879|r1:a966|h,H0,0,41,28,147,0.937,1.464,13,12,12,7,1,4,1,0,1,8,0,4,908.776,rawOk tiles=1076
55,2,420.173,R2,Seed,r1_ab_029_above300_level_456_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_l2_added50_rotation_vflip,seed_Above300_level_966,r2:a456|seed:a966|h,H0,0,43,28,132,0.925,1.536,13,12,12,5,1,4,40,0,1,48,0,4,877.962,rawOk tiles=1114
56,0,420.444,R2,R1,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,r1_ab_282_above300_level_966_final,r1:a966|r2:a887|h,H0,0,43,29,158,0.913,1.483,13,13,13,9,1,3,2,0,1,11,0,3,903.4,rawOk tiles=1139
57,3,421.054,R1,Seed,r1_ab_264_above300_level_906_final,seed_Above300_level_845,r1:a906|seed:a845|h,H0,0,45,30,132,0.944,1.500,13,13,13,8,1,3,6,0,1,59,1,3,910.204,rawOk tiles=1274
58,2,422.46,R2,Seed,r1_ab_208_above300_level_782_final_take_refill_v2_p1_delta8_occ8_addcells_rewrite_v2_v2_r2_added60_rotation_vflip,seed_Above300_level_845,r2:a782|seed:a845|h,H0,0,45,31,137,0.930,1.452,13,13,13,9,1,3,9,0,1,95,1,3,898.118,rawOk tiles=1298
59,3,427.42,R1,Seed,r1_ab_278_above300_level_955_final,seed_above300_level_883,r1:a955|seed:a883|h,H0,0,45,31,141,0.920,1.452,14,10,10,3,1,6,14,0,1,68,1,6,850.446,rawOk tiles=1283
60,0,428.683,R2,R1,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,r1_ab_156_above300_level_672_final,r1:a672|r2:a887|h,H0,0,45,30,140,0.913,1.500,15,13,13,8,1,3,2,0,1,25,0,3,834.833,rawOk tiles=1233
61,1,428.838,R1,R1,r1_ab_121_above300_level_621_final,r1_ab_232_above300_level_845_final,r1:a621|r1:a845|h,H0,0,46,30,126,0.910,1.533,13,11,11,4,1,5,4,0,1,118,1,5,851.025,rawOk tiles=1256
62,1,429.042,R1,R1,r1_ab_249_above300_level_879_final,r1_ab_156_above300_level_672_final,r1:a672|r1:a879|h,H0,0,43,30,129,0.907,1.433,15,13,13,8,1,3,1,0,1,8,0,3,799.962,rawOk tiles=1170
63,0,429.661,R2,R1,r1_ab_020_above300_level_435_final_take_refill_v2_p2_delta12_occ6_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,r1_ab_232_above300_level_845_final,r1:a845|r2:a435|h,H0,0,46,30,131,0.922,1.533,14,12,12,6,1,4,2,0,1,122,1,4,844.245,rawOk tiles=1272
64,1,433.029,R1,R1,r1_ab_249_above300_level_879_final,r1_ab_140_above300_level_635_final,r1:a635|r1:a879|h,H0,0,44,31,128,0.901,1.419,16,13,13,8,1,3,1,0,1,8,0,3,764.267,rawOk tiles=1229
65,3,434.339,R1,Seed,r1_ab_179_above300_level_717_final,seed_Above300_level_845,r1:a717|seed:a845|h,H0,0,48,30,128,0.901,1.600,15,14,14,9,1,2,10,0,1,48,0,2,788.889,rawOk tiles=1298
66,0,436.213,R2,R1,r1_ab_237_above300_level_857_final_take_refill_v2_p2_delta12_occ4_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,r1_ab_271_above300_level_943_final,r1:a943|r2:a857|h,H0,0,46,28,127,0.933,1.643,14,13,13,8,1,3,2,0,1,116,1,3,853.769,rawOk tiles=1202
67,2,437.039,Seed,R2,seed_Above300_level_857,r1_ab_156_above300_level_672_final_take_refill_v2_p2_delta7_occ7_addcells_rewrite_v2_v2_l3_added85_rotation_vflip,r2:a672|seed:a857|h,H0,0,44,30,139,0.901,1.467,16,13,13,9,1,3,2,0,1,7,0,3,774.042,rawOk tiles=1189
68,2,437.088,R2,Seed,r1_ab_020_above300_level_435_final_take_refill_v2_p2_delta12_occ6_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,seed_Above300_level_966,r2:a435|seed:a966|h,H0,0,38,28,120,0.951,1.357,14,13,13,5,1,4,2,0,1,80,1,4,877.91,rawOk tiles=1012
69,4,437.335,Seed,Seed,seed_Above300_level_515,seed_above300_level_883,seed:a515|seed:a883|h,H0,0,52,35,155,0.904,1.486,13,13,13,6,1,4,3,0,1,63,0,4,876.034,rawOk tiles=1645
70,3,439.23,Seed,R1,seed_above300_level_521,r1_ab_282_above300_level_966_final,r1:a966|seed:a521|h,H0,0,39,28,140,0.939,1.393,13,13,13,7,1,4,4,0,1,1,0,4,917.222,rawOk tiles=1025
71,0,439.304,R1,R2,r1_ab_029_above300_level_456_final,r1_ab_136_above300_level_623_final_take_refill_v2_p2_delta10_occ6_addcells_rewrite_v2_v2_l2_added57_rotation_vflip,r1:a456|r2:a623|h,H0,0,47,29,121,0.923,1.621,13,12,12,7,1,4,42,0,1,43,0,4,855.49,rawOk tiles=1258
72,3,439.4,R1,Seed,r1_ab_165_above300_level_691_final,seed_Above300_level_845,r1:a691|seed:a845|h,H0,0,42,32,131,0.906,1.313,15,15,15,9,1,2,3,0,1,27,0,2,818.089,rawOk tiles=1218
73,3,439.648,R1,Seed,r1_ab_063_above300_level_515_final,seed_Arrowz_level_178,r1:a515|seed:a178|h,H0,0,47,35,128,0.910,1.343,12,12,12,5,1,5,3,0,1,3,0,5,874.997,rawOk tiles=1497
74,4,439.837,Seed,Seed,seed_Arrowz_level_119,seed_Above300_level_845,seed:a119|seed:a845|h,H0,0,42,30,131,0.901,1.400,14,13,13,5,1,4,14,0,1,11,0,4,821.026,rawOk tiles=1135
75,2,440.681,R2,Seed,r1_ab_121_above300_level_621_final_take_refill_v2_p2_delta17_occ17_addcells_rewrite_v2_v2_r2_added52_rotation_vflip,seed_above300_level_883,r2:a621|seed:a883|h,H0,0,49,31,139,0.903,1.581,15,11,11,5,1,5,3,0,1,66,1,5,804.334,rawOk tiles=1372
76,4,441.005,Seed,Seed,seed_Above300_level_515,seed_above300_level_575,seed:a515|seed:a575|h,H0,0,48,35,149,0.905,1.371,14,14,14,9,1,3,3,0,1,3,0,3,870.137,rawOk tiles=1520
77,0,441.101,R2,R1,r1_ab_049_above300_level_492_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_r2_added54_rotation_vflip,r1_ab_271_above300_level_943_final,r1:a943|r2:a492|h,H0,0,46,28,120,0.934,1.643,12,12,12,8,1,4,0,0,1,109,1,4,894.671,rawOk tiles=1203
78,3,441.389,Seed,R1,seed_Above300_level_717,r1_ab_232_above300_level_845_final,r1:a845|seed:a717|h,H0,0,48,30,125,0.914,1.600,14,12,12,7,1,4,11,0,1,116,1,4,822.014,rawOk tiles=1316
79,2,442.796,R2,Seed,r1_ab_208_above300_level_782_final_take_refill_v2_p1_delta8_occ8_addcells_rewrite_v2_v2_r2_added60_rotation_vflip,seed_Above300_level_966,r2:a782|seed:a966|h,H0,0,39,31,136,0.911,1.258,15,14,14,8,1,3,9,0,1,52,0,3,823.943,rawOk tiles=1101
80,3,443.889,R1,Seed,r1_ab_087_above300_level_558_final,seed_Above300_level_966,r1:a558|seed:a966|h,H0,0,39,28,120,0.930,1.393,12,11,11,3,1,6,5,0,1,8,0,6,904.051,rawOk tiles=1016
81,0,444.104,R2,R1,r1_ab_211_above300_level_789_final_take_refill_v2_p2_delta15_occ9_addcells_rewrite_v2_v2_t3_added58_rotation_vflip,r1_ab_271_above300_level_943_final,r1:a943|r2:a789|h,H0,0,46,28,120,0.940,1.643,13,13,13,10,1,3,0,0,1,112,1,3,876.882,rawOk tiles=1211
82,2,444.121,R2,Seed,r1_ab_249_above300_level_879_final_take_refill_v2_p2_delta9_occ7_addcells_rewrite_v2_v2_r2_added49_rotation_vflip,seed_Above300_level_966,r2:a879|seed:a966|h,H0,0,40,28,132,0.927,1.429,14,13,13,6,1,4,1,0,1,104,1,4,858.429,rawOk tiles=1038
83,1,444.189,R1,R1,r1_ab_278_above300_level_955_final,r1_ab_232_above300_level_845_final,r1:a845|r1:a955|h,H0,0,44,30,140,0.926,1.467,14,12,12,4,1,5,14,0,1,8,0,5,860.167,rawOk tiles=1222
84,2,444.905,R2,Seed,r1_ab_049_above300_level_492_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_r2_added54_rotation_vflip,seed_Above300_level_946,r2:a492|seed:a946|h,H0,0,41,32,129,0.902,1.281,16,14,14,7,1,3,0,0,1,71,1,3,777.893,rawOk tiles=1184
85,1,445.434,R1,R1,r1_ab_087_above300_level_558_final,r1_ab_282_above300_level_966_final,r1:a558|r1:a966|h,H0,0,42,28,141,0.937,1.500,13,13,13,7,1,4,5,0,1,126,1,4,907.271,rawOk tiles=1102
86,0,445.556,R2,R1,r1_ab_208_above300_level_782_final_take_refill_v2_p1_delta8_occ8_addcells_rewrite_v2_v2_r2_added60_rotation_vflip,r1_ab_282_above300_level_966_final,r1:a966|r2:a782|h,H0,0,42,31,157,0.912,1.355,16,15,15,11,1,2,9,0,1,55,0,2,821.166,rawOk tiles=1187
87,2,445.679,R2,Seed,r1_ab_208_above300_level_782_final_take_refill_v2_p1_delta8_occ8_addcells_rewrite_v2_v2_r2_added60_rotation_vflip,seed_Above300_level_946,r2:a782|seed:a946|h,H0,0,42,32,135,0.935,1.313,15,15,15,11,1,2,9,0,1,52,0,2,857.232,rawOk tiles=1257
88,2,446.575,R2,Seed,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,seed_above300_level_883,r2:a887|seed:a883|h,H0,0,49,31,149,0.905,1.581,12,12,12,5,1,5,2,0,1,76,1,5,900.514,rawOk tiles=1374
89,3,446.888,R1,Seed,r1_ab_208_above300_level_782_final,seed_Above300_level_946,r1:a782|seed:a946|h,H0,0,40,32,123,0.929,1.250,14,14,14,9,1,3,9,0,1,42,0,3,863.656,rawOk tiles=1189
90,1,447.402,R1,R1,r1_ab_254_above300_level_887_final,r1_ab_282_above300_level_966_final,r1:a887|r1:a966|h,H0,0,43,28,148,0.909,1.536,13,13,13,7,1,4,2,0,1,25,0,4,885.779,rawOk tiles=1094
91,3,447.619,R1,Seed,r1_ab_154_above300_level_665_final,seed_Above300_level_966,r1:a665|seed:a966|h,H0,0,44,31,128,0.906,1.419,13,13,13,7,1,4,4,0,1,100,1,4,853.012,rawOk tiles=1236
92,0,447.867,R2,R1,r1_ab_254_above300_level_887_final_sparse_prefill_fill4_hole11_addcells_rewrite_v2_v2_t2_added41_rotation_vflip,r1_ab_195_above300_level_754_final,r1:a754|r2:a887|h,H0,0,45,31,133,0.905,1.452,13,13,13,7,1,4,2,0,1,11,0,4,862.722,rawOk tiles=1263
93,3,448.571,R1,Seed,r1_ab_237_above300_level_857_final,seed_Above300_level_966,r1:a857|seed:a966|h,H0,0,38,28,125,0.911,1.357,14,13,13,7,1,4,2,0,1,42,0,4,830.264,rawOk tiles=969
94,4,448.667,Seed,Seed,seed_above300_level_981,seed_Above300_level_845,seed:a845|seed:a981|h,H0,0,44,31,124,0.911,1.419,13,13,13,7,1,4,5,0,1,82,1,4,864.524,rawOk tiles=1242
95,3,449.357,R1,Seed,r1_ab_264_above300_level_906_final,seed_Above300_level_946,r1:a906|seed:a946|h,H0,0,42,32,130,0.917,1.313,15,14,14,9,1,3,6,0,1,60,1,3,828.125,rawOk tiles=1233
96,3,450.27,R1,Seed,r1_ab_063_above300_level_515_final,seed_above300_level_575,r1:a515|seed:a575|h,H0,0,50,35,164,0.907,1.429,14,14,14,10,1,3,3,0,1,26,0,3,878.929,rawOk tiles=1588
97,3,450.849,R1,Seed,r1_ab_092_above300_level_573_final,seed_Above300_level_845,r1:a573|seed:a845|h,H0,0,46,30,128,0.914,1.533,15,15,15,9,1,2,0,0,1,20,0,2,826.899,rawOk tiles=1261
98,3,450.942,R1,Seed,r1_ab_248_above300_level_878_final,seed_Above300_level_966,r1:a878|seed:a966|h,H0,0,41,28,124,0.903,1.464,14,13,13,6,1,4,11,0,1,10,0,4,837.786,rawOk tiles=1037
99,2,451.548,Seed,R2,seed_above300_level_521,r1_ab_195_above300_level_754_final_take_refill_v2_p2_delta10_occ10_addcells_rewrite_v2_v2_l2_added58_rotation_vflip,r2:a754|seed:a521|h,H0,0,43,31,121,0.901,1.387,15,13,13,6,1,4,4,0,1,18,0,4,792.937,rawOk tiles=1201
100,0,452.019,R2,R1,r1_ab_012_above300_level_419_final_take_refill_v2_p2_delta9_occ9_addcells_rewrite_v2_v2_b3_added56_rotation_vflip,r1_ab_215_above300_level_805_final,r1:a805|r2:a419|h,H0,0,41,26,123,0.929,1.577,13,13,13,6,1,4,1,0,1,113,1,4,869.283,rawOk tiles=990
