rank,id,path,source,transform,reversePattern,reversed,variantMode,addedChains,width,height,chains,coverage,greedy,visualPenalty,edgeLong,cornerLong,edgeShort,maxEdgeRun,details
1,composite_probe200f40_001_composite_greedy_ab_001_r1_029_a456_a845_h2_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_001_composite_greedy_ab_001_r1_029_a456_a845_h2_rot90_keep_none.asset,composite_greedy_ab_001_r1_029_a456_a845_h2,rot90,keep,0,none,0,30,47,131,0.926,True,61,7,4,10,14,fast greedy budget=450; localEmpty=0.297
24,composite_probe200f40_024_composite_greedy_ab_036_r2_020_a435_r1_156_a672__rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_024_composite_greedy_ab_036_r2_020_a435_r1_156_a672__rot90_keep_none.asset,composite_greedy_ab_036_r2_020_a435_r1_156_a672_h0,rot90,keep,0,none,0,30,43,122,0.900,True,56,5,3,19,11,fast greedy budget=450; localEmpty=0.297
25,composite_probe200f40_025_composite_greedy_ab_038_r1_165_a691_a946_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_025_composite_greedy_ab_038_r1_165_a691_a946_h2_identity_keep_none.asset,composite_greedy_ab_038_r1_165_a691_a946_h2,identity,keep,0,none,0,39,32,130,0.951,True,55,6,2,17,14,fast greedy budget=450; localEmpty=0.172
26,composite_probe200f40_026_composite_greedy_ab_039_z103_a672_h0_rot90_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_026_composite_greedy_ab_039_z103_a672_h0_rot90_keep_none.asset,composite_greedy_ab_039_z103_a672_h0,rot90,keep,0,none,0,36,51,132,0.917,True,146,20,6,9,27,fast greedy budget=450; localEmpty=0.438
27,composite_probe200f40_027_composite_greedy_ab_040_r2_165_a691_a946_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_027_composite_greedy_ab_040_r2_165_a691_a946_h2_identity_keep_none.asset,composite_greedy_ab_040_r2_165_a691_a946_h2,identity,keep,0,none,0,39,35,140,0.916,True,62,5,5,17,12,fast greedy budget=450; localEmpty=0.172
28,composite_probe200f40_028_composite_greedy_ab_002_r1_249_a879_a966_h0_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_028_composite_greedy_ab_002_r1_249_a879_a966_h0_rot270_keep_none.asset,composite_greedy_ab_002_r1_249_a879_a966_h0,rot270,keep,0,none,0,28,38,125,0.930,True,63,7,3,16,14,fast greedy budget=450; localEmpty=0.297
29,composite_probe200f40_029_composite_greedy_ab_004_a515_a672_h2_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_029_composite_greedy_ab_004_a515_a672_h2_rot270_keep_none.asset,composite_greedy_ab_004_a515_a672_h2,rot270,keep,0,none,0,35,45,127,0.917,True,78,9,6,7,16,fast greedy budget=450; localEmpty=0.219
30,composite_probe200f40_030_composite_greedy_ab_005_a857_r1_282_a966_h0_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_030_composite_greedy_ab_005_a857_r1_282_a966_h0_rot270_keep_none.asset,composite_greedy_ab_005_a857_r1_282_a966_h0,rot270,keep,0,none,0,28,39,137,0.922,True,81,9,5,16,14,fast greedy budget=450; localEmpty=0.281
31,composite_probe200f40_031_composite_greedy_ab_011_r1_063_a515_a672_h0_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_031_composite_greedy_ab_011_r1_063_a515_a672_h0_rot270_keep_none.asset,composite_greedy_ab_011_r1_063_a515_a672_h0,rot270,keep,0,none,0,35,47,141,0.922,True,79,9,4,16,16,fast greedy budget=450; localEmpty=0.328
32,composite_probe200f40_032_composite_greedy_ab_013_r1_249_a879_r1_156_a672__rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_032_composite_greedy_ab_013_r1_249_a879_r1_156_a672__rot270_keep_none.asset,composite_greedy_ab_013_r1_249_a879_r1_156_a672_h0,rot270,keep,0,none,0,30,43,133,0.938,True,63,6,4,17,11,fast greedy budget=450; localEmpty=0.281
33,composite_probe200f40_033_composite_greedy_ab_015_r2_029_a456_a966_h2_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_033_composite_greedy_ab_015_r2_029_a456_a966_h2_rot270_keep_none.asset,composite_greedy_ab_015_r2_029_a456_a966_h2,rot270,keep,0,none,0,28,43,130,0.920,True,62,7,3,15,14,fast greedy budget=450; localEmpty=0.281
34,composite_probe200f40_034_composite_greedy_ab_021_r1_249_a879_a883_h2_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_034_composite_greedy_ab_021_r1_249_a879_a883_h2_rot270_keep_none.asset,composite_greedy_ab_021_r1_249_a879_a883_h2,rot270,keep,0,none,0,31,47,139,0.902,True,69,8,4,13,14,fast greedy budget=450; localEmpty=0.297
35,composite_probe200f40_035_composite_greedy_ab_023_a754_a946_h2_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_035_composite_greedy_ab_023_a754_a946_h2_rot270_keep_none.asset,composite_greedy_ab_023_a754_a946_h2,rot270,keep,0,none,0,32,41,121,0.923,True,39,4,3,7,12,fast greedy budget=450; localEmpty=0.391
36,composite_probe200f40_036_composite_greedy_ab_026_r2_012_a419_a966_h0_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_036_composite_greedy_ab_026_r2_012_a419_a966_h0_rot270_keep_none.asset,composite_greedy_ab_026_r2_012_a419_a966_h0,rot270,keep,0,none,0,28,37,133,0.921,True,58,6,3,16,14,fast greedy budget=450; localEmpty=0.297
37,composite_probe200f40_037_composite_greedy_ab_028_a515_r1_195_a754_h0_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_037_composite_greedy_ab_028_a515_r1_195_a754_h0_rot270_keep_none.asset,composite_greedy_ab_028_a515_r1_195_a754_h0,rot270,keep,0,none,0,35,48,143,0.906,True,75,8,6,9,16,fast greedy budget=450; localEmpty=0.328
38,composite_probe200f40_038_composite_greedy_ab_029_r2_237_a857_a946_h0_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_038_composite_greedy_ab_029_r2_237_a857_a946_h0_rot270_keep_none.asset,composite_greedy_ab_029_r2_237_a857_a946_h0,rot270,keep,0,none,0,32,41,139,0.931,True,62,6,6,8,12,fast greedy budget=450; localEmpty=0.266
39,composite_probe200f40_039_composite_greedy_ab_032_r1_236_a855_r1_282_a966__rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_039_composite_greedy_ab_032_r1_236_a855_r1_282_a966__rot270_keep_none.asset,composite_greedy_ab_032_r1_236_a855_r1_282_a966_h2,rot270,keep,0,none,0,28,38,141,0.922,True,87,10,6,13,14,fast greedy budget=450; localEmpty=0.344
40,composite_probe200f40_040_composite_greedy_ab_035_r2_237_a857_r2_113_a616__rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_040_composite_greedy_ab_035_r2_237_a857_r2_113_a616__rot270_keep_none.asset,composite_greedy_ab_035_r2_237_a857_r2_113_a616_h0,rot270,keep,0,none,0,28,42,122,0.916,True,46,4,2,18,14,fast greedy budget=450; localEmpty=0.391
41,composite_probe200f40_041_composite_greedy_ab_036_r2_020_a435_r1_156_a672__rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_041_composite_greedy_ab_036_r2_020_a435_r1_156_a672__rot270_keep_none.asset,composite_greedy_ab_036_r2_020_a435_r1_156_a672_h0,rot270,keep,0,none,0,30,43,122,0.900,True,56,5,3,19,11,fast greedy budget=450; localEmpty=0.281
42,composite_probe200f40_042_composite_greedy_ab_038_r1_165_a691_a946_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_042_composite_greedy_ab_038_r1_165_a691_a946_h2_hflip_keep_none.asset,composite_greedy_ab_038_r1_165_a691_a946_h2,hflip,keep,0,none,0,39,32,130,0.951,True,55,6,2,17,14,fast greedy budget=450; localEmpty=0.203
43,composite_probe200f40_043_composite_greedy_ab_039_z103_a672_h0_rot270_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_043_composite_greedy_ab_039_z103_a672_h0_rot270_keep_none.asset,composite_greedy_ab_039_z103_a672_h0,rot270,keep,0,none,0,36,51,132,0.917,True,146,20,6,9,27,fast greedy budget=450; localEmpty=0.453
44,composite_probe200f40_044_composite_greedy_ab_040_r2_165_a691_a946_h2_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_044_composite_greedy_ab_040_r2_165_a691_a946_h2_hflip_keep_none.asset,composite_greedy_ab_040_r2_165_a691_a946_h2,hflip,keep,0,none,0,39,35,140,0.916,True,62,5,5,17,12,fast greedy budget=450; localEmpty=0.203
45,composite_probe200f40_045_composite_greedy_ab_018_r2_237_a857_r1_271_a943__transpose_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_045_composite_greedy_ab_018_r2_237_a857_r1_271_a943__transpose_keep_none.asset,composite_greedy_ab_018_r2_237_a857_r1_271_a943_h0,transpose,keep,0,none,0,28,46,128,0.931,True,57,5,3,12,22,fast greedy budget=450; localEmpty=0.281
46,composite_probe200f40_046_composite_greedy_ab_021_r1_249_a879_a883_h2_transpose_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_046_composite_greedy_ab_021_r1_249_a879_a883_h2_transpose_keep_none.asset,composite_greedy_ab_021_r1_249_a879_a883_h2,transpose,keep,0,none,0,31,47,139,0.902,True,69,8,4,13,14,fast greedy budget=450; localEmpty=0.313
47,composite_probe200f40_047_composite_greedy_ab_023_a754_a946_h2_transpose_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_047_composite_greedy_ab_023_a754_a946_h2_transpose_keep_none.asset,composite_greedy_ab_023_a754_a946_h2,transpose,keep,0,none,0,32,41,121,0.923,True,39,4,3,7,12,fast greedy budget=450; localEmpty=0.422
48,composite_probe200f40_048_composite_greedy_ab_028_a515_r1_195_a754_h0_transpose_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_048_composite_greedy_ab_028_a515_r1_195_a754_h0_transpose_keep_none.asset,composite_greedy_ab_028_a515_r1_195_a754_h0,transpose,keep,0,none,0,35,48,143,0.906,True,75,8,6,9,16,fast greedy budget=450; localEmpty=0.328
49,composite_probe200f40_049_composite_greedy_ab_029_r2_237_a857_a946_h0_transpose_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_049_composite_greedy_ab_029_r2_237_a857_a946_h0_transpose_keep_none.asset,composite_greedy_ab_029_r2_237_a857_a946_h0,transpose,keep,0,none,0,32,41,139,0.931,True,62,6,6,8,12,fast greedy budget=450; localEmpty=0.281
50,composite_probe200f40_050_composite_greedy_ab_021_r1_249_a879_a883_h2_antiTranspose_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_050_composite_greedy_ab_021_r1_249_a879_a883_h2_antiTranspose_keep_none.asset,composite_greedy_ab_021_r1_249_a879_a883_h2,antiTranspose,keep,0,none,0,31,47,139,0.902,True,69,8,4,13,14,fast greedy budget=450; localEmpty=0.391
51,composite_probe200f40_051_composite_greedy_ab_028_a515_r1_195_a754_h0_antiTranspose_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_051_composite_greedy_ab_028_a515_r1_195_a754_h0_antiTranspose_keep_none.asset,composite_greedy_ab_028_a515_r1_195_a754_h0,antiTranspose,keep,0,none,0,35,48,143,0.906,True,75,8,6,9,16,fast greedy budget=450; localEmpty=0.328
52,composite_probe200f40_052_composite_greedy_ab_035_r2_237_a857_r2_113_a616__antiTranspose_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_052_composite_greedy_ab_035_r2_237_a857_r2_113_a616__antiTranspose_keep_none.asset,composite_greedy_ab_035_r2_237_a857_r2_113_a616_h0,antiTranspose,keep,0,none,0,28,42,122,0.916,True,46,4,2,18,14,fast greedy budget=450; localEmpty=0.391
53,composite_probe200f40_053_composite_greedy_ab_018_r2_237_a857_r1_271_a943__identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_053_composite_greedy_ab_018_r2_237_a857_r1_271_a943__identity_keep_none.asset,composite_greedy_ab_018_r2_237_a857_r1_271_a943_h0,identity,keep,0,none,0,46,28,128,0.931,True,57,5,3,12,22,fast greedy budget=450; localEmpty=0.281
54,composite_probe200f40_054_composite_greedy_ab_021_r1_249_a879_a883_h2_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_054_composite_greedy_ab_021_r1_249_a879_a883_h2_identity_keep_none.asset,composite_greedy_ab_021_r1_249_a879_a883_h2,identity,keep,0,none,0,47,31,139,0.902,True,69,8,4,13,14,fast greedy budget=450; localEmpty=0.313
55,composite_probe200f40_055_composite_greedy_ab_028_a515_r1_195_a754_h0_identity_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_055_composite_greedy_ab_028_a515_r1_195_a754_h0_identity_keep_none.asset,composite_greedy_ab_028_a515_r1_195_a754_h0,identity,keep,0,none,0,48,35,143,0.906,True,75,8,6,9,16,fast greedy budget=450; localEmpty=0.328
56,composite_probe200f40_056_composite_greedy_ab_028_a515_r1_195_a754_h0_hflip_keep_none,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityProbe200FromFinal40/composite_probe200f40_056_composite_greedy_ab_028_a515_r1_195_a754_h0_hflip_keep_none.asset,composite_greedy_ab_028_a515_r1_195_a754_h0,hflip,keep,0,none,0,48,35,143,0.906,True,75,8,6,9,16,fast greedy budget=450; localEmpty=0.328
