rank,id,path,source,transform,reversePattern,reversed,trimmedOuterExit,trimmedOuterShort,fillMode,outerProfile,addedChains,width,height,chains,coverage,outer1,outer2,maxOuterEmptyRun,visualPenalty,edgeLong,cornerLong,edgeShort,maxEdgeRun,greedy,details
1,composite_play_cand_001_composite_portrait150_001_composite_greedy_ab_00_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_001_composite_portrait150_001_composite_greedy_ab_00_identity_keep_edge120.asset,composite_portrait150_001_composite_greedy_ab_001_r1_029_a456_a845_h2_rot90,identity,keep,0,4,0,edge120,strict,14,30,47,139,0.972,0.980,0.973,2,68,7,4,13,18,True,localEmpty=0.109; fast greedy budget=450
19,composite_play_cand_019_composite_portrait150_064_composite_greedy_ab_07_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_019_composite_portrait150_064_composite_greedy_ab_07_identity_keep_edge120.asset,composite_portrait150_064_composite_greedy_ab_070_r1_154_a665_a757_h0_rot90,identity,keep,0,2,1,edge120,strict,17,32,47,133,0.943,0.981,0.977,2,69,6,5,12,21,True,localEmpty=0.344; fast greedy budget=450
20,composite_play_cand_020_composite_portrait150_074_composite_greedy_ab_08_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_020_composite_portrait150_074_composite_greedy_ab_08_identity_keep_edge120.asset,composite_portrait150_074_composite_greedy_ab_081_r2_237_a857_z106_h0_rot90,identity,keep,0,4,0,edge120,strict,16,28,41,134,0.929,0.993,0.958,1,50,4,2,18,18,True,localEmpty=0.281; fast greedy budget=450
21,composite_play_cand_021_composite_portrait150_078_composite_greedy_ab_08_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_021_composite_portrait150_078_composite_greedy_ab_08_identity_keep_edge120.asset,composite_portrait150_078_composite_greedy_ab_085_r2_149_a654_a966_h0_rot90,identity,keep,0,3,0,edge120,strict,12,29,40,133,0.948,0.985,0.965,1,65,6,3,19,18,True,localEmpty=0.297; fast greedy budget=450
22,composite_play_cand_022_composite_portrait150_082_composite_greedy_ab_08_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_022_composite_portrait150_082_composite_greedy_ab_08_identity_keep_edge120.asset,composite_portrait150_082_composite_greedy_ab_089_r1_249_a879_a588_h0_rot90,identity,keep,0,3,0,edge120,strict,7,29,41,126,0.960,0.993,0.992,1,61,6,3,15,18,True,localEmpty=0.219; fast greedy budget=450
23,composite_play_cand_023_composite_portrait150_085_composite_greedy_ab_09_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_023_composite_portrait150_085_composite_greedy_ab_09_identity_keep_edge120.asset,composite_portrait150_085_composite_greedy_ab_094_r1_097_a581_a869_h0_rot90,identity,keep,0,4,0,edge120,strict,12,36,49,179,0.946,0.994,0.985,1,61,4,4,21,18,True,localEmpty=0.328; fast greedy budget=537
24,composite_play_cand_024_composite_portrait150_097_composite_greedy_ab_10_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_024_composite_portrait150_097_composite_greedy_ab_10_identity_keep_edge120.asset,composite_portrait150_097_composite_greedy_ab_107_r2_012_a419_a588_h0_rot90,identity,keep,0,3,0,edge120,strict,7,29,40,134,0.939,1.000,0.988,0,55,5,3,14,18,True,localEmpty=0.234; fast greedy budget=450
25,composite_play_cand_025_composite_portrait150_099_composite_greedy_ab_11_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_025_composite_portrait150_099_composite_greedy_ab_11_identity_keep_edge120.asset,composite_portrait150_099_composite_greedy_ab_110_r2_012_a419_r2_069_a526__rot90,identity,keep,0,2,0,edge120,strict,12,28,39,125,0.932,0.992,0.980,1,54,5,2,17,18,True,localEmpty=0.359; fast greedy budget=450
26,composite_play_cand_026_composite_portrait150_106_composite_greedy_ab_11_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_026_composite_portrait150_106_composite_greedy_ab_11_identity_keep_edge120.asset,composite_portrait150_106_composite_greedy_ab_117_r1_048_a491_r2_279_a957__rot90,identity,keep,0,2,0,edge120,strict,13,32,45,140,0.928,0.987,0.979,1,77,8,3,20,19,True,localEmpty=0.344; fast greedy budget=450
27,composite_play_cand_027_composite_portrait150_108_composite_greedy_ab_11_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_027_composite_portrait150_108_composite_greedy_ab_11_identity_keep_edge120.asset,composite_portrait150_108_composite_greedy_ab_119_r1_154_a665_a607_h0_rot90,identity,keep,0,6,0,edge120,strict,23,32,46,132,0.938,0.993,0.963,1,61,5,3,20,18,True,localEmpty=0.344; fast greedy budget=450
28,composite_play_cand_028_composite_portrait150_111_composite_greedy_ab_12_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_028_composite_portrait150_111_composite_greedy_ab_12_identity_keep_edge120.asset,composite_portrait150_111_composite_greedy_ab_122_r1_278_a955_a607_h0_rot90,identity,keep,0,6,0,edge120,strict,20,32,38,134,0.979,0.985,0.981,2,70,6,4,20,18,True,localEmpty=0.094; fast greedy budget=450
29,composite_play_cand_029_composite_portrait150_001_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_029_composite_portrait150_001_composite_greedy_ab_00_hflip_keep_edge120.asset,composite_portrait150_001_composite_greedy_ab_001_r1_029_a456_a845_h2_rot90,hflip,keep,0,4,0,edge120,strict,13,30,47,138,0.974,0.993,0.979,1,67,7,4,12,18,True,localEmpty=0.094; fast greedy budget=450
30,composite_play_cand_030_composite_portrait150_002_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_030_composite_portrait150_002_composite_greedy_ab_00_hflip_keep_edge120.asset,composite_portrait150_002_composite_greedy_ab_002_r1_249_a879_a966_h0_rot90,hflip,keep,0,2,0,edge120,strict,11,28,38,125,0.953,0.992,0.988,1,65,7,3,14,18,True,localEmpty=0.250; fast greedy budget=450
31,composite_play_cand_031_composite_portrait150_003_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_031_composite_portrait150_003_composite_greedy_ab_00_hflip_keep_edge120.asset,composite_portrait150_003_composite_greedy_ab_003_r1_249_a879_a845_h2_rot90,hflip,keep,0,4,0,edge120,strict,12,30,44,136,0.972,1.000,0.993,0,59,5,4,14,18,True,localEmpty=0.094; fast greedy budget=450
32,composite_play_cand_032_composite_portrait150_005_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_032_composite_portrait150_005_composite_greedy_ab_00_hflip_keep_edge120.asset,composite_portrait150_005_composite_greedy_ab_005_a857_r1_282_a966_h0_rot90,hflip,keep,0,4,0,edge120,strict,10,28,39,138,0.951,1.000,0.988,0,85,9,5,16,18,True,localEmpty=0.250; fast greedy budget=450
33,composite_play_cand_033_composite_portrait150_006_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_033_composite_portrait150_006_composite_greedy_ab_00_hflip_keep_edge120.asset,composite_portrait150_006_composite_greedy_ab_006_r2_152_a661_a845_h0_rot90,hflip,keep,0,5,0,edge120,strict,14,30,47,137,0.970,0.987,0.986,1,61,5,4,16,18,True,localEmpty=0.172; fast greedy budget=450
34,composite_play_cand_034_composite_portrait150_007_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_034_composite_portrait150_007_composite_greedy_ab_00_hflip_keep_edge120.asset,composite_portrait150_007_composite_greedy_ab_007_r1_278_a955_a845_h0_rot90,hflip,keep,0,3,0,edge120,strict,11,30,42,135,0.969,0.986,0.971,2,53,4,3,17,18,True,localEmpty=0.125; fast greedy budget=450
35,composite_play_cand_035_composite_portrait150_008_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_035_composite_portrait150_008_composite_greedy_ab_00_hflip_keep_edge120.asset,composite_portrait150_008_composite_greedy_ab_008_r2_020_a435_a845_h0_rot90,hflip,keep,0,3,0,edge120,strict,12,30,44,126,0.939,0.993,0.986,1,52,4,3,16,18,True,localEmpty=0.281; fast greedy budget=450
36,composite_play_cand_036_composite_portrait150_012_composite_greedy_ab_01_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_036_composite_portrait150_012_composite_greedy_ab_01_hflip_keep_edge120.asset,composite_portrait150_012_composite_greedy_ab_012_a754_a845_h2_rot90,hflip,keep,0,1,0,edge120,strict,12,31,44,130,0.957,0.993,0.968,1,31,2,1,14,17,True,localEmpty=0.234; fast greedy budget=450
37,composite_play_cand_037_composite_portrait150_014_composite_greedy_ab_01_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_037_composite_portrait150_014_composite_greedy_ab_01_hflip_keep_edge120.asset,composite_portrait150_014_composite_greedy_ab_014_r1_264_a906_a845_h0_rot90,hflip,keep,0,2,0,edge120,strict,10,30,45,137,0.979,1.000,0.989,0,60,4,3,16,26,True,localEmpty=0.094; fast greedy budget=450
38,composite_play_cand_038_composite_portrait150_017_composite_greedy_ab_01_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_038_composite_portrait150_017_composite_greedy_ab_01_hflip_keep_edge120.asset,composite_portrait150_017_composite_greedy_ab_019_r1_249_a879_a883_h2_rot90,hflip,keep,0,5,0,edge120,strict,13,31,47,144,0.951,0.980,0.973,2,75,8,4,15,18,True,localEmpty=0.313; fast greedy budget=450
39,composite_play_cand_039_composite_portrait150_018_composite_greedy_ab_02_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_039_composite_portrait150_018_composite_greedy_ab_02_hflip_keep_edge120.asset,composite_portrait150_018_composite_greedy_ab_020_a754_a946_h2_rot90,hflip,keep,0,2,0,edge120,strict,9,32,41,124,0.941,0.986,0.971,1,44,4,3,8,18,True,localEmpty=0.422; fast greedy budget=450
40,composite_play_cand_040_composite_portrait150_019_composite_greedy_ab_02_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_040_composite_portrait150_019_composite_greedy_ab_02_hflip_keep_edge120.asset,composite_portrait150_019_composite_greedy_ab_022_r2_012_a419_a966_h0_rot90,hflip,keep,0,2,0,edge120,strict,10,28,37,135,0.945,1.000,0.980,0,62,6,3,16,18,True,localEmpty=0.266; fast greedy budget=450
41,composite_play_cand_041_composite_portrait150_030_composite_greedy_ab_03_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_041_composite_portrait150_030_composite_greedy_ab_03_hflip_keep_edge120.asset,composite_portrait150_030_composite_greedy_ab_033_a754_a883_h2_rot90,hflip,keep,0,0,0,edge120,strict,9,31,47,135,0.940,0.987,0.963,2,30,3,0,15,14,True,localEmpty=0.313; fast greedy budget=450
42,composite_play_cand_042_composite_portrait150_031_composite_greedy_ab_03_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_042_composite_portrait150_031_composite_greedy_ab_03_hflip_keep_edge120.asset,composite_portrait150_031_composite_greedy_ab_034_r2_048_a491_r1_152_a661__rot90,hflip,keep,0,7,0,edge120,strict,18,32,47,138,0.957,0.994,0.993,1,82,10,3,15,19,True,localEmpty=0.297; fast greedy budget=450
43,composite_play_cand_043_composite_portrait150_036_composite_greedy_ab_03_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_043_composite_portrait150_036_composite_greedy_ab_03_hflip_keep_edge120.asset,composite_portrait150_036_composite_greedy_ab_039_r1_273_a948_a946_h0_rot90,hflip,keep,0,5,0,edge120,strict,7,32,43,129,0.942,0.993,0.975,1,78,8,6,4,24,True,localEmpty=0.250; fast greedy budget=450
44,composite_play_cand_044_composite_portrait150_053_composite_greedy_ab_05_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_044_composite_portrait150_053_composite_greedy_ab_05_hflip_keep_edge120.asset,composite_portrait150_053_composite_greedy_ab_059_r2_069_a526_r1_271_a943__rot90,hflip,keep,0,3,0,edge120,strict,17,28,46,130,0.958,0.986,0.986,2,87,10,3,17,22,True,localEmpty=0.188; fast greedy budget=450
45,composite_play_cand_045_composite_portrait150_059_composite_greedy_ab_06_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_045_composite_portrait150_059_composite_greedy_ab_06_hflip_keep_edge120.asset,composite_portrait150_059_composite_greedy_ab_065_r2_110_a607_a754_h0_rot90,hflip,keep,0,1,0,edge120,strict,12,32,44,138,0.919,0.993,0.965,1,32,3,1,13,10,True,localEmpty=0.453; fast greedy budget=450
46,composite_play_cand_046_composite_portrait150_064_composite_greedy_ab_07_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_046_composite_portrait150_064_composite_greedy_ab_07_hflip_keep_edge120.asset,composite_portrait150_064_composite_greedy_ab_070_r1_154_a665_a757_h0_rot90,hflip,keep,0,2,1,edge120,strict,17,32,47,133,0.943,0.981,0.977,2,69,6,5,12,21,True,localEmpty=0.344; fast greedy budget=450
47,composite_play_cand_047_composite_portrait150_067_composite_greedy_ab_07_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_047_composite_portrait150_067_composite_greedy_ab_07_hflip_keep_edge120.asset,composite_portrait150_067_composite_greedy_ab_073_r2_040_a472_r1_271_a943__rot90,hflip,keep,0,4,0,edge120,strict,11,29,46,137,0.964,0.993,0.989,1,76,8,5,8,22,True,localEmpty=0.203; fast greedy budget=450
48,composite_play_cand_048_composite_portrait150_074_composite_greedy_ab_08_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_048_composite_portrait150_074_composite_greedy_ab_08_hflip_keep_edge120.asset,composite_portrait150_074_composite_greedy_ab_081_r2_237_a857_z106_h0_rot90,hflip,keep,0,4,0,edge120,strict,16,28,41,134,0.929,0.993,0.958,1,50,4,2,18,18,True,localEmpty=0.281; fast greedy budget=450
49,composite_play_cand_049_composite_portrait150_078_composite_greedy_ab_08_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_049_composite_portrait150_078_composite_greedy_ab_08_hflip_keep_edge120.asset,composite_portrait150_078_composite_greedy_ab_085_r2_149_a654_a966_h0_rot90,hflip,keep,0,3,0,edge120,strict,12,29,40,133,0.948,0.985,0.965,1,65,6,3,19,18,True,localEmpty=0.313; fast greedy budget=450
50,composite_play_cand_050_composite_portrait150_082_composite_greedy_ab_08_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_050_composite_portrait150_082_composite_greedy_ab_08_hflip_keep_edge120.asset,composite_portrait150_082_composite_greedy_ab_089_r1_249_a879_a588_h0_rot90,hflip,keep,0,3,0,edge120,strict,7,29,41,126,0.960,0.993,0.992,1,61,6,3,15,18,True,localEmpty=0.219; fast greedy budget=450
51,composite_play_cand_051_composite_portrait150_085_composite_greedy_ab_09_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_051_composite_portrait150_085_composite_greedy_ab_09_hflip_keep_edge120.asset,composite_portrait150_085_composite_greedy_ab_094_r1_097_a581_a869_h0_rot90,hflip,keep,0,4,0,edge120,strict,12,36,49,179,0.946,0.994,0.985,1,61,4,4,21,18,True,localEmpty=0.328; fast greedy budget=537
52,composite_play_cand_052_composite_portrait150_097_composite_greedy_ab_10_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_052_composite_portrait150_097_composite_greedy_ab_10_hflip_keep_edge120.asset,composite_portrait150_097_composite_greedy_ab_107_r2_012_a419_a588_h0_rot90,hflip,keep,0,3,0,edge120,strict,7,29,40,134,0.939,1.000,0.988,0,55,5,3,14,18,True,localEmpty=0.234; fast greedy budget=450
53,composite_play_cand_053_composite_portrait150_099_composite_greedy_ab_11_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates360/composite_play_cand_053_composite_portrait150_099_composite_greedy_ab_11_hflip_keep_edge120.asset,composite_portrait150_099_composite_greedy_ab_110_r2_012_a419_r2_069_a526__rot90,hflip,keep,0,2,0,edge120,strict,12,28,39,125,0.932,0.992,0.980,1,54,5,2,17,18,True,localEmpty=0.359; fast greedy budget=450
