rank,id,path,type,score,width,height,chains,coverage,outer1,outer2,maxOuterEmptyRun,holeScore,localEmpty8,localEmpty6,centerEmpty,openers,avgChoices,minChoices,maxChoices,lowChoiceSteps,highChoiceSteps,unlockBursts,maxUnlockBurst,keyLockSteps,firstOuter,lastOuter,endingShort,avgChain,maxChain,regionSwitches,dependencyBlocks,dependencyCycles,dependencyLayerStuck,visualPenalty,edgeShort,maxEdgeRun,families,details
1,composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120.asset,section,81.9,29,41,126,0.960,0.993,0.992,1,41.5,0.219,0.389,0.051,16,6.02,1,16,9,28,25,4,5,0.750,0.156,0.308,9.06,42,59,110,0,0,61,15,18,composite_play_cand_076_composite_portrait150_082_composite_greedy_ab_08_vflip_keep_edge120,type=section; score=81.9; deps=110/0/0
12,composite_play_cand_136_composite_portrait150_010_composite_greedy_ab_01_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_136_composite_portrait150_010_composite_greedy_ab_01_hflip_keep_edge120.asset,section,75.8,32,46,151,0.957,0.974,0.966,2,34.7,0.203,0.278,0.031,18,6.77,1,19,3,39,34,5,7,0.789,0.079,0.226,9.32,56,66,133,0,0,50,23,18,composite_play_cand_136_composite_portrait150_010_composite_greedy_ab_01_hflip_keep_edge120,type=section; score=75.8; deps=133/0/0
13,composite_play_cand_024_composite_portrait150_097_composite_greedy_ab_10_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_024_composite_portrait150_097_composite_greedy_ab_10_identity_keep_edge120.asset,section,75.4,29,40,134,0.939,1.000,0.988,0,44.0,0.234,0.333,0.074,19,6.46,1,20,10,37,27,4,9,0.647,0.118,0.333,8.13,40,70,115,0,0,55,14,18,composite_play_cand_024_composite_portrait150_097_composite_greedy_ab_10_identity_keep_edge120,type=section; score=75.4; deps=115/0/0
14,composite_play_cand_036_composite_portrait150_012_composite_greedy_ab_01_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_036_composite_portrait150_012_composite_greedy_ab_01_hflip_keep_edge120.asset,section,75.2,31,44,130,0.957,0.993,0.968,1,44.8,0.234,0.417,0.060,21,7.55,1,21,2,38,28,5,7,0.848,0.091,0.385,10.04,50,66,109,0,0,31,14,17,composite_play_cand_036_composite_portrait150_012_composite_greedy_ab_01_hflip_keep_edge120,type=section; score=75.2; deps=109/0/0
15,composite_play_cand_088_composite_portrait150_008_composite_greedy_ab_00_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_088_composite_portrait150_008_composite_greedy_ab_00_rot180_keep_edge120.asset,section,75.0,30,44,126,0.939,0.993,0.986,1,48.5,0.281,0.333,0.093,19,8.67,1,20,10,65,27,4,6,0.781,0.156,0.115,9.84,51,59,107,0,0,52,16,18,composite_play_cand_088_composite_portrait150_008_composite_greedy_ab_00_rot180_keep_edge120,type=section; score=75.0; deps=107/0/0
16,composite_play_cand_095_composite_portrait150_030_composite_greedy_ab_03_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_095_composite_portrait150_030_composite_greedy_ab_03_rot180_keep_edge120.asset,section,75.0,31,47,135,0.940,0.987,0.963,2,57.0,0.297,0.500,0.091,21,6.70,1,21,13,24,25,4,9,0.853,0.265,0.370,10.14,54,65,114,0,0,30,15,14,composite_play_cand_095_composite_portrait150_030_composite_greedy_ab_03_rot180_keep_edge120,type=section; score=75.0; deps=114/0/0
17,composite_play_cand_089_composite_portrait150_012_composite_greedy_ab_01_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_089_composite_portrait150_012_composite_greedy_ab_01_rot180_keep_edge120.asset,section,74.8,31,44,130,0.957,0.993,0.968,1,44.8,0.234,0.417,0.060,21,7.84,1,21,6,57,26,5,6,0.848,0.121,0.346,10.04,50,60,109,0,0,31,14,17,composite_play_cand_089_composite_portrait150_012_composite_greedy_ab_01_rot180_keep_edge120,type=section; score=74.8; deps=109/0/0
18,composite_play_cand_063_composite_portrait150_012_composite_greedy_ab_01_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_063_composite_portrait150_012_composite_greedy_ab_01_vflip_keep_edge120.asset,section,74.8,31,44,130,0.957,0.993,0.968,1,41.2,0.234,0.333,0.062,21,7.85,1,21,6,57,25,5,6,0.848,0.121,0.346,10.04,50,60,109,0,0,31,14,17,composite_play_cand_063_composite_portrait150_012_composite_greedy_ab_01_vflip_keep_edge120,type=section; score=74.8; deps=109/0/0
19,composite_play_cand_133_composite_portrait150_132_composite_greedy_ab_14_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_133_composite_portrait150_132_composite_greedy_ab_14_identity_keep_edge120.asset,section,74.8,28,41,127,0.944,0.978,0.954,2,40.7,0.234,0.306,0.049,19,6.90,1,19,7,39,22,5,10,0.750,0.031,0.269,8.54,46,51,108,0,0,57,20,18,composite_play_cand_133_composite_portrait150_132_composite_greedy_ab_14_identity_keep_edge120,type=section; score=74.8; deps=108/0/0
20,composite_play_cand_062_composite_portrait150_008_composite_greedy_ab_00_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_062_composite_portrait150_008_composite_greedy_ab_00_vflip_keep_edge120.asset,section,74.7,30,44,126,0.939,0.986,0.982,1,44.3,0.234,0.333,0.079,18,8.00,1,18,10,60,27,4,6,0.781,0.156,0.115,9.83,51,60,108,0,0,52,16,18,composite_play_cand_062_composite_portrait150_008_composite_greedy_ab_00_vflip_keep_edge120,type=section; score=74.7; deps=108/0/0
21,composite_play_cand_102_composite_portrait150_082_composite_greedy_ab_08_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_102_composite_portrait150_082_composite_greedy_ab_08_rot180_keep_edge120.asset,dense,82.2,29,41,126,0.960,0.993,0.992,1,41.5,0.219,0.389,0.051,16,5.99,1,16,9,25,25,4,6,0.719,0.156,0.308,9.06,42,62,110,0,0,61,15,18,composite_play_cand_102_composite_portrait150_082_composite_greedy_ab_08_rot180_keep_edge120,type=dense; score=82.2; deps=110/0/0
22,composite_play_cand_014_composite_portrait150_030_composite_greedy_ab_03_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_014_composite_portrait150_030_composite_greedy_ab_03_identity_keep_edge120.asset,dense,80.2,31,47,135,0.940,0.987,0.963,2,55.7,0.328,0.417,0.093,21,5.37,1,21,21,21,23,5,9,0.794,0.176,0.296,10.14,54,66,114,0,0,30,15,14,composite_play_cand_014_composite_portrait150_030_composite_greedy_ab_03_identity_keep_edge120,type=dense; score=80.2; deps=114/0/0
23,composite_play_cand_041_composite_portrait150_030_composite_greedy_ab_03_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_041_composite_portrait150_030_composite_greedy_ab_03_hflip_keep_edge120.asset,dense,80.2,31,47,135,0.940,0.987,0.963,2,56.9,0.313,0.472,0.091,21,5.37,1,21,21,21,23,5,9,0.794,0.176,0.296,10.14,54,66,114,0,0,30,15,14,composite_play_cand_041_composite_portrait150_030_composite_greedy_ab_03_hflip_keep_edge120,type=dense; score=80.2; deps=114/0/0
24,composite_play_cand_008_composite_portrait150_012_composite_greedy_ab_01_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_008_composite_portrait150_012_composite_greedy_ab_01_identity_keep_edge120.asset,dense,75.1,31,44,130,0.957,0.993,0.968,1,41.2,0.234,0.333,0.062,21,7.23,1,21,8,37,27,5,7,0.848,0.091,0.308,10.04,50,67,109,0,0,31,14,17,composite_play_cand_008_composite_portrait150_012_composite_greedy_ab_01_identity_keep_edge120,type=dense; score=75.1; deps=109/0/0
25,composite_play_cand_091_composite_portrait150_017_composite_greedy_ab_01_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_091_composite_portrait150_017_composite_greedy_ab_01_rot180_keep_edge120.asset,dense,74.7,31,47,144,0.951,0.980,0.973,2,54.5,0.297,0.500,0.070,20,7.74,1,20,7,59,29,4,5,0.861,0.083,0.276,9.62,54,58,124,0,0,75,15,18,composite_play_cand_091_composite_portrait150_017_composite_greedy_ab_01_rot180_keep_edge120,type=dense; score=74.7; deps=124/0/0
26,composite_play_cand_156_composite_portrait150_132_composite_greedy_ab_14_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_156_composite_portrait150_132_composite_greedy_ab_14_hflip_keep_edge120.asset,dense,74.6,28,41,127,0.944,0.978,0.954,2,40.7,0.234,0.306,0.049,19,6.91,1,19,7,39,22,5,10,0.750,0.031,0.269,8.54,46,52,108,0,0,57,20,18,composite_play_cand_156_composite_portrait150_132_composite_greedy_ab_14_hflip_keep_edge120,type=dense; score=74.6; deps=108/0/0
27,composite_play_cand_065_composite_portrait150_017_composite_greedy_ab_01_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_065_composite_portrait150_017_composite_greedy_ab_01_vflip_keep_edge120.asset,dense,74.4,31,47,144,0.951,0.980,0.973,2,53.4,0.313,0.444,0.074,20,7.69,1,20,7,57,29,4,5,0.806,0.083,0.276,9.62,54,56,124,0,0,75,15,18,composite_play_cand_065_composite_portrait150_017_composite_greedy_ab_01_vflip_keep_edge120,type=dense; score=74.4; deps=124/0/0
28,composite_play_cand_069_composite_portrait150_030_composite_greedy_ab_03_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_069_composite_portrait150_030_composite_greedy_ab_03_vflip_keep_edge120.asset,dense,74.1,31,47,135,0.940,0.987,0.963,2,55.8,0.313,0.444,0.093,21,6.66,1,21,13,24,25,4,9,0.794,0.265,0.370,10.14,54,65,114,0,0,30,15,14,composite_play_cand_069_composite_portrait150_030_composite_greedy_ab_03_vflip_keep_edge120,type=dense; score=74.1; deps=114/0/0
29,composite_play_cand_085_composite_portrait150_003_composite_greedy_ab_00_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_085_composite_portrait150_003_composite_greedy_ab_00_rot180_keep_edge120.asset,dense,74.1,30,44,136,0.972,1.000,0.993,0,17.0,0.094,0.111,0.029,16,8.17,1,16,7,63,32,4,5,0.676,0.059,0.464,9.43,42,58,120,0,0,59,14,18,composite_play_cand_085_composite_portrait150_003_composite_greedy_ab_00_rot180_keep_edge120,type=dense; score=74.1; deps=120/0/0
30,composite_play_cand_052_composite_portrait150_097_composite_greedy_ab_10_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_052_composite_portrait150_097_composite_greedy_ab_10_hflip_keep_edge120.asset,dense,73.8,29,40,134,0.939,1.000,0.988,0,45.3,0.234,0.361,0.074,19,6.40,1,20,14,37,27,4,10,0.647,0.118,0.333,8.13,40,71,115,0,0,55,14,18,composite_play_cand_052_composite_portrait150_097_composite_greedy_ab_10_hflip_keep_edge120,type=dense; score=73.8; deps=115/0/0
31,composite_play_cand_067_composite_portrait150_019_composite_greedy_ab_02_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_067_composite_portrait150_019_composite_greedy_ab_02_vflip_keep_edge120.asset,dense,73.3,28,37,135,0.945,1.000,0.980,0,52.7,0.297,0.417,0.092,16,7.34,1,21,8,58,25,4,7,0.765,0.118,0.333,7.25,43,74,119,0,0,62,16,18,composite_play_cand_067_composite_portrait150_019_composite_greedy_ab_02_vflip_keep_edge120,type=dense; score=73.3; deps=119/0/0
32,composite_play_cand_093_composite_portrait150_019_composite_greedy_ab_02_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_093_composite_portrait150_019_composite_greedy_ab_02_rot180_keep_edge120.asset,dense,73.2,28,37,135,0.945,1.000,0.980,0,51.4,0.297,0.389,0.092,16,7.25,1,21,8,53,27,4,7,0.765,0.118,0.333,7.25,43,75,119,0,0,62,16,18,composite_play_cand_093_composite_portrait150_019_composite_greedy_ab_02_rot180_keep_edge120,type=dense; score=73.2; deps=119/0/0
33,composite_play_cand_057_composite_portrait150_002_composite_greedy_ab_00_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_057_composite_portrait150_002_composite_greedy_ab_00_vflip_keep_edge120.asset,dense,73.2,28,38,125,0.953,0.992,0.988,1,51.2,0.297,0.417,0.082,14,7.58,1,18,7,57,23,4,4,0.719,0.125,0.280,8.11,43,61,111,0,0,65,14,18,composite_play_cand_057_composite_portrait150_002_composite_greedy_ab_00_vflip_keep_edge120,type=dense; score=73.2; deps=111/0/0
34,composite_play_cand_084_composite_portrait150_002_composite_greedy_ab_00_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_084_composite_portrait150_002_composite_greedy_ab_00_rot180_keep_edge120.asset,dense,73.2,28,38,125,0.953,0.992,0.988,1,49.9,0.297,0.389,0.082,14,7.50,1,18,7,52,23,4,4,0.719,0.125,0.280,8.11,43,61,111,0,0,65,14,18,composite_play_cand_084_composite_portrait150_002_composite_greedy_ab_00_rot180_keep_edge120,type=dense; score=73.2; deps=111/0/0
35,composite_play_cand_111_composite_portrait150_010_composite_greedy_ab_01_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_111_composite_portrait150_010_composite_greedy_ab_01_identity_keep_edge120.asset,dense,72.8,32,46,151,0.957,0.974,0.966,2,35.1,0.203,0.278,0.039,18,6.52,1,19,12,39,34,5,8,0.789,0.105,0.194,9.32,56,66,133,0,0,50,23,18,composite_play_cand_111_composite_portrait150_010_composite_greedy_ab_01_identity_keep_edge120,type=dense; score=72.8; deps=133/0/0
36,composite_play_cand_009_composite_portrait150_014_composite_greedy_ab_01_identity_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_009_composite_portrait150_014_composite_greedy_ab_01_identity_keep_edge120.asset,dense,72.7,30,45,137,0.979,1.000,0.989,0,14.6,0.094,0.083,0.025,17,7.32,1,17,11,61,27,3,7,0.829,0.086,0.500,9.65,57,64,120,0,0,60,16,26,composite_play_cand_009_composite_portrait150_014_composite_greedy_ab_01_identity_keep_edge120,type=dense; score=72.7; deps=120/0/0
37,composite_play_cand_058_composite_portrait150_003_composite_greedy_ab_00_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_058_composite_portrait150_003_composite_greedy_ab_00_vflip_keep_edge120.asset,dense,72.3,30,44,136,0.971,0.993,0.989,1,18.3,0.109,0.111,0.029,15,7.70,1,15,7,60,30,4,5,0.676,0.059,0.464,9.43,42,59,121,0,0,59,14,18,composite_play_cand_058_composite_portrait150_003_composite_greedy_ab_00_vflip_keep_edge120,type=dense; score=72.3; deps=121/0/0
38,composite_play_cand_141_composite_portrait150_032_composite_greedy_ab_03_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_141_composite_portrait150_032_composite_greedy_ab_03_hflip_keep_edge120.asset,dense,72.2,28,42,132,0.969,0.978,0.981,1,31.9,0.203,0.250,0.031,23,7.48,1,23,6,44,27,3,7,0.697,0.000,0.370,8.64,59,76,109,0,0,53,13,18,composite_play_cand_141_composite_portrait150_032_composite_greedy_ab_03_hflip_keep_edge120,type=dense; score=72.2; deps=109/0/0
39,composite_play_cand_031_composite_portrait150_003_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_031_composite_portrait150_003_composite_greedy_ab_00_hflip_keep_edge120.asset,dense,72.2,30,44,136,0.972,1.000,0.993,0,17.0,0.094,0.111,0.029,16,7.99,1,16,3,69,33,3,5,0.618,0.118,0.321,9.43,42,68,120,0,0,59,14,18,composite_play_cand_031_composite_portrait150_003_composite_greedy_ab_00_hflip_keep_edge120,type=dense; score=72.2; deps=120/0/0
40,composite_play_cand_035_composite_portrait150_008_composite_greedy_ab_00_hflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_035_composite_portrait150_008_composite_greedy_ab_00_hflip_keep_edge120.asset,dense,72.1,30,44,126,0.939,0.993,0.986,1,48.5,0.281,0.333,0.093,19,8.02,1,20,2,60,30,3,6,0.813,0.156,0.423,9.84,51,62,107,0,0,52,16,18,composite_play_cand_035_composite_portrait150_008_composite_greedy_ab_00_hflip_keep_edge120,type=dense; score=72.1; deps=107/0/0
41,composite_play_cand_162_composite_portrait150_036_composite_greedy_ab_03_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_162_composite_portrait150_036_composite_greedy_ab_03_vflip_keep_edge120.asset,shell,75.2,32,43,129,0.940,0.979,0.968,1,48.7,0.281,0.361,0.076,16,10.44,1,18,4,88,27,7,10,0.697,0.000,0.346,10.03,57,64,113,0,0,78,4,24,composite_play_cand_162_composite_portrait150_036_composite_greedy_ab_03_vflip_keep_edge120,type=shell; score=75.2; deps=113/0/0
42,composite_play_cand_183_composite_portrait150_036_composite_greedy_ab_03_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_183_composite_portrait150_036_composite_greedy_ab_03_rot180_keep_edge120.asset,shell,75.2,32,43,129,0.940,0.979,0.968,1,52.2,0.281,0.444,0.072,16,10.42,1,18,4,88,27,7,10,0.697,0.000,0.346,10.03,57,64,113,0,0,78,4,24,composite_play_cand_183_composite_portrait150_036_composite_greedy_ab_03_rot180_keep_edge120,type=shell; score=75.2; deps=113/0/0
43,composite_play_cand_180_composite_portrait150_021_composite_greedy_ab_02_rot180_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_180_composite_portrait150_021_composite_greedy_ab_02_rot180_keep_edge120.asset,shell,73.8,32,41,142,0.966,0.979,0.971,1,39.4,0.219,0.361,0.048,23,10.69,1,25,6,89,28,5,11,0.667,0.056,0.310,8.92,59,69,119,0,0,65,7,18,composite_play_cand_180_composite_portrait150_021_composite_greedy_ab_02_rot180_keep_edge120,type=shell; score=73.8; deps=119/0/0
44,composite_play_cand_158_composite_portrait150_021_composite_greedy_ab_02_vflip_keep_edge120,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_158_composite_portrait150_021_composite_greedy_ab_02_vflip_keep_edge120.asset,shell,73.8,32,41,142,0.966,0.979,0.971,1,38.2,0.219,0.333,0.048,23,10.63,1,24,6,89,28,5,11,0.667,0.056,0.310,8.92,59,69,119,0,0,65,7,18,composite_play_cand_158_composite_portrait150_021_composite_greedy_ab_02_vflip_keep_edge120,type=shell; score=73.8; deps=119/0/0
