status,rank,newRank,id,type,width,height,chains,coverage,holeScore,localEmpty8,localEmpty8Cells,localEmpty8Total,localEmpty6,localEmpty6Cells,localEmpty6Total,centerEmpty
keep,12,10,composite_play_cand_002_composite_portrait150_002_composite_greedy_ab_00_identity_keep_edge120,local-hole,28,38,125,0.953,47.7,0.250,16,64,0.417,15,36,0.082
keep,13,11,composite_play_cand_022_composite_portrait150_082_composite_greedy_ab_08_identity_keep_edge120,mild-hole,29,41,126,0.960,40.2,0.219,14,64,0.361,13,36,0.051
keep,14,12,composite_play_cand_040_composite_portrait150_019_composite_greedy_ab_02_hflip_keep_edge120,local-hole,28,37,135,0.945,50.3,0.266,17,64,0.417,15,36,0.092
keep,15,13,composite_play_cand_030_composite_portrait150_002_composite_greedy_ab_00_hflip_keep_edge120,local-hole,28,38,125,0.953,47.7,0.250,16,64,0.417,15,36,0.082
keep,16,14,composite_play_cand_050_composite_portrait150_082_composite_greedy_ab_08_hflip_keep_edge120,mild-hole,29,41,126,0.960,40.2,0.219,14,64,0.361,13,36,0.051
keep,17,15,composite_play_cand_024_composite_portrait150_097_composite_greedy_ab_10_identity_keep_edge120,local-hole,29,40,134,0.939,44.0,0.234,15,64,0.333,12,36,0.074
keep,18,16,composite_play_cand_036_composite_portrait150_012_composite_greedy_ab_01_hflip_keep_edge120,local-hole,31,44,130,0.957,44.8,0.234,15,64,0.417,15,36,0.060
keep,19,17,composite_play_cand_183_composite_portrait150_036_composite_greedy_ab_03_rot180_keep_edge120,local-hole,32,43,129,0.940,52.2,0.281,18,64,0.444,16,36,0.072
keep,20,18,composite_play_cand_162_composite_portrait150_036_composite_greedy_ab_03_vflip_keep_edge120,local-hole,32,43,129,0.940,48.7,0.281,18,64,0.361,13,36,0.076
keep,21,19,composite_play_cand_008_composite_portrait150_012_composite_greedy_ab_01_identity_keep_edge120,local-hole,31,44,130,0.957,41.2,0.234,15,64,0.333,12,36,0.062
keep,22,20,composite_play_cand_088_composite_portrait150_008_composite_greedy_ab_00_rot180_keep_edge120,local-hole,30,44,126,0.939,48.5,0.281,18,64,0.333,12,36,0.093
keep,23,21,composite_play_cand_095_composite_portrait150_030_composite_greedy_ab_03_rot180_keep_edge120,local-hole,31,47,135,0.940,57.0,0.297,19,64,0.500,18,36,0.091
keep,24,22,composite_play_cand_063_composite_portrait150_012_composite_greedy_ab_01_vflip_keep_edge120,local-hole,31,44,130,0.957,41.2,0.234,15,64,0.333,12,36,0.062
keep,25,23,composite_play_cand_089_composite_portrait150_012_composite_greedy_ab_01_rot180_keep_edge120,local-hole,31,44,130,0.957,44.8,0.234,15,64,0.417,15,36,0.060
keep,26,24,composite_play_cand_133_composite_portrait150_132_composite_greedy_ab_14_identity_keep_edge120,local-hole,28,41,127,0.944,40.7,0.234,15,64,0.306,11,36,0.049
keep,27,25,composite_play_cand_062_composite_portrait150_008_composite_greedy_ab_00_vflip_keep_edge120,local-hole,30,44,126,0.939,44.3,0.234,15,64,0.333,12,36,0.079
keep,28,26,composite_play_cand_091_composite_portrait150_017_composite_greedy_ab_01_rot180_keep_edge120,local-hole,31,47,144,0.951,54.5,0.297,19,64,0.500,18,36,0.070
remove,29,0,composite_play_cand_026_composite_portrait150_106_composite_greedy_ab_11_identity_keep_edge120,local-hole,32,45,140,0.928,62.2,0.344,22,64,0.528,19,36,0.073
keep,30,27,composite_play_cand_156_composite_portrait150_132_composite_greedy_ab_14_hflip_keep_edge120,local-hole,28,41,127,0.944,40.7,0.234,15,64,0.306,11,36,0.049
keep,31,28,composite_play_cand_065_composite_portrait150_017_composite_greedy_ab_01_vflip_keep_edge120,local-hole,31,47,144,0.951,53.4,0.313,20,64,0.444,16,36,0.074
keep,32,29,composite_play_cand_054_composite_portrait150_106_composite_greedy_ab_11_hflip_keep_edge120,local-hole,32,45,140,0.928,61.1,0.344,22,64,0.500,18,36,0.075
keep,33,30,composite_play_cand_069_composite_portrait150_030_composite_greedy_ab_03_vflip_keep_edge120,local-hole,31,47,135,0.940,55.8,0.313,20,64,0.444,16,36,0.093
remove,34,0,composite_play_cand_079_composite_portrait150_099_composite_greedy_ab_11_vflip_keep_edge120,center-hole,28,39,124,0.932,67.3,0.375,24,64,0.528,19,36,0.133
remove,35,0,composite_play_cand_105_composite_portrait150_099_composite_greedy_ab_11_rot180_keep_edge120,center-hole,28,39,124,0.932,64.8,0.375,24,64,0.472,17,36,0.133
keep,36,31,composite_play_cand_180_composite_portrait150_021_composite_greedy_ab_02_rot180_keep_edge120,mild-hole,32,41,142,0.966,39.4,0.219,14,64,0.361,13,36,0.048
keep,37,32,composite_play_cand_158_composite_portrait150_021_composite_greedy_ab_02_vflip_keep_edge120,mild-hole,32,41,142,0.966,38.2,0.219,14,64,0.333,12,36,0.048
keep,38,33,composite_play_cand_052_composite_portrait150_097_composite_greedy_ab_10_hflip_keep_edge120,local-hole,29,40,134,0.939,45.3,0.234,15,64,0.361,13,36,0.074
remove,39,0,composite_play_cand_039_composite_portrait150_018_composite_greedy_ab_02_hflip_keep_edge120,local-hole,32,41,124,0.941,66.6,0.422,27,64,0.500,18,36,0.099
remove,40,0,composite_play_cand_011_composite_portrait150_018_composite_greedy_ab_02_identity_keep_edge120,local-hole,32,41,124,0.941,68.0,0.422,27,64,0.528,19,36,0.101
keep,41,34,composite_play_cand_043_composite_portrait150_036_composite_greedy_ab_03_hflip_keep_edge120,local-hole,32,43,129,0.942,52.2,0.250,16,64,0.500,18,36,0.072
keep,42,35,composite_play_cand_067_composite_portrait150_019_composite_greedy_ab_02_vflip_keep_edge120,local-hole,28,37,135,0.945,52.7,0.297,19,64,0.417,15,36,0.092
keep,43,36,composite_play_cand_016_composite_portrait150_036_composite_greedy_ab_03_identity_keep_edge120,local-hole,32,43,129,0.942,47.4,0.250,16,64,0.389,14,36,0.076
remove,44,0,composite_play_cand_080_composite_portrait150_106_composite_greedy_ab_11_vflip_keep_edge120,local-hole,32,45,141,0.928,62.1,0.344,22,64,0.528,19,36,0.073
remove,45,0,composite_play_cand_106_composite_portrait150_106_composite_greedy_ab_11_rot180_keep_edge120,local-hole,32,45,140,0.926,61.2,0.344,22,64,0.500,18,36,0.075
keep,46,37,composite_play_cand_141_composite_portrait150_032_composite_greedy_ab_03_hflip_keep_edge120,mild-hole,28,42,132,0.969,31.9,0.203,13,64,0.250,9,36,0.031
keep,47,38,composite_play_cand_031_composite_portrait150_003_composite_greedy_ab_00_hflip_keep_edge120,mild-hole,30,44,136,0.972,17.0,0.094,6,64,0.111,4,36,0.029
keep,48,39,composite_play_cand_035_composite_portrait150_008_composite_greedy_ab_00_hflip_keep_edge120,local-hole,30,44,126,0.939,48.5,0.281,18,64,0.333,12,36,0.093
keep,49,40,composite_play_cand_116_composite_portrait150_032_composite_greedy_ab_03_identity_keep_edge120,mild-hole,28,42,132,0.969,31.9,0.203,13,64,0.250,9,36,0.031
keep,50,41,composite_play_cand_077_composite_portrait150_085_composite_greedy_ab_09_vflip_keep_edge120,local-hole,36,49,179,0.945,51.4,0.266,17,64,0.500,18,36,0.043
keep,51,42,composite_play_cand_103_composite_portrait150_085_composite_greedy_ab_09_rot180_keep_edge120,local-hole,36,49,179,0.945,51.4,0.266,17,64,0.500,18,36,0.043
keep,52,43,composite_play_cand_169_composite_portrait150_077_composite_greedy_ab_08_vflip_keep_edge120,mild-hole,29,40,127,0.969,17.2,0.078,5,64,0.139,5,36,0.026
keep,53,44,composite_play_cand_059_composite_portrait150_005_composite_greedy_ab_00_vflip_keep_edge120,local-hole,28,39,138,0.951,55.1,0.281,18,64,0.500,18,36,0.101
keep,54,45,composite_play_cand_142_composite_portrait150_051_composite_greedy_ab_05_hflip_keep_edge120,local-hole,31,49,145,0.949,57.4,0.297,19,64,0.528,19,36,0.095
remove,55,0,composite_play_cand_018_composite_portrait150_059_composite_greedy_ab_06_identity_keep_edge120,center-hole,32,44,138,0.919,76.2,0.453,29,64,0.556,20,36,0.136
keep,56,46,composite_play_cand_191_composite_portrait150_077_composite_greedy_ab_08_rot180_keep_edge120,mild-hole,29,40,127,0.969,17.2,0.078,5,64,0.139,5,36,0.026
keep,57,47,composite_play_cand_117_composite_portrait150_051_composite_greedy_ab_05_identity_keep_edge120,local-hole,31,49,145,0.949,56.2,0.313,20,64,0.472,17,36,0.097
keep,58,48,composite_play_cand_087_composite_portrait150_007_composite_greedy_ab_00_rot180_keep_edge120,mild-hole,30,42,135,0.969,25.1,0.125,8,64,0.222,8,36,0.037
keep,59,49,composite_play_cand_061_composite_portrait150_007_composite_greedy_ab_00_vflip_keep_edge120,mild-hole,30,42,135,0.969,24.3,0.125,8,64,0.222,8,36,0.022
keep,60,50,composite_play_cand_100_composite_portrait150_074_composite_greedy_ab_08_rot180_keep_edge120,local-hole,28,41,134,0.929,55.2,0.297,19,64,0.417,15,36,0.102
keep,61,51,composite_play_cand_074_composite_portrait150_074_composite_greedy_ab_08_vflip_keep_edge120,local-hole,28,41,134,0.929,55.2,0.297,19,64,0.417,15,36,0.102
keep,62,52,composite_play_cand_003_composite_portrait150_003_composite_greedy_ab_00_identity_keep_edge120,mild-hole,30,44,136,0.971,18.3,0.109,7,64,0.111,4,36,0.029
keep,63,53,composite_play_cand_096_composite_portrait150_031_composite_greedy_ab_03_rot180_keep_edge120,local-hole,32,47,138,0.957,48.7,0.297,19,64,0.417,15,36,0.045
keep,64,54,composite_play_cand_113_composite_portrait150_021_composite_greedy_ab_02_identity_keep_edge120,mild-hole,32,41,142,0.966,38.1,0.219,14,64,0.333,12,36,0.046
keep,65,55,composite_play_cand_175_composite_portrait150_116_composite_greedy_ab_12_vflip_keep_edge120,mild-hole,29,38,141,0.961,30.6,0.188,12,64,0.194,7,36,0.056
keep,66,56,composite_play_cand_070_composite_portrait150_031_composite_greedy_ab_03_vflip_keep_edge120,local-hole,32,47,138,0.957,48.7,0.297,19,64,0.417,15,36,0.045
keep,67,57,composite_play_cand_168_composite_portrait150_073_composite_greedy_ab_08_vflip_keep_edge120,mild-hole,29,39,132,0.970,17.5,0.094,6,64,0.111,4,36,0.033
keep,68,58,composite_play_cand_189_composite_portrait150_073_composite_greedy_ab_08_rot180_keep_edge120,mild-hole,29,39,132,0.970,17.5,0.094,6,64,0.111,4,36,0.033
keep,69,59,composite_play_cand_047_composite_portrait150_067_composite_greedy_ab_07_hflip_keep_edge120,mild-hole,29,46,137,0.964,35.0,0.203,13,64,0.278,10,36,0.054
keep,70,60,composite_play_cand_122_composite_portrait150_073_composite_greedy_ab_08_identity_keep_edge120,mild-hole,29,39,132,0.970,16.3,0.078,5,64,0.111,4,36,0.033
keep,71,61,composite_play_cand_170_composite_portrait150_079_composite_greedy_ab_08_vflip_keep_edge120,local-hole,31,47,152,0.941,55.8,0.313,20,64,0.444,16,36,0.097
keep,72,62,composite_play_cand_146_composite_portrait150_073_composite_greedy_ab_08_hflip_keep_edge120,mild-hole,29,39,132,0.970,16.3,0.078,5,64,0.111,4,36,0.033
keep,73,63,composite_play_cand_093_composite_portrait150_019_composite_greedy_ab_02_rot180_keep_edge120,local-hole,28,37,135,0.945,51.4,0.297,19,64,0.389,14,36,0.092
keep,74,64,composite_play_cand_084_composite_portrait150_002_composite_greedy_ab_00_rot180_keep_edge120,local-hole,28,38,125,0.953,49.9,0.297,19,64,0.389,14,36,0.082
keep,75,65,composite_play_cand_057_composite_portrait150_002_composite_greedy_ab_00_vflip_keep_edge120,local-hole,28,38,125,0.953,51.2,0.297,19,64,0.417,15,36,0.082
remove,76,0,composite_play_cand_053_composite_portrait150_099_composite_greedy_ab_11_hflip_keep_edge120,center-hole,28,39,125,0.932,63.7,0.359,23,64,0.472,17,36,0.133
remove,77,0,composite_play_cand_045_composite_portrait150_059_composite_greedy_ab_06_hflip_keep_edge120,center-hole,32,44,138,0.919,76.3,0.453,29,64,0.556,20,36,0.138
keep,78,66,composite_play_cand_086_composite_portrait150_005_composite_greedy_ab_00_rot180_keep_edge120,local-hole,28,39,138,0.951,52.6,0.281,18,64,0.444,16,36,0.101
keep,79,67,composite_play_cand_007_composite_portrait150_008_composite_greedy_ab_00_identity_keep_edge120,local-hole,30,44,126,0.939,44.3,0.234,15,64,0.333,12,36,0.079
keep,80,68,composite_play_cand_138_composite_portrait150_021_composite_greedy_ab_02_hflip_keep_edge120,mild-hole,32,41,142,0.966,39.3,0.219,14,64,0.361,13,36,0.046
keep,81,69,composite_play_cand_127_composite_portrait150_098_composite_greedy_ab_10_identity_keep_edge120,local-hole,29,46,137,0.934,50.8,0.281,18,64,0.361,13,36,0.100
keep,82,70,composite_play_cand_150_composite_portrait150_098_composite_greedy_ab_10_hflip_keep_edge120,local-hole,29,46,137,0.934,50.8,0.281,18,64,0.361,13,36,0.100
keep,83,71,composite_play_cand_060_composite_portrait150_006_composite_greedy_ab_00_vflip_keep_edge120,mild-hole,30,47,137,0.972,34.0,0.188,12,64,0.333,12,36,0.028
keep,84,72,composite_play_cand_148_composite_portrait150_079_composite_greedy_ab_08_hflip_keep_edge120,local-hole,31,47,152,0.941,56.9,0.313,20,64,0.472,17,36,0.093
keep,85,73,composite_play_cand_004_composite_portrait150_005_composite_greedy_ab_00_identity_keep_edge120,local-hole,28,39,138,0.951,52.7,0.250,16,64,0.500,18,36,0.101
keep,86,74,composite_play_cand_143_composite_portrait150_065_composite_greedy_ab_07_hflip_keep_edge120,local-hole,31,47,158,0.955,54.7,0.313,20,64,0.472,17,36,0.084
keep,87,75,composite_play_cand_197_composite_portrait150_116_composite_greedy_ab_12_rot180_keep_edge120,mild-hole,29,38,141,0.961,29.5,0.156,10,64,0.222,8,36,0.056
keep,88,76,composite_play_cand_020_composite_portrait150_074_composite_greedy_ab_08_identity_keep_edge120,local-hole,28,41,134,0.929,55.7,0.281,18,64,0.444,16,36,0.109
keep,89,77,composite_play_cand_184_composite_portrait150_051_composite_greedy_ab_05_rot180_keep_edge120,local-hole,31,49,145,0.949,56.1,0.297,19,64,0.500,18,36,0.093
keep,90,78,composite_play_cand_048_composite_portrait150_074_composite_greedy_ab_08_hflip_keep_edge120,local-hole,28,41,134,0.929,58.2,0.281,18,64,0.500,18,36,0.109
keep,91,79,composite_play_cand_190_composite_portrait150_076_composite_greedy_ab_08_rot180_keep_edge120,local-hole,30,46,136,0.946,43.2,0.234,15,64,0.333,12,36,0.076
remove,92,0,composite_play_cand_025_composite_portrait150_099_composite_greedy_ab_11_identity_keep_edge120,center-hole,28,39,125,0.932,66.2,0.359,23,64,0.528,19,36,0.133
keep,93,80,composite_play_cand_125_composite_portrait150_079_composite_greedy_ab_08_identity_keep_edge120,local-hole,31,47,152,0.941,59.5,0.328,21,64,0.500,18,36,0.097
remove,94,0,composite_play_cand_066_composite_portrait150_018_composite_greedy_ab_02_vflip_keep_edge120,local-hole,32,41,124,0.941,67.0,0.391,25,64,0.556,20,36,0.103
remove,95,0,composite_play_cand_092_composite_portrait150_018_composite_greedy_ab_02_rot180_keep_edge120,local-hole,32,41,124,0.941,65.6,0.391,25,64,0.528,19,36,0.101
keep,96,81,composite_play_cand_049_composite_portrait150_078_composite_greedy_ab_08_hflip_keep_edge120,local-hole,29,40,133,0.948,52.9,0.313,20,64,0.444,16,36,0.059
keep,97,82,composite_play_cand_163_composite_portrait150_051_composite_greedy_ab_05_vflip_keep_edge120,local-hole,31,49,145,0.949,54.8,0.313,20,64,0.444,16,36,0.095
keep,98,83,composite_play_cand_021_composite_portrait150_078_composite_greedy_ab_08_identity_keep_edge120,local-hole,29,40,133,0.948,53.0,0.297,19,64,0.472,17,36,0.059
keep,99,84,composite_play_cand_159_composite_portrait150_022_composite_greedy_ab_02_vflip_keep_edge120,mild-hole,28,38,141,0.953,33.7,0.172,11,64,0.250,9,36,0.071
keep,100,85,composite_play_cand_181_composite_portrait150_022_composite_greedy_ab_02_rot180_keep_edge120,mild-hole,28,38,141,0.953,36.2,0.172,11,64,0.306,11,36,0.071
