rank,id,path,width,height,chains,coverage,greedy,details
32,composite_greedy_ab_032_r2_154_a665_r1_156_a672_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_032_r2_154_a665_r1_156_a672_h0.asset,49,33,145,0.905,True,fast greedy budget=450
33,composite_greedy_ab_033_a754_a883_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_033_a754_a883_h2.asset,47,31,131,0.922,True,fast greedy budget=450
34,composite_greedy_ab_034_r2_048_a491_r1_152_a661_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_034_r2_048_a491_r1_152_a661_h0.asset,47,32,133,0.920,True,fast greedy budget=450
35,composite_greedy_ab_035_r2_237_a857_r1_215_a805_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_035_r2_237_a857_r1_215_a805_h2.asset,42,28,128,0.922,True,fast greedy budget=450
36,composite_greedy_ab_036_z166_a966_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_036_z166_a966_h0.asset,40,28,122,0.903,True,fast greedy budget=450
37,composite_greedy_ab_037_a515_a542_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_037_a515_a542_h2.asset,45,35,141,0.935,True,fast greedy budget=450
38,composite_greedy_ab_038_r1_110_a607_z041_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_038_r1_110_a607_z041_h0.asset,41,32,122,0.934,True,fast greedy budget=450
39,composite_greedy_ab_039_r1_273_a948_a946_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_039_r1_273_a948_a946_h0.asset,43,32,127,0.907,True,fast greedy budget=450
40,composite_greedy_ab_040_r1_063_a515_a542_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_040_r1_063_a515_a542_h2.asset,47,35,159,0.916,True,fast greedy budget=477
41,composite_greedy_ab_041_r1_278_a955_r2_156_a672_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_041_r1_278_a955_r2_156_a672_h0.asset,44,30,152,0.900,True,fast greedy budget=456
42,composite_greedy_ab_042_a515_r1_140_a635_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_042_a515_r1_140_a635_h2.asset,49,35,145,0.917,True,fast greedy budget=450
43,composite_greedy_ab_043_r2_149_a654_a946_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_043_r2_149_a654_a946_h0.asset,43,32,133,0.920,True,fast greedy budget=450
44,composite_greedy_ab_044_r2_063_a515_a542_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_044_r2_063_a515_a542_h2.asset,47,38,180,0.908,True,fast greedy budget=540
45,composite_greedy_ab_045_r1_097_a581_r1_200_a761_h2,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_045_r1_097_a581_r1_200_a761_h2.asset,45,32,127,0.903,True,fast greedy budget=450
46,composite_greedy_ab_046_r2_208_a782_a515_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_046_r2_208_a782_a515_h0.asset,46,35,138,0.902,True,fast greedy budget=450
47,composite_greedy_ab_047_r1_165_a691_a883_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_047_r1_165_a691_a883_h0.asset,45,32,140,0.918,True,fast greedy budget=450
48,composite_greedy_ab_048_r1_110_a607_z191_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_048_r1_110_a607_z191_h0.asset,41,32,125,0.933,True,fast greedy budget=450
49,composite_greedy_ab_049_a754_r1_198_a757_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_049_a754_r1_198_a757_h0.asset,43,32,129,0.901,True,fast greedy budget=450
50,composite_greedy_ab_050_r1_154_a665_r1_198_a757_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_050_r1_154_a665_r1_198_a757_h0.asset,49,32,134,0.918,True,fast greedy budget=450
51,composite_greedy_ab_051_a846_a946_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_051_a846_a946_h0.asset,41,32,127,0.912,True,fast greedy budget=450
52,composite_greedy_ab_052_z166_r1_282_a966_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_052_z166_r1_282_a966_h0.asset,43,28,143,0.915,True,fast greedy budget=450
53,composite_greedy_ab_053_a754_a515_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_053_a754_a515_h0.asset,45,35,127,0.914,True,fast greedy budget=450
54,composite_greedy_ab_054_r2_110_a607_z041_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_054_r2_110_a607_z041_h0.asset,43,32,130,0.926,True,fast greedy budget=450
55,composite_greedy_ab_055_r1_097_a581_a632_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_055_r1_097_a581_a632_h0.asset,42,32,137,0.907,True,fast greedy budget=450
56,composite_greedy_ab_056_z166_a883_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_056_z166_a883_h0.asset,49,31,140,0.904,True,fast greedy budget=450
57,composite_greedy_ab_057_r2_071_a528_a946_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_057_r2_071_a528_a946_h0.asset,44,33,145,0.904,True,fast greedy budget=450
58,composite_greedy_ab_058_r2_154_a665_a869_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_058_r2_154_a665_a869_h0.asset,53,36,163,0.904,True,fast greedy budget=489
59,composite_greedy_ab_059_r2_069_a526_r1_271_a943_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_059_r2_069_a526_r1_271_a943_h0.asset,46,28,123,0.910,True,fast greedy budget=450
60,composite_greedy_ab_060_r2_208_a782_r1_198_a757_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_060_r2_208_a782_r1_198_a757_h0.asset,44,32,143,0.943,True,fast greedy budget=450
61,composite_greedy_ab_061_a665_a883_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_061_a665_a883_h0.asset,51,31,131,0.933,True,fast greedy budget=450
62,composite_greedy_ab_062_a754_r1_067_a524_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_062_a754_r1_067_a524_h0.asset,45,32,135,0.900,True,fast greedy budget=450
63,composite_greedy_ab_063_a491_r1_198_a757_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_063_a491_r1_198_a757_h0.asset,47,32,128,0.933,True,fast greedy budget=450
64,composite_greedy_ab_064_a527_r1_198_a757_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_064_a527_r1_198_a757_h0.asset,40,32,136,0.934,True,fast greedy budget=450
65,composite_greedy_ab_065_r2_110_a607_a754_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_065_r2_110_a607_a754_h0.asset,44,32,134,0.906,True,fast greedy budget=450
66,composite_greedy_ab_066_r2_012_a419_z106_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_066_r2_012_a419_z106_h0.asset,40,26,123,0.922,True,fast greedy budget=450
67,composite_greedy_ab_067_a948_r1_198_a757_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_067_a948_r1_198_a757_h0.asset,43,32,123,0.900,True,fast greedy budget=450
68,composite_greedy_ab_068_r1_195_a754_r1_198_a757_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_068_r1_195_a754_r1_198_a757_h0.asset,46,32,144,0.935,True,fast greedy budget=450
69,composite_greedy_ab_069_r1_165_a691_a632_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_069_r1_165_a691_a632_h0.asset,38,32,124,0.919,True,fast greedy budget=450
70,composite_greedy_ab_070_r1_154_a665_a757_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_070_r1_154_a665_a757_h0.asset,47,32,126,0.922,True,fast greedy budget=450
71,composite_greedy_ab_071_r2_278_a955_a883_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_071_r2_278_a955_a883_h0.asset,47,31,150,0.911,True,fast greedy budget=450
72,composite_greedy_ab_072_r1_110_a607_a761_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_072_r1_110_a607_a761_h0.asset,43,32,123,0.953,True,fast greedy budget=450
73,composite_greedy_ab_073_r2_040_a472_r1_271_a943_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_073_r2_040_a472_r1_271_a943_h0.asset,46,29,132,0.921,True,fast greedy budget=450
74,composite_greedy_ab_074_r1_071_a528_a811_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_074_r1_071_a528_a811_h0.asset,45,30,122,0.925,True,fast greedy budget=450
75,composite_greedy_ab_075_r2_278_a955_r1_140_a635_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_075_r2_278_a955_r1_140_a635_h0.asset,44,31,138,0.908,True,fast greedy budget=450
76,composite_greedy_ab_076_r2_211_a789_a757_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_076_r2_211_a789_a757_h0.asset,41,32,127,0.900,True,fast greedy budget=450
77,composite_greedy_ab_077_a846_r1_282_a966_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_077_a846_r1_282_a966_h0.asset,41,30,149,0.906,True,fast greedy budget=450
78,composite_greedy_ab_078_r2_208_a782_a869_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_078_r2_208_a782_a869_h0.asset,48,36,161,0.916,True,fast greedy budget=483
79,composite_greedy_ab_079_r1_208_a782_a869_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_079_r1_208_a782_a869_h0.asset,46,36,148,0.916,True,fast greedy budget=450
80,composite_greedy_ab_080_r1_249_a879_a716_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_080_r1_249_a879_a716_h0.asset,39,29,127,0.927,True,fast greedy budget=450
81,composite_greedy_ab_081_r2_237_a857_z106_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_081_r2_237_a857_z106_h0.asset,41,28,129,0.903,True,fast greedy budget=450
82,composite_greedy_ab_082_r2_048_a491_z041_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_082_r2_048_a491_z041_h0.asset,46,32,132,0.929,True,fast greedy budget=450
83,composite_greedy_ab_083_r1_029_a456_r2_055_a501_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_083_r1_029_a456_r2_055_a501_h0.asset,46,30,129,0.906,True,fast greedy budget=450
84,composite_greedy_ab_084_r1_249_a879_r2_040_a472_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_084_r1_249_a879_r2_040_a472_h0.asset,40,29,124,0.928,True,fast greedy budget=450
85,composite_greedy_ab_085_r2_149_a654_a966_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_085_r2_149_a654_a966_h0.asset,40,29,131,0.931,True,fast greedy budget=450
86,composite_greedy_ab_086_r2_237_a857_a883_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_086_r2_237_a857_a883_h0.asset,47,31,149,0.916,True,fast greedy budget=450
87,composite_greedy_ab_087_r1_235_a852_a811_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_087_r1_235_a852_a811_h0.asset,47,30,133,0.917,True,fast greedy budget=450
88,composite_greedy_ab_088_r2_012_a419_a635_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_088_r2_012_a419_a635_h0.asset,41,31,124,0.901,True,fast greedy budget=450
89,composite_greedy_ab_089_r1_249_a879_a588_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_089_r1_249_a879_a588_h0.asset,41,29,124,0.934,True,fast greedy budget=450
90,composite_greedy_ab_090_a491_a954_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_090_a491_a954_h0.asset,57,36,148,0.913,True,fast greedy budget=450
91,composite_greedy_ab_091_r1_048_a491_a869_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_091_r1_048_a491_a869_h0.asset,51,36,158,0.905,True,fast greedy budget=474
92,composite_greedy_ab_092_r1_110_a607_r1_200_a761_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_092_r1_110_a607_r1_200_a761_h0.asset,45,32,132,0.951,True,fast greedy budget=450
93,composite_greedy_ab_093_r1_097_a581_z020_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_093_r1_097_a581_z020_h0.asset,43,32,128,0.911,True,fast greedy budget=450
94,composite_greedy_ab_094_r1_097_a581_a869_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_094_r1_097_a581_a869_h0.asset,49,36,172,0.919,True,fast greedy budget=516
95,composite_greedy_ab_095_r2_070_a527_a811_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_095_r2_070_a527_a811_h0.asset,41,29,123,0.902,True,fast greedy budget=450
96,composite_greedy_ab_096_r2_179_a717_a811_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_096_r2_179_a717_a811_h0.asset,46,29,122,0.902,True,fast greedy budget=450
97,composite_greedy_ab_097_r2_165_a691_r1_067_a524_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_097_r2_165_a691_r1_067_a524_h0.asset,43,35,155,0.902,True,fast greedy budget=465
98,composite_greedy_ab_098_r2_237_a857_r2_152_a661_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_098_r2_237_a857_r2_152_a661_h0.asset,43,28,120,0.911,True,fast greedy budget=450
99,composite_greedy_ab_099_r1_245_a871_r2_041_a473_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_099_r1_245_a871_r2_041_a473_h0.asset,42,26,122,0.916,True,fast greedy budget=450
100,composite_greedy_ab_100_a584_z041_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_100_a584_z041_h0.asset,42,32,132,0.910,True,fast greedy budget=450
101,composite_greedy_ab_101_r1_149_a654_r1_067_a524_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_101_r1_149_a654_r1_067_a524_h0.asset,45,32,136,0.912,True,fast greedy budget=450
102,composite_greedy_ab_102_r1_208_a782_a954_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_102_r1_208_a782_a954_h0.asset,52,36,148,0.918,True,fast greedy budget=450
103,composite_greedy_ab_103_r1_235_a852_a761_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_103_r1_235_a852_a761_h0.asset,46,30,122,0.954,True,fast greedy budget=450
104,composite_greedy_ab_104_a665_a954_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_104_a665_a954_h0.asset,57,36,145,0.915,True,fast greedy budget=450
105,composite_greedy_ab_105_r1_290_a987_r1_200_a761_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_105_r1_290_a987_r1_200_a761_h0.asset,45,32,123,0.920,True,fast greedy budget=450
106,composite_greedy_ab_106_r2_155_a667_a883_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_106_r2_155_a667_a883_h0.asset,45,31,145,0.900,True,fast greedy budget=450
107,composite_greedy_ab_107_r2_012_a419_a588_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_107_r2_012_a419_a588_h0.asset,40,29,130,0.913,True,fast greedy budget=450
108,composite_greedy_ab_108_r2_071_a528_r1_200_a761_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_108_r2_071_a528_r1_200_a761_h0.asset,46,33,134,0.935,True,fast greedy budget=450
109,composite_greedy_ab_109_r2_179_a717_r2_041_a473_h0,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150/composite_greedy_ab_109_r2_179_a717_r2_041_a473_h0.asset,46,29,134,0.903,True,fast greedy budget=450
