rank,id,path,source,transform,width,height,chains,coverage,greedy,quality,details
17,composite_portrait150_017_composite_greedy_ab_019_r1_249_a879_a883_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_017_composite_greedy_ab_019_r1_249_a879_a883_h2_rot90.asset,composite_greedy_ab_019_r1_249_a879_a883_h2,rot90,31,47,139,0.902,True,localEmpty=0.391,fast greedy budget=450
18,composite_portrait150_018_composite_greedy_ab_020_a754_a946_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_018_composite_greedy_ab_020_a754_a946_h2_rot90.asset,composite_greedy_ab_020_a754_a946_h2,rot90,32,41,121,0.923,True,localEmpty=0.422,fast greedy budget=450
19,composite_portrait150_019_composite_greedy_ab_022_r2_012_a419_a966_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_019_composite_greedy_ab_022_r2_012_a419_a966_h0_rot90.asset,composite_greedy_ab_022_r2_012_a419_a966_h0,rot90,28,37,133,0.921,True,localEmpty=0.266,fast greedy budget=450
20,composite_portrait150_020_composite_greedy_ab_023_a515_r1_195_a754_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_020_composite_greedy_ab_023_a515_r1_195_a754_h0_rot90.asset,composite_greedy_ab_023_a515_r1_195_a754_h0,rot90,35,48,143,0.906,True,localEmpty=0.328,fast greedy budget=450
21,composite_portrait150_021_composite_greedy_ab_024_r2_237_a857_a946_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_021_composite_greedy_ab_024_r2_237_a857_a946_h0_rot90.asset,composite_greedy_ab_024_r2_237_a857_a946_h0,rot90,32,41,139,0.931,True,localEmpty=0.281,fast greedy budget=450
22,composite_portrait150_022_composite_greedy_ab_025_r1_236_a855_r1_282_a966__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_022_composite_greedy_ab_025_r1_236_a855_r1_282_a966__rot90.asset,composite_greedy_ab_025_r1_236_a855_r1_282_a966_h2,rot90,28,38,141,0.922,True,localEmpty=0.313,fast greedy budget=450
23,composite_portrait150_023_composite_greedy_ab_026_r2_237_a857_r2_113_a616__rot270,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_023_composite_greedy_ab_026_r2_237_a857_r2_113_a616__rot270.asset,composite_greedy_ab_026_r2_237_a857_r2_113_a616_h0,rot270,28,42,122,0.916,True,localEmpty=0.391,fast greedy budget=450
24,composite_portrait150_024_composite_greedy_ab_027_r2_020_a435_r1_156_a672__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_024_composite_greedy_ab_027_r2_020_a435_r1_156_a672__rot90.asset,composite_greedy_ab_027_r2_020_a435_r1_156_a672_h0,rot90,30,43,122,0.900,True,localEmpty=0.297,fast greedy budget=450
25,composite_portrait150_025_composite_greedy_ab_028_r1_165_a691_a946_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_025_composite_greedy_ab_028_r1_165_a691_a946_h2_rot90.asset,composite_greedy_ab_028_r1_165_a691_a946_h2,rot90,32,39,130,0.951,True,localEmpty=0.172,fast greedy budget=450
26,composite_portrait150_026_composite_greedy_ab_029_z103_a672_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_026_composite_greedy_ab_029_z103_a672_h0_rot90.asset,composite_greedy_ab_029_z103_a672_h0,rot90,36,51,132,0.917,True,localEmpty=0.438,fast greedy budget=450
27,composite_portrait150_027_composite_greedy_ab_030_r2_165_a691_a946_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_027_composite_greedy_ab_030_r2_165_a691_a946_h2_rot90.asset,composite_greedy_ab_030_r2_165_a691_a946_h2,rot90,35,39,140,0.916,True,localEmpty=0.281,fast greedy budget=450
28,composite_portrait150_028_composite_greedy_ab_031_r2_012_a419_a883_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_028_composite_greedy_ab_031_r2_012_a419_a883_h0_rot90.asset,composite_greedy_ab_031_r2_012_a419_a883_h0,rot90,31,46,149,0.914,True,localEmpty=0.344,fast greedy budget=450
29,composite_portrait150_029_composite_greedy_ab_032_r2_154_a665_r1_156_a672__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_029_composite_greedy_ab_032_r2_154_a665_r1_156_a672__rot90.asset,composite_greedy_ab_032_r2_154_a665_r1_156_a672_h0,rot90,33,49,145,0.905,True,localEmpty=0.391,fast greedy budget=450
30,composite_portrait150_030_composite_greedy_ab_033_a754_a883_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_030_composite_greedy_ab_033_a754_a883_h2_rot90.asset,composite_greedy_ab_033_a754_a883_h2,rot90,31,47,131,0.922,True,localEmpty=0.328,fast greedy budget=450
31,composite_portrait150_031_composite_greedy_ab_034_r2_048_a491_r1_152_a661__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_031_composite_greedy_ab_034_r2_048_a491_r1_152_a661__rot90.asset,composite_greedy_ab_034_r2_048_a491_r1_152_a661_h0,rot90,32,47,133,0.920,True,localEmpty=0.375,fast greedy budget=450
32,composite_portrait150_032_composite_greedy_ab_035_r2_237_a857_r1_215_a805__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_032_composite_greedy_ab_035_r2_237_a857_r1_215_a805__rot90.asset,composite_greedy_ab_035_r2_237_a857_r1_215_a805_h2,rot90,28,42,128,0.922,True,localEmpty=0.344,fast greedy budget=450
33,composite_portrait150_033_composite_greedy_ab_036_z166_a966_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_033_composite_greedy_ab_036_z166_a966_h0_rot90.asset,composite_greedy_ab_036_z166_a966_h0,rot90,28,40,122,0.903,True,localEmpty=0.297,fast greedy budget=450
34,composite_portrait150_034_composite_greedy_ab_037_a515_a542_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_034_composite_greedy_ab_037_a515_a542_h2_rot90.asset,composite_greedy_ab_037_a515_a542_h2,rot90,35,45,141,0.935,True,localEmpty=0.234,fast greedy budget=450
35,composite_portrait150_035_composite_greedy_ab_038_r1_110_a607_z041_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_035_composite_greedy_ab_038_r1_110_a607_z041_h0_rot90.asset,composite_greedy_ab_038_r1_110_a607_z041_h0,rot90,32,41,122,0.934,True,localEmpty=0.266,fast greedy budget=450
36,composite_portrait150_036_composite_greedy_ab_039_r1_273_a948_a946_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_036_composite_greedy_ab_039_r1_273_a948_a946_h0_rot90.asset,composite_greedy_ab_039_r1_273_a948_a946_h0,rot90,32,43,127,0.907,True,localEmpty=0.344,fast greedy budget=450
37,composite_portrait150_037_composite_greedy_ab_040_r1_063_a515_a542_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_037_composite_greedy_ab_040_r1_063_a515_a542_h2_rot90.asset,composite_greedy_ab_040_r1_063_a515_a542_h2,rot90,35,47,159,0.916,True,localEmpty=0.406,fast greedy budget=477
38,composite_portrait150_038_composite_greedy_ab_041_r1_278_a955_r2_156_a672__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_038_composite_greedy_ab_041_r1_278_a955_r2_156_a672__rot90.asset,composite_greedy_ab_041_r1_278_a955_r2_156_a672_h0,rot90,30,44,152,0.900,True,localEmpty=0.375,fast greedy budget=456
39,composite_portrait150_039_composite_greedy_ab_042_a515_r1_140_a635_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_039_composite_greedy_ab_042_a515_r1_140_a635_h2_rot90.asset,composite_greedy_ab_042_a515_r1_140_a635_h2,rot90,35,49,145,0.917,True,localEmpty=0.375,fast greedy budget=450
40,composite_portrait150_040_composite_greedy_ab_043_r2_149_a654_a946_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_040_composite_greedy_ab_043_r2_149_a654_a946_h0_rot90.asset,composite_greedy_ab_043_r2_149_a654_a946_h0,rot90,32,43,133,0.920,True,localEmpty=0.281,fast greedy budget=450
41,composite_portrait150_041_composite_greedy_ab_044_r2_063_a515_a542_h2_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_041_composite_greedy_ab_044_r2_063_a515_a542_h2_rot90.asset,composite_greedy_ab_044_r2_063_a515_a542_h2,rot90,38,47,180,0.908,True,localEmpty=0.375,fast greedy budget=540
42,composite_portrait150_042_composite_greedy_ab_046_r2_208_a782_a515_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_042_composite_greedy_ab_046_r2_208_a782_a515_h0_rot90.asset,composite_greedy_ab_046_r2_208_a782_a515_h0,rot90,35,46,138,0.902,True,localEmpty=0.328,fast greedy budget=450
43,composite_portrait150_043_composite_greedy_ab_047_r1_165_a691_a883_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_043_composite_greedy_ab_047_r1_165_a691_a883_h0_rot90.asset,composite_greedy_ab_047_r1_165_a691_a883_h0,rot90,32,45,140,0.918,True,localEmpty=0.375,fast greedy budget=450
44,composite_portrait150_044_composite_greedy_ab_048_r1_110_a607_z191_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_044_composite_greedy_ab_048_r1_110_a607_z191_h0_rot90.asset,composite_greedy_ab_048_r1_110_a607_z191_h0,rot90,32,41,125,0.933,True,localEmpty=0.266,fast greedy budget=450
45,composite_portrait150_045_composite_greedy_ab_049_a754_r1_198_a757_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_045_composite_greedy_ab_049_a754_r1_198_a757_h0_rot90.asset,composite_greedy_ab_049_a754_r1_198_a757_h0,rot90,32,43,129,0.901,True,localEmpty=0.422,fast greedy budget=450
46,composite_portrait150_046_composite_greedy_ab_050_r1_154_a665_r1_198_a757__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_046_composite_greedy_ab_050_r1_154_a665_r1_198_a757__rot90.asset,composite_greedy_ab_050_r1_154_a665_r1_198_a757_h0,rot90,32,49,134,0.918,True,localEmpty=0.344,fast greedy budget=450
47,composite_portrait150_047_composite_greedy_ab_051_a846_a946_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_047_composite_greedy_ab_051_a846_a946_h0_rot90.asset,composite_greedy_ab_051_a846_a946_h0,rot90,32,41,127,0.912,True,localEmpty=0.453,fast greedy budget=450
48,composite_portrait150_048_composite_greedy_ab_052_z166_r1_282_a966_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_048_composite_greedy_ab_052_z166_r1_282_a966_h0_rot90.asset,composite_greedy_ab_052_z166_r1_282_a966_h0,rot90,28,43,143,0.915,True,localEmpty=0.297,fast greedy budget=450
49,composite_portrait150_049_composite_greedy_ab_053_a754_a515_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_049_composite_greedy_ab_053_a754_a515_h0_rot90.asset,composite_greedy_ab_053_a754_a515_h0,rot90,35,45,127,0.914,True,localEmpty=0.313,fast greedy budget=450
50,composite_portrait150_050_composite_greedy_ab_054_r2_110_a607_z041_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_050_composite_greedy_ab_054_r2_110_a607_z041_h0_rot90.asset,composite_greedy_ab_054_r2_110_a607_z041_h0,rot90,32,43,130,0.926,True,localEmpty=0.344,fast greedy budget=450
51,composite_portrait150_051_composite_greedy_ab_056_z166_a883_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_051_composite_greedy_ab_056_z166_a883_h0_rot90.asset,composite_greedy_ab_056_z166_a883_h0,rot90,31,49,140,0.904,True,localEmpty=0.375,fast greedy budget=450
52,composite_portrait150_052_composite_greedy_ab_058_r2_154_a665_a869_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_052_composite_greedy_ab_058_r2_154_a665_a869_h0_rot90.asset,composite_greedy_ab_058_r2_154_a665_a869_h0,rot90,36,53,163,0.904,True,localEmpty=0.359,fast greedy budget=489
53,composite_portrait150_053_composite_greedy_ab_059_r2_069_a526_r1_271_a943__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_053_composite_greedy_ab_059_r2_069_a526_r1_271_a943__rot90.asset,composite_greedy_ab_059_r2_069_a526_r1_271_a943_h0,rot90,28,46,123,0.910,True,localEmpty=0.281,fast greedy budget=450
54,composite_portrait150_054_composite_greedy_ab_060_r2_208_a782_r1_198_a757__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_054_composite_greedy_ab_060_r2_208_a782_r1_198_a757__rot90.asset,composite_greedy_ab_060_r2_208_a782_r1_198_a757_h0,rot90,32,44,143,0.943,True,localEmpty=0.203,fast greedy budget=450
55,composite_portrait150_055_composite_greedy_ab_061_a665_a883_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_055_composite_greedy_ab_061_a665_a883_h0_rot90.asset,composite_greedy_ab_061_a665_a883_h0,rot90,31,51,131,0.933,True,localEmpty=0.328,fast greedy budget=450
56,composite_portrait150_056_composite_greedy_ab_062_a754_r1_067_a524_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_056_composite_greedy_ab_062_a754_r1_067_a524_h0_rot90.asset,composite_greedy_ab_062_a754_r1_067_a524_h0,rot90,32,45,135,0.900,True,localEmpty=0.422,fast greedy budget=450
57,composite_portrait150_057_composite_greedy_ab_063_a491_r1_198_a757_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_057_composite_greedy_ab_063_a491_r1_198_a757_h0_rot90.asset,composite_greedy_ab_063_a491_r1_198_a757_h0,rot90,32,47,128,0.933,True,localEmpty=0.297,fast greedy budget=450
58,composite_portrait150_058_composite_greedy_ab_064_a527_r1_198_a757_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_058_composite_greedy_ab_064_a527_r1_198_a757_h0_rot90.asset,composite_greedy_ab_064_a527_r1_198_a757_h0,rot90,32,40,136,0.934,True,localEmpty=0.297,fast greedy budget=450
59,composite_portrait150_059_composite_greedy_ab_065_r2_110_a607_a754_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_059_composite_greedy_ab_065_r2_110_a607_a754_h0_rot90.asset,composite_greedy_ab_065_r2_110_a607_a754_h0,rot90,32,44,134,0.906,True,localEmpty=0.453,fast greedy budget=450
60,composite_portrait150_060_composite_greedy_ab_066_r2_012_a419_z106_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_060_composite_greedy_ab_066_r2_012_a419_z106_h0_rot90.asset,composite_greedy_ab_066_r2_012_a419_z106_h0,rot90,26,40,123,0.922,True,localEmpty=0.219,fast greedy budget=450
61,composite_portrait150_061_composite_greedy_ab_067_a948_r1_198_a757_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_061_composite_greedy_ab_067_a948_r1_198_a757_h0_rot90.asset,composite_greedy_ab_067_a948_r1_198_a757_h0,rot90,32,43,123,0.900,True,localEmpty=0.422,fast greedy budget=450
62,composite_portrait150_062_composite_greedy_ab_068_r1_195_a754_r1_198_a757__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_062_composite_greedy_ab_068_r1_195_a754_r1_198_a757__rot90.asset,composite_greedy_ab_068_r1_195_a754_r1_198_a757_h0,rot90,32,46,144,0.935,True,localEmpty=0.250,fast greedy budget=450
63,composite_portrait150_063_composite_greedy_ab_069_r1_165_a691_a632_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_063_composite_greedy_ab_069_r1_165_a691_a632_h0_rot90.asset,composite_greedy_ab_069_r1_165_a691_a632_h0,rot90,32,38,124,0.919,True,localEmpty=0.234,fast greedy budget=450
64,composite_portrait150_064_composite_greedy_ab_070_r1_154_a665_a757_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_064_composite_greedy_ab_070_r1_154_a665_a757_h0_rot90.asset,composite_greedy_ab_070_r1_154_a665_a757_h0,rot90,32,47,126,0.922,True,localEmpty=0.344,fast greedy budget=450
65,composite_portrait150_065_composite_greedy_ab_071_r2_278_a955_a883_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_065_composite_greedy_ab_071_r2_278_a955_a883_h0_rot90.asset,composite_greedy_ab_071_r2_278_a955_a883_h0,rot90,31,47,150,0.911,True,localEmpty=0.328,fast greedy budget=450
66,composite_portrait150_066_composite_greedy_ab_072_r1_110_a607_a761_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_066_composite_greedy_ab_072_r1_110_a607_a761_h0_rot90.asset,composite_greedy_ab_072_r1_110_a607_a761_h0,rot90,32,43,123,0.953,True,localEmpty=0.281,fast greedy budget=450
67,composite_portrait150_067_composite_greedy_ab_073_r2_040_a472_r1_271_a943__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_067_composite_greedy_ab_073_r2_040_a472_r1_271_a943__rot90.asset,composite_greedy_ab_073_r2_040_a472_r1_271_a943_h0,rot90,29,46,132,0.921,True,localEmpty=0.250,fast greedy budget=450
68,composite_portrait150_068_composite_greedy_ab_074_r1_071_a528_a811_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_068_composite_greedy_ab_074_r1_071_a528_a811_h0_rot90.asset,composite_greedy_ab_074_r1_071_a528_a811_h0,rot90,30,45,122,0.925,True,localEmpty=0.313,fast greedy budget=450
69,composite_portrait150_069_composite_greedy_ab_075_r2_278_a955_r1_140_a635__rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_069_composite_greedy_ab_075_r2_278_a955_r1_140_a635__rot90.asset,composite_greedy_ab_075_r2_278_a955_r1_140_a635_h0,rot90,31,44,138,0.908,True,localEmpty=0.297,fast greedy budget=450
70,composite_portrait150_070_composite_greedy_ab_076_r2_211_a789_a757_h0_rot90,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABCapacityAuditParents150Portrait/composite_portrait150_070_composite_greedy_ab_076_r2_211_a789_a757_h0_rot90.asset,composite_greedy_ab_076_r2_211_a789_a757_h0,rot90,32,41,127,0.900,True,localEmpty=0.359,fast greedy budget=450
