Index,Spec,Structure,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Blocks,OuterCutCells,AllowedCells,AllowedCoverage,BoardCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
11,topup_tall_20x30_maze,MazeLongChain,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_011_topup_tall_20x30_maze.asset,20,30,0,46,0,72,0,528,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21618642 fill=514/528(0.973) chains=51 blocks=72 remaining=14 rejectedShort=0 failedPeels=1
12,topup_tall_20x30_shell,OuterShell,hole_topup_012_topup_tall_20x30_shell,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset,20,30,52,49,510,72,0,528,0.966,0.850,0.962,5,5,14,52,9.81,22,0.244,143,True,5,182.1,ok,353,DirectHole style=HoleMaze score=47416 openingRatio=0.096 | ConstrainedPeel style=HoleMaze seed=10842731 fill=510/528(0.966) chains=52 blocks=72 remaining=18 rejectedShort=0 failedPeels=1
13,topup_tall_28x30_dense,DenseWeave,hole_topup_013_topup_tall_28x30_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_013_topup_tall_28x30_dense.asset,28,30,79,85,750,72,0,768,0.977,0.893,0.972,6,6,27,79,9.49,22,0.182,349,True,6,186.3,ok,403,DirectHole style=HoleMaze score=65057 openingRatio=0.076 | ConstrainedPeel style=HoleMaze seed=16091152 fill=750/768(0.977) chains=79 blocks=72 remaining=18 rejectedShort=0 failedPeels=1
14,topup_tall_28x30_dual,DualZone,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_014_topup_tall_28x30_dual.asset,28,30,0,78,0,72,0,768,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21652965 fill=744/768(0.969) chains=79 blocks=72 remaining=24 rejectedShort=0 failedPeels=1
15,topup_tall_28x30_maze,MazeLongChain,hole_topup_015_topup_tall_28x30_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_015_topup_tall_28x30_maze.asset,28,30,83,66,750,72,0,768,0.977,0.893,0.991,13,13,29,83,9.04,22,0.245,277,True,13,188.0,ok,349,DirectHole style=HoleMaze score=62056 openingRatio=0.157 | ConstrainedPeel style=HoleMaze seed=10458138 fill=750/768(0.977) chains=83 blocks=72 remaining=18 rejectedShort=0 failedPeels=1
16,topup_tall_28x30_shell,OuterShell,hole_topup_016_topup_tall_28x30_shell,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_016_topup_tall_28x30_shell.asset,28,30,75,71,751,72,0,768,0.978,0.894,0.977,10,10,19,75,10.01,22,0.241,235,True,10,186.4,ok,367,DirectHole style=HoleMaze score=69592 openingRatio=0.133 | ConstrainedPeel style=HoleMaze seed=12354436 fill=751/768(0.978) chains=75 blocks=72 remaining=17 rejectedShort=0 failedPeels=1
17,topup_std_22x26_dense,DenseWeave,hole_topup_017_topup_std_22x26_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_017_topup_std_22x26_dense.asset,22,26,52,56,489,72,0,500,0.978,0.855,0.972,10,10,18,52,9.40,22,0.234,159,True,10,183.0,ok,321,DirectHole style=HoleMaze score=44107 openingRatio=0.192 | ConstrainedPeel style=HoleMaze seed=7572925 fill=489/500(0.978) chains=52 blocks=72 remaining=11 rejectedShort=0 failedPeels=1
18,topup_std_22x26_dual,DualZone,hole_topup_018_topup_std_22x26_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_018_topup_std_22x26_dual.asset,22,26,49,51,489,72,0,500,0.978,0.855,0.989,10,10,14,49,9.98,22,0.228,110,True,10,183.7,ok,310,DirectHole style=HoleMaze score=46079 openingRatio=0.204 | ConstrainedPeel style=HoleMaze seed=6432082 fill=489/500(0.978) chains=49 blocks=72 remaining=11 rejectedShort=0 failedPeels=1
19,topup_std_22x26_maze,MazeLongChain,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_019_topup_std_22x26_maze.asset,22,26,0,43,0,72,0,500,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21733692 fill=491/500(0.982) chains=54 blocks=72 remaining=9 rejectedShort=0 failedPeels=1
20,topup_std_22x28_dense,DenseWeave,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_020_topup_std_22x28_dense.asset,22,28,0,60,0,72,0,544,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21745836 fill=531/544(0.976) chains=58 blocks=72 remaining=13 rejectedShort=0 failedPeels=1
21,topup_std_22x28_dual,DualZone,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_021_topup_std_22x28_dual.asset,22,28,0,56,0,72,0,544,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21757012 fill=532/544(0.978) chains=58 blocks=72 remaining=12 rejectedShort=0 failedPeels=1
22,topup_std_22x28_maze,MazeLongChain,hole_topup_022_topup_std_22x28_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_022_topup_std_22x28_maze.asset,22,28,57,47,527,72,0,544,0.969,0.856,0.973,13,13,16,57,9.25,19,0.242,163,True,13,183.0,ok,122,DirectHole style=HoleLock score=45568 openingRatio=0.228 | ConstrainedPeel style=HoleLock seed=4626245 fill=527/544(0.969) chains=57 blocks=72 remaining=17 rejectedShort=0 failedPeels=1
23,topup_std_24x28_dense,DenseWeave,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_023_topup_std_24x28_dense.asset,24,28,0,67,0,72,0,600,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21780332 fill=582/600(0.970) chains=57 blocks=72 remaining=18 rejectedShort=0 failedPeels=1
24,topup_std_24x28_dual,DualZone,hole_topup_024_topup_std_24x28_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_024_topup_std_24x28_dual.asset,24,28,55,61,583,72,0,600,0.972,0.868,0.974,8,8,11,55,10.60,22,0.239,142,True,8,183.0,ok,340,DirectHole style=HoleMaze score=55804 openingRatio=0.145 | ConstrainedPeel style=HoleMaze seed=9642944 fill=583/600(0.972) chains=55 blocks=72 remaining=17 rejectedShort=0 failedPeels=1
25,topup_std_24x28_maze,MazeLongChain,hole_topup_025_topup_std_24x28_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_025_topup_std_24x28_maze.asset,24,28,62,52,587,72,0,600,0.978,0.874,0.964,12,12,15,62,9.47,22,0.248,169,True,12,183.9,ok,409,DirectHole style=HoleMaze score=53769 openingRatio=0.194 | ConstrainedPeel style=HoleMaze seed=16880421 fill=587/600(0.978) chains=62 blocks=72 remaining=13 rejectedShort=0 failedPeels=1
26,topup_std_24x30_dense,DenseWeave,hole_topup_026_topup_std_24x30_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_026_topup_std_24x30_dense.asset,24,30,67,72,631,72,0,648,0.974,0.876,0.970,10,10,18,67,9.42,21,0.197,175,True,10,184.6,ok,295,DirectHole style=HoleMaze score=57645 openingRatio=0.149 | ConstrainedPeel style=HoleMaze seed=4953459 fill=631/648(0.974) chains=67 blocks=72 remaining=17 rejectedShort=0 failedPeels=1
27,topup_std_24x30_dual,DualZone,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_027_topup_std_24x30_dual.asset,24,30,0,66,0,72,0,648,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21826004 fill=637/648(0.983) chains=65 blocks=72 remaining=11 rejectedShort=0 failedPeels=1
28,topup_std_24x30_maze,MazeLongChain,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_028_topup_std_24x30_maze.asset,24,30,0,56,0,72,0,648,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21837180 fill=641/648(0.989) chains=72 blocks=72 remaining=7 rejectedShort=0 failedPeels=1
29,topup_std_26x26_dense,DenseWeave,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_029_topup_std_26x26_dense.asset,26,26,0,67,0,72,0,604,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21849324 fill=581/604(0.962) chains=59 blocks=72 remaining=23 rejectedShort=0 failedPeels=1
30,topup_std_26x26_dual,DualZone,hole_topup_030_topup_std_26x26_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_030_topup_std_26x26_dual.asset,26,26,61,62,586,72,0,604,0.970,0.867,0.938,4,4,20,61,9.61,22,0.269,145,True,4,183.6,ok,403,DirectHole style=HoleMaze score=52443 openingRatio=0.066 | ConstrainedPeel style=HoleMaze seed=16309863 fill=586/604(0.970) chains=61 blocks=72 remaining=18 rejectedShort=0 failedPeels=1
31,topup_std_26x26_maze,MazeLongChain,hole_topup_031_topup_std_26x26_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_031_topup_std_26x26_maze.asset,26,26,63,52,591,72,0,604,0.978,0.874,0.969,8,8,16,63,9.38,22,0.222,188,True,8,184.9,ok,389,DirectHole style=HoleMaze score=52909 openingRatio=0.127 | ConstrainedPeel style=HoleMaze seed=14854833 fill=591/604(0.978) chains=63 blocks=72 remaining=13 rejectedShort=0 failedPeels=1
32,topup_std_26x28_dense,DenseWeave,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_032_topup_std_26x28_dense.asset,26,28,0,73,0,72,0,656,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21883820 fill=640/656(0.976) chains=68 blocks=72 remaining=16 rejectedShort=0 failedPeels=1
33,topup_std_26x28_dual,DualZone,hole_topup_033_topup_std_26x28_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_033_topup_std_26x28_dual.asset,26,28,65,67,642,72,0,656,0.979,0.882,0.970,11,11,15,65,9.88,22,0.225,186,True,11,185.2,ok,429,DirectHole style=HoleMaze score=61280 openingRatio=0.169 | ConstrainedPeel style=HoleMaze seed=19067313 fill=642/656(0.979) chains=65 blocks=72 remaining=14 rejectedShort=0 failedPeels=1
34,topup_std_26x28_maze,MazeLongChain,hole_topup_034_topup_std_26x28_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_034_topup_std_26x28_maze.asset,26,28,70,57,647,72,0,656,0.986,0.889,0.985,3,3,18,70,9.24,20,0.341,300,True,3,184.9,long-straight-run,22,DirectHole style=HoleBalanced score=56685 openingRatio=0.043 | ConstrainedPeel style=HoleBalanced seed=3334006 fill=647/656(0.986) chains=70 blocks=72 remaining=9 rejectedShort=0 failedPeels=1
35,topup_std_28x28_dense,DenseWeave,hole_topup_035_topup_std_28x28_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_035_topup_std_28x28_dense.asset,28,28,82,79,697,72,0,712,0.979,0.889,0.976,6,6,23,82,8.50,19,0.263,270,True,6,187.3,ok,250,DirectHole style=HoleLock score=61986 openingRatio=0.073 | ConstrainedPeel style=HoleLock seed=18181685 fill=697/712(0.979) chains=82 blocks=72 remaining=15 rejectedShort=0 failedPeels=1
36,topup_std_28x28_dual,DualZone,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_036_topup_std_28x28_dual.asset,28,28,0,73,0,72,0,712,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21929492 fill=692/712(0.972) chains=72 blocks=72 remaining=20 rejectedShort=0 failedPeels=1
37,topup_std_28x28_maze,MazeLongChain,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_037_topup_std_28x28_maze.asset,28,28,0,61,0,72,0,712,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21940668 fill=698/712(0.980) chains=74 blocks=72 remaining=14 rejectedShort=0 failedPeels=1
38,topup_std_30x30_dense,DenseWeave,hole_topup_038_topup_std_30x30_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_038_topup_std_30x30_dense.asset,30,30,81,92,806,72,0,828,0.973,0.896,0.964,11,11,26,81,9.95,22,0.245,266,True,11,186.0,ok,444,DirectHole style=HoleMaze score=70191 openingRatio=0.136 | ConstrainedPeel style=HoleMaze seed=20696064 fill=806/828(0.973) chains=81 blocks=72 remaining=22 rejectedShort=0 failedPeels=1
39,topup_std_30x30_dual,DualZone,hole_topup_039_topup_std_30x30_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_039_topup_std_30x30_dual.asset,30,30,83,84,806,72,0,828,0.973,0.896,0.955,13,13,27,83,9.71,22,0.228,246,True,13,185.4,ok,332,DirectHole style=HoleMaze score=72542 openingRatio=0.157 | ConstrainedPeel style=HoleMaze seed=8977592 fill=806/828(0.973) chains=83 blocks=72 remaining=22 rejectedShort=0 failedPeels=1
40,topup_std_30x30_maze,MazeLongChain,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_040_topup_std_30x30_maze.asset,30,30,0,71,0,72,0,828,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21975164 fill=808/828(0.976) chains=84 blocks=72 remaining=20 rejectedShort=0 failedPeels=1
41,topup_wide_26x22_dense,DenseWeave,hole_topup_041_topup_wide_26x22_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_041_topup_wide_26x22_dense.asset,26,22,51,56,493,72,0,500,0.986,0.862,0.994,5,5,16,51,9.67,22,0.240,125,True,5,185.0,ok,373,DirectHole style=HoleMaze score=44219 openingRatio=0.098 | ConstrainedPeel style=HoleMaze seed=13322905 fill=493/500(0.986) chains=51 blocks=72 remaining=7 rejectedShort=0 failedPeels=1
42,topup_wide_26x22_dual,DualZone,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_042_topup_wide_26x22_dual.asset,26,22,0,51,0,72,0,500,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=22026588 fill=487/500(0.974) chains=52 blocks=72 remaining=13 rejectedShort=0 failedPeels=1
43,topup_wide_26x22_maze,MazeLongChain,hole_topup_043_topup_wide_26x22_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_043_topup_wide_26x22_maze.asset,26,22,53,43,487,72,0,500,0.974,0.851,0.972,14,14,19,53,9.19,20,0.278,138,True,14,182.8,ok,389,DirectHole style=HoleMaze score=38342 openingRatio=0.264 | ConstrainedPeel style=HoleMaze seed=15020921 fill=487/500(0.974) chains=53 blocks=72 remaining=13 rejectedShort=0 failedPeels=1
44,topup_wide_28x22_dense,DenseWeave,hole_topup_044_topup_wide_28x22_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_044_topup_wide_28x22_dense.asset,28,22,52,60,522,72,0,544,0.960,0.847,0.967,11,11,12,52,10.04,22,0.270,83,True,11,182.1,ok,294,DirectHole style=HoleMaze score=48543 openingRatio=0.212 | ConstrainedPeel style=HoleMaze seed=5083810 fill=522/544(0.960) chains=52 blocks=72 remaining=22 rejectedShort=0 failedPeels=1
45,topup_wide_28x22_dual,DualZone,hole_topup_045_topup_wide_28x22_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_045_topup_wide_28x22_dual.asset,28,22,58,56,533,72,0,544,0.980,0.865,0.973,9,9,15,58,9.19,22,0.278,157,True,9,185.4,ok,357,DirectHole style=HoleMaze score=50078 openingRatio=0.155 | ConstrainedPeel style=HoleMaze seed=11692913 fill=533/544(0.980) chains=58 blocks=72 remaining=11 rejectedShort=0 failedPeels=1
46,topup_wide_28x22_maze,MazeLongChain,hole_topup_046_topup_wide_28x22_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_046_topup_wide_28x22_maze.asset,28,22,64,47,532,72,0,544,0.978,0.864,0.978,12,12,17,64,8.31,19,0.225,194,True,12,184.5,ok,110,DirectHole style=HoleLock score=44808 openingRatio=0.188 | ConstrainedPeel style=HoleLock seed=3673569 fill=532/544(0.978) chains=64 blocks=72 remaining=12 rejectedShort=0 failedPeels=1
47,topup_wide_30x24_dense,DenseWeave,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_047_topup_wide_30x24_dense.asset,30,24,0,72,0,72,0,648,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=22084404 fill=626/648(0.966) chains=65 blocks=72 remaining=22 rejectedShort=0 failedPeels=1
48,topup_wide_30x24_dual,DualZone,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_048_topup_wide_30x24_dual.asset,30,24,0,66,0,72,0,648,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=22095580 fill=636/648(0.981) chains=68 blocks=72 remaining=12 rejectedShort=0 failedPeels=1
49,topup_wide_30x24_maze,MazeLongChain,hole_topup_049_topup_wide_30x24_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_049_topup_wide_30x24_maze.asset,30,24,67,56,635,72,0,648,0.980,0.882,0.990,4,4,21,67,9.48,20,0.357,252,True,4,186.4,ok,2,DirectHole style=HoleBalanced score=54550 openingRatio=0.060 | ConstrainedPeel style=HoleBalanced seed=1440010 fill=635/648(0.980) chains=67 blocks=72 remaining=13 rejectedShort=0 failedPeels=1
50,topup_wide_30x26_dense,DenseWeave,hole_topup_050_topup_wide_30x26_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_050_topup_wide_30x26_dense.asset,30,26,77,79,688,72,0,708,0.972,0.882,0.971,7,7,21,77,8.94,21,0.215,277,True,7,185.3,ok,288,DirectHole style=HoleMaze score=62603 openingRatio=0.091 | ConstrainedPeel style=HoleMaze seed=4524428 fill=688/708(0.972) chains=77 blocks=72 remaining=20 rejectedShort=0 failedPeels=1
51,topup_wide_30x26_dual,DualZone,hole_topup_051_topup_wide_30x26_dual,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_051_topup_wide_30x26_dual.asset,30,26,79,72,695,72,0,708,0.982,0.891,0.976,14,14,28,79,8.80,22,0.229,214,True,14,186.7,ok,287,DirectHole style=HoleMaze score=59446 openingRatio=0.177 | ConstrainedPeel style=HoleMaze seed=4430875 fill=695/708(0.982) chains=79 blocks=72 remaining=13 rejectedShort=0 failedPeels=1
52,topup_wide_30x26_maze,MazeLongChain,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_052_topup_wide_30x26_maze.asset,30,26,0,61,0,72,0,708,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=22141252 fill=697/708(0.984) chains=73 blocks=72 remaining=11 rejectedShort=0 failedPeels=1
53,topup_wide_32x24_dense,DenseWeave,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_053_topup_wide_32x24_dense.asset,32,24,0,77,0,72,0,696,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=22153396 fill=680/696(0.977) chains=72 blocks=72 remaining=16 rejectedShort=0 failedPeels=1
54,topup_wide_32x24_dual,DualZone,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_054_topup_wide_32x24_dual.asset,32,24,0,71,0,72,0,696,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=22164572 fill=678/696(0.974) chains=66 blocks=72 remaining=18 rejectedShort=0 failedPeels=1
55,topup_wide_32x24_maze,MazeLongChain,hole_topup_055_topup_wide_32x24_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_055_topup_wide_32x24_maze.asset,32,24,73,60,675,72,0,696,0.970,0.879,0.962,9,9,25,73,9.25,22,0.244,205,True,9,185.0,ok,308,DirectHole style=HoleMaze score=56566 openingRatio=0.123 | ConstrainedPeel style=HoleMaze seed=6675856 fill=675/696(0.970) chains=73 blocks=72 remaining=21 rejectedShort=0 failedPeels=1
56,topup_wide_34x26_dense,DenseWeave,hole_topup_056_topup_wide_34x26_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_056_topup_wide_34x26_dense.asset,34,26,85,90,799,72,0,812,0.984,0.904,0.991,4,4,24,85,9.40,22,0.254,278,True,4,188.9,ok,405,DirectHole style=HoleMaze score=70781 openingRatio=0.047 | ConstrainedPeel style=HoleMaze seed=16846713 fill=799/812(0.984) chains=85 blocks=72 remaining=13 rejectedShort=0 failedPeels=1
