"order","section10","mainMissionId","levelName","category","difficultyNameZh","experienceRole","roleInSection","finalStatus","finalLevelId","finalAssetPath","originalLevelId","originalAssetPath","replacementSourceKind","productionLane","productionChainLanguage","productionDifficultyBand","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax","assemblyAction","assemblySourcePool","assemblySourceRoot","assemblyGateClass","assemblySelectionReason","assemblyCopyRequired","assemblyCandidateLevelId","assemblyCandidateAssetPath","assemblyCandidateStyle","assemblyCandidateChainLanguage","assemblyCandidateRole","assemblyManualReview","assemblyRemainingGap","assemblyGapReason","assemblyCandidateWidth","assemblyCandidateHeight","assemblyCandidateChains","assemblyCandidateAvgChoices","assemblyCandidateMaxChain","assemblyCandidateAvgChain","assemblyCandidateStraightness","assemblyCandidateProfile","templateTargetChains","templateTargetChainsMin","templateTargetChainsMax","templateTargetWidth","templateTargetHeight","actualChains","actualArrowTiles","actualMaxChain","actualAvgChain","effectiveChainLoad","sectionWaveRole","rhythmStageBand","rhythmPlacementReason","rhythmStyleGroup","rhythmChainDelta","rhythmEffectiveDelta","rhythmCandidateDifficultyScore"
"90","9","190","Main/Level_Main_90","normal","困难","Normal","Hard","ReplacedRhythmV4","c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain.asset","direct_pure_topup_04_15_direct_normal_pure_rect_dual_zone_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L090_direct_pure_topup_04_15_direct_normal_pure_rect_du.asset","normal","PressurePeak","mixed_chain","Peak","0.986","10","5","3","0.852","0.21","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=98;stageTarget=98;effective=99.4;chains=87;role=Hard;style=hardgate;chain=mixed_chain;cost=36.9","False","c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain.asset","hardgate","mixed_chain","Peak","False","False","","26","34","87","","21","10.02","","269","98","88","108","22","34","87","872","21","10.02","99.36","Hard","S02_mid_campaign","target=98;stageTarget=98;effective=99.4;chains=87;role=Hard;style=hardgate;chain=mixed_chain;cost=36.9","hardgate","-11.0","1.4","5.207"
"91","10","191","Main/Level_Main_91_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_candidate_071_wide_26x22_maze","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L091_hole_candidate_071_wide_26x22_maze.asset","hole_candidate_071_wide_26x22_maze","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L091_hole_candidate_071_wide_26x22_maze.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","47","42","52","26","22","","","","","","HoleRescue","S02_mid_campaign","unchanged_from_v3_or_non_normal","","","",""
"92","10","192","Main/Level_Main_92","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedRhythmV4","campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain.asset","nomask_style_expansion_30_vertical_gate_a","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L092_nomask_style_expansion_30_vertical_gate_a.asset","normal","FlowPatch","patch_chain","NormalFlow","0.995","10","4","2","0.89","0.187","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=48;stageTarget=48;effective=48.1;chains=42;role=Normal;style=flow;chain=patch_chain;cost=33.0","False","campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain.asset","flow","patch_chain","NormalFlow","False","False","","18","24","42","","22","10.24","","234","48","43","53","16","25","42","430","22","10.24","48.11","Normal","S02_mid_campaign","target=48;stageTarget=48;effective=48.1;chains=42;role=Normal;style=flow;chain=patch_chain;cost=33.0","flow","-6.0","0.1","3.327"
"93","10","193","Main/Level_Main_93","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep.asset","r2_outer_strong_005_r2_006_a401_maskonlyb02_10_large_wrappedcandy","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L093_r2_outer_strong_005_r2_006_a401_maskonlyb02_10_lar.asset","shape_psg_inventory","","","","0.988","8","8","3","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep.asset","Sweep","","TraceKeeper","False","False","","","","92","3.73","","","","Sweep","86","77","95","37","29","92","742","18","8.07","","Shape","S02_mid_campaign","unchanged_from_v3_or_non_normal","","","",""
"94","10","194","Main/Level_Main_94","normal","特别困难","Pressure","","ReplacedRhythmV4","campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset","direct_normal_112_direct_normal_rect_section_unlock_g5_v12","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L094_direct_normal_112_direct_normal_rect_section_unloc.asset","normal","PressurePeak","mixed_chain","Peak","0.981","9","4","3","0.858","0.24","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=107;stageTarget=107;effective=108.5;chains=100;role=Hard;style=hardgate;chain=mixed_chain;cost=32.9","False","campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset","hardgate","mixed_chain","Peak","False","False","","27","36","100","","21","9.54","","336","107","96","118","21","39","100","954","21","9.54","108.45","Hard","S02_mid_campaign","target=107;stageTarget=107;effective=108.5;chains=100;role=Hard;style=hardgate;chain=mixed_chain;cost=32.9","hardgate","-7.0","1.5","5.131"
"95","10","195","Main/Level_Main_95","normal","普通/恢复","Normal","","ReplacedRhythmV4","campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain.asset","direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L095_direct_pure_topup_02_04_direct_refresh_topup_rect_.asset","normal","FlowRail","rail_chain","NormalFlow","0.987","10","6","3","0.913","0.111","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=61;stageTarget=61;effective=60.4;chains=52;role=Normal;style=flow;chain=rail_chain;cost=42.7","False","campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain.asset","flow","rail_chain","NormalFlow","False","False","","20","27","52","","21","10.25","","197","61","55","67","15","27","52","533","21","10.25","60.37","Normal","S02_mid_campaign","target=61;stageTarget=61;effective=60.4;chains=52;role=Normal;style=flow;chain=rail_chain;cost=42.7","flow","-9.0","-0.6","4.013"
"96","10","196","Main/Level_Main_96","normal","极难","Peak","Peak","ReplacedRhythmV4","c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset","direct_normal_topup_13_direct_normal_topup_rect_dual_zone_g7_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L096_direct_normal_topup_13_direct_normal_topup_rect_du.asset","normal","PressurePeak","mixed_chain","Peak","0.99","10","4","4","0.854","0.138","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=110;stageTarget=110;effective=111.0;chains=100;role=PeakExtreme;style=hardgate;chain=mixed_chain;cost=22.6","False","c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset","hardgate","mixed_chain","Peak","False","False","","27","36","100","","21","9.62","","316","110","99","121","23","37","100","962","21","9.62","111.05","PeakExtreme","S02_mid_campaign","target=110;stageTarget=110;effective=111.0;chains=100;role=PeakExtreme;style=hardgate;chain=mixed_chain;cost=22.6","hardgate","-10.0","1.0","5.333"
"97","10","197","Main/Level_Main_97","normal","困难","Recovery","Hard","ReplacedRhythmV4","c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain.asset","direct_pure_topup_05_05_direct_normal_pure_rect_sweep_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L097_direct_pure_topup_05_05_direct_normal_pure_rect_sw.asset","normal","PeelMid","rail_chain","Hard","0.983","10","8","2","0.846","0.191","","","ActiveReplace","Campaign500NormalFullV1UnusedStrict","","RhythmV4Front300TraceKeep","rhythm_v4|target=102;stageTarget=102;effective=98.1;chains=82;role=Hard;style=peel;chain=rail_chain;cost=56.7","False","c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain.asset","peel","rail_chain","Hard","False","False","","25","33","82","","21","9.89","","264","102","92","112","21","38","82","811","21","9.89","98.10","Hard","S02_mid_campaign","target=102;stageTarget=102;effective=98.1;chains=82;role=Hard;style=peel;chain=rail_chain;cost=56.7","peel","-20.0","-3.9","5.369"
"98","10","198","Main/Level_Main_98","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_next10_tail9_05_L098_phonehandset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_05_L098_phonehandset.asset","r2_outer_strong_005_r2_006_a401_maskonlyb04_16_main_phonehandset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L098_r2_outer_strong_005_r2_006_a401_maskonlyb04_16_mai.asset","shape_psg_inventory","","","","0.985","9","11","5","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_next10_tail9_05_L098_phonehandset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_05_L098_phonehandset.asset","Sweep","","TraceKeeper","False","False","","","","70","4.39","","","","Sweep","87","78","96","34","42","70","577","17","8.24","","Shape","S02_mid_campaign","unchanged_from_v3_or_non_normal","","","",""
"99","10","199","Main/Level_Main_99","normal","困难","Normal","","ReplacedRhythmV4","c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset","direct_normal_topup_07_direct_normal_topup_rect_quasi_symmetry_g6_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L099_direct_normal_topup_07_direct_normal_topup_rect_qu.asset","normal","PressurePeak","mixed_chain","Peak","0.982","10","4","3","0.884","0.139","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=101;stageTarget=101;effective=104.8;chains=94;role=Normal;style=hardgate;chain=mixed_chain;cost=72.2","False","c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset","hardgate","mixed_chain","Peak","False","False","","26","34","94","","21","9.23","","227","101","91","111","22","34","94","868","21","9.23","104.85","Normal","S02_mid_campaign","target=101;stageTarget=101;effective=104.8;chains=94;role=Normal;style=hardgate;chain=mixed_chain;cost=72.2","hardgate","-7.0","3.8","5.170"
"100","10","200","Main/Level_Main_100","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset","direct_diff120_24_direct_diff_refresh_dag_unlock_zig_river_g0_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L100_direct_diff120_24_direct_diff_refresh_dag_unlock_z.asset","normal","FlowCurve","curve_chain","NormalFlow","0.988","10","5","5","0.895","0.133","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=49;stageTarget=49;effective=48.5;chains=43;role=Normal;style=flow;chain=curve_chain;cost=33.9","False","campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset","flow","curve_chain","NormalFlow","False","False","","18","24","43","","19","9.93","","121","49","44","54","16","24","43","427","19","9.93","48.53","Normal","S02_mid_campaign","target=49;stageTarget=49;effective=48.5;chains=43;role=Normal;style=flow;chain=curve_chain;cost=33.9","flow","-6.0","-0.5","3.520"
"101","11","201","Main/Level_Main_101_hole","hole","普通/恢复","HoleRescue","","OriginalNonTarget","hole_candidate_020_std_22x24_dense","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L101_hole_candidate_020_std_22x24_dense.asset","hole_candidate_020_std_22x24_dense","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L101_hole_candidate_020_std_22x24_dense.asset","","","","","","","","","","","","","KeepCurrent","","main","","","False","","","","","","False","False","","","","","","","","","","47","42","52","22","24","","","","","","HoleRescue","S02_mid_campaign","unchanged_from_v3_or_non_normal","","","",""
"102","11","202","Main/Level_Main_102","normal","普通/恢复","Normal","NormalA_FlowOrNeutral","ReplacedRhythmV4","c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1.asset","direct_pure_topup_01_09_direct_refresh_topup_rect_outer_shell_g1_v02","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L102_direct_pure_topup_01_09_direct_refresh_topup_rect_.asset","normal","Campaign500_HardGateUntil0910","unknown_chain","","0.98","8","3","2","0.92","0.15","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=57;stageTarget=57;effective=58.0;chains=56;role=Normal;style=hardgate;chain=unknown_chain;cost=36.1","False","c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1.asset","hardgate","unknown_chain","","False","False","","20","27","56","","21","9.45","","182","57","51","63","15","26","56","529","21","9.45","58.00","Normal","S02_mid_campaign","target=57;stageTarget=57;effective=58.0;chains=56;role=Normal;style=hardgate;chain=unknown_chain;cost=36.1","hardgate","-1.0","1.0","3.488"
"103","11","203","Main/Level_Main_103","shape","困难","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core.asset","r2_outer_strong_005_r2_006_a401_maskonlyb02_01_large_paperplane","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L103_r2_outer_strong_005_r2_006_a401_maskonlyb02_01_lar.asset","shape_psg_inventory","","","","0.994","10","12","1","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_14_L103_paperplane_core.asset","CoreBurst","","TraceKeeper","False","False","","","","101","5.7","","","","CoreBurst","102","92","112","44","38","101","847","18","8.39","","Shape","S02_mid_campaign","unchanged_from_v3_or_non_normal","","","",""
"104","11","204","Main/Level_Main_104","normal","困难","Pressure","","ReplacedRhythmV4","campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave.asset","direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L104_direct_normal_topup_20_direct_normal_topup_rect_co.asset","normal","slot_seedmaze_section_weave","family_profile_chain","LongNormalA","0.9474","11","3","1","0.876","0.12","","","ActiveReplace","SeedV5LongChain30Front300",".worktrees/campaign500-longchain-prod200-pool","RhythmV4Front300TraceKeep","rhythm_v4|target=102;stageTarget=102;effective=101.1;chains=36;role=Hard;style=longchain;chain=family_profile_chain;cost=57.1","True","campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave.asset","longchain","family_profile_chain","LongNormalA","False","False","","19","27","36","","50","13.50","","161","102","92","112","21","36","36","486","50","13.50","101.06","Hard","S02_mid_campaign","target=102;stageTarget=102;effective=101.1;chains=36;role=Hard;style=longchain;chain=family_profile_chain;cost=57.1","longchain","-66.0","-0.9","5.322"
"105","11","205","Main/Level_Main_105","normal","困难","Recovery","Hard","ReplacedRhythmV4","nutation_hub_mixed_v1_strict30_refill_23_s06_r03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset","direct_diff120_81_direct_diff_hard_long_spine_hui_spiral_g0_v01","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L105_direct_diff120_81_direct_diff_hard_long_spine_hui_.asset","normal","hub_spoke","mixed_chain","","0.955","10","6","5","0.825","0.276","","","ActiveReplace","HubMixedRefill30Front300","","RhythmV4Front300TraceKeep","rhythm_v4|target=117;stageTarget=117;effective=115.5;chains=97;role=Hard;style=hub;chain=mixed_chain;cost=53.5","False","nutation_hub_mixed_v1_strict30_refill_23_s06_r03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset","hub","mixed_chain","","False","False","","23","31","97","","14","7.02","","","117","105","129","23","40","97","681","14","7.02","115.53","Hard","S02_mid_campaign","target=117;stageTarget=117;effective=115.5;chains=97;role=Hard;style=hub;chain=mixed_chain;cost=53.5","hub","-20.0","-1.5","5.815"
"106","11","206","Main/Level_Main_106","normal","普通/恢复","Normal","NormalB_NeutralOrPeelLight","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain.asset","direct_pure_topup_05_07_direct_normal_pure_rect_dual_zone_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L106_direct_pure_topup_05_07_direct_normal_pure_rect_du.asset","normal","PeelMid","curve_chain","Hard","0.987","9","5","3","0.854","0.225","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=86;stageTarget=86;effective=86.2;chains=78;role=Normal;style=hardgate;chain=curve_chain;cost=52.8","False","campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain.asset","hardgate","curve_chain","Hard","False","False","","23","31","78","","20","9.03","","75","86","77","95","18","36","78","704","20","9.03","86.21","Normal","S02_mid_campaign","target=86;stageTarget=86;effective=86.2;chains=78;role=Normal;style=hardgate;chain=curve_chain;cost=52.8","hardgate","-8.0","0.2","4.728"
"107","11","207","Main/Level_Main_107","normal","特别困难","Peak","","ReplacedRhythmV4","nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","direct_normal_53_direct_normal_rect_lock_buckle_g5_v06","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L107_direct_normal_53_direct_normal_rect_lock_buckle_g5.asset","normal","HubMixed","unknown_chain","HubMixed","0.935","10","6","5","0.82","0.277","","","ActiveReplace","ExternalHardGateDedupFront300","","RhythmV4Front300TraceKeep","rhythm_v4|target=105;stageTarget=105;effective=112.6;chains=94;role=PeakExtreme;style=hub;chain=unknown_chain;cost=40.3","False","nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","hub","unknown_chain","HubMixed","False","False","","23","31","94","","14","7.10","","","105","95","115","21","36","94","667","14","7.10","112.59","PeakExtreme","S02_mid_campaign","target=105;stageTarget=105;effective=112.6;chains=94;role=PeakExtreme;style=hub;chain=unknown_chain;cost=40.3","hub","-11.0","7.6","5.737"
"108","11","208","Main/Level_Main_108","shape","普通/恢复","Shape","","ShapeCandidatePlanned","campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock.asset","r2_outer_strong_005_r2_006_a401_maskonlyb05_08_main_hammer","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L108_r2_outer_strong_005_r2_006_a401_maskonlyb05_08_mai.asset","shape_psg_inventory","","","","0.989","8","9","3","","","","","ActiveReplace","ShapeMaskInventory",".worktrees/mask-psg-production","LatestProposedKeep","Confirmed shape inventory candidate; user allowed manual-review rows for one-level-per-shape coverage.","True","campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_16_L108_hammer_lock.asset","LockBuckle","","TraceKeeper","False","False","","","","80","3.79","","","","LockBuckle","89","80","98","42","36","80","627","18","7.84","","Shape","S02_mid_campaign","unchanged_from_v3_or_non_normal","","","",""
"109","11","209","Main/Level_Main_109","normal","特别困难","Pressure","Peak","ReplacedRhythmV4","c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset","direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L109_direct_normal_topup_31_direct_normal_topup_rect_qu.asset","normal","PressurePeak","mixed_chain","Peak","0.988","9","7","4","0.848","0.208","","","ActiveReplace","Campaign500_HardGateUntil0910","","RhythmV4Front300TraceKeep","rhythm_v4|target=108;stageTarget=108;effective=107.5;chains=90;role=PeakExtreme;style=hardgate;chain=mixed_chain;cost=31.4","False","c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset","hardgate","mixed_chain","Peak","False","False","","27","36","90","","21","10.67","","287","108","97","119","23","37","90","960","21","10.67","107.55","PeakExtreme","S02_mid_campaign","target=108;stageTarget=108;effective=107.5;chains=90;role=PeakExtreme;style=hardgate;chain=mixed_chain;cost=31.4","hardgate","-18.0","-0.5","5.653"
