"order","patchKind","levelId","assetPath","productionLane","productionChainLanguage","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax","chains","arrowTiles","assetExists"
"336","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset","PressurePeak","mixed_chain","0.981","9","4","3","0.858","0.24","7","7","100","954","True"
"337","NutationStrictAfter300Deferred","campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_48_nutation_flow_rail_v1_rect_s34_o337_v02_flowrail_rail_chain.asset","FlowCurve","curve_chain","0.996","10","5","3","0.903","0.133","6","6","45","538","True"
"339","NutationStrictAfter300Deferred","c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain.asset","NeutralMixed","mixed_chain","0.986","8","6","4","0.933","0.094","7","4","75","651","True"
"345","NutationStrictAfter300Deferred","c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain.asset","NeutralMixed","mixed_chain","0.991","10","4","4","0.886","0.217","7","7","69","654","True"
"346","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset","FlowRail","rail_chain","0.994","10","4","2","0.926","0.127","7","5","54","634","True"
"355","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.983","9","5","4","0.898","0.13","6","6","69","649","True"
"357","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset","FlowPatch","patch_chain","0.989","8","5","5","0.911","0.19","7","6","67","653","True"
"362","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain.asset","","","0.991","8","3","2","0.835","0.264","8","8","72","654","True"
"365","NutationStrictAfter300Deferred","c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain.asset","PressurePeak","mixed_chain","0.982","8","5","5","0.831","0.264","8","7","85","868","True"
"366","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.993","9","5","3","0.836","0.221","8","5","78","763","True"
"369","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain.asset","PeelMid","rail_chain","0.991","10","6","3","0.891","0.127","5","5","84","902","True"
"371","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.994","9","7","5","0.86","0.217","7","7","70","656","True"
"374","NutationStrictAfter300Deferred","c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.986","6","5","5","0.866","0.208","6","6","67","651","True"
"376","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","PressurePeak","mixed_chain","0.985","9","4","4","0.884","0.169","6","6","89","871","True"
"384","NutationStrictAfter300Deferred","c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset","PeelMid","rail_chain","0.987","8","3","3","0.918","0.142","6","6","84","814","True"
"386","NutationStrictAfter300Deferred","c5nep_w11c_35_nutation_strict_mixed_hard_v1_rect_s39_o386_v04_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_35_nutation_strict_mixed_hard_v1_rect_s39_o386_v04_strictmixedhard_mixed_chain.asset","FlowCurve","curve_chain","0.975","8","5","4","0.833","0.274","7","7","66","622","True"
"390","NutationStrictGapfill","c5v4f_gapfill_v1_gap8a_27_nutation_mixed_neutral_v1_rect_s39_o390_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/gap8a/c5v4f_gapfill_v1_gap8a_27_nutation_mixed_neutral_v1_rect_s39_o390_v02_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.992","11","5","2","0.875","0.19","6","6","84","854","True"
"394","NutationStrictAfter300Deferred","c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain.asset","PeelMid","rail_chain","0.981","8","5","3","0.872","0.177","6","6","81","809","True"
"395","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.984","9","5","3","0.87","0.217","7","7","72","756","True"
"397","NutationStrictGapfill","c5v4f_gapfill_v1_gap8a_48_nutation_mixed_neutral_v1_rect_s40_o397_v11_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/gap8a/c5v4f_gapfill_v1_gap8a_48_nutation_mixed_neutral_v1_rect_s40_o397_v11_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.981","11","3","3","0.9","0.138","6","6","75","790","True"
"402","NutationStrictAfter300Deferred","c5nep_w4pl_09_nutation_peel_rect_s41_o402_v00_peellight_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_09_nutation_peel_rect_s41_o402_v00_peellight_rail_chain.asset","PeelLight","curve_chain","0.965","10","5","4","0.866","0.109","6","4","68","637","True"
"405","NutationStrictAfter300Deferred","c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain.asset","PeelMid","curve_chain","0.988","9","5","2","0.862","0.161","6","5","80","815","True"
"406","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.985","10","6","4","0.86","0.134","5","5","71","650","True"
"407","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","","","0.975","11","6","2","0.831","0.234","8","6","92","862","True"
"411","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s39_s50_tail_07_nutation_peel_rect_s42_o411_v00_peellight_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_07_nutation_peel_rect_s42_o411_v00_peellight_rail_chain.asset","PeelLight","rail_chain","0.979","10","5","5","0.832","0.245","7","7","69","646","True"
"414","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset","FlowRail","rail_chain","0.986","10","5","3","0.913","0.161","6","6","73","651","True"
"422","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.991","10","5","2","0.914","0.14","8","5","66","654","True"
"424","NutationStrictAfter300Deferred","c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain.asset","PeelLight","curve_chain","0.985","8","6","5","0.869","0.192","6","6","74","650","True"
"431","NutationStrictGapfill","campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.989","8","5","5","0.911","0.19","7","6","67","653","True"
"439","NutationStrictAfter300Deferred","c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain.asset","PeelLight","rail_chain","0.988","9","6","5","0.836","0.236","7","7","79","759","True"
"441","NutationStrictGapfill","c5s2_c_05_nutation_strict_mixed_localbreak_v1_rect_s45_o441_v00_strictmixedlocalbreak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/c/c5s2_c_05_nutation_strict_mixed_localbreak_v1_rect_s45_o441_v00_strictmixedlocalbreak_mixed_chain.asset","StrictMixedLocalBreak","mixed_chain","0.987","8","5","3","0.871","0.189","8","5","83","782","True"
"445","NutationStrictAfter300Deferred","c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain.asset","PeelMid","rail_chain","0.981","9","7","3","0.844","0.213","8","5","87","893","True"
"446","NutationStrictGapfill","campaign500_normal_full_v1_s39_s50_tail_51_nutation_peel_rect_s45_o446_v02_peellight_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_51_nutation_peel_rect_s45_o446_v02_peellight_curve_chain.asset","PeelLight","curve_chain","0.985","11","7","4","0.848","0.262","8","8","75","650","True"
"455","NutationStrictAfter300Deferred","c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain.asset","PeelLight","rail_chain","0.986","10","4","4","0.84","0.249","7","6","82","757","True"
"457","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.982","9","7","5","0.824","0.238","8","7","74","648","True"
"459","NutationStrictAfter300Deferred","c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain.asset","PeelMid","curve_chain","0.987","9","6","5","0.823","0.225","6","6","81","814","True"
"462","NutationStrictGapfill","c5s2_c_17_nutation_strict_mixed_localbreak_v1_rect_s47_o462_v00_strictmixedlocalbreak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/c/c5s2_c_17_nutation_strict_mixed_localbreak_v1_rect_s47_o462_v00_strictmixedlocalbreak_mixed_chain.asset","StrictMixedLocalBreak","mixed_chain","0.987","11","4","3","0.888","0.203","7","7","83","829","True"
"464","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.982","9","7","2","0.869","0.246","7","7","65","648","True"
"471","NutationStrictAfter300Deferred","campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset","FlowCurve","curve_chain","0.993","9","3","3","0.919","0.047","4","4","46","536","True"
"476","NutationStrictAfter300Deferred","c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain.asset","PeelLight","rail_chain","0.985","10","5","2","0.903","0.152","7","6","77","650","True"
"481","NutationStrictAfter300Deferred","campaign500_normal_full_v1_s46_s50_tail_37_nutation_mixed_neutral_v1_rect_s49_o481_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_37_nutation_mixed_neutral_v1_rect_s49_o481_v00_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.994","10","7","5","0.863","0.226","7","6","71","656","True"
"482","NutationStrictAfter300Deferred","c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset","PeelLight","curve_chain","0.988","10","6","4","0.852","0.218","7","7","79","759","True"
"491","NutationStrictAfter300Deferred","c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain.asset","PeelMid","curve_chain","0.976","10","4","3","0.924","0.113","6","5","86","888","True"
"495","NutationStrictAfter300Deferred","c5nep_w6nm_22_nutation_mixed_neutral_v1_rect_s50_o495_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_22_nutation_mixed_neutral_v1_rect_s50_o495_v01_neutralmixed_mixed_chain.asset","NeutralMixed","mixed_chain","0.989","10","5","3","0.868","0.141","5","4","71","653","True"
"496","NutationStrictAfter300Deferred","c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain.asset","PeelLight","rail_chain","0.983","10","3","2","0.897","0.187","7","7","71","649","True"
