Index,Spec,Structure,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Blocks,OuterCutCells,AllowedCells,AllowedCoverage,BoardCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
12,hc2_28x30_lock_a,LockBuckle,hole_highchain_extra_012_hc2_28x30_lock_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_012_hc2_28x30_lock_a.asset,28,30,82,82,752,72,0,768,0.979,0.895,0.958,3,3,23,82,9.17,19,0.240,362,True,3,186.1,ok,142,DirectHole style=HoleLock score=68228 openingRatio=0.037 | ConstrainedPeel style=HoleLock seed=6742298 fill=752/768(0.979) chains=82 blocks=72 remaining=16 rejectedShort=0 failedPeels=1
13,hc2_30x30_dual_b,DualZone,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_013_hc2_30x30_dual_b.asset,30,30,0,88,0,72,0,828,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21801424 fill=810/828(0.978) chains=86 blocks=72 remaining=18 rejectedShort=0 failedPeels=1
14,hc2_30x30_section_a,SectionUnlock,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_014_hc2_30x30_section_a.asset,30,30,0,88,0,72,0,828,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21812541 fill=811/828(0.979) chains=83 blocks=72 remaining=17 rejectedShort=0 failedPeels=1
15,hc2_30x30_lock_a,LockBuckle,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_015_hc2_30x30_lock_a.asset,30,30,0,88,0,72,0,828,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21823670 fill=812/828(0.981) chains=82 blocks=72 remaining=16 rejectedShort=0 failedPeels=1
16,hc2_32x30_dual_b,DualZone,hole_highchain_extra_016_hc2_32x30_dual_b,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_016_hc2_32x30_dual_b.asset,32,30,91,94,872,72,0,888,0.982,0.908,0.974,7,7,30,91,9.58,21,0.228,319,True,7,189.0,ok,326,DirectHole style=HoleMaze score=76349 openingRatio=0.077 | ConstrainedPeel style=HoleMaze seed=8220663 fill=872/888(0.982) chains=91 blocks=72 remaining=16 rejectedShort=0 failedPeels=1
17,hc2_32x30_section_a,SectionUnlock,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_017_hc2_32x30_section_a.asset,32,30,0,94,0,72,0,888,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21846550 fill=868/888(0.977) chains=91 blocks=72 remaining=20 rejectedShort=0 failedPeels=1
18,hc2_32x30_lock_a,LockBuckle,hole_highchain_extra_018_hc2_32x30_lock_a,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_018_hc2_32x30_lock_a.asset,32,30,90,94,866,72,0,888,0.975,0.902,0.983,9,9,26,90,9.62,22,0.255,403,True,9,187.6,ok,348,DirectHole style=HoleMaze score=78078 openingRatio=0.100 | ConstrainedPeel style=HoleMaze seed=10546947 fill=866/888(0.975) chains=90 blocks=72 remaining=22 rejectedShort=0 failedPeels=1
19,hc2_34x28_dual_b,DualZone,hole_highchain_extra_019_hc2_34x28_dual_b,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_019_hc2_34x28_dual_b.asset,34,28,87,94,864,72,0,880,0.982,0.908,0.970,5,5,25,87,9.93,22,0.217,375,True,5,187.8,ok,344,DirectHole style=HoleMaze score=76925 openingRatio=0.057 | ConstrainedPeel style=HoleMaze seed=10139794 fill=864/880(0.982) chains=87 blocks=72 remaining=16 rejectedShort=0 failedPeels=1
20,hc2_34x28_section_a,SectionUnlock,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_020_hc2_34x28_section_a.asset,34,28,0,94,0,72,0,880,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21880559 fill=861/880(0.978) chains=91 blocks=72 remaining=19 rejectedShort=0 failedPeels=1
21,hc2_34x28_lock_a,LockBuckle,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_021_hc2_34x28_lock_a.asset,34,28,0,94,0,72,0,880,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21891688 fill=858/880(0.975) chains=97 blocks=72 remaining=22 rejectedShort=0 failedPeels=1
22,hc2_28x30_dense_b,DenseWeave,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_022_hc2_28x30_dense_b.asset,28,30,0,84,0,72,0,768,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21903365 fill=758/768(0.987) chains=81 blocks=72 remaining=10 rejectedShort=0 failedPeels=1
23,hc2_30x28_dense_b,DenseWeave,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_023_hc2_30x28_dense_b.asset,30,28,0,84,0,72,0,768,0,0,0,0,0,0,0,0,0,0,0,False,0,0,,0,GreedyFailed | ConstrainedPeel style=HoleMaze seed=21914470 fill=740/768(0.964) chains=85 blocks=72 remaining=28 rejectedShort=0 failedPeels=1
24,hc2_34x28_shell_b,OuterShell,hole_highchain_extra_024_hc2_34x28_shell_b,Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_024_hc2_34x28_shell_b.asset,34,28,90,88,865,72,0,880,0.983,0.909,0.978,14,14,25,90,9.61,22,0.247,307,True,14,188.6,ok,331,DirectHole style=HoleMaze score=79273 openingRatio=0.156 | ConstrainedPeel style=HoleMaze seed=8834624 fill=865/880(0.983) chains=90 blocks=72 remaining=15 rejectedShort=0 failedPeels=1
