"Tag","Score","Reason","Spec","Structure","LevelId","AssetPath","Width","Height","Chains","TargetChains","Drift","AllowedCoverage","OuterBandCoverage","InitialMovableChains","OpeningRatio","ShortChains","Straightness"
"check","1060.7","manyShort;","std_24x30_section","SectionUnlock","hole_candidate_034_std_24x30_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_034_std_24x30_section.asset","24","30","71","69","2","0.972","0.955","12","0.169","23","0.260"
"check","1058.2","manyShort;","wide_30x24_section","SectionUnlock","hole_candidate_076_wide_30x24_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_076_wide_30x24_section.asset","30","24","73","69","4","0.986","0.990","7","0.096","25","0.223"
"check","1052.8","manyShort;","wide_32x24_dense","DenseWeave","hole_candidate_086_wide_32x24_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_086_wide_32x24_dense.asset","32","24","80","77","3","0.966","0.971","12","0.15","23","0.244"
"check","1046.3","manyShort;","std_30x30_lock","LockBuckle","hole_candidate_054_std_30x30_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_054_std_30x30_lock.asset","30","30","84","88","4","0.978","0.969","15","0.179","25","0.193"
"check","1032.5","chainDrift;","std_20x24_lock","LockBuckle","hole_candidate_012_std_20x24_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_012_std_20x24_lock.asset","20","24","55","43","12","0.985","0.969","9","0.164","17","0.353"
"check","1020.9","chainDrift;","std_30x30_section","SectionUnlock","hole_candidate_055_std_30x30_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_055_std_30x30_section.asset","30","30","75","88","13","0.976","0.978","15","0.2","18","0.231"
"check","1007.1","chainDrift;","std_20x22_shell","OuterShell","hole_candidate_011_std_20x22_shell","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_011_std_20x22_shell.asset","20","22","49","34","15","0.978","0.980","10","0.204","17","0.324"
"check","1004.6","chainDrift;","tall_20x30_shell","OuterShell","hole_candidate_065_tall_20x30_shell","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_065_tall_20x30_shell.asset","20","30","64","49","15","0.979","0.978","6","0.094","18","0.272"
"check","999.6","chainDrift;","wide_32x30_section","SectionUnlock","hole_candidate_094_wide_32x30_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_094_wide_32x30_section.asset","32","30","80","94","14","0.967","0.957","8","0.1","18","0.206"
"check","996","chainDrift;","std_18x24_section","SectionUnlock","hole_candidate_007_std_18x24_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_007_std_18x24_section.asset","18","24","51","38","13","0.972","0.987","5","0.098","20","0.351"
"check","995.2","chainDrift;","std_20x22_section","SectionUnlock","hole_candidate_010_std_20x22_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_010_std_20x22_section.asset","20","22","55","39","16","0.978","0.967","15","0.273","17","0.324"
"drop","1029","tooManyShort;","wide_32x28_dual","DualZone","hole_candidate_092_wide_32x28_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_092_wide_32x28_dual.asset","32","28","85","84","1","0.979","0.982","7","0.082","31","0.245"
"drop","1023.3","tooManyShort;","wide_32x28_section","SectionUnlock","hole_candidate_091_wide_32x28_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_091_wide_32x28_section.asset","32","28","88","88","0","0.967","0.969","5","0.057","31","0.217"
"drop","1018","tooManyShort;","wide_30x28_section","SectionUnlock","hole_candidate_082_wide_30x28_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_082_wide_30x28_section.asset","30","28","82","82","0","0.973","0.958","10","0.122","32","0.230"
"drop","981.6","largeChainDrift;","std_24x26_maze","MazeLongChain","hole_candidate_029_std_24x26_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_029_std_24x26_maze.asset","24","26","66","48","18","0.978","0.984","11","0.167","18","0.270"
"drop","971.5","tooManyShort;","wide_34x26_section","SectionUnlock","hole_candidate_097_wide_34x26_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_097_wide_34x26_section.asset","34","26","91","86","5","0.979","0.973","15","0.165","34","0.268"
"drop","945.7","tooManyShort;","wide_32x30_lock","LockBuckle","hole_candidate_093_wide_32x30_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_093_wide_32x30_lock.asset","32","30","105","94","11","0.974","0.961","11","0.105","30","0.232"
"keep","1189.3","","tall_18x26_lock","LockBuckle","hole_candidate_057_tall_18x26_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset","18","26","43","42","1","0.975","0.981","12","0.279","7","0.287"
"keep","1180.3","","std_18x22_maze","MazeLongChain","hole_candidate_005_std_18x22_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_005_std_18x22_maze.asset","18","22","33","28","5","0.994","0.986","7","0.212","6","0.344"
"keep","1166.1","","wide_26x22_maze","MazeLongChain","hole_candidate_071_wide_26x22_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_071_wide_26x22_maze.asset","26","22","47","43","4","0.982","0.983","11","0.234","8","0.285"
"keep","1159","","std_22x28_section","SectionUnlock","hole_candidate_025_std_22x28_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_025_std_22x28_section.asset","22","28","61","58","3","0.980","0.984","7","0.115","11","0.190"
"keep","1156.1","","wide_28x22_lock","LockBuckle","hole_candidate_072_wide_28x22_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_072_wide_28x22_lock.asset","28","22","56","58","2","0.993","0.989","12","0.214","14","0.245"
"keep","1144.8","","tall_18x26_section","SectionUnlock","hole_candidate_058_tall_18x26_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","18","26","42","42","0","0.972","0.969","10","0.238","13","0.336"
"keep","1143.8","","std_28x28_maze","MazeLongChain","hole_candidate_053_std_28x28_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_053_std_28x28_maze.asset","28","28","65","61","4","0.975","0.962","13","0.2","10","0.222"
"keep","1142.3","","std_22x24_section","SectionUnlock","hole_candidate_019_std_22x24_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_019_std_22x24_section.asset","22","24","45","49","4","0.980","0.976","8","0.178","10","0.356"
"keep","1140","","std_22x28_dual","DualZone","hole_candidate_026_std_22x28_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_026_std_22x28_dual.asset","22","28","57","56","1","0.987","0.973","15","0.263","16","0.236"
"keep","1136.6","","std_18x24_dense","DenseWeave","hole_candidate_008_std_18x24_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_008_std_18x24_dense.asset","18","24","38","40","2","0.975","0.974","10","0.263","13","0.295"
"keep","1135.4","","std_18x22_lock","LockBuckle","hole_candidate_003_std_18x22_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_003_std_18x22_lock.asset","18","22","35","34","1","0.969","0.958","6","0.171","13","0.275"
"keep","1132.4","","tall_20x28_lock","LockBuckle","hole_candidate_060_tall_20x28_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_060_tall_20x28_lock.asset","20","28","51","52","1","0.975","0.966","12","0.235","15","0.243"
"keep","1132.1","","std_20x22_lock","LockBuckle","hole_candidate_009_std_20x22_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset","20","22","41","39","2","0.970","0.961","9","0.22","13","0.240"
"keep","1129.4","","tall_18x26_maze","MazeLongChain","hole_candidate_059_tall_18x26_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_059_tall_18x26_maze.asset","18","26","39","34","5","0.965","0.956","10","0.256","9","0.243"
"keep","1129","","std_22x24_dense","DenseWeave","hole_candidate_020_std_22x24_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_020_std_22x24_dense.asset","22","24","47","51","4","0.982","0.976","11","0.234","14","0.198"
"keep","1127.4","","std_28x24_shell","OuterShell","hole_candidate_047_std_28x24_shell","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_047_std_28x24_shell.asset","28","24","59","56","3","0.983","0.979","8","0.136","15","0.254"
"keep","1126.5","","wide_34x28_shell","OuterShell","hole_candidate_101_wide_34x28_shell","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_101_wide_34x28_shell.asset","34","28","81","81","0","0.969","0.957","11","0.136","16","0.220"
"keep","1125.1","","std_22x24_lock","LockBuckle","hole_candidate_018_std_22x24_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset","22","24","45","49","4","0.967","0.952","8","0.178","11","0.231"
"keep","1124.8","","std_20x26_maze","MazeLongChain","hole_candidate_017_std_20x26_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset","20","26","43","39","4","0.975","0.952","9","0.209","12","0.248"
"keep","1122","","std_20x26_section","SectionUnlock","hole_candidate_016_std_20x26_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset","20","26","50","48","2","0.980","0.976","8","0.16","15","0.372"
"keep","1120.7","","tall_20x28_dense","DenseWeave","hole_candidate_062_tall_20x28_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_062_tall_20x28_dense.asset","20","28","47","54","7","0.982","0.977","7","0.149","11","0.268"
"keep","1114.9","","std_26x26_section","SectionUnlock","hole_candidate_040_std_26x26_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_040_std_26x26_section.asset","26","26","62","64","2","0.983","0.984","11","0.177","18","0.266"
"keep","1112.2","","std_24x28_lock","LockBuckle","hole_candidate_030_std_24x28_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_030_std_24x28_lock.asset","24","28","64","64","0","0.980","0.974","14","0.219","20","0.250"
"keep","1112","","wide_30x26_lock","LockBuckle","hole_candidate_078_wide_30x26_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_078_wide_30x26_lock.asset","30","26","72","75","3","0.975","0.971","17","0.236","16","0.229"
"keep","1109","","std_24x26_section","SectionUnlock","hole_candidate_028_std_24x26_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_028_std_24x26_section.asset","24","26","60","59","1","0.976","0.962","6","0.1","17","0.358"
"keep","1108.7","","std_26x24_dual","DualZone","hole_candidate_038_std_26x24_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset","26","24","50","56","6","0.971","0.962","6","0.12","12","0.236"
"keep","1107","","wide_28x22_section","SectionUnlock","hole_candidate_073_wide_28x22_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_073_wide_28x22_section.asset","28","22","58","58","0","0.972","0.962","5","0.086","19","0.257"
"keep","1102.3","","tall_20x30_lock","LockBuckle","hole_candidate_063_tall_20x30_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_063_tall_20x30_lock.asset","20","30","54","56","2","0.968","0.957","13","0.241","17","0.223"
"keep","1098.9","","std_24x28_dense","DenseWeave","hole_candidate_032_std_24x28_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_032_std_24x28_dense.asset","24","28","60","67","7","0.980","0.974","5","0.083","13","0.329"
"keep","1098.8","","std_26x24_lock","LockBuckle","hole_candidate_036_std_26x24_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_036_std_26x24_lock.asset","26","24","58","59","1","0.975","0.946","15","0.259","19","0.237"
"keep","1097","","std_20x24_dual","DualZone","hole_candidate_014_std_20x24_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_014_std_20x24_dual.asset","20","24","47","42","5","0.966","0.956","11","0.234","14","0.223"
"keep","1096.3","","wide_28x22_dense","DenseWeave","hole_candidate_074_wide_28x22_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_074_wide_28x22_dense.asset","28","22","52","60","8","0.972","0.973","9","0.173","12","0.245"
"keep","1090.5","","std_26x24_section","SectionUnlock","hole_candidate_037_std_26x24_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_037_std_26x24_section.asset","26","24","56","59","3","0.975","0.973","9","0.161","19","0.242"
"keep","1089.8","","std_26x28_dense","DenseWeave","hole_candidate_044_std_26x28_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_044_std_26x28_dense.asset","26","28","66","73","7","0.982","0.970","9","0.136","14","0.365"
"keep","1082.2","","wide_30x26_dual","DualZone","hole_candidate_080_wide_30x26_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_080_wide_30x26_dual.asset","30","26","70","72","2","0.976","0.962","8","0.114","21","0.243"
"keep","1074.5","","std_24x28_section","SectionUnlock","hole_candidate_031_std_24x28_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_031_std_24x28_section.asset","24","28","59","64","5","0.965","0.958","7","0.119","17","0.236"
"keep","1062.2","","std_26x28_lock","LockBuckle","hole_candidate_042_std_26x28_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_042_std_26x28_lock.asset","26","28","75","70","5","0.982","0.975","10","0.133","21","0.316"
"keep","1058.5","","wide_26x22_section","SectionUnlock","hole_candidate_070_wide_26x22_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_070_wide_26x22_section.asset","26","22","57","53","4","0.976","0.949","12","0.211","20","0.377"
"keep","1057.5","","wide_32x24_section","SectionUnlock","hole_candidate_085_wide_32x24_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_085_wide_32x24_section.asset","32","24","72","74","2","0.967","0.913","10","0.139","21","0.255"
"keep","1050.6","","wide_34x26_lock","LockBuckle","hole_candidate_096_wide_34x26_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_096_wide_34x26_lock.asset","34","26","79","86","7","0.973","0.951","8","0.101","19","0.234"
"keep","1046.9","","wide_32x26_section","SectionUnlock","hole_candidate_088_wide_32x26_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_088_wide_32x26_section.asset","32","26","73","81","8","0.976","0.977","7","0.096","20","0.227"
"keep","1041.7","","tall_28x30_dual","DualZone","hole_candidate_068_tall_28x30_dual","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_068_tall_28x30_dual.asset","28","30","72","78","6","0.971","0.963","8","0.111","22","0.203"
"keep","1037.5","","notch_24x28_section_b","SectionUnlock","hole_candidate_103_notch_24x28_section_b","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_103_notch_24x28_section_b.asset","24","28","62","64","2","0.970","0.833","11","0.177","21","0.242"
"keep","1024.9","","std_26x26_maze","MazeLongChain","hole_candidate_041_std_26x26_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_041_std_26x26_maze.asset","26","26","63","52","11","0.974","0.964","9","0.143","19","0.216"
