"Index","SourceBatch","SourceReport","SourceIndex","Type","LevelId","AssetPath","Width","Height","Chains","Arrows","Coverage","TargetCoverage","OuterBandCoverage","InitialMovableChains","EdgeHeadChains","ShortChains","GreedyMoves","AvgChain","MaxChain","Straightness","BlockLinks","PortableSolved","PortableOpeners","PortableScore","PortableQuality","Attempts","Status"
"12","interference6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_interference6_report.csv","2","sgp_pressure_hard_rect_interfere_core_burst_a","sgp_pressure_hard_interference6_02_sgp_pressure_hard_rect_interfere_core_burst_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_02_sgp_pressure_hard_rect_interfere_core_burst_a.asset","20","30","62","588","0.980","0.965","0.973","7","7","14","62","9.48","21","0.192","252","True","7","173.1","ok","333","Style=PressureHard | Score=-5763 | TargetInitial=4 | OpeningRatio=0.145 | EarlyChoices=32.1/56 | LocalRun=5 | Jump=8.2 | NearRate=0.58 | Peel style=PressureHard seed=35172518 fill=588/600(0.980) chains=62 remaining=12 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=3 initial=9->7 edgeHeads=9->7 earlyChoices=31.1/56 localRun=5 jump=8.3 near=0.58 targetInitial=3"
"13","interference6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_interference6_report.csv","3","sgp_pressure_hard_rect_interfere_dense_weave_a","sgp_pressure_hard_interference6_03_sgp_pressure_hard_rect_interfere_dense_weave_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_03_sgp_pressure_hard_rect_interfere_dense_weave_a.asset","21","30","62","621","0.986","0.965","0.984","4","4","18","62","10.02","19","0.169","220","True","4","169.9","ok","165","Style=PressureHard | Score=-556 | TargetInitial=4 | OpeningRatio=0.113 | EarlyChoices=31.3/69 | LocalRun=6 | Jump=10.3 | NearRate=0.48 | Peel style=PressureHard seed=17588222 fill=621/630(0.986) chains=62 remaining=9 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=4 initial=7->4 edgeHeads=7->4 earlyChoices=24.9/59 localRun=6 jump=9.5 near=0.58 targetInitial=3"
"14","interference6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_interference6_report.csv","4","sgp_pressure_hard_rect_interfere_lock_buckle_b","sgp_pressure_hard_interference6_04_sgp_pressure_hard_rect_interfere_lock_buckle_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_04_sgp_pressure_hard_rect_interfere_lock_buckle_b.asset","22","28","66","607","0.985","0.965","0.989","5","6","23","66","9.20","21","0.158","291","True","5","168.1","ok","113","Style=PressureHard | Score=-3806 | TargetInitial=5 | OpeningRatio=0.121 | EarlyChoices=27.4/67 | LocalRun=6 | Jump=7.8 | NearRate=0.42 | Peel style=PressureHard seed=12152490 fill=607/616(0.985) chains=66 remaining=9 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=5 initial=8->5 edgeHeads=9->6 earlyChoices=24.4/52 localRun=4 jump=6.8 near=0.58 targetInitial=3"
"15","interference6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_interference6_report.csv","5","sgp_pressure_hard_rect_interfere_core_burst_b","sgp_pressure_hard_interference6_05_sgp_pressure_hard_rect_interfere_core_burst_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_05_sgp_pressure_hard_rect_interfere_core_burst_b.asset","21","30","59","619","0.983","0.965","0.984","5","7","14","59","10.49","21","0.178","213","True","5","173.2","ok","331","Style=PressureHard | Score=-9501 | TargetInitial=4 | OpeningRatio=0.119 | EarlyChoices=35.6/83 | LocalRun=5 | Jump=9.9 | NearRate=0.48 | Peel style=PressureHard seed=34993588 fill=619/630(0.983) chains=59 remaining=11 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=3 initial=7->5 edgeHeads=9->7 earlyChoices=33.5/71 localRun=5 jump=8.1 near=0.58 targetInitial=3"
"16","interference6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_interference6_report.csv","6","sgp_pressure_hard_rect_interfere_dense_weave_b","sgp_pressure_hard_interference6_06_sgp_pressure_hard_rect_interfere_dense_weave_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_06_sgp_pressure_hard_rect_interfere_dense_weave_b.asset","20","28","58","548","0.979","0.965","0.983","3","4","17","58","9.45","21","0.157","193","True","3","173.8","ok","152","Style=PressureHard | Score=-8256 | TargetInitial=4 | OpeningRatio=0.103 | EarlyChoices=31.0/72 | LocalRun=6 | Jump=7.8 | NearRate=0.48 | Peel style=PressureHard seed=16257273 fill=548/560(0.979) chains=58 remaining=12 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=4 initial=6->3 edgeHeads=7->4 earlyChoices=26.6/55 localRun=4 jump=6.8 near=0.52 targetInitial=3"
"17","interference_v2_six","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_interference_v2_six_report.csv","1","sgp_pressure_hard_rect_interfere_v2_lock_buckle_a","sgp_pressure_hard_interference_v2_six_01_sgp_pressure_hard_rect_interfere_v2_lock_buckle_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_01_sgp_pressure_hard_rect_interfere_v2_lock_buckle_a.asset","20","28","57","551","0.984","0.965","0.994","3","5","12","57","9.67","21","0.183","205","True","3","166.9","ok","63","Style=PressureHardFlowSpread | Score=-80652 | TargetInitial=4 | OpeningRatio=0.105 | EarlyChoices=31.1/60 | LocalRun=6 | Jump=9.9 | NearRate=0.52 | FlowRun=4/1 FlowJump=14.4 FlowNear=0.21 FlowSame=0 | Peel style=PressureHardFlowSpread seed=6905512 fill=551/560(0.984) chains=57 remaining=9 rejectedShort=0 failedPeels=1 interference=NearDirV1 | FlipGate=ops=3 initial=6->3 edgeHeads=8->5 earlyChoices=28.1/60 localRun=6 jump=7.3 near=0.58 | FlowRun=4/1 FlowJump=12.7 FlowNear=0.23 FlowSame=0 targetInitial=3"
"18","interference_v2_six","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_interference_v2_six_report.csv","2","sgp_pressure_hard_rect_interfere_v2_core_burst_a","sgp_pressure_hard_interference_v2_six_02_sgp_pressure_hard_rect_interfere_v2_core_burst_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_02_sgp_pressure_hard_rect_interfere_v2_core_burst_a.asset","20","30","65","585","0.975","0.965","0.978","6","7","19","65","9.00","20","0.156","209","True","6","183.7","ok","226","Style=PressureHardFlowSpread | Score=-100613 | TargetInitial=5 | OpeningRatio=0.123 | EarlyChoices=33.8/67 | LocalRun=6 | Jump=9.1 | NearRate=0.55 | FlowRun=3/2 FlowJump=11.6 FlowNear=0.31 FlowSame=2 | Peel style=PressureHardFlowSpread seed=23986515 fill=585/600(0.975) chains=65 remaining=15 rejectedShort=0 failedPeels=1 interference=NearDirV1 | FlipGate=ops=4 initial=8->6 edgeHeads=9->7 earlyChoices=30.5/60 localRun=5 jump=8.8 near=0.58 | FlowRun=3/1 FlowJump=12.2 FlowNear=0.26 FlowSame=0 targetInitial=3"
"19","interference_v2_six","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_interference_v2_six_report.csv","3","sgp_pressure_hard_rect_interfere_v2_dense_weave_a","sgp_pressure_hard_interference_v2_six_03_sgp_pressure_hard_rect_interfere_v2_dense_weave_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_03_sgp_pressure_hard_rect_interfere_v2_dense_weave_a.asset","21","30","66","618","0.981","0.965","0.989","3","3","19","66","9.36","21","0.154","254","True","3","171.0","ok","226","Style=PressureHardFlowSpread | Score=-95892 | TargetInitial=5 | OpeningRatio=0.076 | EarlyChoices=39.3/65 | LocalRun=7 | Jump=7.8 | NearRate=0.52 | FlowRun=2/2 FlowJump=12.2 FlowNear=0.15 FlowSame=1 | Peel style=PressureHardFlowSpread seed=23996691 fill=618/630(0.981) chains=66 remaining=12 rejectedShort=0 failedPeels=1 interference=NearDirV1 | FlipGate=ops=2 initial=5->3 edgeHeads=5->3 earlyChoices=35.7/63 localRun=7 jump=6.4 near=0.52 | FlowRun=3/2 FlowJump=10.1 FlowNear=0.23 FlowSame=1 targetInitial=3"
"20","interference_v2_six","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_interference_v2_six_report.csv","4","sgp_pressure_hard_rect_interfere_v2_lock_buckle_b","sgp_pressure_hard_interference_v2_six_04_sgp_pressure_hard_rect_interfere_v2_lock_buckle_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_04_sgp_pressure_hard_rect_interfere_v2_lock_buckle_b.asset","22","28","66","606","0.984","0.965","0.989","4","4","23","66","9.18","21","0.167","262","True","4","182.3","ok","493","Style=PressureHardFlowSpread | Score=-96898 | TargetInitial=5 | OpeningRatio=0.106 | EarlyChoices=33.4/73 | LocalRun=5 | Jump=7.7 | NearRate=0.65 | FlowRun=4/2 FlowJump=9.0 FlowNear=0.44 FlowSame=3 | Peel style=PressureHardFlowSpread seed=51969510 fill=606/616(0.984) chains=66 remaining=10 rejectedShort=0 failedPeels=1 interference=NearDirV1 | FlipGate=ops=3 initial=7->4 edgeHeads=7->4 earlyChoices=27.2/49 localRun=5 jump=5.6 near=0.71 | FlowRun=4/2 FlowJump=7.8 FlowNear=0.46 FlowSame=3 targetInitial=3"
"21","interference_v2_six","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_interference_v2_six_report.csv","5","sgp_pressure_hard_rect_interfere_v2_core_burst_b","sgp_pressure_hard_interference_v2_six_05_sgp_pressure_hard_rect_interfere_v2_core_burst_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_05_sgp_pressure_hard_rect_interfere_v2_core_burst_b.asset","21","30","67","616","0.978","0.965","0.984","3","5","25","67","9.19","21","0.145","238","True","3","185.1","ok","267","Style=PressureHardFlowSpread | Score=-108799 | TargetInitial=5 | OpeningRatio=0.104 | EarlyChoices=32.3/81 | LocalRun=6 | Jump=8.6 | NearRate=0.58 | FlowRun=3/2 FlowJump=11.7 FlowNear=0.28 FlowSame=1 | Peel style=PressureHardFlowSpread seed=28310932 fill=616/630(0.978) chains=67 remaining=14 rejectedShort=0 failedPeels=1 interference=NearDirV1 | FlipGate=ops=4 initial=7->3 edgeHeads=9->5 earlyChoices=29.9/49 localRun=7 jump=6.2 near=0.65 | FlowRun=3/2 FlowJump=11.4 FlowNear=0.26 FlowSame=1 targetInitial=3"
"22","interference_v2_six","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Reports\DirectProcedural\sgp_pressure_hard_interference_v2_six_report.csv","6","sgp_pressure_hard_rect_interfere_v2_dense_weave_b","sgp_pressure_hard_interference_v2_six_06_sgp_pressure_hard_rect_interfere_v2_dense_weave_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_06_sgp_pressure_hard_rect_interfere_v2_dense_weave_b.asset","20","28","51","546","0.975","0.965","0.972","4","5","11","51","10.71","20","0.160","204","True","4","164.7","ok","220","Style=PressureHardFlowSpread | Score=-69132 | TargetInitial=4 | OpeningRatio=0.098 | EarlyChoices=30.6/52 | LocalRun=5 | Jump=8.4 | NearRate=0.42 | FlowRun=4/2 FlowJump=11.0 FlowNear=0.33 FlowSame=2 | Peel style=PressureHardFlowSpread seed=23398845 fill=546/560(0.975) chains=51 remaining=14 rejectedShort=0 failedPeels=1 interference=NearDirV1 | FlipGate=ops=2 initial=5->4 edgeHeads=6->5 earlyChoices=29.5/52 localRun=5 jump=7.5 near=0.45 | FlowRun=4/2 FlowJump=10.4 FlowNear=0.31 FlowSame=1 targetInitial=3"
