"order","sectionWaveRole","finalStatus","productionLane","productionStyle","productionChainLanguage","loadedAssetPath","width","height","chainCount","maxChainLen","avgChainLen","validEscapeChains","blockedChains","blockCellBlockedChains","openerRatio","decoyToOpenerRatio","dependencyEdges","dependencyDensity","dependencyDepth","dependencyCycleHits","crossRegionEdges","crossRegionEdgeRate","sameRegionEdgeRate","criticalBlockerChains","avgEscapeRayLength","longRayRate","immediateRayRate","shortRayRate","regionEntropy","observationPressureScore","observationClass","readDemandScore","readDemandClass","notes"
"16","Hard","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","20","27","56","21","9.393","2","54","0","0.0357","27","54","0.9643","10","0","10","0.1852","0.8148","17","0.964","0","1","1","0.9796","75.6","HighObservation","24.65","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"18","Normal","ReplacedRhythmV4","FlowPatch","flow","patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","20","27","47","22","11.383","8","39","0","0.1702","4.875","39","0.8298","6","0","9","0.2308","0.7692","8","0.83","0","1","1","0.9926","77.12","HighObservation","11.34","ReadLight","short_head_rays;adjacent_blockers_dominate"
"19","PeakExtreme","ReplacedRhythmV4Final","Campaign500_HardGateUntil0910","hardgate","strict_peak_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","24","32","79","21","9.57","2","77","0","0.0253","38.5","77","0.9747","9","0","18","0.2338","0.7662","21","0.975","0","1","1","0.994","77.22","HighObservation","25","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"20","Normal","ReplacedRhythmV4","FlowRail","flow","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","18","24","38","22","11.263","7","31","0","0.1842","4.429","31","0.8158","6","0","9","0.2903","0.7097","6","0.816","0","1","1","0.9744","78.58","HighObservation","11.72","ReadLight","short_head_rays;adjacent_blockers_dominate"
"21","Normal","ReplacedRhythmV4","FlowPatch","flow","patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","20","27","60","21","8.95","1","59","0","0.0167","59","59","0.9833","8","0","12","0.2034","0.7966","12","0.983","0","1","1","0.9929","76.27","HighObservation","15.14","ReadLight","short_head_rays;adjacent_blockers_dominate"
"22","Normal","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","20","27","58","21","9.241","2","56","0","0.0345","28","56","0.9655","10","0","13","0.2321","0.7679","15","0.966","0","1","1","0.9775","77.04","HighObservation","25.71","ReadLight","short_head_rays;adjacent_blockers_dominate"
"24","Normal","ReplacedRhythmV4","PeelMid","peel","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain.asset","25","33","79","20","10.342","5","74","0","0.0633","14.8","74","0.9367","7","0","14","0.1892","0.8108","22","0.937","0","1","1","0.998","75.87","HighObservation","21.51","ReadLight","short_head_rays;adjacent_blockers_dominate"
"25","Hard","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","26","34","89","20","9.787","2","87","0","0.0225","43.5","87","0.9775","15","0","20","0.2299","0.7701","23","0.978","0","1","1","0.9922","77.09","HighObservation","25.24","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"28","Normal","ReplacedRhythmV4","FlowPatch","flow","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","22","29","59","20","10.729","8","51","0","0.1356","6.375","51","0.8644","6","0","9","0.1765","0.8235","15","0.864","0","1","1","0.9909","75.42","HighObservation","16.09","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate"
"29","PeakExtreme","ReplacedRhythmV4","PressurePeak","peel","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset","26","34","90","21","9.678","3","87","0","0.0333","29","87","0.9667","11","0","27","0.3103","0.6897","21","0.967","0","1","1","0.9916","79.59","HighObservation","31.88","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"30","Normal","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","24","32","78","21","9.782","2","76","0","0.0256","38","76","0.9744","10","0","18","0.2368","0.7632","20","0.974","0","1","1","0.9956","77.33","HighObservation","26.68","ReadLight","short_head_rays;adjacent_blockers_dominate"
"31","Normal","ReplacedRhythmV4","FlowCurve","flow","curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset","20","27","55","21","9.655","3","52","0","0.0545","17.333","52","0.9455","10","0","10","0.1923","0.8077","15","0.945","0","1","1","0.9763","75.79","HighObservation","23.65","ReadLight","short_head_rays;adjacent_blockers_dominate"
"33","Normal","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain.asset","22","30","75","21","8.68","4","71","0","0.0533","17.75","71","0.9467","12","0","14","0.1972","0.8028","21","0.96","0","0.9867","1","0.9967","76.11","HighObservation","26.4","ReadLight","short_head_rays;adjacent_blockers_dominate"
"34","Normal","ReplacedRhythmV4","PeelLight","peel","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain.asset","24","32","79","21","9.608","1","78","0","0.0127","78","78","0.9873","12","0","15","0.1923","0.8077","22","0.987","0","1","1","0.9831","75.85","HighObservation","19.94","ReadLight","short_head_rays;adjacent_blockers_dominate"
"35","Normal","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain.asset","22","30","65","21","10.031","3","62","0","0.0462","20.667","62","0.9538","9","0","12","0.1935","0.8065","19","0.954","0","1","1","0.997","76","HighObservation","24.52","ReadLight","short_head_rays;adjacent_blockers_dominate"
"36","Normal","ReplacedRhythmV4","PeelLight","peel","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain.asset","22","30","77","21","8.442","5","72","0","0.0649","14.4","72","0.9351","10","0","17","0.2361","0.7639","19","0.935","0","1","1","0.9983","77.33","HighObservation","28.13","ReadLight","short_head_rays;adjacent_blockers_dominate"
"39","PeakExtreme","ReplacedRhythmV4","PeelMid","hardgate","curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain.asset","26","35","86","21","10.326","4","82","0","0.0465","20.5","82","0.9535","11","0","14","0.1707","0.8293","26","0.953","0","1","1","0.9943","75.27","HighObservation","24.72","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"40","Hard","ReplacedRhythmV4","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_36_nutation_longchain_spine_v1_rect_c80hf_09_d2_core_spine.asset","28","38","72","26","14.028","5","67","0","0.0694","13.4","67","0.9306","11","0","13","0.194","0.806","20","0.931","0","1","1","0.9625","75.74","HighObservation","25.6","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"41","Recovery","ReplacedRhythmV4","FlowPatch","flow","patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset","20","27","53","21","10.094","6","47","0","0.1132","7.833","47","0.8868","9","0","18","0.383","0.617","9","0.887","0","1","1","0.9862","81.8","HighObservation","26.46","ReadLight","short_head_rays;adjacent_blockers_dominate"
"42","Normal","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain.asset","22","30","76","21","8.632","4","72","0","0.0526","18","72","0.9474","10","0","17","0.2361","0.7639","18","0.947","0","1","1","0.9942","77.3","HighObservation","28.08","ReadLight","short_head_rays;adjacent_blockers_dominate"
"44","Hard","ReplacedRhythmV4","PeelMid","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset","25","33","84","21","9.69","4","80","0","0.0476","20","80","0.9524","12","0","17","0.2125","0.7875","16","0.952","0","1","1","0.9845","76.49","HighObservation","25.44","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"45","Recovery","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain.asset","22","30","72","21","9.083","2","70","0","0.0278","35","70","0.9722","9","0","12","0.1714","0.8286","22","0.972","0","1","1","0.9853","75.22","HighObservation","22.53","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate"
"47","PeakExtreme","ReplacedRhythmV4","PeelMid","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_12_nutation_strict_mixed_hard_v1_rect_s30_o296_v03_strictmixedhard_mixed_chain.asset","25","33","84","21","9.631","4","80","0","0.0476","20","80","0.9524","15","0","16","0.2","0.8","20","0.952","0","1","1","0.9875","76.12","HighObservation","26.16","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"49","Hard","ReplacedRhythmV4","PeelLight","peel","curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset","24","32","79","21","9.608","2","77","0","0.0253","38.5","77","0.9747","12","0","19","0.2468","0.7532","22","0.975","0","1","1","0.9957","77.64","HighObservation","27.09","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"50","Recovery","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain.asset","22","30","67","21","9.716","2","65","0","0.0299","32.5","65","0.9701","9","0","11","0.1692","0.8308","18","0.97","0","1","1","0.9861","75.15","HighObservation","23.11","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate"
"51","Recovery","ReplacedRhythmV4","PeelLight","peel","curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain.asset","22","30","74","21","8.784","2","72","0","0.027","36","72","0.973","11","0","13","0.1806","0.8194","21","0.973","0","1","1","0.9893","75.53","HighObservation","24.19","ReadLight","short_head_rays;adjacent_blockers_dominate"
"52","Hard","ReplacedRhythmV4","PeelHard","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain.asset","22","30","75","21","8.707","4","71","0","0.0533","17.75","71","0.9467","10","0","11","0.1549","0.8451","21","0.947","0","1","1","0.9942","74.77","HighObservation","23.91","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"55","Normal","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain.asset","22","30","74","20","8.757","3","71","0","0.0405","23.667","71","0.9595","11","0","11","0.1549","0.8451","19","0.959","0","1","1","0.9884","74.73","HighObservation","23.85","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate"
"56","PeakExtreme","ReplacedRhythmV4","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_44_nutation_longchain_spine_v1_rect_c80hf_11_d2_lock_spine.asset","30","39","79","26","14.127","4","75","0","0.0506","18.75","75","0.9494","7","0","27","0.36","0.64","20","0.949","0","1","1","0.9915","81.13","HighObservation","29.72","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"57","Normal","ReplacedRhythmV4","PeelLight","peel","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain.asset","24","32","82","21","9.232","3","79","0","0.0366","26.333","79","0.9634","10","0","18","0.2278","0.7722","22","0.963","0","1","1","0.9907","77.01","HighObservation","27.62","ReadLight","short_head_rays;adjacent_blockers_dominate"
"59","PeakExtreme","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain.asset","26","34","85","21","10.212","3","82","0","0.0353","27.333","82","0.9647","11","0","13","0.1585","0.8415","23","0.965","0","1","1","0.9738","74.72","HighObservation","23.89","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"60","Recovery","ReplacedRhythmV4","FlowRail","flow","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset","22","29","54","22","11.741","5","49","0","0.0926","9.8","49","0.9074","6","0","15","0.3061","0.6939","13","0.907","0","1","1","0.9741","79.32","HighObservation","22.55","ReadLight","short_head_rays;adjacent_blockers_dominate"
"62","Normal","ReplacedRhythmV4","FlowPatch","flow","patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset","22","30","67","21","9.746","4","63","0","0.0597","15.75","63","0.9403","9","0","14","0.2222","0.7778","18","0.94","0","1","1","0.9827","76.77","HighObservation","25.86","ReadLight","short_head_rays;adjacent_blockers_dominate"
"64","Normal","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_64_nutation_mixed_neutral_v1_rect_s19_o186_v00_neutralmixed_mixed_chain.asset","22","30","66","21","9.864","3","63","0","0.0455","21","63","0.9545","10","0","14","0.2222","0.7778","17","0.955","0","1","1","0.9767","76.73","HighObservation","26.53","ReadLight","short_head_rays;adjacent_blockers_dominate"
"65","PeakExtreme","ReplacedRhythmV4","PeelMid","peel","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain.asset","23","31","82","21","8.524","3","79","0","0.0366","26.333","79","0.9634","10","0","14","0.1772","0.8228","22","0.963","0","1","1","0.988","75.42","HighObservation","24.99","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"66","Recovery","ReplacedRhythmV4","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain.asset","22","30","70","20","9.3","3","67","0","0.0429","22.333","67","0.9571","11","0","16","0.2388","0.7612","19","0.957","0","1","1","0.9783","77.26","HighObservation","28.06","ReadLight","short_head_rays;adjacent_blockers_dominate"
"68","Normal","ReplacedRhythmV4","FlowCurve","flow","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset","20","27","52","21","10.231","2","50","0","0.0385","25","50","0.9615","7","0","13","0.26","0.74","10","0.962","0","1","1","0.97","77.85","HighObservation","19.54","ReadLight","short_head_rays;adjacent_blockers_dominate"
"69","Hard","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","26","34","94","21","9.245","3","91","0","0.0319","30.333","91","0.9681","9","0","22","0.2418","0.7582","25","0.968","0","1","1","0.997","77.5","HighObservation","27","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"70","Hard","ReplacedRhythmV4","PeelMid","peel","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset","23","31","81","20","8.691","3","78","0","0.037","26","78","0.963","12","0","15","0.1923","0.8077","20","0.963","0","1","1","0.9887","75.89","HighObservation","25.78","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"72","PeakExtreme","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain.asset","26","34","86","21","10.151","2","84","0","0.0233","42","84","0.9767","13","0","13","0.1548","0.8452","25","0.977","0","1","1","0.9831","74.68","HighObservation","21.54","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"74","Normal","ReplacedRhythmV4","PeelMid","peel","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain.asset","25","33","82","20","9.939","3","79","0","0.0366","26.333","79","0.9634","9","0","16","0.2025","0.7975","23","0.963","0","1","1","0.9806","76.15","HighObservation","24.82","ReadLight","short_head_rays;adjacent_blockers_dominate"
"75","Hard","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","24","32","83","21","9.181","3","80","0","0.0361","26.667","80","0.9639","12","0","16","0.2","0.8","23","0.964","0","1","1","0.9953","76.18","HighObservation","26.24","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"76","PeakExtreme","ReplacedRhythmV4","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine.asset","28","36","72","25","13.264","3","69","0","0.0417","23","69","0.9583","11","0","16","0.2319","0.7681","21","0.958","0","1","1","0.995","77.17","HighObservation","27.88","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
