"order","path","inHard","inStrict","inJoined","hardLevelId","strictLevelId","joinedLevelId","hardCov","hardChoices","hardLocal","hardNear","hardSts","hardCollapse"
"346","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset","True","True","True","campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain","campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain","campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain","0.994","10",,,"0.926","0.127"
"355","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain.asset","True","True","True","campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain","campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain","campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain","0.983","9",,,"0.898","0.13"
"357","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset","True","True","True","campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain","campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain","campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain","0.989","8",,,"0.911","0.19"
"362","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain.asset","True","True","True","campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain","campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain","campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain","0.991","8",,,"0.835","0.264"
"365","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain.asset","True","True","False","c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain","c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain",,"0.982","8",,,"0.831","0.264"
"366","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","True","True","True","campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain","campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain","campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain","0.993","9",,,"0.836","0.221"
"369","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain.asset","True","True","True","campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain","campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain","campaign500_normal_full_v1_s27_s38_129_nutation_peel_rail_v1_rect_s37_o369_v02_peelmid_rail_chain","0.991","10",,,"0.891","0.127"
"371","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain.asset","True","True","True","campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain","campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain","campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain","0.994","9",,,"0.86","0.217"
"374","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain.asset","True","True","False","c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain","c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain",,"0.986","6",,,"0.866","0.208"
"376","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","True","True","True","campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain","campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain","campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain","0.985","9",,,"0.884","0.169"
"384","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset","True","True","False","c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain","c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain",,"0.987","8",,,"0.918","0.142"
"386","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_35_nutation_strict_mixed_hard_v1_rect_s39_o386_v04_strictmixedhard_mixed_chain.asset","True","True","False","c5nep_w11c_35_nutation_strict_mixed_hard_v1_rect_s39_o386_v04_strictmixedhard_mixed_chain","c5nep_w11c_35_nutation_strict_mixed_hard_v1_rect_s39_o386_v04_strictmixedhard_mixed_chain",,"0.975","8",,,"0.833","0.274"
"394","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain.asset","True","True","False","c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain","c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain",,"0.981","8",,,"0.872","0.177"
"395","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain.asset","True","True","True","campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain","campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain","campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain","0.984","9",,,"0.87","0.217"
"402","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_09_nutation_peel_rect_s41_o402_v00_peellight_rail_chain.asset","True","True","False","c5nep_w4pl_09_nutation_peel_rect_s41_o402_v00_peellight_rail_chain","c5nep_w4pl_09_nutation_peel_rect_s41_o402_v00_peellight_rail_chain",,"0.965","10",,,"0.866","0.109"
"405","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain.asset","True","True","False","c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain","c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain",,"0.988","9",,,"0.862","0.161"
"406","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain.asset","True","True","True","campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain","campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain","campaign500_normal_full_v1_s39_s50_25_nutation_mixed_neutral_v1_rect_s41_o406_v00_neutralmixed_mixed_chain","0.985","10",,,"0.86","0.134"
"407","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","True","True","True","campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain","campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain","campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain","0.975","11",,,"0.831","0.234"
"411","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_07_nutation_peel_rect_s42_o411_v00_peellight_rail_chain.asset","True","True","True","campaign500_normal_full_v1_s39_s50_tail_07_nutation_peel_rect_s42_o411_v00_peellight_rail_chain","campaign500_normal_full_v1_s39_s50_tail_07_nutation_peel_rect_s42_o411_v00_peellight_rail_chain","campaign500_normal_full_v1_s39_s50_tail_07_nutation_peel_rect_s42_o411_v00_peellight_rail_chain","0.979","10",,,"0.832","0.245"
"414","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset","True","True","True","campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain","campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain","campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain","0.986","10",,,"0.913","0.161"
"422","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain.asset","True","True","True","campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain","campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain","campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain","0.991","10",,,"0.914","0.14"
"424","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain.asset","True","True","False","c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain","c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain",,"0.985","8",,,"0.869","0.192"
"439","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain.asset","True","True","False","c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain","c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain",,"0.988","9",,,"0.836","0.236"
"445","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain.asset","True","True","False","c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain","c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain",,"0.981","9",,,"0.844","0.213"
"455","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain.asset","True","True","False","c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain","c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain",,"0.986","10",,,"0.84","0.249"
"457","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain.asset","True","True","True","campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain","campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain","campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain","0.982","9",,,"0.824","0.238"
"459","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain.asset","True","True","False","c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain","c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain",,"0.987","9",,,"0.823","0.225"
"464","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset","True","True","True","campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain","campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain","campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain","0.982","9",,,"0.869","0.246"
"471","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset","True","True","False","campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain","campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain",,"0.993","9",,,"0.919","0.047"
"476","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain.asset","True","True","False","c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain","c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain",,"0.985","10",,,"0.903","0.152"
"481","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_37_nutation_mixed_neutral_v1_rect_s49_o481_v00_neutralmixed_mixed_chain.asset","True","True","True","campaign500_normal_full_v1_s46_s50_tail_37_nutation_mixed_neutral_v1_rect_s49_o481_v00_neutralmixed_mixed_chain","campaign500_normal_full_v1_s46_s50_tail_37_nutation_mixed_neutral_v1_rect_s49_o481_v00_neutralmixed_mixed_chain","campaign500_normal_full_v1_s46_s50_tail_37_nutation_mixed_neutral_v1_rect_s49_o481_v00_neutralmixed_mixed_chain","0.994","10",,,"0.863","0.226"
"482","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset","True","True","False","c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain","c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain",,"0.988","10",,,"0.852","0.218"
"491","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain.asset","True","True","False","c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain","c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain",,"0.976","10",,,"0.924","0.113"
"495","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_22_nutation_mixed_neutral_v1_rect_s50_o495_v01_neutralmixed_mixed_chain.asset","True","True","False","c5nep_w6nm_22_nutation_mixed_neutral_v1_rect_s50_o495_v01_neutralmixed_mixed_chain","c5nep_w6nm_22_nutation_mixed_neutral_v1_rect_s50_o495_v01_neutralmixed_mixed_chain",,"0.989","10",,,"0.868","0.141"
"496","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain.asset","True","True","False","c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain","c5nep_w11b_56_nutation_strict_mixed_hard_v1_rect_s50_o496_v00_strictmixedhard_mixed_chain",,"0.983","10",,,"0.897","0.187"
