"selected","levelId","path","source","coverage","chains","portableOpeners","status"
"1","sgp_pressure_hard_interference6_02_sgp_pressure_hard_rect_interfere_core_burst_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_02_sgp_pressure_hard_rect_interfere_core_burst_a.asset","interference6","0.980","62","7","Style=PressureHard | Score=-5763 | TargetInitial=4 | OpeningRatio=0.145 | EarlyChoices=32.1/56 | LocalRun=5 | Jump=8.2 | NearRate=0.58 | Peel style=PressureHard seed=35172518 fill=588/600(0.980) chains=62 remaining=12 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=3 initial=9->7 edgeHeads=9->7 earlyChoices=31.1/56 localRun=5 jump=8.3 near=0.58 targetInitial=3"
"1","sgp_pressure_hard_interference6_03_sgp_pressure_hard_rect_interfere_dense_weave_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_03_sgp_pressure_hard_rect_interfere_dense_weave_a.asset","interference6","0.986","62","4","Style=PressureHard | Score=-556 | TargetInitial=4 | OpeningRatio=0.113 | EarlyChoices=31.3/69 | LocalRun=6 | Jump=10.3 | NearRate=0.48 | Peel style=PressureHard seed=17588222 fill=621/630(0.986) chains=62 remaining=9 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=4 initial=7->4 edgeHeads=7->4 earlyChoices=24.9/59 localRun=6 jump=9.5 near=0.58 targetInitial=3"
"1","sgp_pressure_hard_interference6_04_sgp_pressure_hard_rect_interfere_lock_buckle_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_04_sgp_pressure_hard_rect_interfere_lock_buckle_b.asset","interference6","0.985","66","5","Style=PressureHard | Score=-3806 | TargetInitial=5 | OpeningRatio=0.121 | EarlyChoices=27.4/67 | LocalRun=6 | Jump=7.8 | NearRate=0.42 | Peel style=PressureHard seed=12152490 fill=607/616(0.985) chains=66 remaining=9 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=5 initial=8->5 edgeHeads=9->6 earlyChoices=24.4/52 localRun=4 jump=6.8 near=0.58 targetInitial=3"
"1","sgp_pressure_hard_interference6_05_sgp_pressure_hard_rect_interfere_core_burst_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_05_sgp_pressure_hard_rect_interfere_core_burst_b.asset","interference6","0.983","59","5","Style=PressureHard | Score=-9501 | TargetInitial=4 | OpeningRatio=0.119 | EarlyChoices=35.6/83 | LocalRun=5 | Jump=9.9 | NearRate=0.48 | Peel style=PressureHard seed=34993588 fill=619/630(0.983) chains=59 remaining=11 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=3 initial=7->5 edgeHeads=9->7 earlyChoices=33.5/71 localRun=5 jump=8.1 near=0.58 targetInitial=3"
"1","sgp_pressure_hard_interference6_06_sgp_pressure_hard_rect_interfere_dense_weave_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterference6/sgp_pressure_hard_interference6_06_sgp_pressure_hard_rect_interfere_dense_weave_b.asset","interference6","0.979","58","3","Style=PressureHard | Score=-8256 | TargetInitial=4 | OpeningRatio=0.103 | EarlyChoices=31.0/72 | LocalRun=6 | Jump=7.8 | NearRate=0.48 | Peel style=PressureHard seed=16257273 fill=548/560(0.979) chains=58 remaining=12 rejectedShort=0 failedPeels=1 interference=NearDir | FlipGate=ops=4 initial=6->3 edgeHeads=7->4 earlyChoices=26.6/55 localRun=4 jump=6.8 near=0.52 targetInitial=3"
"1","sgp_pressure_hard_interference_v2_six_01_sgp_pressure_hard_rect_interfere_v2_lock_buckle_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_01_sgp_pressure_hard_rect_interfere_v2_lock_buckle_a.asset","interference_v2_six","0.984","57","3","Style=PressureHardFlowSpread | Score=-80652 | TargetInitial=4 | OpeningRatio=0.105 | EarlyChoices=31.1/60 | LocalRun=6 | Jump=9.9 | NearRate=0.52 | FlowRun=4/1 FlowJump=14.4 FlowNear=0.21 FlowSame=0 | Peel style=PressureHardFlowSpread seed=6905512 fill=551/560(0.984) chains=57 remaining=9 rejectedShort=0 failedPeels=1 interference=NearDirV1 | FlipGate=ops=3 initial=6->3 edgeHeads=8->5 earlyChoices=28.1/60 localRun=6 jump=7.3 near=0.58 | FlowRun=4/1 FlowJump=12.7 FlowNear=0.23 FlowSame=0 targetInitial=3"
"1","sgp_pressure_hard_interference_v2_six_02_sgp_pressure_hard_rect_interfere_v2_core_burst_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_02_sgp_pressure_hard_rect_interfere_v2_core_burst_a.asset","interference_v2_six","0.975","65","6","Style=PressureHardFlowSpread | Score=-100613 | TargetInitial=5 | OpeningRatio=0.123 | EarlyChoices=33.8/67 | LocalRun=6 | Jump=9.1 | NearRate=0.55 | FlowRun=3/2 FlowJump=11.6 FlowNear=0.31 FlowSame=2 | Peel style=PressureHardFlowSpread seed=23986515 fill=585/600(0.975) chains=65 remaining=15 rejectedShort=0 failedPeels=1 interference=NearDirV1 | FlipGate=ops=4 initial=8->6 edgeHeads=9->7 earlyChoices=30.5/60 localRun=5 jump=8.8 near=0.58 | FlowRun=3/1 FlowJump=12.2 FlowNear=0.26 FlowSame=0 targetInitial=3"
"1","sgp_pressure_hard_interference_v2_six_03_sgp_pressure_hard_rect_interfere_v2_dense_weave_a","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_03_sgp_pressure_hard_rect_interfere_v2_dense_weave_a.asset","interference_v2_six","0.981","66","3","Style=PressureHardFlowSpread | Score=-95892 | TargetInitial=5 | OpeningRatio=0.076 | EarlyChoices=39.3/65 | LocalRun=7 | Jump=7.8 | NearRate=0.52 | FlowRun=2/2 FlowJump=12.2 FlowNear=0.15 FlowSame=1 | Peel style=PressureHardFlowSpread seed=23996691 fill=618/630(0.981) chains=66 remaining=12 rejectedShort=0 failedPeels=1 interference=NearDirV1 | FlipGate=ops=2 initial=5->3 edgeHeads=5->3 earlyChoices=35.7/63 localRun=7 jump=6.4 near=0.52 | FlowRun=3/2 FlowJump=10.1 FlowNear=0.23 FlowSame=1 targetInitial=3"
"1","sgp_pressure_hard_interference_v2_six_04_sgp_pressure_hard_rect_interfere_v2_lock_buckle_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_04_sgp_pressure_hard_rect_interfere_v2_lock_buckle_b.asset","interference_v2_six","0.984","66","4","Style=PressureHardFlowSpread | Score=-96898 | TargetInitial=5 | OpeningRatio=0.106 | EarlyChoices=33.4/73 | LocalRun=5 | Jump=7.7 | NearRate=0.65 | FlowRun=4/2 FlowJump=9.0 FlowNear=0.44 FlowSame=3 | Peel style=PressureHardFlowSpread seed=51969510 fill=606/616(0.984) chains=66 remaining=10 rejectedShort=0 failedPeels=1 interference=NearDirV1 | FlipGate=ops=3 initial=7->4 edgeHeads=7->4 earlyChoices=27.2/49 localRun=5 jump=5.6 near=0.71 | FlowRun=4/2 FlowJump=7.8 FlowNear=0.46 FlowSame=3 targetInitial=3"
"1","sgp_pressure_hard_interference_v2_six_05_sgp_pressure_hard_rect_interfere_v2_core_burst_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_05_sgp_pressure_hard_rect_interfere_v2_core_burst_b.asset","interference_v2_six","0.978","67","3","Style=PressureHardFlowSpread | Score=-108799 | TargetInitial=5 | OpeningRatio=0.104 | EarlyChoices=32.3/81 | LocalRun=6 | Jump=8.6 | NearRate=0.58 | FlowRun=3/2 FlowJump=11.7 FlowNear=0.28 FlowSame=1 | Peel style=PressureHardFlowSpread seed=28310932 fill=616/630(0.978) chains=67 remaining=14 rejectedShort=0 failedPeels=1 interference=NearDirV1 | FlipGate=ops=4 initial=7->3 edgeHeads=9->5 earlyChoices=29.9/49 localRun=7 jump=6.2 near=0.65 | FlowRun=3/2 FlowJump=11.4 FlowNear=0.26 FlowSame=1 targetInitial=3"
"1","sgp_pressure_hard_interference_v2_six_06_sgp_pressure_hard_rect_interfere_v2_dense_weave_b","Assets/ArrowMagic/SOData/Levels/DirectProcedural/SGPPressureHardInterferenceV2Six/sgp_pressure_hard_interference_v2_six_06_sgp_pressure_hard_rect_interfere_v2_dense_weave_b.asset","interference_v2_six","0.975","51","4","Style=PressureHardFlowSpread | Score=-69132 | TargetInitial=4 | OpeningRatio=0.098 | EarlyChoices=30.6/52 | LocalRun=5 | Jump=8.4 | NearRate=0.42 | FlowRun=4/2 FlowJump=11.0 FlowNear=0.33 FlowSame=2 | Peel style=PressureHardFlowSpread seed=23398845 fill=546/560(0.975) chains=51 remaining=14 rejectedShort=0 failedPeels=1 interference=NearDirV1 | FlipGate=ops=2 initial=5->4 edgeHeads=6->5 earlyChoices=29.5/52 localRun=5 jump=7.5 near=0.45 | FlowRun=4/2 FlowJump=10.4 FlowNear=0.31 FlowSame=1 targetInitial=3"
