"laneId","style","expectedChain","readiness","rows","traceOrderKeepRows","visualKeepRows","processKeepRows","rejectRows","reviewRows","highRiskRows","watchRows","cleanRows","localCollapseRows","avgCoverage","minCoverage","avgChoices","maxChoices","maxLocalPatchRun","maxNearOuterRun","maxDirectionalRisk","maxStripeRisk","avgSolveTraceQuality","avgCollapseRisk","maxSameAxisRun","maxSameDirRun","styleFamilyMix","actualChainMix","flowMix","riskMix","notes"
"NutationLongChainPatchV1","LongChain","patch_chain","strict_review_ready","4","3","0","0","1","3","1","3","0","1","0.949","0.933","5.758","12","7","5","0.331","0.153","0.83","0.221","10","7","maze_long_chain=4","patch_chain=4","local_collapse=1;single_axis_sweep=1;staged_unlock=2","high_risk=1;watch=3","Long-chain topology rendered with patch-chain support; review lane, not yet production-approved."
"NutationLongChainRailV1","LongChain","rail_chain","strict_review_ready","4","3","1","0","0","4","1","3","0","1","0.936","0.924","3.213","7","6","5","0.206","0.191","0.865","0.201","9","9","maze_long_chain=4","rail_chain=4","local_collapse=1;peel=1;staged_unlock=2","high_risk=1;watch=3","Long-chain topology rendered with straight rail-chain language; separate from spine-chain."
"NutationLongChainSpineV1","LongChain","spine_chain","strict_review_ready","4","2","0","0","2","2","2","2","0","0","0.928","0.909","4.43","9","5","4","0.127","0.26","0.877","0.146","6","6","maze_long_chain=4","spine_chain=4","flow_spread=1;peel=1;staged_unlock=2","high_risk=2;watch=2","Long-chain spine style proof with partial strict keep rows."
"NutationMazeCurveV1","Maze","curve_chain","needs_solve_time_control","1","0","1","0","0","1","1","0","0","1","0.892","0.892","4.95","10","8","6","0.458","0","0.69","0.356","11","5","constraint_maze=1","curve_chain=1","local_collapse=1","high_risk=1","Constraint-maze topology rendered with medium curve-chain language; not production-approved."
"NutationMazePatchV1","Maze","patch_chain","needs_solve_time_control","4","0","0","0","4","0","4","0","0","4","0.916","0.905","4.368","12","18","12","0.742","0.054","0.683","0.428","28","15","constraint_maze=4","patch_chain=4","local_collapse=4","high_risk=4","Maze style proof; currently blocked by local-collapse trace."
"NutationMazePatchV2","Maze","patch_chain","needs_solve_time_control","4","0","0","1","3","0","4","0","0","4","0.895","0.881","4.402","13","15","8","0.735","0.113","0.678","0.475","21","21","constraint_maze=4","patch_chain=4","local_collapse=4","high_risk=4","Constraint-maze strict local reject probe; not production-approved."
"NutationMazeRailV1","Maze","rail_chain","style_proof_only","3","0","0","1","2","0","3","0","0","2","0.902","0.9","5.317","15","14","10","0.593","0.04","0.787","0.326","14","9","constraint_maze=3","rail_chain=3","local_collapse=2;staged_unlock=1","high_risk=3","Constraint-maze topology rendered with rail-chain language; not production-approved."
"NutationPeelCurveCurrent","Peel","curve_chain","strict_review_ready","4","2","0","0","2","2","2","2","0","1","0.973","0.966","6.59","12","8","6","0.41","0.023","0.837","0.231","16","7","peel_layered=4","peel_layer_chain=4","local_collapse=1;single_axis_sweep=1;staged_unlock=2","high_risk=2;watch=2","Current peel-curve review lane; some joined rows still use legacy peel_layer_chain detail."
"NutationPeelPatchV1","Peel","patch_chain","strict_near_miss","4","0","0","0","4","0","4","0","0","0","0.983","0.979","8.6","16","6","4","0.229","0.066","0.843","0.176","8","6","peel_layered=4","patch_chain=4","flow_spread=2;region_alternating_flow=2","high_risk=4","Peel topology rendered with short patch-chain language."
"NutationPeelRailV1","Peel","rail_chain","strict_review_ready","4","2","1","0","1","3","2","2","0","0","0.994","0.992","6.45","12","5","5","0.187","0.141","0.884","0.13","8","5","peel_layered=4","rail_chain=4","flow_spread=1;region_alternating_flow=1;staged_unlock=2","high_risk=2;watch=2","Peel topology rendered with straighter rail-chain language."
