"order","sectionWaveRole","readDemandGate","readDemandScore","observationPressureScore","chainCount","openerRatio","avgEscapeRayLength","shortRayRate","crossRegionEdgeRate","dependencyDepth","dependencyEdges","productionLane","productionStyle","productionChainLanguage","loadedAssetPath","gateReasons"
"305","Hard","ReadKeep","29.54","78.17","82","0.0366","0.963","1","0.2658","11","79","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_34_nutation_strict_mixed_hard_v1_rect_s31_o305_v01_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"186","Recovery","ReadKeep","29.46","78.88","71","0.0282","0.972","1","0.2899","10","69","Campaign500_HardGateUntil0910","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_06_nutation_mixed_neutral_v1_rect_s27_o262_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"195","Recovery","ReadKeep","29.42","78.85","71","0.0282","0.972","1","0.2899","10","69","FlowPatch","flow","patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_09_nutation_mixed_neutral_v1_rect_s46_o457_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"79","Recovery","ReadKeep","29.36","79.01","51","0.0588","0.961","1","0.2917","10","48","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"249","Hard","ReadKeep","29.14","81.2","50","0.06","0.94","1","0.3617","8","47","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_04_nutation_longchain_spine_v1_rect_c80hf_01_d1_lock_spine.asset","adjacent_blockers_saturated"
"231","Recovery","ReadKeep","29.03","77.84","69","0.0435","0.957","1","0.2576","10","66","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"345","Recovery","ReadKeep","29.03","77.84","69","0.0435","0.957","1","0.2576","10","66","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"206","Normal","ReadKeep","28.98","77.84","74","0.0405","0.959","1","0.2535","10","71","PeelHard","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_04_nutation_strict_mixed_hard_v1_rect_s02_o019_v03_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"191","Normal","ReadKeep","28.93","77.76","74","0.0541","0.946","1","0.2571","11","70","Campaign500_HardGateUntil0910","hardgate","choice_clamp_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_38_nutation_strict_mixed_choiceclamp_v1_rect_s15_o148_v01_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","adjacent_blockers_saturated"
"432","Hard","ReadKeep","28.62","77.08","99","0.0303","0.99","0.9899","0.2292","15","96","PeelMid","hub_spoke","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_06_s02_r02.asset","adjacent_blockers_saturated"
"229","Hard","ReadKeep","28.58","78.07","73","0.0274","0.973","1","0.2676","10","71","Campaign500_HardGateUntil0910","hardgate","strict_hard_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_10_nutation_strict_mixed_hard_v1_rect_s07_o070_v03_strictmixedhard_strict_hard_chain_hf1.asset","adjacent_blockers_saturated"
"107","PeakExtreme","ReadKeep","28.46","76.96","94","0.0532","0.968","0.9894","0.2247","16","89","HubMixed","hub","unknown_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","adjacent_blockers_saturated"
"105","Hard","ReadKeep","28.27","76.72","97","0.0515","0.979","0.9897","0.2174","16","92","hub_spoke","hub","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset","adjacent_blockers_saturated;cross_region_low"
"412","Hard","ReadKeep","28.27","76.94","101","0.0297","0.99","0.9901","0.2245","15","98","PeelMid","hub_spoke","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_08_s02_r04.asset","adjacent_blockers_saturated"
"149","PeakExtreme","ReadKeep","28.18","76.68","98","0.051","0.98","0.9898","0.2151","16","93","hub_spoke","hub","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_19_s05_r03.asset","adjacent_blockers_saturated;cross_region_low"
"36","Normal","ReadKeep","28.13","77.33","77","0.0649","0.935","1","0.2361","10","72","PeelLight","peel","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"476","Hard","ReadKeep","28.13","77.33","77","0.0649","0.935","1","0.2361","10","72","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"312","Hard","ReadKeep","28.1","76.77","99","0.0303","0.99","0.9899","0.2188","15","96","PeelMid","hub_spoke","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_02_s01_r02.asset","adjacent_blockers_saturated;cross_region_low"
"42","Normal","ReadKeep","28.08","77.3","76","0.0526","0.947","1","0.2361","10","72","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"66","Recovery","ReadKeep","28.06","77.26","70","0.0429","0.957","1","0.2388","11","67","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"154","PeakExtreme","ReadKeep","28.05","76.61","99","0.0505","0.98","0.9899","0.2128","16","94","hub_spoke","hub","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_20_s05_r04.asset","adjacent_blockers_saturated;cross_region_low"
"171","Recovery","ReadKeep","28.02","77.25","76","0.0526","0.947","1","0.2361","12","72","PeelMid","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_17_nutation_strict_mixed_hard_v1_rect_s24_o236_v00_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"259","Recovery","ReadNear","27.97","78.84","66","0.0455","0.955","1","0.2857","10","63","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"422","Normal","ReadNear","27.97","78.84","66","0.0455","0.955","1","0.2857","10","63","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"211","Recovery","ReadNear","27.93","77.19","71","0.0423","0.958","1","0.2353","11","68","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_28_nutation_mixed_neutral_v1_rect_s16_o155_v00_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"222","Normal","ReadNear","27.93","77.11","71","0.0704","0.93","1","0.2424","11","66","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_22_nutation_mixed_neutral_v1_rect_s50_o495_v01_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"271","Recovery","ReadNear","27.93","78","66","0.0303","0.97","1","0.2656","9","64","Campaign500_HardGateUntil0910","hardgate","strict_peak_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1.asset","adjacent_blockers_saturated"
"495","Recovery","ReadNear","27.93","77.11","71","0.0704","0.93","1","0.2424","11","66","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_22_nutation_mixed_neutral_v1_rect_s50_o495_v01_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"76","PeakExtreme","ReadNear","27.88","77.17","72","0.0417","0.958","1","0.2319","11","69","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine.asset","adjacent_blockers_saturated"
"352","Hard","ReadNear","27.83","76.94","101","0.0297","0.99","1","0.2245","15","98","PeelMid","hub_spoke","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_04_s01_r04.asset","adjacent_blockers_saturated"
"250","Normal","ReadNear","27.72","78.27","65","0.0308","0.969","1","0.2698","11","63","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"464","Hard","ReadNear","27.72","78.27","65","0.0308","0.969","1","0.2698","11","63","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"216","PeakExtreme","ReadNear","27.67","77.85","59","0.0678","0.932","1","0.2545","10","55","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_16_nutation_longchain_spine_v1_rect_c80hf3_04_d1_core_spine.asset","adjacent_blockers_saturated"
"57","Normal","ReadNear","27.62","77.01","82","0.0366","0.963","1","0.2278","10","79","PeelLight","peel","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"455","Normal","ReadNear","27.62","77.01","82","0.0366","0.963","1","0.2278","10","79","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"265","Recovery","ReadNear","27.57","76.95","64","0.0469","0.953","1","0.2295","13","61","Campaign500_HardGateUntil0910","hardgate","choice_clamp_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","adjacent_blockers_saturated"
"396","PeakExtreme","ReadNear","27.35","76.85","84","0.0357","0.964","1","0.2222","11","81","PressurePeak","maze_long_chain","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_19_nutation_longchain_patch_v1_rect_c80hf3_05_d1_section_patch.asset","adjacent_blockers_saturated"
"111","Recovery","ReadNear","27.34","77.69","83","0.0361","0.964","1","0.25","9","80","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_35_nutation_strict_mixed_peak_v1_rect_s22_o216_v02_strictmixedpeak_mixed_chain.asset","adjacent_blockers_saturated"
"80","Normal","ReadNear","27.27","77.31","73","0.0274","0.973","1","0.2394","11","71","FlowRail","flow","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"414","Recovery","ReadNear","27.27","77.31","73","0.0274","0.973","1","0.2394","11","71","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"49","Hard","ReadNear","27.09","77.64","79","0.0253","0.975","1","0.2468","12","77","PeelLight","peel","curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"482","Normal","ReadNear","27.09","77.64","79","0.0253","0.975","1","0.2468","12","77","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"112","PeakExtreme","ReadNear","27.07","76.69","92","0.0435","0.957","1","0.2159","15","88","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset","adjacent_blockers_saturated;cross_region_low"
"180","Recovery","ReadNear","27.06","77.53","70","0.0571","0.943","1","0.2424","9","66","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_28_nutation_mixed_neutral_v1_rect_s29_o282_v00_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"69","Hard","ReadNear","27","77.5","94","0.0319","0.968","1","0.2418","9","91","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","adjacent_blockers_saturated"
"329","PeakExtreme","ReadNear","27","77.5","94","0.0319","0.968","1","0.2418","9","91","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","adjacent_blockers_saturated"
"155","Normal","ReadNear","26.96","77.45","75","0.0667","0.933","1","0.2429","9","70","PeelMid","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated"
"115","Normal","ReadNear","26.91","78.93","70","0.0286","0.971","1","0.2941","8","68","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"429","Hard","ReadNear","26.78","76.52","84","0.0357","0.964","1","0.2099","12","81","PeelMid","maze_long_chain","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_34_nutation_longchain_rail_v1_rect_c80hf_09_d2_core_rail.asset","adjacent_blockers_saturated;cross_region_low"
"30","Normal","ReadNear","26.68","77.33","78","0.0256","0.974","1","0.2368","10","76","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"366","Recovery","ReadNear","26.68","77.33","78","0.0256","0.974","1","0.2368","10","76","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"202","Normal","ReadNear","26.61","77.19","71","0.0282","0.972","1","0.2319","11","69","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_37_nutation_mixed_neutral_v1_rect_s49_o481_v00_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"481","Recovery","ReadNear","26.61","77.19","71","0.0282","0.972","1","0.2319","11","69","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_37_nutation_mixed_neutral_v1_rect_s49_o481_v00_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"170","Recovery","ReadNear","26.55","76.38","76","0.0395","0.961","1","0.2055","11","73","Campaign500_HardGateUntil0910","hardgate","choice_clamp_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h05r/c5hole_lowchoice_v1_h05r_05_nutation_strict_mixed_choiceclamp_v1_rect_s20_o196_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","adjacent_blockers_saturated;cross_region_low"
"64","Normal","ReadNear","26.53","76.73","66","0.0455","0.955","1","0.2222","10","63","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_64_nutation_mixed_neutral_v1_rect_s19_o186_v00_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated"
"340","Normal","ReadNear","26.52","76.34","110","0.1182","0.882","1","0.2062","13","97","","","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_132_direct_normal_rect_section_unlock_g1_v14.asset","ray_too_local;adjacent_blockers_saturated;cross_region_low"
"41","Recovery","ReadNear","26.46","81.8","53","0.1132","0.887","1","0.383","9","47","FlowPatch","flow","patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset","ray_too_local;adjacent_blockers_saturated"
"120","Recovery","ReadNear","26.45","76.31","87","0.046","0.954","1","0.2048","12","83","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_16_nutation_strict_mixed_axisbreak_v1_rect_s21_o209_v03_strictmixedaxisbreak_axis_break_chain.asset","adjacent_blockers_saturated;cross_region_low"
"227","PeakExtreme","ReadNear","26.44","77.89","60","0.1","0.9","1","0.2593","13","54","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine.asset","adjacent_blockers_saturated"
"188","Normal","ReadNear","26.41","76.68","72","0.0417","0.958","1","0.2174","12","69","PeelMid","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated;cross_region_low"
"33","Normal","ReadNear","26.4","76.11","75","0.0533","0.96","1","0.1972","12","71","NeutralMixed","neutral","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated;cross_region_low"
"339","Normal","ReadNear","26.4","76.11","75","0.0533","0.96","1","0.1972","12","71","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated;cross_region_low"
"130","Normal","ReadNear","26.36","76.25","77","0.039","0.961","1","0.2027","10","74","PeelHard","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_01_nutation_strict_mixed_axisbreak_v1_rect_s15_o149_v00_strictmixedaxisbreak_axis_break_chain.asset","adjacent_blockers_saturated;cross_region_low"
"132","Hard","ReadNear","26.31","76.59","81","0.037","0.963","1","0.2179","10","78","PeelMid","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated;cross_region_low"
"394","Hard","ReadNear","26.31","76.59","81","0.037","0.963","1","0.2179","10","78","","","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated;cross_region_low"
"181","Recovery","ReadNear","26.27","77.03","77","0.039","0.961","1","0.2297","9","74","Campaign500_HardGateUntil0910","hardgate","strict_hard_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1.asset","adjacent_blockers_saturated"
"246","Recovery","ReadNear","26.26","76.17","66","0.0303","0.97","1","0.2031","12","64","FlowCurve","flow","curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_114_nutation_mixed_neutral_v1_rect_s36_o355_v02_neutralmixed_mixed_chain.asset","adjacent_blockers_saturated;cross_region_low"
"75","Hard","ReadNear","26.24","76.18","83","0.0361","0.964","1","0.2","12","80","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","adjacent_blockers_saturated;cross_region_low"
