"order","category","replacementMark","isPatch","finalStatus","sourceRoot","sourceKind","templateW","templateH","templateArea","actualW","actualH","actualArea","areaDelta","areaRatio","templateChains","actualChains","chainDelta","productionLane","chainLanguage","placementReason"
"17","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","18","20","360","18","20","360","0","1","37","37","0","","","unchanged_from_v3_or_non_normal"
"18","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","25","450","20","27","540","90","1.2","53","47","-6","FlowPatch","patch_chain","target=53;stageTarget=53;effective=52.5;chains=47;role=Normal;style=flow;chain=patch_chain;cost=26.5"
"19","normal","REPLACED","False","ReplacedRhythmV4Final","","normal","19","37","703","24","32","768","65","1.092","94","79","-15","Campaign500_HardGateUntil0910","strict_peak_chain","rhythm_v4_final|front20_peak_marker_upshift|swapped_from_order=128|target=94;stageTarget=64;effective=81.2;chains=79;style=hardgate;chain=strict_peak_chain"
"20","normal","REPLACED","False","ReplacedRhythmV4","","normal","15","22","330","18","24","432","102","1.309","41","38","-3","FlowRail","rail_chain","target=41;stageTarget=41;effective=40.6;chains=38;role=Normal;style=flow;chain=rail_chain;cost=23.0"
"21","normal","REPLACED","False","ReplacedRhythmV4","","normal","17","24","408","20","27","540","132","1.324","59","60","1","FlowPatch","patch_chain","target=59;stageTarget=59;effective=61.5;chains=60;role=Normal;style=flow;chain=patch_chain;cost=26.4"
"22","normal","REPLACED","False","ReplacedRhythmV4","","normal","16","24","384","20","27","540","156","1.406","55","58","3","NeutralMixed","mixed_chain","target=55;stageTarget=55;effective=63.0;chains=58;role=Normal;style=neutral;chain=mixed_chain;cost=43.5"
"23","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","37","29","1073","37","29","1073","0","1","69","87","18","","","unchanged_from_v3_or_non_normal"
"24","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","37","666","25","33","825","159","1.239","82","79","-3","PeelMid","rail_chain","target=82;stageTarget=82;effective=83.4;chains=79;role=Normal;style=peel;chain=rail_chain;cost=37.0"
"25","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","35","735","26","34","884","149","1.203","98","89","-9","PressurePeak","mixed_chain","target=98;stageTarget=96;effective=96.0;chains=89;role=Hard;style=hardgate;chain=mixed_chain;cost=26.3"
"26","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","18","26","468","18","26","468","0","1","42","42","0","","","unchanged_from_v3_or_non_normal"
"27","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","36","29","1044","36","29","1044","0","1","68","72","4","","","unchanged_from_v3_or_non_normal"
"28","normal","REPLACED","False","ReplacedRhythmV4","","normal","17","29","493","22","29","638","145","1.294","63","59","-4","FlowPatch","rail_chain","target=63;stageTarget=63;effective=63.5;chains=59;role=Normal;style=flow;chain=rail_chain;cost=36.2"
"29","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","35","770","26","34","884","114","1.148","98","90","-8","PressurePeak","mixed_chain","target=98;stageTarget=96;effective=97.4;chains=90;role=PeakExtreme;style=peel;chain=mixed_chain;cost=15.5"
"30","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","32","640","24","32","768","128","1.2","92","78","-14","NeutralMixed","mixed_chain","target=92;stageTarget=84;effective=82.5;chains=78;role=Normal;style=neutral;chain=mixed_chain;cost=55.4"
"31","normal","REPLACED","False","ReplacedRhythmV4","","normal","14","28","392","20","27","540","148","1.378","61","55","-6","FlowCurve","curve_chain","target=61;stageTarget=61;effective=59.9;chains=55;role=Normal;style=flow;chain=curve_chain;cost=32.3"
"32","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","36","36","1296","36","36","1296","0","1","67","83","16","","","unchanged_from_v3_or_non_normal"
"33","normal","REPLACED","False","ReplacedRhythmV4","","normal","19","33","627","22","30","660","33","1.053","78","75","-3","NeutralMixed","mixed_chain","target=78;stageTarget=78;effective=78.2;chains=75;role=Normal;style=neutral;chain=mixed_chain;cost=32.5"
"34","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","37","740","24","32","768","28","1.038","93","79","-14","PeelLight","rail_chain","target=93;stageTarget=84;effective=86.8;chains=79;role=Normal;style=peel;chain=rail_chain;cost=44.8"
"35","normal","REPLACED","False","ReplacedRhythmV4","","normal","17","29","493","22","30","660","167","1.339","65","65","0","NeutralMixed","mixed_chain","target=65;stageTarget=65;effective=67.6;chains=65;role=Normal;style=neutral;chain=mixed_chain;cost=29.1"
"36","normal","REPLACED","False","ReplacedRhythmV4","","normal","19","33","627","22","30","660","33","1.053","83","77","-6","PeelLight","rail_chain","target=83;stageTarget=83;effective=82.7;chains=77;role=Normal;style=peel;chain=rail_chain;cost=44.6"
"37","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","20","22","440","20","22","440","0","1","41","41","0","","","unchanged_from_v3_or_non_normal"
"38","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","40","32","1280","40","32","1280","0","1","100","88","-12","","","unchanged_from_v3_or_non_normal"
"39","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","35","770","26","35","910","140","1.182","101","86","-15","PeelMid","curve_chain","target=101;stageTarget=96;effective=96.1;chains=86;role=PeakExtreme;style=hardgate;chain=curve_chain;cost=16.0"
"40","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","33","726","28","38","1064","338","1.466","103","72","-31","maze_long_chain","spine_chain","target=103;stageTarget=96;effective=96.4;chains=72;role=Hard;style=longchain;chain=spine_chain;cost=38.6"
"41","normal","REPLACED","False","ReplacedRhythmV4","","normal","14","28","392","20","27","540","148","1.378","62","53","-9","FlowPatch","patch_chain","target=62;stageTarget=62;effective=58.9;chains=53;role=Recovery;style=flow;chain=patch_chain;cost=46.0"
"42","normal","REPLACED","False","ReplacedRhythmV4","","normal","19","33","627","22","30","660","33","1.053","80","76","-4","NeutralMixed","mixed_chain","target=80;stageTarget=80;effective=78.6;chains=76;role=Normal;style=neutral;chain=mixed_chain;cost=36.8"
"43","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","35","27","945","35","27","945","0","1","80","81","1","","","unchanged_from_v3_or_non_normal"
"44","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","32","640","25","33","825","185","1.289","86","84","-2","PeelMid","rail_chain","target=86;stageTarget=86;effective=85.9;chains=84;role=Hard;style=hardgate;chain=rail_chain;cost=16.1"
"45","normal","REPLACED","False","ReplacedRhythmV4","","normal","19","32","608","22","30","660","52","1.086","74","72","-2","Campaign500_HardGateUntil0910","mixed_chain","target=74;stageTarget=74;effective=74.5;chains=72;role=Recovery;style=neutral;chain=mixed_chain;cost=34.6"
"46","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","20","26","520","20","26","520","0","1","43","43","0","","","unchanged_from_v3_or_non_normal"
"47","normal","REPLACED","False","ReplacedRhythmV4","","normal","24","40","960","25","33","825","-135","0.859","117","84","-33","PeelMid","rail_chain","target=117;stageTarget=96;effective=95.5;chains=84;role=PeakExtreme;style=hardgate;chain=rail_chain;cost=20.7"
"48","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","34","49","1666","34","49","1666","0","1","78","76","-2","","","unchanged_from_v3_or_non_normal"
"49","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","34","680","24","32","768","88","1.129","89","79","-10","PeelLight","curve_chain","target=89;stageTarget=89;effective=88.9;chains=79;role=Hard;style=peel;chain=curve_chain;cost=28.9"
"50","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","30","540","22","30","660","120","1.222","67","67","0","NeutralMixed","mixed_chain","target=67;stageTarget=67;effective=68.7;chains=67;role=Recovery;style=neutral;chain=mixed_chain;cost=32.8"
"51","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","34","612","22","30","660","48","1.078","85","74","-11","PeelLight","curve_chain","target=85;stageTarget=84;effective=78.7;chains=74;role=Recovery;style=peel;chain=curve_chain;cost=56.0"
"52","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","31","682","22","30","660","-22","0.968","87","75","-12","PeelHard","rail_chain","target=87;stageTarget=87;effective=86.7;chains=75;role=Hard;style=hardgate;chain=rail_chain;cost=26.1"
"53","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","36","29","1044","36","29","1044","0","1","75","92","17","","","unchanged_from_v3_or_non_normal"
"54","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","18","26","468","18","26","468","0","1","43","43","0","","","unchanged_from_v3_or_non_normal"
"55","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","35","700","22","30","660","-40","0.943","94","74","-20","NeutralMixed","mixed_chain","target=94;stageTarget=84;effective=85.2;chains=74;role=Normal;style=neutral;chain=mixed_chain;cost=54.0"
"56","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","34","748","30","39","1170","422","1.564","96","79","-17","maze_long_chain","spine_chain","target=96;stageTarget=96;effective=99.0;chains=79;role=PeakExtreme;style=longchain;chain=spine_chain;cost=22.2"
"57","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","34","612","24","32","768","156","1.255","84","82","-2","PeelLight","rail_chain","target=84;stageTarget=84;effective=89.1;chains=82;role=Normal;style=peel;chain=rail_chain;cost=53.0"
"58","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","42","34","1428","42","34","1428","0","1","108","92","-16","","","unchanged_from_v3_or_non_normal"
"59","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","38","684","26","34","884","200","1.292","89","85","-4","PressurePeak","mixed_chain","target=89;stageTarget=89;effective=89.7;chains=85;role=PeakExtreme;style=hardgate;chain=mixed_chain;cost=11.0"
"60","normal","REPLACED","False","ReplacedRhythmV4","","normal","16","24","384","22","29","638","254","1.661","59","54","-5","FlowRail","rail_chain","target=59;stageTarget=59;effective=59.2;chains=54;role=Recovery;style=flow;chain=rail_chain;cost=41.3"
"61","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","18","26","468","18","26","468","0","1","43","43","0","","","unchanged_from_v3_or_non_normal"
"62","normal","REPLACED","False","ReplacedRhythmV4","","normal","17","24","408","22","30","660","252","1.618","63","67","4","FlowPatch","patch_chain","target=63;stageTarget=63;effective=68.2;chains=67;role=Normal;style=flow;chain=patch_chain;cost=39.7"
"63","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","38","38","1444","38","38","1444","0","1","72","70","-2","","","unchanged_from_v3_or_non_normal"
"64","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","28","560","22","30","660","100","1.179","66","66","0","NeutralMixed","mixed_chain","target=66;stageTarget=66;effective=70.4;chains=66;role=Normal;style=neutral;chain=mixed_chain;cost=36.8"
"65","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","37","814","23","31","713","-101","0.876","104","82","-22","PeelMid","rail_chain","target=104;stageTarget=96;effective=94.9;chains=82;role=PeakExtreme;style=peel;chain=rail_chain;cost=23.9"
"66","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","37","666","22","30","660","-6","0.991","89","70","-19","NeutralMixed","mixed_chain","target=89;stageTarget=84;effective=77.5;chains=70;role=Recovery;style=neutral;chain=mixed_chain;cost=61.5"
"67","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","38","30","1140","38","30","1140","0","1","104","91","-13","","","unchanged_from_v3_or_non_normal"
"68","normal","REPLACED","False","ReplacedRhythmV4","","normal","15","25","375","20","27","540","165","1.44","59","52","-7","FlowCurve","rail_chain","target=59;stageTarget=59;effective=58.0;chains=52;role=Normal;style=flow;chain=rail_chain;cost=38.4"
"69","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","35","770","26","34","884","114","1.148","100","94","-6","PressurePeak","mixed_chain","target=100;stageTarget=96;effective=99.5;chains=94;role=Hard;style=hardgate;chain=mixed_chain;cost=31.6"
"70","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","36","756","23","31","713","-43","0.943","103","81","-22","PeelMid","rail_chain","target=103;stageTarget=96;effective=91.8;chains=81;role=Hard;style=peel;chain=rail_chain;cost=41.9"
"71","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","22","24","528","22","24","528","0","1","45","45","0","","","unchanged_from_v3_or_non_normal"
"72","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","39","819","26","34","884","65","1.079","104","86","-18","PressurePeak","mixed_chain","target=104;stageTarget=96;effective=98.2;chains=86;role=PeakExtreme;style=hardgate;chain=mixed_chain;cost=19.5"
"73","shape","KEPT_SHAPE_FALLBACK","False","OriginalNonTarget","main","","36","36","1296","36","36","1296","0","1","82","82","0","","","unchanged_from_v3_or_non_normal"
"74","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","36","648","25","33","825","177","1.273","87","82","-5","PeelMid","rail_chain","target=87;stageTarget=84;effective=89.3;chains=82;role=Normal;style=peel;chain=rail_chain;cost=55.8"
"75","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","38","760","24","32","768","8","1.011","103","83","-20","PressurePeak","mixed_chain","target=103;stageTarget=96;effective=95.2;chains=83;role=Hard;style=hardgate;chain=mixed_chain;cost=36.9"
"76","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","34","714","28","36","1008","294","1.412","94","72","-22","maze_long_chain","spine_chain","target=94;stageTarget=94;effective=90.3;chains=72;role=PeakExtreme;style=longchain;chain=spine_chain;cost=24.2"
"77","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","29","522","20","27","540","18","1.034","48","46","-2","FlowCurve","curve_chain","target=48;stageTarget=48;effective=48.1;chains=46;role=Normal;style=flow;chain=curve_chain;cost=19.4"
"78","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","38","49","1862","38","49","1862","0","1","87","84","-3","","","unchanged_from_v3_or_non_normal"
"79","normal","REPLACED","False","ReplacedRhythmV4","","normal","19","27","513","20","27","540","27","1.053","58","51","-7","NeutralMixed","mixed_chain","target=58;stageTarget=58;effective=59.8;chains=51;role=Recovery;style=neutral;chain=mixed_chain;cost=49.3"
"80","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","32","704","22","30","660","-44","0.938","89","73","-16","FlowRail","rail_chain","target=89;stageTarget=84;effective=78.7;chains=73;role=Normal;style=flow;chain=rail_chain;cost=58.4"
"81","normal","REPLACED","False","ReplacedRhythmV4","","normal","16","24","384","18","24","432","48","1.125","46","43","-3","FlowRail","rail_chain","target=46;stageTarget=46;effective=45.7;chains=43;role=Recovery;style=flow;chain=rail_chain;cost=25.8"
"82","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","22","24","528","22","24","528","0","1","45","45","0","","","unchanged_from_v3_or_non_normal"
"83","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","40","34","1360","40","34","1360","0","1","103","91","-12","","","unchanged_from_v3_or_non_normal"
"84","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","32","672","25","33","825","153","1.228","88","80","-8","PeelMid","curve_chain","target=88;stageTarget=88;effective=87.0;chains=80;role=Hard;style=hardgate;chain=curve_chain;cost=28.9"
"85","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","36","720","24","32","768","48","1.067","92","79","-13","NeutralMixed","mixed_chain","target=92;stageTarget=92;effective=90.6;chains=79;role=Recovery;style=neutral;chain=mixed_chain;cost=66.7"
"86","normal","REPLACED","False","ReplacedRhythmV4","","normal","16","28","448","20","27","540","92","1.205","55","51","-4","FlowRail","rail_chain","target=55;stageTarget=55;effective=56.6;chains=51;role=Normal;style=flow;chain=rail_chain;cost=35.0"
"87","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","40","32","1280","40","32","1280","0","1","107","95","-12","","","unchanged_from_v3_or_non_normal"
"88","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","38","760","26","34","884","124","1.163","101","93","-8","PressurePeak","mixed_chain","target=101;stageTarget=101;effective=103.2;chains=93;role=Hard;style=hardgate;chain=mixed_chain;cost=36.7"
"89","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","34","714","32","40","1280","566","1.793","100","73","-27","maze_long_chain","spine_chain","target=100;stageTarget=100;effective=100.8;chains=73;role=PeakExtreme;style=longchain;chain=spine_chain;cost=23.3"
"90","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","34","748","26","34","884","136","1.182","98","87","-11","PressurePeak","mixed_chain","target=98;stageTarget=98;effective=99.4;chains=87;role=Hard;style=hardgate;chain=mixed_chain;cost=36.9"
"91","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","26","22","572","26","22","572","0","1","47","47","0","","","unchanged_from_v3_or_non_normal"
"92","normal","REPLACED","False","ReplacedRhythmV4","","normal","16","25","400","18","24","432","32","1.08","48","42","-6","FlowPatch","patch_chain","target=48;stageTarget=48;effective=48.1;chains=42;role=Normal;style=flow;chain=patch_chain;cost=33.0"
"93","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","37","29","1073","37","29","1073","0","1","86","92","6","","","unchanged_from_v3_or_non_normal"
"94","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","39","819","27","36","972","153","1.187","107","100","-7","PressurePeak","mixed_chain","target=107;stageTarget=107;effective=108.5;chains=100;role=Hard;style=hardgate;chain=mixed_chain;cost=32.9"
"95","normal","REPLACED","False","ReplacedRhythmV4","","normal","15","27","405","20","27","540","135","1.333","61","52","-9","FlowRail","rail_chain","target=61;stageTarget=61;effective=60.4;chains=52;role=Normal;style=flow;chain=rail_chain;cost=42.7"
"96","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","37","851","27","36","972","121","1.142","110","100","-10","PressurePeak","mixed_chain","target=110;stageTarget=110;effective=111.0;chains=100;role=PeakExtreme;style=hardgate;chain=mixed_chain;cost=22.6"
"97","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","38","798","25","33","825","27","1.034","102","82","-20","PeelMid","rail_chain","target=102;stageTarget=102;effective=98.1;chains=82;role=Hard;style=peel;chain=rail_chain;cost=56.7"
"98","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","34","42","1428","34","42","1428","0","1","87","70","-17","","","unchanged_from_v3_or_non_normal"
"99","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","34","748","26","34","884","136","1.182","101","94","-7","PressurePeak","mixed_chain","target=101;stageTarget=101;effective=104.8;chains=94;role=Normal;style=hardgate;chain=mixed_chain;cost=72.2"
"100","normal","REPLACED","False","ReplacedRhythmV4","","normal","16","24","384","18","24","432","48","1.125","49","43","-6","FlowCurve","curve_chain","target=49;stageTarget=49;effective=48.5;chains=43;role=Normal;style=flow;chain=curve_chain;cost=33.9"
"101","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","22","24","528","22","24","528","0","1","47","47","0","","","unchanged_from_v3_or_non_normal"
"102","normal","REPLACED","False","ReplacedRhythmV4","","normal","15","26","390","20","27","540","150","1.385","57","56","-1","Campaign500_HardGateUntil0910","unknown_chain","target=57;stageTarget=57;effective=58.0;chains=56;role=Normal;style=hardgate;chain=unknown_chain;cost=36.1"
"103","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","44","38","1672","44","38","1672","0","1","102","101","-1","","","unchanged_from_v3_or_non_normal"
"104","normal","REPLACED","False","ReplacedRhythmV4",".worktrees/campaign500-longchain-prod200-pool","normal","21","36","756","19","27","513","-243","0.679","102","36","-66","slot_seedmaze_section_weave","family_profile_chain","target=102;stageTarget=102;effective=101.1;chains=36;role=Hard;style=longchain;chain=family_profile_chain;cost=57.1"
"105","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","40","920","23","31","713","-207","0.775","117","97","-20","hub_spoke","mixed_chain","target=117;stageTarget=117;effective=115.5;chains=97;role=Hard;style=hub;chain=mixed_chain;cost=53.5"
"106","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","36","648","23","31","713","65","1.1","86","78","-8","PeelMid","curve_chain","target=86;stageTarget=86;effective=86.2;chains=78;role=Normal;style=hardgate;chain=curve_chain;cost=52.8"
"107","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","36","756","23","31","713","-43","0.943","105","94","-11","HubMixed","unknown_chain","target=105;stageTarget=105;effective=112.6;chains=94;role=PeakExtreme;style=hub;chain=unknown_chain;cost=40.3"
"108","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","42","36","1512","42","36","1512","0","1","89","80","-9","","","unchanged_from_v3_or_non_normal"
"109","normal","REPLACED","False","ReplacedRhythmV4","","normal","23","37","851","27","36","972","121","1.142","108","90","-18","PressurePeak","mixed_chain","target=108;stageTarget=108;effective=107.5;chains=90;role=PeakExtreme;style=hardgate;chain=mixed_chain;cost=31.4"
"110","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","37","777","26","35","910","133","1.171","104","87","-17","PeelMid","rail_chain","target=104;stageTarget=104;effective=104.7;chains=87;role=Recovery;style=hardgate;chain=rail_chain;cost=111.8"
"111","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","35","700","24","32","768","68","1.097","89","83","-6","PressurePeak","mixed_chain","target=89;stageTarget=89;effective=91.6;chains=83;role=Recovery;style=hardgate;chain=mixed_chain;cost=65.7"
"112","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","38","836","36","40","1440","604","1.722","108","92","-16","maze_long_chain","spine_chain","target=108;stageTarget=108;effective=118.4;chains=92;role=PeakExtreme;style=longchain;chain=spine_chain;cost=45.5"
"113","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","34","49","1666","34","49","1666","0","1","97","95","-2","","","unchanged_from_v3_or_non_normal"
"114","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","37","666","25","33","825","159","1.239","94","81","-13","PeelMid","curve_chain","target=94;stageTarget=94;effective=94.2;chains=81;role=Recovery;style=hardgate;chain=curve_chain;cost=69.3"
"115","normal","REPLACED","False","ReplacedRhythmV4","","normal","18","33","594","22","30","660","66","1.111","74","70","-4","NeutralMixed","mixed_chain","target=74;stageTarget=74;effective=74.5;chains=70;role=Normal;style=neutral;chain=mixed_chain;cost=31.1"
"116","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","34","680","24","32","768","88","1.129","89","82","-7","PeelHard","rail_chain","target=89;stageTarget=89;effective=91.5;chains=82;role=Hard;style=hardgate;chain=rail_chain;cost=29.7"
"117","hole","KEPT_CURRENT","False","OriginalNonTarget","main","","22","26","572","22","26","572","0","1","49","49","0","","","unchanged_from_v3_or_non_normal"
"118","shape","REPLACED","False","ShapeCandidatePlanned",".worktrees/mask-psg-production","shape_psg_inventory","34","47","1598","34","47","1598","0","1","95","98","3","","","unchanged_from_v3_or_non_normal"
"119","normal","REPLACED","False","ReplacedRhythmV4","","normal","21","36","756","22","28","616","-140","0.815","102","43","-59","CampaignLongChainLab","long_chain","target=102;stageTarget=102;effective=96.1;chains=43;role=PeakExtreme;style=longchain;chain=long_chain;cost=40.9"
"120","normal","REPLACED","False","ReplacedRhythmV4","","normal","22","38","836","24","32","768","-68","0.919","106","87","-19","PressurePeak","mixed_chain","target=106;stageTarget=106;effective=104.9;chains=87;role=Recovery;style=hardgate;chain=mixed_chain;cost=95.9"
"121","normal","REPLACED","False","ReplacedRhythmV4","","normal","17","24","408","20","27","540","132","1.324","51","45","-6","FlowRail","rail_chain","target=51;stageTarget=51;effective=50.5;chains=45;role=Recovery;style=flow;chain=rail_chain;cost=39.8"
"122","normal","REPLACED","False","ReplacedRhythmV4","","normal","20","32","640","26","34","884","244","1.381","89","79","-10","PressurePeak","mixed_chain","target=89;stageTarget=89;effective=90.6;chains=79;role=Normal;style=peel;chain=mixed_chain;cost=62.7"
