"order","category","replacementMark","finalStatus","width","height","area","aspect","chains","arrowTiles","coverage","isPatch","patchKind","productionLane","productionStyle","chainLanguage"
"131","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","72","756","0.984","False","","NeutralMixed","neutral","mixed_chain"
"132","normal","REPLACED","ReplacedRhythmV4","25","33","825","0.758","81","809","0.981","False","","PeelMid","hardgate","rail_chain"
"133","shape","REPLACED","ShapeCandidatePlanned","34","47","1598","0.723","88","697","0.436","False","","","Sweep",""
"134","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","50","535","0.991","False","","FlowRail","flow","rail_chain"
"135","hole","KEPT_CURRENT","OriginalNonTarget","20","30","600","0.667","52","510","0.85","False","","","",""
"136","normal","REPLACED","ReplacedRhythmV4","34","42","1428","0.81","99","1364","0.955","False","","maze_long_chain","longchain","spine_chain"
"137","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","72","650","0.985","False","","NeutralMixed","neutral","mixed_chain"
"138","shape","REPLACED","ShapeCandidatePlanned","28","44","1232","0.636","90","740","0.601","False","","","SectionUnlock",""
"139","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","85","754","0.982","False","","PeelHard","hardgate","rail_chain"
"140","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","80","755","0.983","False","","Campaign500_HardGateUntil0910","hardgate","strict_peak_chain"
"141","normal","REPLACED","ReplacedRhythmV4","26","34","884","0.765","92","862","0.975","False","","Campaign500_HardGateUntil0910","hardgate","curve_chain"
"142","hole","KEPT_CURRENT","OriginalNonTarget","26","24","624","1.083","50","536","0.859","False","","","",""
"143","shape","REPLACED","ShapeCandidatePlanned","42","34","1428","1.235","89","759","0.532","False","","","DenseWeave",""
"144","normal","REPLACED","ReplacedRhythmV4","23","28","644","0.821","40","609","0.946","False","","slot_seedmaze_chamber_corridor","longchain","family_profile_chain"
"145","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","77","702","0.985","False","","PeelMid","hardgate","curve_chain"
"146","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","71","645","0.977","False","","NeutralMixed","neutral","rail_chain"
"147","shape","REPLACED","ShapeCandidatePlanned","44","43","1892","1.023","106","859","0.454","False","","","LockBuckle",""
"148","normal","REPLACED","ReplacedRhythmV4","21","27","567","0.778","34","539","0.951","False","","slot_headmix_outerclean","longchain","family_profile_chain"
"149","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","98","682","0.957","False","","hub_spoke","hub","mixed_chain"
"150","normal","REPLACED","ReplacedRhythmV4","26","35","910","0.743","84","902","0.991","False","","PeelMid","hardgate","rail_chain"
"151","hole","KEPT_CURRENT","OriginalNonTarget","30","30","900","1","84","810","0.9","False","","","",""
"152","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","82","689","0.966","False","","Campaign500_HardGateUntil0910","hardgate","curve_chain"
"153","shape","REPLACED","ShapeCandidatePlanned","43","38","1634","1.132","131","1056","0.646","False","","","DenseWeave",""
"154","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","99","686","0.962","False","","hub_spoke","hub","mixed_chain"
"155","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","75","703","0.986","False","","PeelMid","hardgate","rail_chain"
"156","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","74","728","0.948","False","","maze_long_chain","longchain","patch_chain"
"157","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","80","751","0.978","False","","PressurePeak","hardgate","mixed_chain"
"158","shape","REPLACED","ShapeCandidatePlanned","43","43","1849","1","96","837","0.453","False","","","CoreBurst",""
"159","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","71","649","0.983","False","","PeelLight","peel","rail_chain"
"160","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","69","655","0.992","False","","NeutralMixed","neutral","mixed_chain"
"161","normal","REPLACED","ReplacedRhythmV4","20","27","540","0.741","47","538","0.996","False","","FlowRail","flow","rail_chain"
"162","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","74","701","0.983","False","","Campaign500_HardGateUntil0910","hardgate","unknown_chain"
"163","shape","REPLACED","ShapeCandidatePlanned","34","42","1428","0.81","90","679","0.475","False","","","DenseWeave",""
"164","normal","REPLACED","ReplacedRhythmV4","21","30","630","0.7","37","596","0.946","False","","slot_seedlock_gate_carrier","longchain","family_profile_chain"
"165","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","72","650","0.985","False","","NeutralMixed","neutral","mixed_chain"
"166","normal","REPLACED","ReplacedRhythmV4","34","42","1428","0.81","101","1365","0.956","False","","maze_long_chain","longchain","spine_chain"
"167","hole","KEPT_CURRENT","OriginalNonTarget","22","26","572","0.846","53","485","0.848","False","","","",""
"168","shape","REPLACED","ShapeCandidatePlanned","38","49","1862","0.776","118","1004","0.539","False","","","LockBuckle",""
"169","normal","REPLACED","ReplacedRhythmV4","35","42","1470","0.833","109","1404","0.955","False","","maze_long_chain","longchain","spine_chain"
"170","normal","REPLACED","ReplacedRhythmV4","24","32","768","0.75","76","754","0.982","False","","Campaign500_HardGateUntil0910","hardgate","choice_clamp_chain"
"171","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","76","705","0.989","False","","PeelMid","hardgate","rail_chain"
"172","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","70","675","0.947","False","","maze_long_chain","longchain","patch_chain"
"173","shape","REPLACED","ShapeCandidatePlanned","44","38","1672","1.158","107","843","0.504","False","","","DenseWeave",""
"174","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","74","701","0.983","False","","Campaign500_HardGateUntil0910","hardgate","choice_clamp_chain"
"175","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","71","649","0.983","False","","NeutralMixed","neutral","mixed_chain"
"176","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","73","647","0.98","False","","Campaign500_HardGateUntil0910","hardgate","strict_peak_chain"
"177","hole","KEPT_CURRENT","OriginalNonTarget","28","22","616","1.273","52","529","0.859","False","","","",""
"178","shape","REPLACED","ShapeCandidatePlanned","38","34","1292","1.118","90","791","0.612","False","","","CoreBurst",""
"179","normal","REPLACED","ReplacedRhythmV4","28","38","1064","0.737","65","977","0.918","False","","maze_long_chain","longchain","spine_chain"
"180","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","70","650","0.985","False","","NeutralMixed","neutral","mixed_chain"
"181","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","77","700","0.982","False","","Campaign500_HardGateUntil0910","hardgate","strict_hard_chain"
"182","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","71","650","0.985","False","","NeutralMixed","neutral","mixed_chain"
"183","shape","REPLACED","ShapeCandidatePlanned","42","42","1764","1","91","749","0.425","False","","","Sweep",""
"184","hole","KEPT_CURRENT","OriginalNonTarget","24","28","672","0.857","55","583","0.868","False","","","",""
"185","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","75","705","0.989","False","","PeelMid","hardgate","curve_chain"
"186","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","71","650","0.985","False","","Campaign500_HardGateUntil0910","neutral","mixed_chain"
"187","shape","REPLACED","ShapeCandidatePlanned","30","42","1260","0.714","90","725","0.575","False","","","CoreBurst",""
"188","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","72","706","0.99","False","","PeelMid","hardgate","rail_chain"
"189","normal","REPLACED","ReplacedRhythmV4","17","24","408","0.708","22","376","0.922","False","","slot_headmix_outerclean","longchain","family_profile_chain"
"190","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","69","642","0.973","False","","NeutralMixed","neutral","mixed_chain"
"191","normal","REPLACED","ReplacedRhythmV4","23","31","713","0.742","74","706","0.99","False","","Campaign500_HardGateUntil0910","hardgate","choice_clamp_chain"
"192","hole","KEPT_CURRENT","OriginalNonTarget","28","28","784","1","82","697","0.889","False","","","",""
"193","shape","REPLACED","ShapeCandidatePlanned","44","40","1760","1.1","104","861","0.489","False","","","DenseWeave",""
"194","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","70","656","0.994","False","","NeutralMixed","neutral","mixed_chain"
"195","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","71","644","0.976","False","","FlowPatch","flow","patch_chain"
"196","normal","REPLACED","ReplacedRhythmV4","35","42","1470","0.833","125","1406","0.956","False","","maze_long_chain","longchain","rail_chain"
"197","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","70","652","0.988","False","","NeutralMixed","neutral","mixed_chain"
"198","shape","REPLACED","ShapeCandidatePlanned","40","38","1520","1.053","101","751","0.494","False","","","LockBuckle",""
"199","normal","REPLACED","ReplacedRhythmV4","17","24","408","0.708","24","384","0.941","False","","slot_seedlock_section_bridge","longchain","family_profile_chain"
"200","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","69","648","0.982","False","","NeutralMixed","neutral","mixed_chain"
"201","hole","KEPT_CURRENT","OriginalNonTarget","26","24","624","1.083","56","538","0.862","False","","","",""
"202","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","71","656","0.994","False","","NeutralMixed","neutral","mixed_chain"
"203","shape","REPLACED","ShapeCandidatePlanned","34","49","1666","0.694","101","832","0.499","False","","","Sweep",""
"204","normal","REPLACED","ReplacedRhythmV4","18","25","450","0.72","35","426","0.947","False","","slot_seedmaze_chamber_corridor","longchain","family_profile_chain"
"205","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","70","655","0.992","False","","NeutralMixed","neutral","mixed_chain"
"206","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","74","646","0.979","False","","PeelHard","hardgate","rail_chain"
"207","shape","REPLACED","ShapeCandidatePlanned","38","38","1444","1","112","856","0.593","False","","","SectionUnlock",""
"208","normal","REPLACED","ReplacedRhythmV4","17","23","391","0.739","27","365","0.934","False","","slot_seedlock_gate_carrier","longchain","family_profile_chain"
"209","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","61","627","0.95","False","","maze_long_chain","longchain","patch_chain"
"210","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","69","645","0.977","False","","NeutralMixed","neutral","mixed_chain"
"211","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","71","650","0.985","False","","NeutralMixed","neutral","mixed_chain"
"212","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","71","653","0.989","False","","Campaign500_HardGateUntil0910","hardgate","strict_peak_chain"
"213","shape","REPLACED","ShapeCandidatePlanned","44","43","1892","1.023","114","935","0.494","False","","","DualZone",""
"214","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","69","654","0.991","False","","NeutralMixed","neutral","mixed_chain"
"215","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","70","639","0.968","False","","Campaign500_HardGateUntil0910","hardgate","curve_chain"
"216","normal","REPLACED","ReplacedRhythmV4","24","34","816","0.706","59","773","0.947","False","","maze_long_chain","longchain","spine_chain"
"217","hole","KEPT_CURRENT","OriginalNonTarget","28","22","616","1.273","56","540","0.877","False","","","",""
"218","shape","REPLACED","ShapeCandidatePlanned","40","36","1440","1.111","106","820","0.569","False","","","SectionUnlock",""
"219","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","67","653","0.989","False","","PeelHard","hardgate","curve_chain"
"220","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","70","651","0.986","False","","NeutralMixed","neutral","mixed_chain"
"221","normal","REPLACED","ReplacedRhythmV4","26","35","910","0.743","58","845","0.929","False","","maze_long_chain","longchain","spine_chain"
"222","normal","REPLACED","ReplacedRhythmV4","22","30","660","0.733","71","653","0.989","False","","NeutralMixed","neutral","mixed_chain"
"223","shape","REPLACED","ShapeCandidatePlanned","38","47","1786","0.809","103","805","0.451","False","","","Sweep",""
