"order","category","finalStatus","loadMode","width","height","area","aspect","chains","arrowTiles","coverage","path"
"22","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","58","536","0.993","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset"
"23","shape","ShapeCandidatePlanned","ManifestAsset","37","29","1073","1.276","87","735","0.685","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset"
"24","normal","ReplacedRhythmV4","ManifestAsset","25","33","825","0.758","79","817","0.99","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain.asset"
"25","normal","ReplacedRhythmV4","ManifestAsset","26","34","884","0.765","89","871","0.985","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset"
"26","hole","OriginalNonTarget","BasePreviewFallback","18","26","468","0.692","42","385","0.823","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset"
"27","shape","ShapeCandidatePlanned","ManifestAsset","36","29","1044","1.241","72","588","0.563","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset"
"28","normal","ReplacedRhythmV4","ManifestAsset","22","29","638","0.759","59","633","0.992","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset"
"29","normal","ReplacedRhythmV4","ManifestAsset","26","34","884","0.765","90","871","0.985","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset"
"30","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","78","763","0.993","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset"
"31","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","55","531","0.983","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset"
"32","shape","ShapeCandidatePlanned","ManifestAsset","36","36","1296","1","83","667","0.515","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset"
"33","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","75","651","0.986","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain.asset"
"34","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","79","759","0.988","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain.asset"
"35","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","65","652","0.988","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain.asset"
"36","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","77","650","0.985","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain.asset"
"37","hole","OriginalNonTarget","BasePreviewFallback","20","22","440","0.909","41","357","0.811","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset"
"38","shape","ShapeCandidatePlanned","ManifestAsset","40","32","1280","1.25","88","718","0.561","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset"
"39","normal","ReplacedRhythmV4","ManifestAsset","26","35","910","0.743","86","888","0.976","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain.asset"
"40","normal","ReplacedRhythmV4","ManifestAsset","28","38","1064","0.737","72","1010","0.949","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_36_nutation_longchain_spine_v1_rect_c80hf_09_d2_core_spine.asset"
"41","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","53","535","0.991","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset"
"42","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","76","656","0.994","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain.asset"
"43","shape","ShapeCandidatePlanned","ManifestAsset","35","27","945","1.296","81","645","0.683","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_05_L043_sunglasses.asset"
"44","normal","ReplacedRhythmV4","ManifestAsset","25","33","825","0.758","84","814","0.987","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset"
"45","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","72","654","0.991","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain.asset"
"46","hole","OriginalNonTarget","BasePreviewFallback","20","26","520","0.769","43","437","0.84","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset"
"47","normal","ReplacedRhythmV4","ManifestAsset","25","33","825","0.758","84","809","0.981","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_12_nutation_strict_mixed_hard_v1_rect_s30_o296_v03_strictmixedhard_mixed_chain.asset"
"48","shape","ShapeCandidatePlanned","ManifestAsset","34","49","1666","0.694","76","629","0.378","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_06_L048_kite.asset"
"49","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","79","759","0.988","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset"
"50","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","67","651","0.986","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain.asset"
"51","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","74","650","0.985","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain.asset"
"52","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","75","653","0.989","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain.asset"
"53","shape","ShapeCandidatePlanned","ManifestAsset","36","29","1044","1.241","92","816","0.782","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_07_L053_camera.asset"
"54","hole","OriginalNonTarget","BasePreviewFallback","18","26","468","0.692","43","388","0.829","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset"
"55","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","74","648","0.982","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain.asset"
"56","normal","ReplacedRhythmV4","ManifestAsset","30","39","1170","0.769","79","1116","0.954","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_44_nutation_longchain_spine_v1_rect_c80hf_11_d2_lock_spine.asset"
"57","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","82","757","0.986","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain.asset"
"58","shape","ShapeCandidatePlanned","ManifestAsset","42","34","1428","1.235","92","759","0.532","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_04_L058_bicycle_dense.asset"
"59","normal","ReplacedRhythmV4","ManifestAsset","26","34","884","0.765","85","868","0.982","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain.asset"
"60","normal","ReplacedRhythmV4","ManifestAsset","22","29","638","0.759","54","634","0.994","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset"
"61","hole","OriginalNonTarget","BasePreviewFallback","18","26","468","0.692","43","386","0.825","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset"
"62","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","67","653","0.989","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset"
"63","shape","ShapeCandidatePlanned","ManifestAsset","38","38","1444","1","70","515","0.357","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_09_L063_sailboat.asset"
"64","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","66","651","0.986","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_64_nutation_mixed_neutral_v1_rect_s19_o186_v00_neutralmixed_mixed_chain.asset"
"65","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","82","699","0.98","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain.asset"
"66","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","70","651","0.986","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain.asset"
"67","shape","ShapeCandidatePlanned","ManifestAsset","38","30","1140","1.267","91","764","0.67","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_10_L067_pager.asset"
"68","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","52","532","0.985","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset"
"69","normal","ReplacedRhythmV4","ManifestAsset","26","34","884","0.765","94","869","0.983","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset"
"70","normal","ReplacedRhythmV4","ManifestAsset","23","31","713","0.742","81","704","0.987","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset"
"71","hole","OriginalNonTarget","BasePreviewFallback","22","24","528","0.917","45","447","0.847","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_019_std_22x24_section.asset"
"72","normal","ReplacedRhythmV4","ManifestAsset","26","34","884","0.765","86","873","0.988","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain.asset"
"73","shape","OriginalNonTarget","BasePreviewFallback","36","36","1296","1","82","737","0.569","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L073_windmill_compact.asset"
"74","normal","ReplacedRhythmV4","ManifestAsset","25","33","825","0.758","82","815","0.988","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain.asset"
"75","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","83","762","0.992","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset"
"76","normal","ReplacedRhythmV4","ManifestAsset","28","36","1008","0.778","72","955","0.947","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine.asset"
"77","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","46","536","0.993","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset"
"78","shape","ShapeCandidatePlanned","ManifestAsset","38","49","1862","0.776","84","700","0.376","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_07_L078_pencil_section.asset"
"79","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","51","530","0.981","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_06_nutation_mixed_neutral_v1_rect_s01_o005_v02_neutralmixed_mixed_chain.asset"
"80","normal","ReplacedRhythmV4","ManifestAsset","22","30","660","0.733","73","651","0.986","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset"
"81","normal","ReplacedRhythmV4","ManifestAsset","18","24","432","0.75","43","428","0.991","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset"
"82","hole","OriginalNonTarget","BasePreviewFallback","22","24","528","0.917","45","441","0.835","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset"
"83","shape","ShapeCandidatePlanned","ManifestAsset","40","34","1360","1.176","91","709","0.521","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset"
"84","normal","ReplacedRhythmV4","ManifestAsset","25","33","825","0.758","80","815","0.988","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain.asset"
"85","normal","ReplacedRhythmV4","ManifestAsset","24","32","768","0.75","79","759","0.988","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain.asset"
"86","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","51","532","0.985","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain.asset"
"87","shape","ShapeCandidatePlanned","ManifestAsset","40","32","1280","1.25","95","751","0.587","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_03_L087_racingkart.asset"
"88","normal","ReplacedRhythmV4","ManifestAsset","26","34","884","0.765","93","871","0.985","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_22_nutation_strict_mixed_hard_v1_rect_s31_o309_v05_strictmixedhard_mixed_chain.asset"
"89","normal","ReplacedRhythmV4","ManifestAsset","32","40","1280","0.8","73","1201","0.938","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_52_nutation_longchain_spine_v1_rect_c80_13_d3_weave_spine.asset"
"90","normal","ReplacedRhythmV4","ManifestAsset","26","34","884","0.765","87","872","0.986","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain.asset"
"91","hole","OriginalNonTarget","BasePreviewFallback","26","22","572","1.182","47","491","0.858","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_071_wide_26x22_maze.asset"
"92","normal","ReplacedRhythmV4","ManifestAsset","18","24","432","0.75","42","430","0.995","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain.asset"
"93","shape","ShapeCandidatePlanned","ManifestAsset","37","29","1073","1.276","92","742","0.692","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_11_L093_wrappedcandy_sweep.asset"
"94","normal","ReplacedRhythmV4","ManifestAsset","27","36","972","0.75","100","954","0.981","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset"
"95","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","52","533","0.987","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain.asset"
"96","normal","ReplacedRhythmV4","ManifestAsset","27","36","972","0.75","100","962","0.99","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset"
"97","normal","ReplacedRhythmV4","ManifestAsset","25","33","825","0.758","82","811","0.983","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain.asset"
"98","shape","ShapeCandidatePlanned","ManifestAsset","34","42","1428","0.81","70","577","0.404","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_05_L098_phonehandset.asset"
"99","normal","ReplacedRhythmV4","ManifestAsset","26","34","884","0.765","94","868","0.982","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smp/c5nep_w10smp_40_nutation_strict_mixed_peak_v1_rect_s23_o227_v03_strictmixedpeak_mixed_chain.asset"
"100","normal","ReplacedRhythmV4","ManifestAsset","18","24","432","0.75","43","427","0.988","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset"
"101","hole","OriginalNonTarget","BasePreviewFallback","22","24","528","0.917","47","448","0.848","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_020_std_22x24_dense.asset"
"102","normal","ReplacedRhythmV4","ManifestAsset","20","27","540","0.741","56","529","0.98","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1.asset"
