"order","sectionWaveRole","finalStatus","productionLane","productionStyle","productionChainLanguage","loadedAssetPath","width","height","chainCount","maxChainLen","avgChainLen","validEscapeChains","blockedChains","blockCellBlockedChains","openerRatio","decoyToOpenerRatio","dependencyEdges","dependencyDensity","dependencyDepth","dependencyCycleHits","crossRegionEdges","crossRegionEdgeRate","sameRegionEdgeRate","criticalBlockerChains","avgEscapeRayLength","longRayRate","immediateRayRate","shortRayRate","regionEntropy","observationPressureScore","observationClass","readDemandScore","readDemandClass","notes"
"49","Hard","ReplacedRhythmV4","PeelLight","peel","curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset","24","32","79","21","9.608","2","77","0","0.0253","38.5","77","0.9747","12","0","19","0.2468","0.7532","22","0.975","0","1","1","0.9957","77.64","HighObservation","27.09","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"52","Hard","ReplacedRhythmV4","PeelHard","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain.asset","22","30","75","21","8.707","4","71","0","0.0533","17.75","71","0.9467","10","0","11","0.1549","0.8451","21","0.947","0","1","1","0.9942","74.77","HighObservation","23.91","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"56","PeakExtreme","ReplacedRhythmV4","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_44_nutation_longchain_spine_v1_rect_c80hf_11_d2_lock_spine.asset","30","39","79","26","14.127","4","75","0","0.0506","18.75","75","0.9494","7","0","27","0.36","0.64","20","0.949","0","1","1","0.9915","81.13","HighObservation","29.72","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"59","PeakExtreme","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain.asset","26","34","85","21","10.212","3","82","0","0.0353","27.333","82","0.9647","11","0","13","0.1585","0.8415","23","0.965","0","1","1","0.9738","74.72","HighObservation","23.89","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"65","PeakExtreme","ReplacedRhythmV4","PeelMid","peel","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_01_nutation_strict_mixed_hard_v1_rect_s21_o208_v00_strictmixedhard_mixed_chain.asset","23","31","82","21","8.524","3","79","0","0.0366","26.333","79","0.9634","10","0","14","0.1772","0.8228","22","0.963","0","1","1","0.988","75.42","HighObservation","24.99","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"69","Hard","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","26","34","94","21","9.245","3","91","0","0.0319","30.333","91","0.9681","9","0","22","0.2418","0.7582","25","0.968","0","1","1","0.997","77.5","HighObservation","27","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"70","Hard","ReplacedRhythmV4","PeelMid","peel","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset","23","31","81","20","8.691","3","78","0","0.037","26","78","0.963","12","0","15","0.1923","0.8077","20","0.963","0","1","1","0.9887","75.89","HighObservation","25.78","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"72","PeakExtreme","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12b/c5nep_w12b_16_nutation_strict_mixed_hard_v1_rect_s28_o276_v07_strictmixedhard_mixed_chain.asset","26","34","86","21","10.151","2","84","0","0.0233","42","84","0.9767","13","0","13","0.1548","0.8452","25","0.977","0","1","1","0.9831","74.68","HighObservation","21.54","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"75","Hard","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","24","32","83","21","9.181","3","80","0","0.0361","26.667","80","0.9639","12","0","16","0.2","0.8","23","0.964","0","1","1","0.9953","76.18","HighObservation","26.24","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"76","PeakExtreme","ReplacedRhythmV4","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_32_nutation_longchain_spine_v1_rect_c80hf_08_d2_weave_spine.asset","28","36","72","25","13.264","3","69","0","0.0417","23","69","0.9583","11","0","16","0.2319","0.7681","21","0.958","0","1","1","0.995","77.17","HighObservation","27.88","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"84","Hard","ReplacedRhythmV4","PeelMid","hardgate","curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain.asset","25","33","80","21","10.188","2","78","0","0.025","39","78","0.975","8","0","14","0.1795","0.8205","22","0.975","0","1","1","0.9941","75.54","HighObservation","20.71","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"88","Hard","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_22_nutation_strict_mixed_hard_v1_rect_s31_o309_v05_strictmixedhard_mixed_chain.asset","26","34","93","21","9.366","3","90","0","0.0323","30","90","0.9677","10","0","16","0.1778","0.8222","25","0.968","0","1","1","0.9975","75.51","HighObservation","25.12","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"89","PeakExtreme","ReplacedRhythmV4","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_52_nutation_longchain_spine_v1_rect_c80_13_d3_weave_spine.asset","32","40","73","26","16.452","3","70","0","0.0411","23.333","70","0.9589","14","0","13","0.1857","0.8143","20","0.959","0","1","1","0.9897","75.7","HighObservation","25.45","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"90","Hard","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_16_nutation_strict_mixed_hard_v1_rect_s27_o269_v00_strictmixedhard_mixed_chain.asset","26","34","87","21","10.023","3","84","0","0.0345","28","84","0.9655","10","0","16","0.1905","0.8095","23","0.966","0","1","1","0.9896","75.84","HighObservation","25.69","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"94","Hard","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset","27","36","100","21","9.54","3","97","0","0.03","32.333","97","0.97","15","0","19","0.1959","0.8041","30","0.97","0","1","1","0.9974","76.07","HighObservation","26.05","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"96","PeakExtreme","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset","27","36","100","21","9.62","5","95","0","0.05","19","95","0.95","12","0","17","0.1789","0.8211","28","0.95","0","1","1","0.9957","75.53","HighObservation","25.16","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"97","Hard","ReplacedRhythmV4","PeelMid","peel","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_25_nutation_strict_mixed_hard_v1_rect_s27_o264_v00_strictmixedhard_mixed_chain.asset","25","33","82","21","9.89","2","80","0","0.0244","40","80","0.9756","14","0","17","0.2125","0.7875","21","0.976","0","1","1","0.9907","76.54","HighObservation","24.97","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"104","Hard","ReplacedRhythmV4","slot_seedmaze_section_weave","longchain","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave.asset","19","27","36","50","13.5","9","27","0","0.25","3","27","0.75","5","0","10","0.3704","0.6296","7","0.806","0","0.9722","1","0.9671","74.06","HighObservation","9.95","ReadLight","many_openers;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"105","Hard","ReplacedRhythmV4","hub_spoke","hub","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset","23","31","97","14","7.021","5","92","0","0.0515","18.4","92","0.9485","16","0","20","0.2174","0.7826","22","0.979","0","0.9794","0.9897","0.9946","76.72","HighObservation","28.27","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"107","PeakExtreme","ReplacedRhythmV4","HubMixed","hub","unknown_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","23","31","94","14","7.096","5","89","0","0.0532","17.8","89","0.9468","16","0","20","0.2247","0.7753","22","0.968","0","0.9894","0.9894","0.9959","76.96","HighObservation","28.46","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"109","PeakExtreme","ReplacedRhythmV4","PressurePeak","hardgate","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12c/c5nep_w12c_11_nutation_strict_mixed_hard_v1_rect_s29_o287_v02_strictmixedhard_mixed_chain.asset","27","36","90","21","10.667","4","86","0","0.0444","21.5","86","0.9556","12","0","24","0.2791","0.7209","23","0.956","0","1","1","0.9871","78.58","HighObservation","30.22","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"112","PeakExtreme","ReplacedRhythmV4","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_72_nutation_longchain_spine_v1_rect_c80_18_d4_weave_spine.asset","36","40","92","26","14.598","4","88","0","0.0435","22","88","0.9565","15","0","19","0.2159","0.7841","22","0.957","0","1","1","0.9966","76.69","HighObservation","27.07","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"116","Hard","ReplacedRhythmV4","PeelHard","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset","24","32","82","21","9.195","3","79","0","0.0366","26.333","79","0.9634","9","0","10","0.1266","0.8734","24","0.963","0","1","1","0.9867","73.83","HighObservation","20.98","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"119","PeakExtreme","ReplacedRhythmV4","CampaignLongChainLab","longchain","long_chain","Assets/ArrowMagic/SOData/Levels/C5LCFamLabV1/c5lcf_06_l045_long_normal_b_lock_s05_slot_seedlock_keyhole_carrier.asset","22","28","43","46","13.605","10","33","0","0.2326","3.3","33","0.7674","5","0","11","0.3333","0.6667","10","0.814","0","0.9535","1","0.9882","75.02","HighObservation","12.35","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"125","Hard","ReplacedRhythmV4","maze_long_chain","longchain","patch_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_11_nutation_longchain_patch_v1_rect_c80hf3_03_d1_weave_patch.asset","24","32","76","21","9.579","4","72","0","0.0526","18","72","0.9474","8","0","8","0.1111","0.8889","20","0.947","0","1","1","0.995","73.42","HighObservation","18.86","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"129","PeakExtreme","ReplacedRhythmV4","slot_seedmaze_chamber_corridor","longchain","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_164_l212_long_normal_b_maze_s22_slot_seedmaze_chamber_corridor.asset","23","29","42","45","15.024","9","33","0","0.2143","3.667","33","0.7857","6","0","11","0.3333","0.6667","11","0.905","0.0238","0.9524","0.9762","0.9992","77.99","HighObservation","20.04","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"132","Hard","ReplacedRhythmV4","PeelMid","hardgate","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_23_nutation_strict_mixed_hard_v1_rect_s40_o394_v06_strictmixedhard_mixed_chain.asset","25","33","81","21","9.988","3","78","0","0.037","26","78","0.963","10","0","17","0.2179","0.7821","17","0.963","0","1","1","0.9766","76.59","HighObservation","26.31","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"136","PeakExtreme","ReplacedRhythmV4","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_60_nutation_longchain_spine_v1_rect_c80hf3_15_d3_section_spine.asset","34","42","99","25","13.778","6","93","0","0.0606","15.5","93","0.9394","10","0","11","0.1183","0.8817","20","0.939","0","1","1","0.988","73.58","HighObservation","21.96","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"140","Hard","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","strict_peak_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_36_nutation_strict_mixed_peak_v1_rect_s05_o047_v05_strictmixedpeak_strict_peak_chain_hf1.asset","24","32","80","21","9.438","4","76","0","0.05","19","76","0.95","9","0","12","0.1579","0.8421","18","0.95","0","1","1","0.9846","74.79","HighObservation","22.57","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"144","Hard","ReplacedRhythmV4","slot_seedmaze_chamber_corridor","longchain","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_80_l106_long_normal_b_section_s11_slot_seedmaze_chamber_corridor.asset","23","28","40","55","15.225","10","30","0","0.25","3","30","0.75","8","0","11","0.3667","0.6333","7","0.875","0","0.925","0.975","0.9947","74.17","HighObservation","17.15","ReadLight","many_openers;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"148","Hard","ReplacedRhythmV4","slot_headmix_outerclean","longchain","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_50_l064_long_normal_b_maze_s07_slot_headmix_outerclean.asset","21","27","34","51","15.853","8","26","0","0.2353","3.25","26","0.7647","7","0","13","0.5","0.5","5","0.824","0","0.9412","1","0.9961","78.4","HighObservation","12.79","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"149","PeakExtreme","ReplacedRhythmV4","hub_spoke","hub","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_19_s05_r03.asset","23","31","98","14","6.959","5","93","0","0.051","18.6","93","0.949","16","0","20","0.2151","0.7849","22","0.98","0","0.9796","0.9898","0.9987","76.68","HighObservation","28.18","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"152","Hard","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_33_nutation_peel_v2_rect_s29_o289_v02_peelmid_curve_chain.asset","23","31","82","21","8.402","7","75","0","0.0854","10.714","75","0.9146","9","0","11","0.1467","0.8533","18","0.915","0","1","1","0.9865","74.46","HighObservation","22.01","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"154","PeakExtreme","ReplacedRhythmV4","hub_spoke","hub","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_20_s05_r04.asset","23","31","99","14","6.929","5","94","0","0.0505","18.8","94","0.9495","16","0","20","0.2128","0.7872","22","0.98","0","0.9798","0.9899","0.9987","76.61","HighObservation","28.05","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"156","PeakExtreme","ReplacedRhythmV4","maze_long_chain","longchain","patch_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_11_nutation_longchain_patch_v1_rect_c80hf_03_d1_weave_patch.asset","24","32","74","21","9.838","4","70","0","0.0541","17.5","70","0.9459","10","0","10","0.1429","0.8571","20","0.946","0","1","1","0.9886","74.35","HighObservation","23.23","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"164","Hard","ReplacedRhythmV4","slot_seedlock_gate_carrier","longchain","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_121_l155_long_normal_a_dense_s16_slot_seedlock_gate_carrier.asset","21","30","37","60","16.108","9","28","0","0.2432","3.111","28","0.7568","3","0","5","0.1786","0.8214","7","0.811","0","0.9459","1","0.9667","60.03","ObservationHard","0","ReadLight","many_openers;mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"166","Hard","ReplacedRhythmV4","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_60_nutation_longchain_spine_v1_rect_c80hf2_15_d3_section_spine.asset","34","42","101","26","13.515","5","96","0","0.0495","19.2","96","0.9505","9","0","20","0.2083","0.7917","24","0.95","0","1","1","0.9956","76.45","HighObservation","25.27","ReadLight","short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"169","PeakExtreme","ReplacedRhythmV4","maze_long_chain","longchain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_64_nutation_longchain_spine_v1_rect_c80hf3_16_d3_lock_spine.asset","35","42","109","26","12.881","4","105","0","0.0367","26.25","105","0.9633","11","0","15","0.1429","0.8571","30","0.963","0","1","1","0.9951","74.41","HighObservation","23.3","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"172","Hard","ReplacedRhythmV4","maze_long_chain","longchain","patch_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_07_nutation_longchain_patch_v1_rect_c80hf2_02_d1_maze_patch.asset","23","31","70","21","9.643","5","65","0","0.0714","13","65","0.9286","11","0","11","0.1692","0.8308","20","0.929","0","1","1","0.9732","75.05","HighObservation","24.44","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
"176","Hard","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","strict_peak_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_19_nutation_strict_mixed_peak_v1_rect_s04_o039_v00_strictmixedpeak_strict_peak_chain_hf1.asset","22","30","73","21","8.863","3","70","0","0.0411","23.333","70","0.9589","9","0","9","0.1286","0.8714","19","0.959","0","1","1","0.9982","73.99","HighObservation","21.19","ReadLight","mostly_same_region_dependencies;short_head_rays;adjacent_blockers_dominate;hard_role_low_read_demand"
