"order","sourceKind","sourceFile","score","levelId","path","source","section10","productionLane","productionChainLanguage","productionDifficultyBand","solved","sourceCoverage","maxChoices","localPatchSolveRunMax","nearOuterPatchSolveRunMax","solveTraceQualityScore","solveTraceCollapseRiskScore","solveSameAxisRunMax","solveSameDirHeadRunMax"
"31","strict152","","2.841","campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","relocated_from_order_62","4","FlowCurve","curve_chain","NormalFlow","True","0.981","6","4","4","0.864","0.147","6","4"
"35","strict152","","2.692","campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","relocated_from_order_35","4","NeutralMixed","mixed_chain","NormalNeutral","True","0.974","8","6","5","0.895","0.123","8","3"
"39","lowchoice","c5hole_lowchoice_v1_h01r_order39_strict_audit_strict_best_per_order.csv","6462.4","c5hole_lowchoice_v1_h01r_19_nutation_strict_mixed_peak_v1_rect_s04_o039_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_19_nutation_strict_mixed_peak_v1_rect_s04_o039_v00_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order39_trace_joined.csv","4","","","","True","0.98","10","7","3","0.868","0.214","9","7"
"40","strict152","","2.626","c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w9smh","4","PeelMid","rail_chain","Hard","True","0.987","10","6","4","0.818","0.28","8","7"
"41","strict152","","2.699","campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset","relocated_from_order_102","5","FlowRail","rail_chain","NormalFlow","True","0.995","8","6","3","0.878","0.163","7","6"
"44","strict152","","2.7","c5nep_w9smh_06_nutation_strict_mixed_hard_v1_rect_s05_o044_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_06_nutation_strict_mixed_hard_v1_rect_s05_o044_v01_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w9smh","5","PeelMid","curve_chain","Hard","True","0.98","10","4","3","0.862","0.177","6","6"
"47","lowchoice","c5hole_lowchoice_v1_h01r_order47_strict_audit_strict_best_per_order.csv","6193.2","c5hole_lowchoice_v1_h01r_36_nutation_strict_mixed_peak_v1_rect_s05_o047_v05_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_36_nutation_strict_mixed_peak_v1_rect_s05_o047_v05_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order47_trace_joined.csv","5","","","","True","0.983","11","6","3","0.846","0.222","8","8"
"50","strict152","","2.599","campaign500_normal_full_v1_s01_s13_90_nutation_mixed_neutral_v1_rect_s08_o079_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_90_nutation_mixed_neutral_v1_rect_s08_o079_v02_neutralmixed_mixed_chain.asset","relocated_from_order_79","5","NeutralMixed","mixed_chain","NormalNeutral","True","0.989","10","7","5","0.872","0.178","6","6"
"52","strict152","","2.665","campaign500_normal_full_v1_s01_s13_67_nutation_peel_rail_v1_rect_s06_o052_v00_peelmid_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_67_nutation_peel_rail_v1_rect_s06_o052_v00_peelmid_rail_chain.asset","relocated_from_order_52","6","PeelMid","rail_chain","Hard","True","0.991","10","5","3","0.851","0.139","6","5"
"56","lowchoice","c5hole_lowchoice_v1_h01r_order56_shortroot1_strict_audit_strict_best_per_order.csv","7450.9","c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","c5hole_lowchoice_v1_h01r_order56_shortroot1_trace_joined.csv","6","","","","True","0.989","7","6","4","0.893","0.159","6","5"
"57","strict152","","2.754","campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain.asset","relocated_from_order_57","6","NeutralMixed","mixed_chain","NormalNeutral","True","0.988","8","4","3","0.82","0.258","8","6"
"60","strict152","","2.749","campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain.asset","Campaign500NormalFullV1:fastlane1","6","FlowPatch","patch_chain","NormalFlow","True","0.995","7","4","4","0.866","0.115","8","4"
"62","strict152","","2.711","campaign500_normal_full_v1_s01_s13_76_nutation_mixed_neutral_v1_rect_s07_o062_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_76_nutation_mixed_neutral_v1_rect_s07_o062_v00_neutralmixed_mixed_chain.asset","relocated_from_order_62","7","NeutralMixed","mixed_chain","NormalNeutral","True","0.987","8","6","3","0.797","0.287","7","7"
"65","strict152","","2.721","c5nep_w9smp_06_nutation_strict_mixed_peak_v1_rect_s07_o065_v01_strictmixedpeak_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_06_nutation_strict_mixed_peak_v1_rect_s07_o065_v01_strictmixedpeak_mixed_chain.asset","Campaign500NormalFullV1:w9smp","7","PeelHard","rail_chain","Peak","True","0.982","9","4","4","0.82","0.221","7","7"
"68","strict152","","2.767","campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain.asset","Campaign500NormalFullV1:fastlane1","7","FlowCurve","curve_chain","NormalFlow","True","0.986","9","3","3","0.89","0.1","5","5"
"70","lowchoice","c5hole_lowchoice_v1_h02r_order70_strict_audit_strict_best_per_order.csv","7200.5","c5hole_lowchoice_v1_h02r_10_nutation_strict_mixed_hard_v1_rect_s07_o070_v03_strictmixedhard_strict_hard_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_10_nutation_strict_mixed_hard_v1_rect_s07_o070_v03_strictmixedhard_strict_hard_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order70_trace_joined.csv","7","","","","True","0.98","7","5","5","0.885","0.205","7","7"
"75","strict152","","2.715","campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_91_nutation_peel_v2_rect_s08_o075_v00_peelmid_curve_chain.asset","relocated_from_order_75","8","PeelMid","curve_chain","Hard","True","0.987","9","5","3","0.854","0.225","7","7"
"77","strict152","","2.657","campaign500_normal_full_v1_s01_s13_86_nutation_flow_rail_v1_rect_s08_o077_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_86_nutation_flow_rail_v1_rect_s08_o077_v01_flowrail_rail_chain.asset","relocated_from_order_77","8","FlowRail","rail_chain","NormalFlow","True","0.984","9","5","5","0.893","0.138","7","5"
"79","strict152","","2.881","campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_88_nutation_mixed_neutral_v1_rect_s08_o079_v00_neutralmixed_mixed_chain.asset","relocated_from_order_79","8","NeutralMixed","mixed_chain","NormalNeutral","True","0.98","6","4","2","0.833","0.194","6","5"
"81","strict152","","2.789","campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset","Campaign500NormalFullV1:fastlane1","9","FlowPatch","patch_chain","NormalFlow","True","0.993","8","4","3","0.905","0.181","7","6"
"86","strict152","","2.716","campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","relocated_from_order_86","9","NeutralMixed","mixed_chain","NormalNeutral","True","0.98","8","5","4","0.83","0.241","7","7"
"89","lowchoice","c5hole_lowchoice_v1_h02r_order89_shortroot1_strict_audit_strict_best_per_order.csv","7690.6","c5hole_lowchoice_v1_h02r_34_nutation_strict_mixed_peak_v1_rect_s09_o089_v03_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_34_nutation_strict_mixed_peak_v1_rect_s09_o089_v03_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order89_shortroot1_trace_joined.csv","9","","","","True","0.989","9","6","3","0.926","0.076","6","4"
"90","strict152","","2.524","campaign500_normal_full_v1_s14_s26_29_nutation_mixed_neutral_v1_rect_s16_o155_v01_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_29_nutation_mixed_neutral_v1_rect_s16_o155_v01_neutralmixed_mixed_chain.asset","relocated_from_order_155","9","PeelMid","rail_chain","Hard","True","0.985","10","7","5","0.763","0.301","7","7"
"92","strict152","","2.751","campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","Campaign500NormalFullV1:fastlane1","10","FlowCurve","curve_chain","NormalFlow","True","0.984","7","6","4","0.907","0.042","4","4"
"96","raw_rescue","","0","campaign500_normal_full_v1_s01_s13_118_nutation_peel_v2_rect_s10_o096_v00_peelhard_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_118_nutation_peel_v2_rect_s10_o096_v00_peelhard_curve_chain.asset","campaign500_normal_full_v1_report.csv","10","","","Peak","True","0.968","10","4","3","0.858","0.214","8","6"
"97","strict152","","2.538","campaign500_normal_full_v1_s01_s13_117_nutation_peel_v2_rect_s10_o097_v02_peelmid_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_117_nutation_peel_v2_rect_s10_o097_v02_peelmid_curve_chain.asset","relocated_from_order_97","10","PeelMid","curve_chain","Hard","True","0.982","10","7","5","0.76","0.3","8","7"
"100","strict152","","2.781","campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain.asset","relocated_from_order_100","10","NeutralMixed","mixed_chain","NormalNeutral","True","0.993","9","5","3","0.91","0.067","4","4"
"102","strict152","","2.736","campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_122_nutation_flow_rail_v1_rect_s11_o102_v01_flowrail_rail_chain.asset","relocated_from_order_102","11","FlowRail","rail_chain","NormalFlow","True","0.991","9","4","4","0.911","0.106","5","5"
"105","lowchoice","c5hole_lowchoice_v1_h02r_order105_shortroot1_strict_audit_strict_best_per_order.csv","6600.4","c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1.asset","c5hole_lowchoice_v1_h02r_order105_shortroot1_trace_joined.csv","11","","","","True","0.983","10","6","4","0.87","0.214","8","6"
"106","strict152","","2.79","campaign500_normal_full_v1_s01_s13_124_nutation_mixed_neutral_v1_rect_s11_o106_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_124_nutation_mixed_neutral_v1_rect_s11_o106_v00_neutralmixed_mixed_chain.asset","relocated_from_order_106","11","NeutralMixed","mixed_chain","NormalNeutral","True","0.991","9","4","3","0.939","0.082","6","4"
"109","strict152","","2.653","c5nep_w11c_01_nutation_strict_mixed_hard_v1_rect_s11_o109_v00_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_01_nutation_strict_mixed_hard_v1_rect_s11_o109_v00_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w11c","11","PeelHard","curve_chain","Peak","True","0.989","10","7","2","0.9","0.214","7","7"
"111","strict152","","2.68","campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain.asset","relocated_from_order_165","12","NeutralMixed","mixed_chain","NormalNeutral","True","0.986","9","6","3","0.859","0.225","7","7"
"112","lowchoice","c5hole_lowchoice_v1_h03r_order112_strict_audit_strict_best_per_order.csv","7741.7","c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order112_trace_joined.csv","12","","","","True","0.982","8","5","4","0.919","0.117","5","5"
"115","strict152","","2.626","c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","Campaign500NormalFullV1:w2fr","12","FlowPatch","patch_chain","NormalFlow","True","0.991","9","6","6","0.908","0.057","5","4"
"116","strict152","","2.777","c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_10_nutation_strict_mixed_hard_v1_rect_s12_o116_v01_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w9smh","12","PeelMid","rail_chain","Hard","True","0.986","9","4","3","0.875","0.14","4","4"
"121","strict152","","2.657","campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_146_nutation_flow_curve_v1_rect_s13_o121_v01_flowcurve_curve_chain.asset","relocated_from_order_121","13","FlowCurve","curve_chain","NormalFlow","True","0.988","10","5","5","0.895","0.133","5","5"
"125","strict152","","2.672","c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w10smh","13","PeelMid","rail_chain","Hard","True","0.986","8","6","5","0.865","0.176","6","6"
"128","strict152","","2.735","campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain.asset","relocated_from_order_128","13","NeutralMixed","mixed_chain","NormalNeutral","True","0.992","9","6","3","0.9","0.149","5","5"
"129","lowchoice","c5hole_lowchoice_v1_h03r_order129_shortroot1_strict_audit_strict_best_per_order.csv","6767.6","c5hole_lowchoice_v1_h03r_13_nutation_strict_mixed_axisbreak_v1_rect_s13_o129_v00_strictmixedaxisbreak_axis_break_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_13_nutation_strict_mixed_axisbreak_v1_rect_s13_o129_v00_strictmixedaxisbreak_axis_break_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order129_shortroot1_trace_joined.csv","13","","","","True","0.986","10","6","3","0.866","0.176","6","6"
"134","strict152","","2.751","campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain.asset","relocated_from_order_134","14","FlowRail","rail_chain","NormalFlow","True","0.988","9","3","3","0.915","0.144","6","6"
"136","lowchoice","c5hole_lowchoice_v1_h03r_order136_shortroot1_strict_audit_strict_best_per_order.csv","7561.3","c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","c5hole_lowchoice_v1_h03r_order136_shortroot1_trace_joined.csv","14","","","","True","0.984","8","4","4","0.905","0.153","7","5"
"137","strict152","","2.705","campaign500_normal_full_v1_s14_s26_04_nutation_mixed_neutral_v1_rect_s14_o137_v00_neutralmixed_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_04_nutation_mixed_neutral_v1_rect_s14_o137_v00_neutralmixed_mixed_chain.asset","relocated_from_order_137","14","NeutralMixed","mixed_chain","NormalNeutral","True","0.985","10","4","4","0.923","0.125","6","5"
"140","strict152","","2.681","c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_07_nutation_strict_mixed_hard_v1_rect_s14_o140_v02_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1:w10smh","14","PeelMid","curve_chain","Hard","True","0.985","10","6","3","0.87","0.189","6","6"
"145","strict152","","2.884","campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_16_nutation_flow_rail_v1_rect_s15_o145_v00_flowrail_patch_chain.asset","Campaign500NormalFullV1:fastlane1","15","FlowPatch","patch_chain","NormalFlow","True","0.991","7","3","2","0.94","0.064","7","3"
