"order","section","difficulty","category","width","height","aspect","chains","minChains","maxChains","style","role"
"176","18","3","normal","23","37","0.622","112","101","123","lock","Pressure"
"179","18","3","normal","22","39","0.564","115","103","127","lock","Peak"
"180","18","1","normal","21","38","0.553","108","97","119","sweep","Recovery"
"181","19","1","normal","22","36","0.611","106","95","117","maze","Recovery"
"182","19","1","normal","18","38","0.474","88","79","97","lock","Normal"
"185","19","2","normal","21","37","0.568","103","93","113","section","Pressure"
"186","19","1","normal","21","36","0.583","104","94","114","sweep","Recovery"
"188","19","1","normal","21","38","0.553","106","95","117","section","Normal"
"189","19","3","normal","23","38","0.605","112","101","123","lock","Pressure"
"190","19","1","normal","23","39","0.59","113","102","124","section","Normal"
"191","20","1","normal","21","33","0.636","95","85","105","lock","Normal"
"194","20","1","normal","18","37","0.486","87","78","96","dense","Normal"
"195","20","1","normal","23","37","0.622","106","95","117","sweep","Recovery"
"196","20","4","normal","21","40","0.525","135","121","149","lock","Peak"
"197","20","1","normal","20","33","0.606","83","75","91","maze","Normal"
"199","20","1","normal","22","38","0.579","108","97","119","section","Recovery"
"200","20","1","normal","21","38","0.553","106","95","117","section","Normal"
"202","21","1","normal","19","38","0.5","94","85","103","dense","Normal"
"204","21","2","normal","22","36","0.611","107","96","118","section","Pressure"
"205","21","1","normal","21","39","0.538","109","98","120","sweep","Recovery"
"206","21","1","normal","23","34","0.676","103","93","113","lock","Normal"
"208","21","2","normal","23","39","0.59","111","100","122","section","Pressure"
"209","21","4","normal","27","46","0.587","153","138","168","lock","Peak"
"210","21","1","normal","22","38","0.579","113","102","124","section","Normal"
"211","22","1","normal","21","39","0.538","103","93","113","sweep","Recovery"
"212","22","1","normal","19","35","0.543","85","77","93","maze","Normal"
"214","22","3","normal","20","40","0.5","105","95","115","lock","Pressure"
"215","22","1","normal","18","36","0.5","90","81","99","dense","Normal"
"216","22","4","normal","21","42","0.5","144","130","158","section","Peak"
"219","22","2","normal","22","36","0.611","105","95","115","section","Normal"
"220","22","1","normal","19","32","0.594","80","72","88","lock","Normal"
"221","23","2","normal","30","33","0.909","126","113","139","dense","Recovery"
"222","23","1","normal","20","39","0.513","104","94","114","lock","Normal"
"224","23","2","normal","22","35","0.629","108","97","119","section","Pressure"
"226","23","1","normal","22","35","0.629","105","95","115","section","Normal"
"227","23","4","normal","24","43","0.558","163","147","179","lock","Peak"
"229","23","2","normal","21","40","0.525","107","96","118","section","Pressure"
"230","23","1","normal","22","35","0.629","101","91","111","sweep","Recovery"
"231","24","1","normal","21","31","0.677","103","93","113","maze","Recovery"
"232","24","3","normal","23","39","0.59","143","129","157","lock","Pressure"
"234","24","1","normal","18","25","0.72","54","49","59","sweep","Recovery"
"236","24","2","normal","21","39","0.538","107","96","118","section","Pressure"
"237","24","1","normal","23","34","0.676","104","94","114","lock","Normal"
"239","24","4","normal","24","44","0.545","171","154","188","section","Peak"
"240","24","1","normal","20","36","0.556","117","105","129","section","Recovery"
"241","25","1","normal","23","42","0.548","119","107","131","sweep","Recovery"
"244","25","1","normal","22","40","0.55","115","103","127","section","Normal"
"245","25","3","normal","23","41","0.561","150","135","165","lock","Pressure"
"246","25","1","normal","20","42","0.476","109","98","120","maze","Recovery"
"248","25","1","normal","20","38","0.526","102","92","112","section","Normal"
"249","25","3","normal","21","41","0.512","137","123","151","lock","Pressure"
"250","25","1","normal","23","35","0.657","107","96","118","dense","Normal"
"252","26","3","normal","24","38","0.632","147","132","162","lock","Pressure"
"254","26","1","normal","21","36","0.583","101","91","111","section","Normal"
"255","26","1","normal","23","37","0.622","110","99","121","dense","Recovery"
"256","26","4","normal","24","42","0.571","159","143","175","section","Peak"
"257","26","1","normal","23","36","0.639","107","96","118","lock","Normal"
"259","26","1","normal","21","38","0.553","126","113","139","sweep","Recovery"
"260","26","1","normal","21","34","0.618","101","91","111","section","Normal"
"261","27","1","normal","23","37","0.622","107","96","118","sweep","Recovery"
"262","27","1","normal","22","37","0.595","102","92","112","dense","Normal"
"264","27","3","normal","25","40","0.625","157","141","173","lock","Pressure"
"265","27","1","normal","20","39","0.513","104","94","114","maze","Recovery"
"266","27","1","normal","22","35","0.629","97","87","107","section","Normal"
"269","27","4","normal","28","50","0.56","184","166","202","lock","Peak"
"270","27","1","normal","22","39","0.564","114","103","125","section","Normal"
"271","28","1","normal","22","32","0.688","114","103","125","maze","Recovery"
"272","28","1","normal","23","39","0.59","115","103","127","lock","Normal"
"274","28","3","normal","31","35","0.886","131","118","144","section","Pressure"
"275","28","1","normal","22","36","0.611","106","95","117","dense","Normal"
"276","28","4","normal","27","45","0.6","201","181","221","section","Peak"
"279","28","1","normal","20","39","0.513","107","96","118","section","Normal"
"280","28","1","normal","23","35","0.657","107","96","118","lock","Normal"
"281","29","1","normal","21","37","0.568","107","96","118","sweep","Recovery"
"282","29","1","normal","21","38","0.553","107","96","118","dense","Normal"
"284","29","3","normal","27","40","0.675","172","155","189","lock","Pressure"
"286","29","1","normal","22","38","0.579","107","96","118","section","Normal"
"287","29","4","normal","27","50","0.54","214","193","235","lock","Peak"
"289","29","2","normal","21","40","0.525","115","103","127","section","Pressure"
"290","29","1","normal","22","39","0.564","114","103","125","section","Recovery"
"291","30","1","normal","21","37","0.568","106","95","117","dense","Recovery"
"294","30","1","normal","23","36","0.639","110","99","121","sweep","Recovery"
"295","30","1","normal","22","37","0.595","105","95","115","section","Normal"
"296","30","3","normal","23","44","0.523","163","147","179","lock","Pressure"
"297","30","1","normal","22","38","0.579","114","103","125","section","Normal"
"299","30","4","normal","29","46","0.63","178","160","196","lock","Peak"
"300","30","1","normal","20","41","0.488","110","99","121","maze","Recovery"
"302","31","1","normal","20","39","0.513","102","92","112","dense","Normal"
"304","31","1","normal","23","40","0.575","122","110","134","section","Normal"
"305","31","3","normal","25","44","0.568","181","163","199","lock","Pressure"
"306","31","1","normal","22","41","0.537","117","105","129","maze","Recovery"
"308","31","1","normal","21","37","0.568","106","95","117","section","Normal"
"309","31","4","normal","24","51","0.471","200","180","220","lock","Pressure"
"310","31","1","normal","23","37","0.622","111","100","122","section","Normal"
"311","32","1","normal","21","35","0.6","103","93","113","maze","Normal"
"312","32","3","normal","22","39","0.564","134","121","147","lock","Pressure"
"314","32","1","normal","22","41","0.537","112","101","123","dense","Normal"
"315","32","1","normal","22","41","0.537","116","104","128","sweep","Recovery"
"316","32","4","normal","28","51","0.549","233","210","256","section","Peak"
"319","32","1","normal","22","41","0.537","115","103","127","lock","Recovery"
"320","32","1","normal","23","36","0.639","114","103","125","section","Normal"
"321","33","1","normal","23","38","0.605","108","97","119","maze","Recovery"
"322","33","1","normal","21","37","0.568","101","91","111","dense","Normal"
"324","33","3","normal","28","48","0.583","174","157","191","section","Pressure"
"326","33","1","normal","22","35","0.629","104","94","114","lock","Normal"
"328","33","3","normal","24","43","0.558","165","149","181","section","Pressure"
"329","33","4","normal","26","50","0.52","203","183","223","lock","Peak"
"330","33","1","normal","23","38","0.605","113","102","124","section","Normal"
"331","34","2","normal","21","44","0.477","147","132","162","sweep","Recovery"
"332","34","1","normal","20","37","0.541","118","106","130","dense","Normal"
"334","34","3","normal","28","46","0.609","207","186","228","lock","Pressure"
"336","34","4","normal","28","48","0.583","216","194","238","section","Peak"
"337","34","1","normal","23","36","0.639","103","93","113","maze","Recovery"
"339","34","1","normal","23","37","0.622","110","99","121","lock","Normal"
"340","34","1","normal","23","36","0.639","110","99","121","section","Normal"
"341","35","2","normal","24","40","0.6","154","139","169","sweep","Recovery"
"344","35","3","normal","27","48","0.562","170","153","187","section","Pressure"
"345","35","1","normal","22","40","0.55","115","103","127","sweep","Recovery"
"346","35","1","normal","20","40","0.5","112","101","123","dense","Normal"
"347","35","4","normal","27","45","0.6","189","170","208","lock","Peak"
"349","35","3","normal","26","49","0.531","213","192","234","maze","Pressure"
"350","35","1","normal","20","38","0.526","120","108","132","section","Recovery"
"352","36","3","normal","23","43","0.535","154","139","169","lock","Pressure"
"354","36","1","normal","22","36","0.611","126","113","139","section","Recovery"
"355","36","1","normal","22","40","0.55","108","97","119","dense","Normal"
"356","36","3","normal","22","41","0.537","148","133","163","section","Pressure"
"357","36","1","normal","22","38","0.579","103","93","113","dense","Normal"
"359","36","4","normal","29","47","0.617","176","158","194","section","Peak"
"360","36","1","normal","23","40","0.575","118","106","130","maze","Recovery"
"361","37","1","normal","23","47","0.489","177","159","195","sweep","Recovery"
"362","37","1","normal","23","35","0.657","113","102","124","dense","Normal"
"364","37","1","normal","25","42","0.595","166","149","183","sweep","Normal"
"365","37","3","normal","28","45","0.622","204","184","224","lock","Pressure"
"366","37","1","normal","21","41","0.512","139","125","153","section","Recovery"
"369","37","3","normal","25","47","0.532","198","178","218","lock","Pressure"
"370","37","1","normal","25","47","0.532","148","133","163","section","Normal"
"371","38","1","normal","20","35","0.571","94","85","103","maze","Normal"
"372","38","2","normal","23","40","0.575","147","132","162","section","Pressure"
"374","38","1","normal","22","38","0.579","115","103","127","dense","Normal"
"375","38","1","normal","24","41","0.585","157","141","173","sweep","Recovery"
"376","38","4","normal","26","44","0.591","186","167","205","lock","Peak"
"379","38","1","normal","22","44","0.5","157","141","173","sweep","Recovery"
"380","38","1","normal","22","40","0.55","144","130","158","section","Normal"
"381","39","1","normal","24","38","0.632","145","131","159","dense","Recovery"
"382","39","1","normal","22","44","0.5","150","135","165","section","Normal"
"384","39","3","normal","26","41","0.634","172","155","189","lock","Pressure"
"386","39","1","normal","22","39","0.564","116","104","128","dense","Normal"
"388","39","3","normal","34","48","0.708","164","148","180","section","Pressure"
"389","39","4","normal","25","45","0.556","181","163","199","lock","Peak"
"390","39","1","normal","21","41","0.512","136","122","150","section","Normal"
"391","40","1","normal","23","39","0.59","137","123","151","sweep","Recovery"
"394","40","3","normal","26","48","0.542","173","156","190","lock","Pressure"
"395","40","1","normal","24","39","0.615","123","111","135","dense","Normal"
"396","40","4","normal","28","46","0.609","174","157","191","section","Peak"
"397","40","1","normal","23","35","0.657","105","95","115","sweep","Recovery"
"399","40","1","normal","24","38","0.632","144","130","158","section","Normal"
"400","40","1","normal","23","38","0.605","143","129","157","section","Normal"
"402","41","1","normal","30","33","0.909","129","116","142","dense","Normal"
"404","41","3","normal","25","39","0.641","155","139","171","lock","Pressure"
"405","41","2","normal","25","43","0.581","170","153","187","maze","Recovery"
"406","41","1","normal","18","36","0.5","84","76","92","dense","Normal"
"407","41","4","normal","24","49","0.49","196","176","216","lock","Peak"
"409","41","2","normal","23","40","0.575","145","131","159","section","Pressure"
"410","41","1","normal","21","42","0.5","139","125","153","section","Recovery"
"411","42","1","normal","22","41","0.537","114","103","125","sweep","Recovery"
"412","42","3","normal","32","39","0.821","158","142","174","section","Pressure"
"414","42","1","normal","22","37","0.595","107","96","118","sweep","Recovery"
"415","42","1","normal","23","38","0.605","141","127","155","section","Normal"
"416","42","3","normal","25","38","0.658","149","134","164","lock","Pressure"
"419","42","4","normal","27","47","0.574","203","183","223","section","Peak"
"420","42","1","normal","22","42","0.524","143","129","157","dense","Recovery"
"421","43","1","normal","25","45","0.556","180","162","198","sweep","Recovery"
"422","43","1","normal","23","38","0.605","113","102","124","dense","Normal"
"424","43","1","normal","22","37","0.595","129","116","142","maze","Normal"
"425","43","4","normal","28","48","0.583","213","192","234","lock","Pressure"
"428","43","1","normal","24","39","0.615","146","131","161","section","Normal"
"429","43","3","normal","27","48","0.562","205","185","225","dense","Pressure"
"430","43","1","normal","24","39","0.615","147","132","162","section","Normal"
"431","44","1","normal","23","39","0.59","112","101","123","dense","Normal"
"432","44","2","normal","24","43","0.558","164","148","180","lock","Pressure"
"434","44","1","normal","24","43","0.558","162","146","178","section","Normal"
"436","44","4","normal","27","45","0.6","194","175","213","lock","Peak"
"437","44","1","normal","25","41","0.61","164","148","180","section","Normal"
"439","44","1","normal","24","40","0.6","158","142","174","maze","Recovery"
"440","44","1","normal","23","44","0.523","161","145","177","section","Normal"
"441","45","1","normal","22","36","0.611","105","95","115","sweep","Recovery"
"444","45","3","normal","23","43","0.535","159","143","175","dense","Pressure"
"445","45","2","normal","24","51","0.471","197","177","217","sweep","Recovery"
"446","45","1","normal","22","38","0.579","136","122","150","dense","Normal"
"448","45","3","normal","24","48","0.5","196","176","216","section","Pressure"
"449","45","4","normal","27","41","0.659","181","163","199","lock","Peak"
"450","45","1","normal","24","44","0.545","165","149","181","section","Normal"
"452","46","1","normal","23","42","0.548","154","139","169","lock","Normal"
"454","46","3","normal","34","48","0.708","156","140","172","section","Pressure"
"455","46","1","normal","22","42","0.524","149","134","164","dense","Normal"
"456","46","4","normal","28","50","0.56","224","202","246","section","Peak"
"457","46","1","normal","23","40","0.575","117","105","129","sweep","Recovery"
"459","46","2","normal","24","47","0.511","180","162","198","section","Normal"
"460","46","1","normal","25","39","0.641","156","140","172","lock","Normal"
"461","47","1","normal","25","41","0.61","168","151","185","sweep","Recovery"
"462","47","1","normal","21","40","0.525","135","121","149","dense","Normal"
"464","47","1","normal","22","38","0.579","111","100","122","lock","Pressure"
"465","47","3","normal","28","48","0.583","213","192","234","sweep","Recovery"
"466","47","1","normal","26","40","0.65","166","149","183","section","Normal"
"469","47","2","normal","24","42","0.571","160","144","176","maze","Pressure"
"470","47","1","normal","25","38","0.658","149","134","164","section","Recovery"
"471","48","1","normal","22","38","0.579","106","95","117","sweep","Recovery"
"472","48","3","normal","28","51","0.549","231","208","254","section","Pressure"
"474","48","1","normal","26","44","0.591","178","160","196","dense","Recovery"
"475","48","2","normal","24","51","0.471","195","175","215","section","Normal"
"476","48","1","normal","23","41","0.561","126","113","139","lock","Pressure"
"479","48","4","normal","25","44","0.568","185","167","203","section","Peak"
"480","48","1","normal","21","43","0.488","141","127","155","sweep","Recovery"
"481","49","1","normal","22","38","0.579","108","97","119","maze","Recovery"
"482","49","1","normal","22","43","0.512","150","135","165","lock","Normal"
"485","49","3","normal","25","46","0.543","189","170","208","section","Pressure"
"486","49","1","normal","26","50","0.52","213","192","234","sweep","Recovery"
"488","49","1","normal","25","49","0.51","195","175","215","section","Normal"
"489","49","1","normal","22","36","0.611","108","97","119","lock","Pressure"
"490","49","1","normal","25","49","0.51","199","179","219","section","Normal"
"491","50","1","normal","26","47","0.553","199","179","219","sweep","Normal"
"494","50","1","normal","26","45","0.578","192","173","211","dense","Normal"
"495","50","1","normal","21","35","0.6","97","87","107","sweep","Recovery"
"496","50","1","normal","23","38","0.605","108","97","119","lock","Peak"
"497","50","1","normal","23","40","0.575","151","136","166","dense","Normal"
"499","50","1","normal","25","48","0.521","159","143","175","section","Recovery"
"500","50","3","normal","27","47","0.574","200","180","220","section","Normal"
