order,backupGroup,levelId,assetName,type,levelType,difficulty,width,height,chains,assetPath,zipAsset,status
11,normal,level3_thirty_03_level3_thirty_mini_maze_30,level3_thirty_03_level3_thirty_mini_maze_30,normal,普通,1,12,18,31,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset,normal/Level_011_level3_thirty_03_level3_thirty_mini_maze_30.asset,ok
12,normal,nomask_style_expansion_23_center_cross_b,nomask_style_expansion_23_center_cross_b,normal,普通,1,17,24,50,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset,normal/Level_012_nomask_style_expansion_23_center_cross_b.asset,ok
13,shape,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452,shape,普通,1,24,24,37,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,shape/Level_013_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,ok
14,normal,nomask_06_sweep,nomask_06_sweep,normal,普通,1,15,21,42,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset,normal/Level_014_nomask_06_sweep.asset,ok
15,normal,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,section,普通,2,14,26,53,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset,normal/Level_015_direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset,ok
16,normal,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,lock,普通,2,15,29,54,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset,normal/Level_016_direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset,ok
17,hole,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001,hole_rescue,hole,1,18,20,37,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,hole/Level_017_hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,ok
18,normal,nomask_style_10_zig_river,nomask_style_10_zig_river,normal,普通,1,18,25,53,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset,normal/Level_018_nomask_style_10_zig_river.asset,ok
19,normal,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,lock,普通,4,19,37,94,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset,normal/Level_019_direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset,ok
20,normal,nomask_01_outer_shell,nomask_01_outer_shell,shell,普通,1,15,22,41,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset,normal/Level_020_nomask_01_outer_shell.asset,ok
21,normal,nomask_style_02_snake_spine,nomask_style_02_snake_spine,sweep,普通,1,16,24,44,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_02_snake_spine.asset,normal/Level_021_nomask_style_02_snake_spine.asset,ok
22,normal,nomask_style_expansion_26_stair_ladder_a,nomask_style_expansion_26_stair_ladder_a,section,普通,1,16,24,55,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset,normal/Level_022_nomask_style_expansion_26_stair_ladder_a.asset,ok
23,shape,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340,shape_magic,普通,4,30,44,80,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset,shape/Level_023_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset,ok
24,normal,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,section,普通,1,18,37,82,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset,normal/Level_024_direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset,ok
25,normal,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,lock,普通,2,21,35,98,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset,normal/Level_025_direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset,ok
26,hole,hole_candidate_058_tall_18x26_section,hole_candidate_058_tall_18x26_section,hole_rescue,hole,1,18,26,42,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset,hole/Level_026_hole_candidate_058_tall_18x26_section.asset,ok
27,shape,r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall,procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009,shape_object,普通,2,28,42,80,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset,shape/Level_027_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset,ok
28,normal,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,maze,普通,1,17,29,63,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset,normal/Level_028_direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset,ok
29,normal,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,dense,普通,3,20,34,99,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset,normal/Level_029_direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset,ok
30,normal,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,lock,普通,2,23,37,106,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset,normal/Level_030_direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset,ok
31,normal,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,sweep,普通,1,14,28,61,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset,normal/Level_031_direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset,ok
32,shape,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409,shape_magic,普通,3,28,40,83,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset,shape/Level_032_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset,ok
33,normal,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,dense,普通,1,19,33,78,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset,normal/Level_033_direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset,ok
34,normal,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,lock,普通,2,20,37,93,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset,normal/Level_034_direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset,ok
35,normal,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,dense,普通,1,17,29,65,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset,normal/Level_035_direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset,ok
36,normal,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,lock,普通,2,19,33,83,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset,normal/Level_036_direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset,ok
37,hole,hole_candidate_009_std_20x22_lock,hole_candidate_009_std_20x22_lock,hole_rescue,hole,1,20,22,41,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset,hole/Level_037_hole_candidate_009_std_20x22_lock.asset,ok
38,shape,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435,shape_magic,普通,3,30,42,88,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset,shape/Level_038_procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset,ok
39,normal,direct_normal_06_direct_normal_rect_core_burst_g0_v01,direct_normal_06_direct_normal_rect_core_burst_g0_v01,lock,普通,1,22,35,101,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset,normal/Level_039_direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset,ok
40,normal,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,lock,普通,3,22,33,103,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset,normal/Level_040_direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset,ok
41,normal,direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09,direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09,dense,普通,1,14,28,62,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset,normal/Level_041_direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset,ok
42,normal,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,dense,普通,2,19,33,80,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset,normal/Level_042_direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset,ok
43,shape,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351,shape_magic,普通,2,32,42,87,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset,shape/Level_043_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset,ok
44,normal,direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01,direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01,section,普通,4,20,32,86,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset,normal/Level_044_direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset,ok
45,normal,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,lock,普通,1,19,32,74,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04.asset,normal/Level_045_direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04.asset,ok
46,hole,hole_candidate_017_std_20x26_maze,hole_candidate_017_std_20x26_maze,hole_rescue,hole,1,20,26,43,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset,hole/Level_046_hole_candidate_017_std_20x26_maze.asset,ok
47,normal,direct_normal_73_direct_normal_rect_lock_buckle_g1_v08,direct_normal_73_direct_normal_rect_lock_buckle_g1_v08,lock,普通,3,23,40,118,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_73_direct_normal_rect_lock_buckle_g1_v08.asset,normal/Level_047_direct_normal_73_direct_normal_rect_lock_buckle_g1_v08.asset,ok
48,shape,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352,shape_magic,普通,2,32,44,88,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset,shape/Level_048_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset,ok
49,normal,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,section,普通,2,20,34,89,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03.asset,normal/Level_049_direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03.asset,ok
50,normal,nomask_style_expansion_35_zig_river_tall,nomask_style_expansion_35_zig_river_tall,sweep,普通,1,18,30,67,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset,normal/Level_050_nomask_style_expansion_35_zig_river_tall.asset,ok
51,normal,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,maze,普通,1,18,34,85,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset,normal/Level_051_direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset,ok
52,normal,direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09,direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09,lock,普通,1,22,31,87,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset,normal/Level_052_direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset,ok
53,shape,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406,shape_space,普通,1,30,42,86,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset,shape/Level_053_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset,ok
54,hole,hole_topup_001_topup_tall_18x26_dense,hole_topup_001_topup_tall_18x26_dense,hole_rescue,hole,1,18,26,43,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset,hole/Level_054_hole_topup_001_topup_tall_18x26_dense.asset,ok
55,normal,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,section,普通,1,20,35,94,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02.asset,normal/Level_055_direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02.asset,ok
56,normal,direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04,direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04,dense,普通,1,22,34,96,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04.asset,normal/Level_056_direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04.asset,ok
57,normal,direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09,direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09,section,普通,2,18,34,84,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09.asset,normal/Level_057_direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09.asset,ok
58,shape,r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall,procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452,shape_symbol,普通,1,30,42,87,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset,shape/Level_058_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset,ok
59,normal,direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02,direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02,lock,普通,2,18,38,89,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02.asset,normal/Level_059_direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02.asset,ok
60,normal,nomask_style_06_stair_ladder,nomask_style_06_stair_ladder,section,普通,1,16,24,59,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_06_stair_ladder.asset,normal/Level_060_nomask_style_06_stair_ladder.asset,ok
61,hole,hole_candidate_057_tall_18x26_lock,hole_candidate_057_tall_18x26_lock,hole_rescue,hole,1,18,26,43,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset,hole/Level_061_hole_candidate_057_tall_18x26_lock.asset,ok
62,normal,direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04,direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04,dense,普通,1,17,24,63,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04.asset,normal/Level_062_direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04.asset,ok
63,shape,r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall,procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828,shape_nature,普通,2,32,42,90,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828.asset,shape/Level_063_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828.asset,ok
64,normal,nomask_style_expansion_20_long_corridor_b,nomask_style_expansion_20_long_corridor_b,maze,普通,1,20,28,66,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_20_long_corridor_b.asset,normal/Level_064_nomask_style_expansion_20_long_corridor_b.asset,ok
65,normal,direct_normal_23_direct_normal_rect_lock_buckle_g2_v03,direct_normal_23_direct_normal_rect_lock_buckle_g2_v03,lock,普通,1,22,37,104,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_23_direct_normal_rect_lock_buckle_g2_v03.asset,normal/Level_065_direct_normal_23_direct_normal_rect_lock_buckle_g2_v03.asset,ok
66,normal,direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03,direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03,sweep,普通,1,18,37,89,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03.asset,normal/Level_066_direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03.asset,ok
