shapeName,variants,minChains,maxChains,avgChains,variantsDetail
airplane,3,51,103,84.3,compact:36x36:51;large:44x47:99;main:42x42:103
magnifier,3,43,102,81.3,compact:29x36:43;large:38x47:102;main:34x42:99
mailbox,3,62,119,95.7,compact:34x31:62;large:44x40:119;main:40x36:106
medal,3,68,140,108.7,compact:28x38:68;large:36x49:140;main:32x44:118
microphone,3,51,102,79.3,compact:26x38:51;large:34x49:102;main:30x44:85
mug,3,67,135,110.0,compact:33x29:67;large:43x38:135;main:38x34:128
mushroom,3,50,102,82.7,compact:29x29:50;large:38x38:102;main:34x34:96
musicnote,3,43,94,71.3,compact:26x36:43;large:34x47:94;main:30x42:77
pager,3,56,111,90.3,compact:34x26:56;large:42x34:111;main:38x30:104
paintbrush,3,44,87,70.0,compact:31x38:44;large:40x49:87;main:36x44:79
paperplane,3,52,102,85.3,compact:36x29:52;large:44x38:102;main:42x34:102
payphone,3,75,153,125.7,compact:29x38:75;large:38x49:153;main:34x44:149
pear,3,55,121,94.0,compact:28x36:55;large:36x47:121;main:32x42:106
pencil,3,46,87,71.0,compact:29x38:46;large:38x49:87;main:34x44:80
phonehandset,3,43,87,72.3,compact:29x36:43;large:38x47:87;main:34x42:87
potionbottle,3,59,118,96.7,compact:28x36:59;large:36x47:118;main:32x42:113
pretzel,3,64,134,110.3,compact:34x29:64;large:44x38:134;main:40x34:133
pumpkin,3,58,125,99.3,compact:33x29:58;large:43x38:115;main:38x34:125
questionmarkvarianta,3,55,123,96.0,compact:29x38:55;large:38x49:123;main:34x44:110
racingkart,3,58,115,93.3,compact:36x28:58;large:44x36:115;main:40x32:107
ring,3,56,111,88.7,compact:29x36:56;large:38x47:111;main:34x42:99
robothead,3,52,102,84.7,compact:36x31:52;large:44x40:102;main:42x36:100
rocketvarianta,3,54,124,100.3,compact:29x38:54;large:38x49:124;main:34x44:123
sailboat,3,44,89,68.3,compact:33x33:44;large:43x43:89;main:38x38:72
scissorsvarianta,3,56,97,82.7,compact:33x36:56;large:43x47:97;main:38x42:95
shell,3,54,117,91.7,compact:33x29:54;large:43x38:117;main:38x34:104
skateboard,3,34,59,49.7,compact:32x24:34;large:35x27:56;main:32x24:59
skeletonskull,3,71,147,117.7,compact:33x36:71;large:43x47:147;main:38x42:135
slimecrown,3,54,128,102.7,compact:36x33:54;large:44x43:128;main:42x38:126
snowflake,3,65,119,100.3,compact:33x33:65;large:43x43:119;main:38x38:117
star,3,53,120,95.0,compact:33x33:53;large:43x43:120;main:38x38:112
starfish,3,45,99,79.3,compact:33x33:45;large:43x43:99;main:38x38:94
strawberry,3,63,135,108.0,compact:31x36:63;large:40x47:135;main:36x42:126
sun,3,56,124,97.7,compact:33x33:56;large:43x43:124;main:38x38:113
sunglasses,3,54,80,70.0,compact:32x24:54;large:35x27:80;main:32x24:76
suspensionbridge,3,53,107,86.7,compact:36x28:53;large:44x36:107;main:40x32:100
teapot,3,50,104,85.7,compact:36x29:50;large:44x38:104;main:42x34:103
television,3,74,136,115.0,compact:36x31:74;large:44x40:136;main:42x36:135
tent,3,50,102,83.3,compact:36x29:50;large:44x38:98;main:42x34:102
tornado,3,58,111,93.0,compact:29x38:58;large:38x49:110;main:34x44:111
trafficcone,3,58,110,91.0,compact:29x36:58;large:38x47:110;main:34x42:105
train,3,69,146,118.0,compact:37x29:69;large:44x38:146;main:42x34:139
treasurechest,3,77,161,130.0,compact:36x31:77;large:44x40:161;main:42x36:152
tree,3,55,121,98.3,compact:31x36:55;large:40x47:121;main:36x42:119
trophyvarianta,3,52,128,101.0,compact:33x36:52;large:43x47:128;main:38x42:123
ufo,3,49,84,72.0,compact:32x24:49;large:39x31:84;main:36x28:83
umbrella,3,41,97,76.3,compact:33x36:41;large:43x47:97;main:38x42:91
virtualpetkeychain,3,58,120,98.3,compact:29x38:58;large:38x49:117;main:34x44:120
volcano,3,61,135,105.0,compact:34x36:61;large:44x47:135;main:40x42:119
waterdrop,3,51,103,85.3,compact:26x36:51;large:34x47:103;main:30x42:102
watermelonslice,3,51,87,73.7,compact:34x26:51;large:42x34:87;main:38x30:83
wavecrest,3,67,135,108.7,compact:36x36:67;large:44x47:135;main:42x42:124
windmill,3,82,142,118.3,compact:36x36:82;large:44x47:131;main:42x42:142
wizardhat,3,55,111,91.3,compact:36x33:55;large:44x43:111;main:42x38:108
wrappedcandy,3,47,86,71.7,compact:32x24:47;large:37x29:86;main:34x26:82
wrench,3,39,66,56.3,compact:36x29:39;large:44x38:64;main:42x34:66
