order,oldGuid,oldLevelId,oldType,difficulty,oldWidth,oldHeight,oldChains,newGuid,newShapeName,newSizeBand,newLevelId,newWidth,newHeight,newChains,chainDelta,sourceAsset,destAsset,copyStatus,matchScore
73,4f9d4e46b9695b54184cac67b47a8264,r2_outer_strong_005_r2_006_a401_procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall,shape_symbol,2,28,42,90,c27608691b37de3449510e2c6e26b377,windmill,compact,r2_outer_strong_005_r2_006_a401_maskonlyb08_06_compact_windmill,36,36,82,-8,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb08_06_compact_windmill_20260615_235451.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L073_windmill_compact.asset,copied,23.44
78,550ffb64e9bbaa44fb20e6d07e5b4e41,r2_outer_strong_005_r2_006_a401_procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall,shape_music,4,28,42,92,509f8ff63cf462c43903d305199b60b0,pencil,large,r2_outer_strong_005_r2_006_a401_maskonlyb05_14_large_pencil,38,49,87,-5,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_14_large_pencil_20260615_191022.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L078_pencil_large.asset,copied,19.862
83,e448c67178702344088fbff4e13e15a5,r2_outer_strong_005_r2_006_a401_procmask_11_onion_maskproceduralvertical_30x40-mainhearttall,shape_symbol,1,30,40,91,dcbf8d0f95cb9534da719873924ffc04,ballmouse,main,r2_outer_strong_005_r2_006_a401_maskonlyb06_09_main_ballmouse,40,34,103,12,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_09_main_ballmouse_20260615_223654.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L083_ballmouse_main.asset,copied,18.36
87,1820c913bb832a549a781d69f477ad9b,r2_outer_strong_005_r2_006_a401_procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall,shape_object,4,30,40,95,43f34d8c57e85424f87a03bc5ca96b49,umbrella,large,r2_outer_strong_005_r2_006_a401_maskonlyb01_02_large_umbrella,43,47,97,2,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_02_large_umbrella_20260614_170816.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L087_umbrella_large.asset,copied,12.135
93,9b100f7db3cf8fb40b00c8747be8b764,r2_outer_strong_005_r2_006_a401_procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall,shape_symbol,2,28,42,92,e44cfe2a05c0fdc4980c52c02326662d,paintbrush,large,r2_outer_strong_005_r2_006_a401_maskonlyb05_12_large_paintbrush,40,49,87,-5,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_12_large_paintbrush_20260615_190905.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L093_paintbrush_large.asset,copied,17.387
98,e60e8c66e5520d84cbeacc7e3f9b7af6,r2_outer_strong_005_r2_006_a401_procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall,shape_music,2,28,42,94,61579aec3b4969c428b2df9fbcf954d9,phonehandset,main,r2_outer_strong_005_r2_006_a401_maskonlyb04_16_main_phonehandset,34,42,87,-7,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_16_main_phonehandset_20260615_154638.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L098_phonehandset_main.asset,copied,15.073
103,4d807800dc5fc1c468b2ce08c87d96b1,r2_outer_strong_005_r2_006_a401_procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall,shape_ocean,2,30,42,93,a959c44206c84e2408fa373ac41f5fa9,sailboat,large,r2_outer_strong_005_r2_006_a401_maskonlyb03_03_large_sailboat,43,43,89,-4,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_03_large_sailboat_20260614_200100.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L103_sailboat_large.asset,copied,13.37
108,b4d14a54a5d33604eaf2dbe6e1897e1f,r2_outer_strong_005_r2_006_a401_procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall,shape_symbol,2,28,42,93,bf56637f6ea290c4890ee16f50d7dadf,hammer,main,r2_outer_strong_005_r2_006_a401_maskonlyb05_08_main_hammer,42,36,89,-4,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_08_main_hammer_20260615_190528.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L108_hammer_main.asset,copied,16.07
113,11ee0c3dd57d2504db6cc123d0126c8b,r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall,shape_magic,4,28,42,98,5354738cc414b744fb15fa6cc0b08716,guitar,large,r2_outer_strong_005_r2_006_a401_maskonlyb03_02_large_guitar,38,49,97,-1,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_02_large_guitar_20260614_200050.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L113_guitar_large.asset,copied,10.093
118,3b7bdf411485be3439dcd0d1e5a1e9d9,r2_outer_strong_005_r2_006_a401_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall,shape_ocean,1,30,44,96,2292f66331c83af4eafc08e995215e21,carrot,large,r2_outer_strong_005_r2_006_a401_maskonlyb02_12_large_carrot,34,47,95,-1,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_12_large_carrot_20260614_171936.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L118_carrot_large.asset,copied,4.58
123,e2dbeb0505ba0664a95b13be7b94fa10,r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall,shape_magic,3,30,42,92,79501bada43793c48825eb06d77d0eca,car,main,r2_outer_strong_005_r2_006_a401_maskonlyb04_08_main_car,38,30,90,-2,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_08_main_car_20260615_154601.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L123_car_main.asset,copied,17.11
127,0cedea654e9cc234f92ee1f8908a7207,r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall,shape_character,2,30,42,99,f58537d092cf4e84babdaa4f4854b6ba,tent,large,r2_outer_strong_005_r2_006_a401_maskonlyb04_19_large_tent,44,38,98,-1,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_19_large_tent_20260615_154710.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L127_tent_large.asset,copied,9.867
133,37a9f372fc3f8cd4bb1740d260620ea1,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,shape_magic,1,30,42,95,bc890f2701c97a540b3226d0de8dff1d,musicnote,large,r2_outer_strong_005_r2_006_a401_maskonlyb01_05_large_musicnote,34,47,94,-1,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_05_large_musicnote_20260614_170850.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L133_musicnote_large.asset,copied,5.48
138,412080433a3270c47baa102441b9c809,r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall,shape_space,1,30,42,96,649be95e5118cbb46adb69dc6783c4ea,scissorsvarianta,main,r2_outer_strong_005_r2_006_a401_maskonlyb09_05_main_scissorsvarianta,38,42,95,-1,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_05_main_scissorsvarianta_20260616_110838.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L138_scissorsvarianta_main.asset,copied,5.03
143,312522ad088dadb4a8df096938195f33,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,shape_magic,1,30,42,91,b21aee2f86e682446ae8aa6852499cfc,watermelonslice,large,r2_outer_strong_005_r2_006_a401_maskonlyb05_19_large_watermelonslice,42,34,87,-4,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_19_large_watermelonslice_20260615_191043.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L143_watermelonslice_large.asset,copied,17.208
147,c7797d5182b40124fabe8624c63baadf,r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall,shape_landmark,2,30,44,101,9280c6dee70c1c54baf007f8f12e8f15,caveentrance,large,r2_outer_strong_005_r2_006_a401_maskonlyb08_09_large_caveentrance,44,43,100,-1,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb08_09_large_caveentrance_20260615_235833.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L147_caveentrance_large.asset,copied,8.518
153,574222c8e9053e54f8a0dd5db34248f2,r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall,shape_character,4,30,42,101,b99a8fb44ae65f54f96505cb12eac7fb,paperplane,large,r2_outer_strong_005_r2_006_a401_maskonlyb02_01_large_paperplane,44,38,102,1,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_01_large_paperplane_20260614_171856.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L153_paperplane_large.asset,copied,9.668
158,4612f6f9a4aecc846b00ac6c66114205,r2_outer_strong_005_r2_006_a401_procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall,shape_symbol,1,30,42,100,f43f41cbd49bf3a41a467ef8d5145c9d,starfish,large,r2_outer_strong_005_r2_006_a401_maskonlyb01_07_large_starfish,43,43,99,-1,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_07_large_starfish_20260614_170901.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L158_starfish_large.asset,copied,7.73
163,4c6c95298588cca4abbe3e6ab1911d66,r2_outer_strong_005_r2_006_a401_procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall,shape_ocean,1,32,42,101,adff2bc88691727408d494576d516892,ring,main,r2_outer_strong_005_r2_006_a401_maskonlyb05_16_main_ring,34,42,99,-2,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_16_main_ring_20260615_191027.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L163_ring_main.asset,copied,3.76
168,21766b19cf33b1048a64d70e50542677,r2_outer_strong_005_r2_006_a401_procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall,shape_object,2,28,42,100,adfa45c04dbd58e44acb720e6b1be943,lightningbolt,large,r2_outer_strong_005_r2_006_a401_maskonlyb09_23_large_lightningbolt,34,49,97,-3,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_23_large_lightningbolt_20260616_111016.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L168_lightningbolt_large.asset,copied,11.153
173,00135a37b83b2de4da0c7c50d70b39c4,r2_outer_strong_005_r2_006_a401_procmask_08_onion_maskproceduralvertical_28x40-maincandletall,shape_magic,2,28,40,104,0b392458dcddb404ea468aa7e94ebdee,teapot,large,r2_outer_strong_005_r2_006_a401_maskonlyb05_18_large_teapot,44,38,104,0,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_18_large_teapot_20260615_191041.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L173_teapot_large.asset,copied,8.1
178,2e72354f7f514714194505eee3fbd1d0,r2_outer_strong_005_r2_006_a401_procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall,shape_art,3,30,42,104,35f239961206c0b488129312de77e0d9,shell,main,r2_outer_strong_005_r2_006_a401_maskonlyb01_11_main_shell,38,34,104,0,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_11_main_shell_20260614_170910.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L178_shell_main.asset,copied,7.2
183,8d47b47917526414d8f2ae7caecaeb80,r2_outer_strong_005_r2_006_a401_procmask_60_onion_maskproceduralvertical_28x42-mainoceanshelltall,shape_ocean,4,28,42,104,ce9378a7750f364479219b8983adb298,airplane,main,r2_outer_strong_005_r2_006_a401_maskonlyb04_04_main_airplane,42,42,103,-1,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_04_main_airplane_20260615_154542.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L183_airplane_main.asset,copied,8.742
187,e8d8267511bda014895b6873cc3a2eb8,r2_outer_strong_005_r2_006_a401_procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall,shape_landmark,2,30,44,105,bb37e8631bd828b4cbe2eba33bc218a2,waterdrop,main,r2_outer_strong_005_r2_006_a401_maskonlyb04_03_main_waterdrop,30,42,102,-3,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_03_main_waterdrop_20260615_154539.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L187_waterdrop_main.asset,copied,6.203
193,369dcabae0aaba14e9bdf75261efe6b7,r2_outer_strong_005_r2_006_a401_procmask_61_onion_maskproceduralvertical_30x40-mainoceanstarfishtall,shape_ocean,2,30,40,102,543f4378dc4687144891a6e5d0fbe71e,robothead,large,r2_outer_strong_005_r2_006_a401_maskonlyb07_08_large_robothead,44,40,102,0,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb07_08_large_robothead_20260615_230454.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L193_robothead_large.asset,copied,6.3
198,ee23a8adae8e61a438109cea0f1e9fb7,r2_outer_strong_005_r2_006_a401_procmask_104_onion_maskproceduralvertical_30x42-maindistinctplugtall,shape_object,1,30,42,105,498f55dad63f7d545871d66418006411,headphones,main,r2_outer_strong_005_r2_006_a401_maskonlyb05_09_main_headphones,40,38,104,-1,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_09_main_headphones_20260615_190536.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L198_headphones_main.asset,copied,7.73
203,2952ef8727bd6104ea9a0ca2c83194c6,r2_outer_strong_005_r2_006_a401_procmask_63_onion_maskproceduralvertical_30x42-mainoceanflipperstall,shape_ocean,1,30,42,103,fca7134fed1378f4798fdb0f960be62a,microphone,large,r2_outer_strong_005_r2_006_a401_maskonlyb05_10_large_microphone,34,49,102,-1,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_10_large_microphone_20260615_190540.asset,F:/Unityproject/ArrowLevel-Hand/Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L203_microphone_large.asset,copied,6.38
