shapeName,group,serial,sizeBand,candidateIndex,levelId,width,height,chains,arrowCells,assetPath,unityAssetPath
bowlingpin,05,03,main,164,r2_outer_strong_005_r2_006_a401_maskonlyb05_03_main_bowlingpin,28,44,99,729,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_03_main_bowlingpin_20260615_190510.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_03_main_bowlingpin_20260615_190510.asset
bowlingpin,05,03,large,165,r2_outer_strong_005_r2_006_a401_maskonlyb05_03_large_bowlingpin,31,49,105,909,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_03_large_bowlingpin_20260615_190512.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb05_03_large_bowlingpin_20260615_190512.asset
brickcellphone,06,01,compact,217,r2_outer_strong_005_r2_006_a401_maskonlyb06_01_compact_brickcellphone,29,38,63,582,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_01_compact_brickcellphone_20260615_223124.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_01_compact_brickcellphone_20260615_223124.asset
brickcellphone,06,01,large,219,r2_outer_strong_005_r2_006_a401_maskonlyb06_01_large_brickcellphone,38,49,110,986,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_01_large_brickcellphone_20260615_223127.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_01_large_brickcellphone_20260615_223127.asset
brickcellphone,06,01,main,218,r2_outer_strong_005_r2_006_a401_maskonlyb06_01_main_brickcellphone,34,44,112,796,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_01_main_brickcellphone_20260615_223126.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb06_01_main_brickcellphone_20260615_223126.asset
butterfly,02,17,compact,79,r2_outer_strong_005_r2_006_a401_maskonlyb02_17_compact_butterfly,36,33,77,771,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_17_compact_butterfly_20260614_171959.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_17_compact_butterfly_20260614_171959.asset
butterfly,02,17,main,80,r2_outer_strong_005_r2_006_a401_maskonlyb02_17_main_butterfly,42,38,150,1041,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_17_main_butterfly_20260614_172001.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_17_main_butterfly_20260614_172001.asset
butterfly,02,17,large,81,r2_outer_strong_005_r2_006_a401_maskonlyb02_17_large_butterfly,44,43,153,1234,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_17_large_butterfly_20260614_172002.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_17_large_butterfly_20260614_172002.asset
cactus,04,07,compact,115,r2_outer_strong_005_r2_006_a401_maskonlyb04_07_compact_cactus,29,36,54,578,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_07_compact_cactus_20260615_154556.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_07_compact_cactus_20260615_154556.asset
cactus,04,07,main,116,r2_outer_strong_005_r2_006_a401_maskonlyb04_07_main_cactus,34,42,106,778,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_07_main_cactus_20260615_154558.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_07_main_cactus_20260615_154558.asset
cactus,04,07,large,117,r2_outer_strong_005_r2_006_a401_maskonlyb04_07_large_cactus,38,47,116,986,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_07_large_cactus_20260615_154559.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_07_large_cactus_20260615_154559.asset
camera,09,38,compact,345,r2_outer_strong_005_r2_006_a401_maskonlyb09_38_compact_camera,36,29,75,809,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_38_compact_camera_20260616_111028.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_38_compact_camera_20260616_111028.asset
camera,09,38,main,346,r2_outer_strong_005_r2_006_a401_maskonlyb09_38_main_camera,42,34,152,1112,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_38_main_camera_20260616_111030.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_38_main_camera_20260616_111030.asset
camera,09,38,large,347,r2_outer_strong_005_r2_006_a401_maskonlyb09_38_large_camera,44,38,160,1325,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_38_large_camera_20260616_111032.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb09_38_large_camera_20260616_111032.asset
car,04,08,compact,118,r2_outer_strong_005_r2_006_a401_maskonlyb04_08_compact_car,34,26,54,524,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_08_compact_car_20260615_154600.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_08_compact_car_20260615_154600.asset
car,04,08,main,119,r2_outer_strong_005_r2_006_a401_maskonlyb04_08_main_car,38,30,90,662,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_08_main_car_20260615_154601.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_08_main_car_20260615_154601.asset
car,04,08,large,120,r2_outer_strong_005_r2_006_a401_maskonlyb04_08_large_car,42,34,99,840,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_08_large_car_20260615_154601.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_08_large_car_20260615_154601.asset
