category,packPath,packId,displayName,refs,resolved,unresolved,inCurrentCampaign500,unusedResolved,uniqueResolved,chainsMinAvgMax,widthMinAvgMax,heightMinAvgMax,topTypeGuess
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_FinalParents40.asset,composite_seed_variants_ab_final_parents40,Composite Seed Variants AB Final Parents 40,120,120,0,0,120,76,44/88.4/162,17/29.5/55,24/29.9/36,normal:120
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_GreedyRepairSmokeTriplets.asset,composite_seed_variants_ab_greedy_repair_smoke_triplets,Composite Seed Variants AB Greedy Repair Smoke Triplets,9,9,0,0,9,8,58/95.6/158,18/29.6/48,29/30.4/32,normal:7;hole:2
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_PlayabilityBalanced120.asset,composite_seed_variants_ab_playability_balanced120,Composite Seed Variants AB Playability Balanced 120,120,120,0,0,120,120,125/136.0/179,28/30.0/36,37/43.1/49,normal:120
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_PlayabilityCandidates300.asset,composite_seed_variants_ab_playability_candidates360,Composite Seed Variants AB Playability Candidates 360,255,255,0,0,255,255,124/137.8/179,28/30.6/36,37/43.7/51,normal:255
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_PlayabilityCandidates360.asset,composite_seed_variants_ab_playability_candidates360,Composite Seed Variants AB Playability Candidates 360,207,207,0,0,207,207,124/138.0/179,28/30.6/36,37/43.7/51,normal:207
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_PlayabilityCurated100.asset,composite_seed_variants_ab_playability_curated100,Composite Seed Variants AB Playability Curated 100,100,100,0,0,100,100,124/135.4/179,28/30.1/36,37/42.6/49,normal:100
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_PlayabilityCurated85.asset,composite_seed_variants_ab_playability_curated85,Composite Seed Variants AB Playability Curated 85,85,85,0,0,85,85,125/136.2/179,28/29.9/36,37/42.7/49,normal:85
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_PlayabilityFinal150.asset,composite_seed_variants_ab_playability_final150,Composite Seed Variants AB Playability Final 150,150,150,0,0,150,150,124/135.3/179,28/30.1/36,37/43.0/49,normal:150
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_PortraitVariant50.asset,composite_seed_variants_ab_portrait_variant_preview10,Composite Seed Variants AB Portrait Variant Preview 10,10,10,0,0,10,10,125/134.7/144,28/29.8/31,38/43.7/47,normal:10
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_Production100.asset,composite_seed_variants_ab_production100,Composite Seed Variants AB Production 100,100,100,0,0,100,100,120/136.8/158,28/40.5/49,28/35.9/49,normal:100
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_ProductionParents20.asset,composite_seed_variants_ab_production_parents20,Composite Seed Variants AB Production Parents,13,13,0,0,13,13,120/133.8/149,43/46.8/49,28/30.1/31,normal:13
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_RawPreserveTriplets.asset,composite_seed_variants_ab_raw_preserve_triplets,Composite Seed Variants AB Raw Preserve Triplets,150,150,0,0,150,78,42/90.2/164,18/29.0/51,26/29.6/35,normal:150
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_ScoreTop10.asset,composite_seed_variants_ab_score_top10,Composite Seed Variants AB Score Top 10,10,10,0,0,10,10,136/145.0/151,30/40.0/46,30/34.0/46,lock:10
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_ScoreTop50.asset,composite_seed_variants_ab_score_top50,Composite Seed Variants AB Score Top 50,50,50,0,0,50,50,127/135.9/149,30/43.7/49,30/33.7/49,lock:50
AB_composite_old_pool,Assets/ArrowMagic/SOData/Packs/CompositeSeedVariantsAB/CompositeSeedVariantsAB_ScoreTopTriplets.asset,composite_seed_variants_ab_score_top_triplets,Composite Seed Variants AB Score Top Triplets,30,30,0,0,30,21,42/89.9/149,20/31.4/49,26/29.4/31,normal:27;hole:3
Mask_experiment_old_pool,Assets/ArrowMagic/SOData/Packs/Demo_Seed_Mask_Compare.asset,Demo_Seed_Mask_Compare_seed_mask_largecomposite_source_bigbadge,Seed Mask Compare - seed_mask_largecomposite_source_bigbadge (Source,3,3,0,0,3,3,190/234.3/283,84/84.0/84,60/60.0/60,normal:3
DirectProcedural_big_pool,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectArchitecturePreviewPack.asset,direct_architecture_preview,Direct Architecture Preview (8),8,8,0,0,8,8,63/74.0/88,22/23.9/26,31/32.8/35,normal:6;long:2
DirectProcedural_big_pool,Assets/ArrowMagic/SOData/Packs/DirectProcedural/DirectDifferentiation120CandidatesPack.asset,direct_differentiation120_candidates,Direct Differentiation 120 Candidates (120),120,120,0,0,120,120,30/108.3/195,14/23.0/35,19/35.3/50,lock:36;long:32;normal:32;shell:8;dense:8
Hole_old_pool,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCandidatePoolPack.asset,hole_candidate_pool,Hole Candidate Pool (71),71,71,0,25,46,71,24/59.3/105,16/24.6/34,18/25.7/30,hole:71
Hole_old_pool,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleCombinedCandidatesPack.asset,hole_combined_candidates,Hole Combined Candidates (109),109,109,0,38,71,109,24/60.8/105,16/24.9/34,18/26.1/30,hole:109
Hole_old_pool,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleFrontPreviewPack.asset,hole_front_preview,Hole Front Preview (2),2,2,0,0,2,2,24/26.0/28,16/16.5/17,18/18.0/18,hole:2
Hole_old_pool,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleHighChainCandidatesPack.asset,hole_high_chain_candidates,Hole High Chain Candidates (12),12,12,0,10,2,12,80/86.0/94,28/31.8/34,26/28.3/30,hole:12
Hole_old_pool,Assets/ArrowMagic/SOData/Packs/HoleProcedural/HoleTopupCandidatesPack.asset,hole_topup_candidates,Hole Topup Candidates (38),38,38,0,13,25,38,40/63.4/98,18/25.4/34,22/26.7/30,hole:38
Misc_old_pack,Assets/ArrowMagic/SOData/Packs/HoleV13Top5DemoPack.asset,hole_v13_template_blocks_top5_demo_pack,Hole V13 Template Blocks Top5 Demo Pack,5,5,0,0,5,5,69/71.6/77,24/24.0/24,28/28.0/28,hole:5
Misc_old_pack,Assets/ArrowMagic/SOData/Packs/LargeCompositeBigBadge_LevelPack.asset,large_composite_bigbadge_190,Large Composite Big Badge 190,1,1,0,0,1,1,190/190.0/190,84/84.0/84,60/60.0/60,normal:1
Front_import_old_pool,Assets/ArrowMagic/SOData/Packs/LevelImportV1/CampaignFront20PreviewPack.asset,campaign_front20_preview_v1,Campaign Front20 Preview V1,20,20,0,12,8,20,6/41.5/96,10/18.4/29,7/21.9/34,normal:15;hole:2;sweep:2;tutorial:1
Front_import_old_pool,Assets/ArrowMagic/SOData/Packs/LevelImportV1/CampaignFront30PreviewPack.asset,campaign_front30_preview_v1,Campaign Front30 Preview V1,30,30,0,13,17,30,6/53.1/110,10/20.3/31,7/24.8/44,normal:24;hole:2;sweep:2;tutorial:1;shape:1
Front_import_old_pool,Assets/ArrowMagic/SOData/Packs/LevelImportV1/CampaignFront50PreviewPack.asset,campaign_front50_preview_with_bonus_v1,Campaign Front50 Preview With Bonus V1,51,51,0,17,34,51,6/68.8/126,10/22.7/33,7/28.6/44,normal:40;shape:5;hole:3;sweep:2;tutorial:1
Misc_old_pack,Assets/ArrowMagic/SOData/Packs/LevelPack.asset,pack_001,Starter Pack,5,5,0,0,5,5,0/0.0/0,8/13.8/20,8/13.8/20,normal:5
Mask_experiment_old_pool,Assets/ArrowMagic/SOData/Packs/Mask_Preview_Pack.asset,mask_preview_pack,Mask Preview Pack,2,2,0,0,2,2,0/0.0/0,10/10.0/10,10/10.0/10,normal:2
NoMask_early_pool,Assets/ArrowMagic/SOData/Packs/NoMaskProcedural/Level3ThirtyPreviewPack.asset,level3_thirty_preview,Level 3 Thirty Preview (3),3,3,0,1,2,3,29/31.0/33,12/12.0/12,17/17.7/18,lock:2;maze:1
NoMask_early_pool,Assets/ArrowMagic/SOData/Packs/NoMaskProcedural/Level3TinyPreviewPack.asset,level3_tiny_preview,Level 3 Tiny Preview (3),3,3,0,1,2,3,19/19.3/20,9/9.0/9,13/13.3/14,shell:1;lock:1;maze:1
Misc_old_pack,Assets/ArrowMagic/SOData/Packs/Normal_40_70_LevelPack.asset,normal_40_70,Normal 40-70,20,20,0,0,20,20,0/0.0/0,10/10.0/10,10/10.0/10,normal:20
Hole_old_pool,Assets/ArrowMagic/SOData/Packs/Production/HoleProcedural/HoleProceduralCandidatePack.asset,hole_procedural_candidates,Hole Procedural Candidates (50),50,50,0,0,50,50,52/74.9/147,16/21.0/28,18/25.4/36,hole:50
Hole_old_pool,Assets/ArrowMagic/SOData/Packs/Production/HoleProcedural/HoleProceduralPreviewTop50Pack.asset,hole_procedural_preview_top50,Hole Procedural Preview Diverse 50,50,50,0,0,50,50,52/74.9/147,16/21.0/28,18/25.4/36,hole:50
R1_R2_outer_seed_pool,Assets/ArrowMagic/SOData/Packs/R1FullPipeline/FormalCandidateAB/R1FormalCandidateABFinalPack.asset,r1_formal_candidate_ab_final_pack,R1 Formal Candidate A+B Final Pack,176,176,0,0,176,176,1/58.8/182,5/22.4/40,4/29.8/65,normal:176
R1_R2_outer_seed_pool,Assets/ArrowMagic/SOData/Packs/R1FullPipeline/OuterStrongFinal/R1OuterStrongFinalPack.asset,r1_outer_strong_final_pack,R1 Outer Strong Final Pack,158,158,0,0,158,158,30/68.3/186,16/22.5/38,17/29.5/56,normal:158
R1_R2_outer_seed_pool,Assets/ArrowMagic/SOData/Packs/R1FullPipeline/OuterStrongFinal/R2OuterStrong_A484_SinglePack.asset,r2_outer_strong_a484_single_pack,R2 Outer Strong A484 Single,1,1,0,0,1,1,5/5.0/5,27/27.0/27,43/43.0/43,normal:1
R1_R2_outer_seed_pool,Assets/ArrowMagic/SOData/Packs/R1FullPipeline/OuterStrongFinal/R2OuterStrongFinalPack.asset,r2_outer_strong_final_pack,R2 Outer Strong Final Pack,156,156,0,0,156,156,20/78.8/202,13/23.5/38,13/30.5/58,normal:156
R1_R2_outer_seed_pool,Assets/ArrowMagic/SOData/Packs/R1FullPipeline/OuterStrongFinal/R3OuterStrongFinalPack.asset,r3_outer_strong_final_pack,R3 Outer Strong Final Pack,120,120,0,0,120,120,125/136.0/179,28/30.0/36,37/43.1/49,normal:120
R1_R2_outer_seed_pool,Assets/ArrowMagic/SOData/Packs/R1FullPipeline/OuterStrongRepair/R1OuterStrongRepairPack.asset,r1_outer_strong_pack,R1 Outer Strong Repair Pack,176,176,0,0,176,176,5/68.8/186,5/22.4/40,4/29.8/65,normal:176
R1_R2_outer_seed_pool,Assets/ArrowMagic/SOData/Packs/R1FullPipeline/OuterStrongRepair/R1R2OuterStrongRepairPreviewPack.asset,r1_r2_outer_strong_repair_preview,R1 R2 Outer Strong Repair Preview,100,100,0,0,100,100,9/77.3/143,13/24.7/40,5/34.7/65,normal:100
R1_R2_outer_seed_pool,Assets/ArrowMagic/SOData/Packs/R1FullPipeline/OuterStrongRepair/R2OuterStrongRepairPack.asset,r2_outer_strong_pack,R2 Outer Strong Repair Pack,171,171,0,0,171,171,5/79.5/202,5/23.6/40,5/31.1/65,normal:171
R1_R2_outer_seed_pool,Assets/ArrowMagic/SOData/Packs/R1FullPipeline/R2FinalCandidatePool/R2FromR1FormalRotationFinalPack.asset,r1_r2_from_r1_formal_20260609_final_rotation_merged_final_pack,R1 r2_from_r1_formal_20260609_final Rotation Merged Final Pack,176,171,5,0,171,171,1/69.0/199,5/23.6/40,5/31.1/65,normal:157;hole:14
R1_R2_outer_seed_pool,Assets/ArrowMagic/SOData/Packs/R1FullPipeline/StandardSeedPool/R1StandardSeedPool.asset,r1_standard_seed_pool,R1 Standard Seed Pool,429,429,0,0,429,429,1/45.5/147,5/22.1/43,4/30.1/85,normal:429
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/AnimalBestPreviewPack.asset,AnimalBestPreviewPack,Animal Best Preview Tight (3),3,3,0,0,3,3,61/67.0/72,29/31.0/32,22/24.0/26,normal:3
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/AnimalShapePreviewPack.asset,AnimalShapePreviewPack,Animal Shape Preview (4),4,4,0,0,4,4,100/110.5/116,40/42.0/44,30/37.5/44,normal:4
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/Deprecated/ShapeExperimentPreviewPack.asset,ShapeExperimentPreviewPack,Shape Experiment Preview (10),10,10,0,0,10,10,11/19.5/37,14/17.2/22,16/17.8/24,normal:10
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/EarlySymbolPreviewPack.asset,EarlySymbolPreviewPack,Early Symbol Preview (4),4,4,0,0,4,4,22/30.0/43,19/19.8/21,19/20.2/22,normal:4
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/KeepEarly/ShapeEarlyKeepRetrospectivePack.asset,ShapeEarlyKeepRetrospectivePack,Shape Early Keep Retrospective (12),12,12,0,0,12,12,32/67.7/114,19/28.3/44,19/27.9/34,normal:12
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/KeepEarly/TallFitEarlyShapeKeepPack.asset,TallFitEarlyShapeKeepPack,Tall Fit Early Shape Keep (4),4,4,0,0,4,4,50/59.0/74,20/21.5/22,30/30.5/32,normal:4
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/OriginalStarMaskPreviewPack.asset,OriginalStarMaskPreviewPack,Original Star Mask Preview,1,1,0,0,1,1,32/32.0/32,19/19.0/19,19/19.0/19,normal:1
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ReadableShapePreviewPack.asset,ReadableShapePreviewPack,Readable Shape Preview (Accepted 3),3,3,0,0,3,3,32/53.7/65,19/25.0/28,19/25.7/30,normal:3
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/TallFitShapePreviewPack.asset,TallFitShapePreviewPack,Tall Fit Shape Preview (4),4,4,0,0,4,4,50/59.0/74,20/21.5/22,30/30.5/32,normal:4
